   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,-0.05                    ,-0.18           ,- -          ,8.59                       ,- -                    ,-13.39                  ,1166.38                     ,- -           ,-107.62                     ,                    63.43 ,-113.82           ,                      63.43 ,-113.82             ,-2.46  ,-2.4              ,-19.02 ,-13.39 ,0.05             ,-13.35               ,-179.17           ,-0.05              ,-39.77             ,9.31                 ,6.01                           ,6.01                    ,7.55                    ,- -         ,-31.51          ,2.39                 ,79.93                          ,74.4                      ,7.85                         ,81.85           ,8.08                    ,7.76         ,0.42                ,- -     ,- -                  ,19.21                     ,47.92   ,- -                  ,2                            ,3.38              ,13.04                ,14.01        ,-39               ,1005.56      ,12.95                           ,12.48        ,7.76                       ,             13.05 ,23.22    ,9.55               ,5.22                         ,-14.12        ,0.45                  ,- -                 ,-220.15    ,6.48                        ,-75.29         ,3.87                     ,-228.53                  ,4.33                           ,-32.17                ,-165.8                      ,-880.83                        ,-1.56          ,-33.55         ,-13.3                       ,-214.27                        ,-114.33             ,-32.17               ,-87.41         ,141.74               ,-231.84                 ,0.1660164974556575
 1 ,2011 ,142.03                   ,132.96          ,145.89       ,55.94                      ,- -                    ,141.37                  ,-69.64                      ,-85.13        ,-2713.98                    ,                    68.8  ,-1085.08          ,                      69.34 ,-1081.91            ,197.55 ,22.94             ,179.39 ,141.37 ,1.59             ,-0.28                ,-333.73           ,-13.45             ,57.45              ,207.11               ,-11.26                         ,-11.26                  ,-11.77                  ,- -         ,140.05          ,-0.02                ,100.55                         ,92.46                     ,-57.75                       ,-116.62         ,291.7                   ,276.02       ,88.38               ,96.13   ,76.45                ,88.38                     ,241.68  ,22.96                ,279.1                        ,261.46            ,165.12               ,-99.85       ,17374.78          ,-532.16      ,311.41                          ,290.46       ,276.02                     ,            171.78 ,287.6    ,-0.73              ,6.06                         ,-46.93        ,-34.37                ,179.65              ,-570.14    ,234.88                      ,-210.56        ,20.8                     ,-2246.04                 ,-18.08                         ,275.86                ,-125.24                     ,-60.27                         ,165.77         ,24.36          ,141.52                      ,-50.47                         ,-3421.65            ,275.86               ,3961.36        ,-34.44               ,-114.48                 ,-0.06412108693062346
 2 ,2012 ,30.83                    ,29.5            ,31.36        ,25.88                      ,- -                    ,46.78                   ,-3.34                       ,-63.07        ,-61.87                      ,                    24.12 ,-65.33            ,                      24.24 ,-65.37              ,33.46  ,2.02              ,46.78  ,46.78  ,0.41             ,12.2                 ,-80.21            ,31.91              ,10.48              ,27.09                ,-42.75                         ,-42.75                  ,241.05                  ,- -         ,326.39          ,130.4                ,-99.6                          ,-99.64                    ,-23.16                       ,1210.09         ,-3.4                    ,-1.49        ,72.99               ,-5.11   ,-119.58              ,240.68                    ,-4.22   ,-63.39               ,-10.06                       ,2.02              ,0.38                 ,0.52         ,19.53             ,28.11        ,-4.34                           ,-4.72        ,-1.49                      ,              0.69 ,-3.73    ,1.04               ,-3.48                        ,-32.37        ,0.88                  ,-0.82               ,-53.48     ,27.09                       ,-10.99         ,11.13                    ,-1.44                    ,123.84                         ,-92.14                ,- -                         ,-327.24                        ,37.13          ,11.04          ,-97.32                      ,-756.09                        ,-157.1              ,-92.14               ,-146.77        ,251.16               ,764.56                  ,0.18475015613248802
 3 ,2013 ,-12.74                   ,-4.94           ,-15.83       ,-6.7                       ,- -                    ,-28.28                  ,-106.2                      ,-475.2        ,-346.27                     ,                     5.69 ,-479.33           ,                       6.43 ,-476.7              ,-18.75 ,-6.89             ,-28.28 ,-28.28 ,-3.54            ,-17.81               ,-1089.35          ,-14.1              ,-4.38              ,-13.48               ,387.18                         ,387.18                  ,-8.64                   ,- -         ,-49.51          ,21.34                ,-5.31                          ,-5.31                     ,101.76                       ,-21.41          ,-11.11                  ,-10.02       ,-20.17              ,-18.39  ,-42.66               ,-21.34                    ,-24     ,-13.16               ,-23.56                       ,-23.2             ,9.52                 ,8.01         ,6.4               ,86.53        ,4.91                            ,2.93         ,-10.02                     ,              8.02 ,-27.12   ,-29.19             ,18.6                         ,54.25         ,5.15                  ,1.59                ,-419.74    ,-13.48                      ,595.01         ,53.21                    ,-49.52                   ,4.64                           ,2.48                  ,-89.86                      ,340.68                         ,1.06           ,148.81         ,4760.37                     ,120.77                         ,-678.15             ,2.48                 ,5.09           ,6.25                 ,-112.12                 ,-0.25305300919122065
 4 ,2014 ,0.59                     ,-2.57           ,2.0          ,8.1                        ,- -                    ,5.06                    ,1136.48                     ,112.22        ,222.09                      ,                     2.78 ,88.5              ,                       3.02 ,88.06               ,-0.64  ,-1.22             ,5.06   ,5.06   ,1.41             ,4.44                 ,84.43             ,-1.88              ,13.97              ,-3.24                ,-28.59                         ,-28.59                  ,-48.75                  ,- -         ,-3.84           ,-33.52               ,1.8                            ,1.8                       ,8.9                          ,6.44            ,6.89                    ,5.07         ,-17.73              ,- -     ,-13.27               ,-52.28                    ,13.21   ,10.18                ,13.07                        ,2.3               ,2.74                 ,2.15         ,1.06              ,37.79        ,1.93                            ,7.1          ,5.07                       ,              2.14 ,5.98     ,-1.05              ,2.13                         ,39.32         ,6.13                  ,2.52                ,214.66     ,-3.24                       ,91.08          ,16.73                    ,-31.25                   ,45.27                          ,-4.84                 ,66.14                       ,-120.92                        ,17.14          ,33.2           ,-74.88                      ,-85.72                         ,-126.83             ,-4.84                ,55.56          ,-11.94               ,-21.7                   ,0.08887207869304792
 5 ,2015 ,24.78                    ,19.79           ,26.91        ,-3.86                      ,- -                    ,18.88                   ,44.34                       ,32.93         ,25.19                       ,                     4.34 ,31.52             ,                       5.44 ,30.14               ,31     ,4.98              ,18.88  ,18.88  ,1.71             ,-4.73                ,9.53              ,20.77              ,14.74              ,37.03                ,-24.7                          ,-24.7                   ,91.26                   ,- -         ,225.73          ,63.24                ,8.34                           ,8.34                      ,-1.43                        ,25.65           ,20.38                   ,21.6         ,10.68               ,- -     ,17.25                ,11.41                     ,23.95   ,-0.14                ,22.88                        ,22                ,4.52                 ,2.94         ,-1.21             ,31.83        ,4.95                            ,21.32        ,21.6                       ,              2.95 ,25.84    ,3.73               ,-1.13                        ,46.52         ,-10.57                ,3.32                ,25.19      ,37.03                       ,19.31          ,-6.63                    ,73.23                    ,36.74                          ,6.03                  ,882.96                      ,851.98                         ,19.71          ,12.59          ,-76.14                      ,-1168.1                        ,-36.68              ,6.03                 ,40.6           ,-22.66               ,0.06                    ,0.04316620888656031
 6 ,2016 ,15.3                     ,10.41           ,17.27        ,-6.77                      ,- -                    ,75.81                   ,19.4                        ,42.01         ,39.66                       ,                     0.93 ,38.17             ,                       2.38 ,36.21               ,26.88  ,10.05             ,75.81  ,75.81  ,1.71             ,52.49                ,20.7              ,17.18              ,10                 ,5.75                 ,205.71                         ,205.71                  ,-39.48                  ,- -         ,-8.84           ,26.78                ,9.19                           ,9.19                      ,-11.04                       ,-3.75           ,-4.86                   ,-3.65        ,-20.32              ,-95.17  ,4.62                 ,-13.55                    ,-9.06   ,-1.18                ,-8.78                        ,-9.11             ,0.79                 ,0.8          ,-8.06             ,18.45        ,2.2                             ,0.2          ,-3.65                      ,              0.79 ,-13.74   ,-13.92             ,4.44                         ,46.65         ,-14.47                ,-1.61               ,39.66      ,5.75                        ,1.35           ,12.44                    ,-41.34                   ,47.08                          ,21.99                 ,-37.76                      ,-126.93                        ,11.03          ,-73.92         ,-56.27                      ,-158.91                        ,-806.05             ,21.99                ,49.46          ,-14.15               ,5.69                    ,0.17823051570601356
 7 ,2017 ,3.36                     ,3.91            ,3.14         ,4.05                       ,- -                    ,15.36                   ,53.89                       ,34.78         ,36.24                       ,                     0.82 ,35.68             ,                       1.03 ,35.39               ,3.18   ,-0.17             ,15.36  ,15.36  ,-0.2             ,11.62                ,32.13             ,1.04               ,4.68               ,-5.57                ,-44.63                         ,-44.63                  ,-87.48                  ,- -         ,-22.7           ,-45.95               ,6.8                            ,6.8                       ,29.93                        ,-5.5            ,-0.24                   ,-2.54        ,112.68              ,806.24  ,-383.74              ,73.02                     ,-10.98  ,- -                  ,-14.46                       ,-8.62             ,-0.47                ,0.66         ,-19.54            ,-3.82        ,4.27                            ,1.34         ,-2.54                      ,              0.66 ,-5.29    ,-6.54              ,4.23                         ,-68.76        ,-4.48                 ,2.29                ,36.24      ,-5.57                       ,34.27          ,27.01                    ,-165.78                  ,19.07                          ,8.81                  ,-96.89                      ,-56.61                         ,5.53           ,92.62          ,-16.75                      ,22.64                          ,-169.18             ,8.81                 ,19.86          ,5.89                 ,-12.81                  ,0.06520239337760536
 8 ,2018 ,7.12                     ,4.56            ,8.1          ,3.43                       ,- -                    ,9.85                    ,-0.5                        ,3.9           ,3.52                        ,                     6.97 ,-6.65             ,                       6.87 ,-6.56               ,8.73   ,1.5               ,9.85   ,9.85   ,0.91             ,2.55                 ,-6.81             ,3.67               ,11.38              ,7.74                 ,-23.08                         ,-23.08                  ,599.14                  ,- -         ,11.9            ,17.34                ,2.17                           ,2.17                      ,4.53                         ,37.06           ,30.69                   ,30.31        ,12.05               ,-84.09  ,-84.09               ,12.05                     ,17.82   ,- -                  ,17.82                        ,17.09             ,32.65                ,18.3         ,-18.11            ,20.3         ,42.65                           ,37.93        ,30.31                      ,             18.31 ,16.3     ,-15.68             ,5.76                         ,4.72          ,12.05                 ,3.32                ,3.52       ,7.74                        ,-11.22         ,-0.71                    ,-293.46                  ,6.89                           ,- -                   ,613.73                      ,-222.18                        ,19.14          ,56.31          ,-79.03                      ,-52.73                         ,-75.45              ,- -                  ,14.39          ,-3.78                ,7.09                    ,-0.00011157462854360922
 9 ,2019 ,18.76                    ,21.28           ,17.83        ,11.6                       ,- -                    ,17.11                   ,-24.52                      ,-5.83         ,-6.64                       ,                    11.14 ,-14.21            ,                      10.96 ,-14.07              ,18.82  ,0.05              ,17.11  ,17.11  ,-0.78            ,-1.39                ,-19.7             ,12.17              ,7.78               ,20.34                ,216.66                         ,216.66                  ,1.06                    ,- -         ,116.94          ,123.7                ,429.18                         ,429.18                    ,8.56                         ,-1.76           ,1.12                    ,4.2          ,-48.88              ,264.86  ,-417.06              ,-26.32                    ,9.95    ,48.94                ,15.74                        ,10.65             ,0.13                 ,0.35         ,-9.56             ,-8.69        ,1.59                            ,1.05         ,4.2                        ,              0.35 ,0.19     ,-0.85              ,-2.87                        ,203.63        ,-17.5                 ,5.88                ,-6.64      ,20.34                       ,-32.54         ,28.21                    ,-122.5                   ,25.53                          ,- -                   ,-138.28                     ,3.25                           ,19.79          ,-2.85          ,-11.74                      ,-31.86                         ,-900.41             ,- -                  ,25.53          ,34.01                ,31.63                   ,0.269876048457494
