   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,8.68                     ,7.66            ,9.25         ,4.94                       ,- -                    ,11.7                    ,11.74                       ,11.7          ,14.44                       ,-5.35                     ,20.93             ,-5.54                       ,21.17               ,11.51  ,2.6               ,11.7   ,11.7   ,0.53             ,2.78                 ,5.32              ,7.29               ,              8    ,9.26                 ,10.58                          ,10.58                   ,-2.87                   ,-9.67       ,-13.14          ,-6.31                ,1.71                           ,4.09                      ,- -                          ,9.76            ,7.17                    ,1.44         ,3.58                ,79.59   ,-7                   ,14.55                     ,-2.21   ,5.57                 ,-0.6                         ,5.36              ,-12.69               ,- -          ,18.07             ,39.53        ,-38.66                          ,-16.66       ,1.44                       ,-4.52              ,6.65     ,27.98              ,42.57                        ,-18.21        ,-12.8                 ,1.29                ,14.44      ,9.26                        ,239.73         ,- -                      ,127.36                   ,19.7                           ,-0.28                 ,- -                         ,-35.34                         ,          2.22 ,-62.17         ,-11.88                      ,24.12                          ,-219.2              ,-0.28                ,21.69          ,-3.68                ,4.58                    ,0.14381788251623484
 1 ,2011 ,14.29                    ,9.94            ,16.71        ,11.69                      ,- -                    ,19.51                   ,-1.52                       ,21.39         ,18.42                       ,-4.24                     ,23.59             ,-4.34                       ,23.72               ,18.52  ,3.69              ,27.47  ,19.51  ,2.12             ,4.56                 ,3.55              ,14.59              ,             13.05 ,-89.48               ,49.74                          ,49.74                   ,6.38                    ,-2.37       ,35.9            ,8.02                 ,-3.83                          ,1.21                      ,- -                          ,-2.81           ,-3.12                   ,1.25         ,13.78               ,18.68   ,22.01                ,15.54                     ,10.91   ,9.27                 ,10.55                        ,12.68             ,0.82                 ,- -          ,19.99             ,151.14       ,-93.47                          ,-65.57       ,1.25                       ,-4.21              ,8.08     ,213.95             ,27.93                        ,-6.51         ,-15.96                ,-0.26               ,18.42      ,6.55                        ,-28.63         ,- -                      ,-33.55                   ,11.57                          ,25.81                 ,- -                         ,45.35                          ,          8.25 ,396.37         ,10.33                       ,-2.8                           ,677.85              ,25.81                ,10.41          ,15.02                ,-5.73                   ,0.3978487351855684
 2 ,2012 ,0.9                      ,-2.86           ,2.86         ,1.42                       ,- -                    ,3.63                    ,3.63                        ,3.63          ,3.1                         ,-3.92                     ,6.61              ,-3.97                       ,6.67                ,2.72   ,1.81              ,-2.84  ,3.63   ,1.95             ,2.71                 ,1.52              ,-9.53              ,             17.47 ,816.33               ,16.98                          ,16.98                   ,12.12                   ,10.21       ,8.2             ,11.65                ,6.32                           ,7.48                      ,- -                          ,0.22            ,2.19                    ,6.15         ,7.98                ,39.9    ,-5.61                ,15.02                     ,18.96   ,18.64                ,18.89                        ,17.19             ,8.02                 ,- -          ,15.25             ,25.88        ,-1617.9                         ,-205.1       ,6.15                       ,-4.19              ,24.14    ,-218.11            ,17.31                        ,-2.93         ,6.94                  ,11.52               ,3.1        ,-9.57                       ,-116.95        ,- -                      ,-179.26                  ,-10.52                         ,17.73                 ,- -                         ,-3.88                          ,         12.87 ,36.1           ,23.16                       ,-2.85                          ,-71.61              ,17.73                ,-13.15         ,9.44                 ,-12.65                  ,-0.03749945974326807
 3 ,2013 ,-0.51                    ,0.36            ,-0.94        ,-1.26                      ,- -                    ,-0.75                   ,36.09                       ,-3.43         ,-3.32                       ,-4.14                     ,1.66              ,-4.14                       ,1.66                ,-0.82  ,-0.31             ,-0.75  ,-0.75  ,-0.43            ,-0.25                ,-2.05             ,-4.88              ,             10.42 ,-1.78                ,-27.79                         ,-27.79                  ,7.36                    ,10.02       ,-6.55           ,1.58                 ,1.66                           ,0.56                      ,6300                         ,-9.62           ,1.12                    ,1.32         ,14.29               ,-29.71  ,5.05                 ,0.29                      ,36.19   ,-31.12               ,21.63                        ,12.45             ,-45.8                ,- -          ,11.03             ,16.26        ,123.42                          ,238.59       ,1.32                       ,-3.91              ,28.55    ,-62.03             ,10.6                         ,1.28          ,9.61                  ,4.59                ,-3.32      ,-1.78                       ,1943.33        ,- -                      ,-68.23                   ,7.58                           ,13.64                 ,- -                         ,170.16                         ,          5.85 ,20.26          ,-8.6                        ,1.42                           ,-331                ,13.64                ,6.81           ,-7.21                ,10.39                   ,-0.21101400188444197
 4 ,2014 ,-4.64                    ,0.25            ,-7.09        ,1.61                       ,- -                    ,-11.48                  ,23.79                       ,-15.09        ,-13.47                      ,-3.45                     ,-9.5              ,-3.45                       ,-9.5                ,-10.74 ,-6.4              ,-11.48 ,-11.48 ,-2.57            ,-7.17                ,-8.37             ,5.3                ,              9.28 ,0.79                 ,-21.91                         ,-21.91                  ,3.92                    ,-12.74      ,20.72           ,-8.12                ,-10.13                         ,-8.58                     ,-29.49                       ,-3.65           ,-7.57                   ,-7.81        ,-8.56               ,-30.89  ,21.87                ,-11.45                    ,12.1    ,29.7                 ,14.25                        ,4.38              ,-1.8                 ,- -          ,5.05              ,62.91        ,62.62                           ,78.56        ,-7.81                      ,-2.65              ,8.81     ,-39.06             ,34.67                        ,3.76          ,-4.2                  ,-9.44               ,-13.47     ,0.79                        ,-82.06         ,- -                      ,337.14                   ,-23.64                         ,-3.92                 ,- -                         ,-62.84                         ,          5.51 ,-28.13         ,-35.72                      ,-16.75                         ,-87.37              ,-3.92                ,-26.29         ,17.53                ,-12.6                   ,-0.13508119772681726
 5 ,2015 ,-9.99                    ,-10.26          ,-9.84        ,-4.93                      ,- -                    ,-12.63                  ,-32.2                       ,-9.72         ,-8.17                       ,-1.09                     ,-7.27             ,-1.09                       ,-7.27               ,-12.81 ,-3.13             ,-12.63 ,-12.63 ,0.16             ,-2.94                ,1.9               ,-7.41              ,              4.7  ,-15.19               ,103.15                         ,103.15                  ,-30.62                  ,-1.39       ,-5.8            ,2.07                 ,-5.77                          ,-7.77                     ,-17.82                       ,-8.03           ,-7.87                   ,-3.5         ,-2.18               ,27.87   ,-14.23               ,1.81                      ,-6.23   ,10.28                ,-3.94                        ,-2.07             ,171.69               ,- -          ,2.03              ,37.74        ,4.87                            ,2.44         ,-3.5                       ,0.16               ,-9.76    ,-11.9              ,-5.12                        ,0.25          ,2.55                  ,-2.79               ,-8.17      ,-15.19                      ,-88.18         ,- -                      ,-107.19                  ,1.63                           ,-16.74                ,- -                         ,-28.92                         ,          3.56 ,-76.67         ,-98.75                      ,-30.75                         ,-2621.88            ,-16.74               ,4.84           ,6.59                 ,10.8                    ,0.14105813236766918
 6 ,2016 ,-0.41                    ,0.28            ,-0.77        ,-3.77                      ,- -                    ,1.16                    ,-17.19                      ,3.21          ,3.1                         ,0.13                      ,1.24              ,0.13                        ,1.24                ,0.99   ,1.4               ,7.42   ,1.16   ,-0.37            ,1.57                 ,1.78              ,0.47               ,              1.92 ,-90.19               ,24.06                          ,24.06                   ,25.95                   ,6.42        ,-24.91          ,11.41                ,6                              ,5.04                      ,13.6                         ,5.43            ,6.01                    ,8.53         ,12.71               ,-0.43   ,-27.86               ,7.03                      ,2.38    ,13.28                ,4.12                         ,5.1               ,1.81                 ,- -          ,1.86              ,1.67         ,-4.2                            ,-5.02        ,8.53                       ,0.13               ,-0.94    ,4.3                ,-14.97                       ,4.1           ,-0.08                 ,-0.87               ,3.1        ,-1.46                       ,1030.77        ,- -                      ,-195.45                  ,2.7                            ,22.08                 ,- -                         ,36.72                          ,          2.05 ,129.76         ,- -                         ,14.29                          ,-29.95              ,22.08                ,- -            ,-0.89                ,1.31                    ,-0.009738947191126224
 7 ,2017 ,7.73                     ,11.09           ,5.91         ,5                          ,- -                    ,6.36                    ,2.58                        ,6.7           ,-12.54                      ,0.06                      ,-13.43            ,0.13                        ,-13.49              ,7.09   ,-0.59             ,7.02   ,6.36   ,-1.69            ,-1.27                ,-19.59            ,6.26               ,              2.16 ,18.92                ,99.27                          ,99.27                   ,6.83                    ,-2.34       ,-29.31          ,22.64                ,19.9                           ,17.85                     ,6.23                         ,7.08            ,11.07                   ,16.6         ,-2.81               ,-6.56   ,7                    ,-3.07                     ,21.21   ,8.63                 ,19.03                        ,11.41             ,0.41                 ,- -          ,-1.77             ,-10.71       ,-4.74                           ,-6.15        ,16.6                       ,0.12               ,4.29     ,11.12              ,-19.14                       ,26.52         ,-12.35                ,1.38                ,-12.54     ,17.77                       ,-224.49        ,- -                      ,-3082.54                 ,10.34                          ,32.08                 ,- -                         ,211.36                         ,          2.23 ,139.93         ,- -                         ,-48.85                         ,84.49               ,32.08                ,6.65           ,1.36                 ,27.38                   ,0.004284958350383672
 8 ,2018 ,3.05                     ,3.12            ,3.01         ,10.77                      ,- -                    ,-1.45                   ,-27.24                      ,0.77          ,30.67                       ,0.19                      ,30.83             ,0.13                        ,30.92               ,-0.43  ,-3.38             ,-0.38  ,-1.45  ,-0.04            ,-4.37                ,27.2              ,7.31               ,              5.39 ,-6.82                ,-21.95                         ,-21.95                  ,-4.65                   ,-0.02       ,-20.23          ,-9.97                ,-0.96                          ,-0.06                     ,18.16                        ,-8.75           ,-4.75                   ,-7.37        ,-4.03               ,59.2    ,-7.24                ,7.7                       ,-13.91  ,8                    ,-10.44                       ,-5                ,-1.67                ,- -          ,3.87              ,18.47        ,3.09                            ,4.98         ,-7.37                      ,0.09               ,-2.8     ,-7.41              ,7.71                         ,-16.4         ,-7.35                 ,-3.97               ,30.67      ,13.03                       ,-121.31        ,- -                      ,-91.27                   ,6.35                           ,-7.24                 ,- -                         ,-66.89                         ,          5.6  ,-96.99         ,- -                         ,248.54                         ,-137.42             ,-7.24                ,9.21           ,-38.84               ,-18.87                  ,-0.27058829678619345
 9 ,2019 ,0.61                     ,-2.28           ,2.25         ,17.92                      ,- -                    ,-7.89                   ,-14.29                      ,-7.49         ,-6.73                       ,- -                       ,-9.18             ,0.06                        ,-9.24               ,-7.46  ,-8.02             ,-7.38  ,-7.89  ,1.64             ,-8.44                ,-9.73             ,5.95               ,              4.01 ,-19.51               ,4.06                           ,4.06                    ,4.29                    ,4.9         ,45.74           ,5.51                 ,-7.92                          ,-0.76                     ,265.25                       ,-6.68           ,9.83                    ,7.72         ,15.41               ,-8.26   ,31.23                ,9.55                      ,-1.18   ,9.59                 ,0.88                         ,3.83              ,4.13                 ,- -          ,-0.09             ,-7.4         ,-7.08                           ,-10.62       ,7.72                       ,0.08               ,-3.9     ,7.51               ,-24.43                       ,-3.69         ,3.91                  ,-5.04               ,-6.73      ,-2.53                       ,1548.72        ,- -                      ,360.37                   ,6.46                           ,-40.67                ,- -                         ,81.46                          ,          4.01 ,2173.33        ,- -                         ,-16.47                         ,-118.62             ,-40.67               ,14.87          ,27.74                ,17.21                   ,0.061432119428052934
