   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,-5.63                    ,- -             ,-0.67        ,-11.4                      ,- -                    ,- -                     ,22.17                       ,22.17         ,25.84                       ,13.88                     ,39.29             ,14.29                       ,38.79               ,8.28   ,14.74             ,- -   ,- -  ,- -              ,- -                  ,47.76             ,3.76               ,-62.43             ,8.28                 ,4.44                           ,-44.09                  ,3.08                    ,- -         ,-45.03          ,4.44                 ,- -                            ,- -                       ,10.09                        ,-11.33          ,-4.16                   ,-2.07        ,-11.2               ,4.38    ,-0.94                ,14.7                      ,0.23    ,-3.1                 ,-2.6                         ,-2.47             ,-20.17               ,13.93        ,            20.66 ,-78.03       ,1                               ,0.83         ,-2.07                      ,13.85              ,11.56    ,10.64              ,13.86                        ,-8.95         ,- -                   ,-9.05               ,41.36      ,8.28                        ,-51.51         ,- -                      ,2.87                     ,-16.37                         ,- -                   ,-66.88                      ,-39.56                         ,-57.21         ,73.87          ,380.53                      ,-25.2                          ,441.53              ,- -                  ,-16.37         ,56.82                ,-40.03                  ,0.030273886016458196
 1 ,2011 ,-4.6                     ,- -             ,-4.6         ,1.03                       ,- -                    ,- -                     ,0.2                         ,0.2           ,1.55                        ,1.35                      ,-9.37             ,1.15                        ,-9.19               ,7.65   ,12.83             ,- -   ,- -  ,- -              ,- -                  ,-6.12             ,-6.66              ,86.05              ,7.65                 ,-13.46                         ,7.48                    ,0.36                    ,- -         ,-34.04          ,-12.14               ,- -                            ,- -                       ,-2.69                        ,14.34           ,7.79                    ,2.62         ,30.96               ,-8.61   ,-41.03               ,263.15                    ,-4.59   ,-0.76                ,-1.35                        ,1.09              ,6.54                 ,0.04         ,            15.1  ,-75.64       ,12.6                            ,13.42        ,2.62                       ,0.19               ,-7.16    ,-18.14             ,19.18                        ,-75.81        ,- -                   ,2.21                ,-9.6       ,7.65                        ,-19.15         ,- -                      ,-121.34                  ,25.44                          ,- -                   ,-171.12                     ,-214.31                        ,88.57          ,50.61          ,-100.03                     ,-111.46                        ,-181.53             ,- -                  ,25.44          ,-22.76               ,40.05                   ,-0.03086592035881708
 2 ,2012 ,8.28                     ,- -             ,8.28         ,16.16                      ,- -                    ,- -                     ,-3.1                        ,-3.1          ,-2.28                       ,0.38                      ,-5.96             ,0.57                        ,-6.14               ,1.67   ,-6.11             ,- -   ,- -  ,- -              ,- -                  ,-8.95             ,-0.17              ,50.49              ,1.67                 ,11.91                          ,74.52                   ,12.95                   ,- -         ,-12.9           ,12.05                ,- -                            ,- -                       ,1.5                          ,18.55           ,12.63                   ,12.5         ,6.56                ,-28.32  ,-92.85               ,59.19                     ,-13.62  ,15.27                ,10.96                        ,12.56             ,12.7                 ,0.26         ,            11.02 ,-894.29      ,14.54                           ,12.13        ,12.5                       ,0.19               ,-29.48   ,-37.11             ,1.14                         ,-29.61        ,- -                   ,8.47                ,-2.28      ,1.67                        ,-38.32         ,- -                      ,442.06                   ,13.12                          ,- -                   ,33.62                       ,163.57                         ,51.06          ,188.95         ,5700                        ,773.6                          ,38                  ,- -                  ,13.12          ,-12.3                ,14.74                   ,-0.09751996506519833
 3 ,2013 ,3.22                     ,- -             ,3.22         ,1.9                        ,- -                    ,- -                     ,41.21                       ,41.21         ,40.85                       ,0.38                      ,39.69             ,0.57                        ,39.43               ,-1.12  ,-4.21             ,- -   ,- -  ,- -              ,- -                  ,35.69             ,6.74               ,14.71              ,-1.12                ,7.52                           ,75.77                   ,4.54                    ,- -         ,-12.96          ,7.21                 ,- -                            ,- -                       ,-0.47                        ,6.47            ,4.3                     ,4.98         ,6.41                ,-40.88  ,60.95                ,-28.67                    ,26.41   ,3.9                  ,6.51                         ,4.88              ,3.15                 ,0.3          ,            15.1  ,-47.72       ,8.73                            ,5.58         ,4.98                       ,0.95               ,-9.65    ,-14.43             ,1.11                         ,50.3          ,- -                   ,-3.29               ,40.85      ,-1.12                       ,12.08          ,- -                      ,-149.25                  ,-18.63                         ,- -                   ,-105.74                     ,9.7                            ,15.15          ,-6.44          ,-479.31                     ,5.66                           ,-205.56             ,- -                  ,-18.63         ,66.9                 ,-41.9                   ,0.06850747569110816
 4 ,2014 ,-3.98                    ,- -             ,-4.57        ,-2.51                      ,- -                    ,- -                     ,0.83                        ,0.83          ,-0.47                       ,0.19                      ,-0.79             ,0.94                        ,-1.53               ,-13.79 ,-10.22            ,- -   ,- -  ,- -              ,- -                  ,3.25              ,-2.46              ,7.11               ,-13.79               ,24.06                          ,123.38                  ,1.45                    ,- -         ,-6.38           ,21.71                ,- -                            ,- -                       ,-6.93                        ,8.23            ,3.7                     ,7.74         ,9.57                ,-0.04   ,45.89                ,0.18                      ,31.08   ,4.94                 ,8.54                         ,8.25              ,1.17                 ,0.26         ,            12.33 ,15.37        ,5.05                            ,4.48         ,7.74                       ,-1.88              ,-33.23   ,-36.09             ,-0.98                        ,21.49         ,- -                   ,-1.55               ,-0.47      ,-13.79                      ,-164           ,- -                      ,-219.84                  ,0.04                           ,- -                   ,-2837.29                    ,31.47                          ,7.32           ,-10.25         ,-520                        ,61.05                          ,-126.93             ,- -                  ,0.04           ,20.49                ,0.9                     ,0.08911235856146393
 5 ,2015 ,-0.98                    ,- -             ,-0.37        ,4.44                       ,- -                    ,- -                     ,-1.91                       ,-1.91         ,-1.52                       ,-2.84                     ,1.2               ,-2.98                       ,1.35                ,10.12  ,11.21             ,- -   ,- -  ,- -              ,- -                  ,-0.9              ,1.05               ,5.01               ,10.12                ,12.44                          ,-4.23                   ,-2.84                   ,- -         ,-13.64          ,11.12                ,- -                            ,- -                       ,20.23                        ,-5.47           ,1.41                    ,3.89         ,-4.09               ,-99.72  ,-323.36              ,-8.19                     ,9.28    ,4.03                 ,4.91                         ,4.52              ,-1.93                ,0.11         ,            10.85 ,-74.16       ,0.36                            ,-0.2         ,3.89                       ,-3.63              ,5.99     ,6.2                ,-4.42                        ,21.04         ,- -                   ,-2                  ,-1.52      ,10.12                       ,-42.11         ,- -                      ,-36.71                   ,-1.1                           ,- -                   ,-401.09                     ,-34.68                         ,2.03           ,-60.68         ,117.86                      ,-46.73                         ,-193.06             ,- -                  ,-1.1           ,1.2                  ,0.78                    ,0.07529966316533798
 6 ,2016 ,-0.41                    ,- -             ,-0.41        ,0.16                       ,- -                    ,- -                     ,-4.61                       ,-4.61         ,-3.81                       ,-3.89                     ,-1.13             ,-4.03                       ,-0.98               ,9.65   ,10.11             ,- -   ,- -  ,- -              ,- -                  ,-4.55             ,0.56               ,5.12               ,9.65                 ,0.36                           ,-11.62                  ,1.51                    ,- -         ,-7.89           ,0.45                 ,- -                            ,- -                       ,4.63                         ,2.03            ,2.86                    ,2.2          ,86.55               ,2050    ,-136.32              ,4.73                      ,-0.07   ,2.65                 ,2.18                         ,2.22              ,2.41                 ,0.04         ,             9.05 ,-246.92      ,2.38                            ,2.06         ,2.2                        ,-3.77              ,23.55    ,21.05              ,0.96                         ,-4.09         ,- -                   ,-0.97               ,-3.81      ,9.65                        ,-196.62        ,- -                      ,-394.62                  ,-33.86                         ,- -                   ,-58.36                      ,-54.23                         ,1.03           ,-40.95         ,-5.07                       ,-55.86                         ,-375.93             ,- -                  ,-33.86         ,76.53                ,-30.42                  ,0.1627673766547988
 7 ,2017 ,7.7                      ,- -             ,7.7          ,7.47                       ,- -                    ,- -                     ,4.51                        ,4.51          ,35.21                       ,-2.63                     ,42.08             ,-2.8                        ,42.33               ,-6.37  ,-13.06            ,- -   ,- -  ,- -              ,- -                  ,26.99             ,5.86               ,21.46              ,-6.37                ,0.85                           ,10.64                   ,4.66                    ,- -         ,2.86            ,1.14                 ,- -                            ,- -                       ,0.98                         ,6.84            ,4.95                    ,3.93         ,-5.78               ,-1.33   ,-73.53               ,3.37                      ,12.11   ,2.71                 ,4.3                          ,4.3               ,-1.43                ,0.04         ,            12.03 ,-22.51       ,3.8                             ,1.4          ,3.93                       ,-2.47              ,13.94    ,12.36              ,-2.48                        ,-2.16         ,- -                   ,1.73                ,35.21      ,-6.37                       ,-191.13        ,- -                      ,-75.61                   ,56.78                          ,- -                   ,-101.96                     ,101.76                         ,18.27          ,154.82         ,21.14                       ,109.61                         ,-54.55              ,- -                  ,56.78          ,-22.05               ,14.63                   ,0.06533608180928452
 8 ,2018 ,4.92                     ,- -             ,-0.85        ,5.27                       ,- -                    ,- -                     ,17.09                       ,17.09         ,-0.78                       ,-2.91                     ,2.25              ,-3.29                       ,2.65                ,1.07   ,-3.66             ,- -   ,- -  ,- -              ,- -                  ,-5.35             ,4.61               ,25.97              ,1.07                 ,-12.65                         ,-51.24                  ,-7.89                   ,- -         ,16.67           ,-12.28               ,- -                            ,- -                       ,9.22                         ,2.93            ,4.89                    ,0.41         ,2.94                ,-4.04   ,-4.04                ,2.94                      ,-2.82   ,1.05                 ,0.34                         ,0.41              ,-0.5                 ,0.04         ,             9.69 ,389.86       ,0.45                            ,0.39         ,0.41                       ,-3.38              ,61.32    ,60.7               ,-0.39                        ,-14.79        ,- -                   ,0.3                 ,-0.78      ,1.07                        ,-114.16        ,- -                      ,-382.01                  ,37.57                          ,- -                   ,-6358.82                    ,-73.57                         ,22.3           ,-13.79         ,21.3                        ,-136.26                        ,-2.97               ,- -                  ,37.57          ,-44.25               ,38.53                   ,-0.10739869457590046
 9 ,2019 ,4.06                     ,- -             ,4.01         ,3.34                       ,- -                    ,- -                     ,0.81                        ,0.81          ,1.35                        ,-4.28                     ,5.88              ,-4.68                       ,6.32                ,16.47  ,11.93             ,- -   ,- -  ,- -              ,- -                  ,-2.67             ,6.35               ,21.19              ,16.47                ,22.21                          ,72.56                   ,-2.09                   ,- -         ,7.14            ,20.18                ,- -                            ,- -                       ,5.19                         ,2.72            ,3.52                    ,7.32         ,31.43               ,11.58   ,11.58                ,31.43                     ,4.95    ,7.73                 ,7.24                         ,7.89              ,0.49                 ,0.04         ,             8.47 ,-210.21      ,3.32                            ,3.29         ,7.32                       ,-5.25              ,-22.08   ,-24.56             ,-2.27                        ,-8.55         ,- -                   ,-2.16               ,1.35       ,16.47                       ,325            ,- -                      ,-67.65                   ,-6.08                          ,- -                   ,-67.6                       ,529.63                         ,16             ,75.53          ,24.22                       ,-586.33                        ,-252.37             ,- -                  ,-6.08          ,40.01                ,-7.27                   ,0.12027460167047566
