   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,9.67                     ,8.95            ,10.83        ,1.47                       ,1.55                   ,49                      ,-50.13                      ,109.89        ,106.57                      ,-0.18                     ,129.29            ,-0.6                        ,130.26              ,32.38  ,20.71             ,49     ,49     ,1.05             ,35.85                ,108.68            ,9.67               ,4.14               ,-2.08                ,85.9                           ,26.87                   ,5.71                    ,1.61        ,-1.62           ,18.01                ,-2.47                          ,1.23                      ,10.22                        ,-6.49           ,-4.14                   ,-50.44       ,14.01               ,-89.71  ,-12.02               ,1.34                      ,31.52   ,- -                  ,-40.02                       ,-25.68            ,               10.61 ,- -          ,             5.03 ,11.9         ,-121.45                         ,-115.55      ,-50.44                     ,-3.19              ,19.27    ,-866.82            ,5306.09                      ,16.44         ,-72.84                ,- -                 ,106.57     ,-2.08                       ,-137.59        ,- -                      ,-96.73                   ,-2.6                           ,28.45                 ,- -                         ,367.49                         ,3.95           ,335.91         ,836.17                      ,-90.74                         ,1252.63             ,28.45                ,-9.31          ,37.32                ,-57.44                  ,0.3544708526099898
 1 ,2011 ,10.89                    ,10.56           ,11.42        ,8.63                       ,9.14                   ,12.74                   ,-59.79                      ,23.32         ,37.73                       ,-4.38                     ,48.91             ,-3.16                       ,47.04               ,9.52   ,-1.24             ,12.74  ,12.74  ,0.48             ,1.66                 ,28.41             ,10.89              ,-16.95             ,-0.64                ,-25.08                         ,8.65                    ,1.87                    ,2.16        ,6.31            ,-5.16                ,1.3                            ,2.36                      ,-29.64                       ,-2.16           ,-2.89                   ,103.77       ,-0.6                ,285.71  ,2.6                  ,2.12                      ,-11.6   ,-0.19                ,78.93                        ,42.62             ,                4.8  ,- -          ,             8.66 ,27.57        ,-503.6                          ,-664.92      ,103.77                     ,-5.3               ,-18.5    ,-114.43            ,-97.86                       ,-7.13         ,1019.31               ,- -                 ,37.73      ,-0.64                       ,458            ,- -                      ,-2340                    ,9.62                           ,27.04                 ,-200.81                     ,-137.2                         ,-20.58         ,-98.51         ,76.59                       ,1469.23                        ,-38.91              ,27.04                ,4.29           ,-13.98               ,-23.02                  ,0.019658843737948573
 2 ,2012 ,2.12                     ,-0.13           ,5.63         ,3.44                       ,5.81                   ,12.13                   ,523.68                      ,-12.21        ,-12.21                      ,-2.48                     ,-11.88            ,-2.64                       ,-11.74              ,9.39   ,7.13              ,12.13  ,12.13  ,3.44             ,9.81                 ,-15.84            ,2.12               ,3.41               ,-0.43                ,61.47                          ,-4.39                   ,-0.6                    ,4.92        ,4.52            ,15.06                ,6.14                           ,4.83                      ,9.04                         ,5.96            ,6.18                    ,10.4         ,4.37                ,494.44  ,15.18                ,20.39                     ,-5.76   ,- -                  ,-53.44                       ,-28.45            ,                6.87 ,- -          ,             6.28 ,-7.44        ,25.05                           ,25.42        ,-15.54                     ,1.1                ,17.62    ,-6.22              ,-223.67                      ,-4.43         ,105.83                ,- -                 ,-12.21     ,-0.43                       ,-100.36        ,108.82                   ,-46.43                   ,24.44                          ,5.38                  ,-276.92                     ,-556.37                        ,0.85           ,1426.92        ,-103.86                     ,-78.49                         ,-211.46             ,5.38                 ,31.55          ,27.21                ,44.81                   ,0.5230833227331022
 3 ,2013 ,-0.61                    ,-4.77           ,5.56         ,10.47                      ,7.25                   ,-3.52                   ,-32.28                      ,6.21          ,8.65                        ,-6.52                     ,267.3             ,-6.45                       ,267.02              ,-2.39  ,-1.8              ,-3.52  ,-3.52  ,6.2              ,-2.93                ,245.45            ,-0.61              ,3.09               ,2.15                 ,-27.08                         ,-19.89                  ,-2.74                   ,8.19        ,12.22           ,-6.34                ,-0.42                          ,-14.94                    ,-6.87                        ,10.86           ,5.95                    ,-0.09        ,6.58                ,-94.7   ,11.71                ,-7.22                     ,0.12    ,- -                  ,0.12                         ,-4.06             ,                6.13 ,- -          ,            29.24 ,-24.37       ,21.39                           ,20.27        ,4.59                       ,-9.72              ,-12.5    ,-27.24             ,86.79                        ,0.96          ,-0.5                  ,- -                 ,8.65       ,2.15                        ,16300          ,14.08                    ,-111.67                  ,0.22                           ,20.19                 ,-151.09                     ,-100.19                        ,-3.63          ,- -            ,-3206.67                    ,463.82                         ,5.71                ,20.19                ,-5.74          ,28.41                ,-70.81                  ,0.12709428753266128
 4 ,2014 ,1.67                     ,1.79            ,1.5          ,1.5                        ,0.82                   ,1.82                    ,33.02                       ,-4.9          ,0.09                        ,-3.56                     ,-32.54            ,-3.65                       ,-32.48              ,1.49   ,-0.18             ,1.82   ,1.82   ,-0.17            ,0.15                 ,-36.01            ,1.67               ,8.5                ,0.21                 ,-32.21                         ,-38.53                  ,2.89                    ,0.05        ,13.53           ,-4.98                ,7.51                           ,-2.75                     ,12.72                        ,33.79           ,24.1                    ,10.84        ,6.62                ,1314.71 ,7.6                  ,17.56                     ,5.1     ,- -                  ,5.1                          ,11.96             ,                5.22 ,- -          ,            13.65 ,67.94        ,5.03                            ,1.29         ,7.6                        ,-1.92              ,45.81    ,43.95              ,-212.7                       ,-19.17        ,-10.72                ,- -                 ,0.09       ,0.21                        ,101.22         ,-9.88                    ,-1214.29                 ,-14.68                         ,14.17                 ,-76.06                      ,-28666.67                      ,4.64           ,192.95         ,-25.64                      ,-51.04                         ,61.08               ,14.17                ,-25.67         ,29.47                ,31.14                   ,0.12116556571219483
 5 ,2015 ,-0.2                     ,-2.28           ,2.59         ,-2                         ,-1.22                  ,12.81                   ,-53.86                      ,32.91         ,23.25                       ,-1.88                     ,-31.83            ,-2.15                       ,-31.64              ,11     ,11.21             ,12.81  ,12.81  ,2.79             ,13.03                ,-32.98            ,-25.25             ,8.13               ,3.99                 ,22.99                          ,91.11                   ,-0.96                   ,-6.58       ,-41.28          ,-4.39                ,-2.43                          ,-0.25                     ,-17.16                       ,-0.83           ,-1.97                   ,-2.88        ,-0.9                ,-41.16  ,-3.05                ,-5.25                     ,14.05   ,- -                  ,14.05                        ,2.89              ,                6.08 ,100.21       ,             7.06 ,27.69        ,-3.8                            ,-3.72        ,0.34                       ,-1.87              ,-9.73    ,-6.24              ,-16.81                       ,0.9           ,-12.35                ,33.52               ,23.25      ,3.99                        ,-140           ,-23.29                   ,-43.59                   ,20.22                          ,-23.76                ,142.22                      ,-53.91                         ,6.09           ,6.79           ,0.72                        ,-22.19                         ,-330.87             ,-23.76               ,45.95          ,-22.72               ,79.74                   ,-0.12654304367038216
 6 ,2016 ,-3.78                    ,-6.15           ,-0.76        ,21.25                      ,-4.12                  ,-47.38                  ,35.53                       ,-56.06        ,-58.91                      ,-2.14                     ,-36.26            ,-2.27                       ,-36.18              ,-39.55 ,-37.18            ,-47.38 ,-47.38 ,3.14             ,-45.31               ,-35.18            ,-4.6               ,10.45              ,-6.67                ,28.04                          ,38.83                   ,-3.44                   ,-9.33       ,-47.03          ,-2.01                ,-8.55                          ,-10.96                    ,-51.23                       ,-10.63          ,-11.45                  ,-7.65        ,0.77                ,122.26  ,-87.31               ,-6.99                     ,-6.31   ,- -                  ,-6.31                        ,-6.67             ,                4.11 ,- -          ,             2.98 ,-12.81       ,-3.15                           ,-3.08        ,-5.34                      ,-3.58              ,-13.87   ,-11.13             ,-9.28                        ,5.35          ,-14.44                ,0.86                ,-58.91     ,-6.67                       ,-353.79        ,-30.36                   ,61.36                    ,-27.87                         ,-11.63                ,-75.54                      ,-210.38                        ,8.09           ,-20.45         ,45.99                       ,57.03                          ,-16.13              ,-11.63               ,-32.84         ,24.78                ,15.64                   ,-0.12132961290122324
 7 ,2017 ,-0.01                    ,1.75            ,-2.12        ,-28.12                     ,-2.79                  ,83.09                   ,-101.87                     ,142.81        ,143.86                      ,-3.58                     ,92.52             ,-3.59                       ,92.55               ,58.29  ,58.3              ,83.09  ,83.09  ,-2.12            ,83.1                 ,85.65             ,-0.43              ,8.72               ,-0.43                ,-19.97                         ,-21.1                   ,7.84                    ,11.9        ,6.23            ,0.67                 ,2.36                           ,-0.6                      ,49.72                        ,9.25            ,7.99                    ,4.88         ,6.58                ,-98.09  ,0.99                 ,-8.92                     ,9.16    ,- -                  ,9.16                         ,-0.43             ,                3.29 ,- -          ,             7.24 ,-12.69       ,15.17                           ,15.47        ,5.58                       ,-2.39              ,4.39     ,-9.59              ,-52.65                       ,10.52         ,-6.05                 ,0.43                ,137.54     ,-0.43                       ,-85.97         ,7.69                     ,141.55                   ,18.34                          ,-5.26                 ,-97.5                       ,-115.37                        ,4.83           ,- -            ,-25.32                      ,65.03                          ,-178.51             ,-5.26                ,27.83          ,4.83                 ,-36.25                  ,0.0581600564936402
 8 ,2018 ,4.23                     ,9.71            ,-2.64        ,-1.57                      ,-2.65                  ,-7.04                   ,-3480                       ,-15.69        ,-6.23                       ,-4.76                     ,-13.51            ,-4.81                       ,-13.47              ,-4.22  ,-8.11             ,-7.04  ,-7.04  ,-6.59            ,-10.81               ,-20.97            ,4.01               ,9.6                ,8.04                 ,-35.41                         ,-37.19                  ,-2                      ,3.06        ,8.5             ,-7.8                 ,-0.67                          ,0.59                      ,-6.34                        ,0.42            ,-0.07                   ,-3.16        ,-4.59               ,5325    ,-2.94                ,11.84                     ,5.59    ,-30.46               ,67.15                        ,40.41             ,                1.86 ,- -          ,             5.78 ,11.81        ,-16.7                           ,-16.59       ,16.82                      ,-6.1               ,51.81    ,82                 ,341.38                       ,-17.56        ,-2                    ,0.21                ,-3.74      ,8.04                        ,19.15          ,-11.9                    ,18.37                    ,-6.44                          ,14.17                 ,-350                        ,1040.3                         ,4.38           ,0.4            ,124.18                      ,-38.33                         ,10.82               ,14.17                ,-12.58         ,-15.2                ,13.58                   ,-0.0476065891502615
 9 ,2019 ,-1.48                    ,-3.87           ,1.88         ,0.87                       ,-2.04                  ,4.51                    ,68.64                       ,-1.89         ,-5.3                        ,-2.87                     ,-4.57             ,-2.93                       ,-4.51               ,4.15   ,5.72              ,4.51   ,4.51   ,3.42             ,6.08                 ,-5.91             ,8.37               ,6.36               ,2.82                 ,32.19                          ,34.81                   ,-3.13                   ,-4.09       ,16.49           ,3.51                 ,34.22                          ,18.3                      ,2.79                         ,7.39            ,14.76                   ,-61.47       ,-3.27               ,4.92    ,97.98                ,0.25                      ,3.99    ,- -                  ,-34.31                       ,-21               ,                9.22 ,- -          ,             4.27 ,2.17         ,14.13                           ,14.18        ,-10.6                      ,-0.08              ,-6.76    ,-18.34             ,-2216.09                     ,3.25          ,1.41                  ,-9.09               ,-5.3       ,2.82                        ,330.36         ,5.41                     ,-115.52                  ,41.79                          ,0.49                  ,-500                        ,32.07                          ,3.31           ,-40.02         ,-84.53                      ,-37.1                          ,-162.35             ,0.49                 ,57.86          ,-4.47                ,52.96                   ,0.03928159839821643
