   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA  ,EBITDA Margin (%) ,EBITA ,EBIT ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,17.52                    ,- -             ,17.35        ,-12.45                     ,- -                    ,- -                     ,181.84                      ,181.84        ,4.07                        ,3.6                       ,-1.28             ,4.64                        ,-2.26               ,-159.43 ,-150.57           ,- -   ,- -  ,- -              ,- -                  ,-12.97            ,20.09              ,             59.95 ,-159.43              ,-8.86                          ,-1.89                   ,- -                     ,- -         ,- -             ,-8.89                ,- -                            ,- -                       ,10.38                        ,15.9            ,13.35                   ,12.42        ,58.27               ,-36.52  ,- -                  ,16.8                      ,12.44   ,11.41                ,11.46                        ,11.54             ,4.25                 ,- -          ,18.81             ,-772.23      ,28.66                           ,27.98        ,12.42                      ,4.67               ,15.69    ,-9.6               ,13.84                        ,-22           ,- -                   ,-2.14               ,3.75       ,-159.43                     ,-29.33         ,- -                      ,801.54                   ,12.02                          ,- -                   ,419.02                      ,-450.84                        ,65.71          ,-14.17         ,-30.27                      ,-115.48                        ,-82.95              ,- -                  ,12.02          ,7.95                 ,9.53                    ,0.0774833565961972
 1 ,2011 ,2.56                     ,- -             ,28.44        ,308.07                     ,- -                    ,- -                     ,11.26                       ,11.26         ,5.85                        ,3.26                      ,2.55              ,3.2                         ,2.6                 ,-378.85 ,-371.89           ,- -   ,- -  ,- -              ,- -                  ,3.24              ,-15.99             ,             18.57 ,-378.85              ,19.67                          ,2.21                    ,- -                     ,- -         ,4395916.67      ,1467.95              ,- -                            ,- -                       ,6.68                         ,-70.76          ,-35.84                  ,2.82         ,32.99               ,17.86   ,- -                  ,76.26                     ,-3.3    ,15.35                ,14.46                        ,2.35              ,0.29                 ,- -          ,17.7              ,81.93        ,9.98                            ,10.05        ,2.82                       ,-3.24              ,-5.61    ,-14.23             ,-3.65                        ,789.58        ,- -                   ,22.07               ,16.59      ,-378.85                     ,-83.89         ,- -                      ,359.5                    ,89.19                          ,- -                   ,7.23                        ,56.01                          ,22.43          ,-50.32         ,-202.99                     ,30.13                          ,-421.8              ,- -                  ,89.19          ,-53.29               ,78.68                   ,-0.12103882243671005
 2 ,2012 ,115.28                   ,- -             ,72.86        ,-65.46                     ,- -                    ,- -                     ,-86.26                      ,-86.26        ,-84.27                      ,-5.78                     ,-85.29            ,-6.53                       ,-85.17              ,4.14    ,-51.63            ,- -   ,- -  ,- -              ,- -                  ,-93.56            ,122.41             ,             15.78 ,4.14                 ,1433.27                        ,37.11                   ,- -                     ,- -         ,- -             ,17.02                ,- -                            ,- -                       ,38.37                        ,-66.77          ,12.07                   ,27.79        ,1.21                ,6.34    ,91.19                ,25.95                     ,15.01   ,14.14                ,14.18                        ,29.14             ,0.36                 ,- -          ,-16.3             ,88.52        ,8.2                             ,8.42         ,27.79                      ,-1.07              ,-10.97   ,-17.89             ,-13.13                       ,-7.09         ,- -                   ,-3.21               ,-85.37     ,4.14                        ,1246.86        ,- -                      ,103.14                   ,68.93                          ,- -                   ,50.12                       ,15.98                          ,9.09           ,105.74         ,-34.93                      ,-162.17                        ,254.28              ,- -                  ,68.93          ,-42.3                ,1118.56                 ,-0.0351380022244836
 3 ,2013 ,-51.12                   ,- -             ,-51.13       ,-0.75                      ,- -                    ,- -                     ,-349.11                     ,-349.11       ,-206.58                     ,4.52                      ,-236.06           ,3.54                        ,-237.36             ,36.09   ,178.4             ,- -   ,- -  ,- -              ,- -                  ,-390.93           ,-49.94             ,              5.51 ,36.09                ,-5.46                          ,-36.8                   ,- -                     ,- -         ,- -             ,-5.46                ,- -                            ,- -                       ,-3.51                        ,190.32          ,10.87                   ,3.17         ,-36.59              ,7.45    ,-26.15               ,-26.47                    ,2.09    ,4.82                 ,4.71                         ,3.86              ,0.39                 ,- -          ,-9.96             ,-15.01       ,-8.55                           ,-8.68        ,3.17                       ,-0.43              ,69.18    ,85.25              ,-13.35                       ,28.57         ,- -                   ,-2.36               ,-202.38    ,36.09                       ,89.53          ,- -                      ,-89.79                   ,-59.61                         ,- -                   ,-15.33                      ,5.93                           ,10.29          ,-39.66         ,13.54                       ,-271.8                         ,-234.97             ,- -                  ,-59.61         ,349.59               ,-128.4                  ,0.47559630523453356
 4 ,2014 ,10.59                    ,- -             ,30.5         ,9.22                       ,- -                    ,- -                     ,-219.83                     ,-219.83       ,-375.66                     ,-2.71                     ,-312.81           ,-0.98                       ,-309.1              ,53.53   ,38.82             ,- -   ,- -  ,- -              ,- -                  ,-287.21           ,8.36               ,             24.63 ,53.53                ,-10.83                         ,19.92                   ,- -                     ,- -         ,-80.88          ,5.13                 ,- -                            ,- -                       ,-10.06                       ,64.84           ,4.49                    ,-4.92        ,94.32               ,-34.58  ,64.99                ,57.14                     ,-3.6    ,3.3                  ,3.02                         ,-5.99             ,0.37                 ,- -          ,2.46              ,82.95        ,16.17                           ,15.83        ,-4.92                      ,-1.34              ,-23.05   ,-33.56             ,26.34                        ,-33.1         ,- -                   ,2.06                ,-356.79    ,53.53                       ,-98.09         ,- -                      ,925.95                   ,129.67                         ,- -                   ,2.99                        ,4.62                           ,21.25          ,182.79         ,35.5                        ,-27.34                         ,-169.72             ,- -                  ,129.67         ,-56.69               ,-210.93                 ,-0.10748191507805949
 5 ,2015 ,8.36                     ,- -             ,5.57         ,-1.59                      ,- -                    ,- -                     ,284.99                      ,284.99        ,264.49                      ,-0.89                     ,312.19            ,-0.69                       ,311.4               ,-82.09  ,-83.47            ,- -   ,- -  ,- -              ,- -                  ,277.04            ,6.05               ,              9.74 ,-82.09               ,15.48                          ,28.39                   ,- -                     ,- -         ,- -             ,-2.05                ,- -                            ,- -                       ,14.48                        ,-34.71          ,-0.6                    ,8.86         ,-17.29              ,-30.36  ,-38.7                ,-27.47                    ,9.41    ,-0.82                ,-0.44                        ,9.36              ,-0.34                ,- -          ,27.16             ,-22.65       ,2.22                            ,0.87         ,8.86                       ,-2.13              ,-14.29   ,-15.03             ,-7.29                        ,35.04         ,- -                   ,2.18                ,297.22     ,-82.09                      ,-1543.18       ,- -                      ,-41.99                   ,-28.36                         ,- -                   ,-64.58                      ,-54.67                         ,8.76           ,-35.06         ,66.4                        ,-316.33                        ,-33.32              ,- -                  ,-28.36         ,23.09                ,-82.46                  ,-0.06635145909154927
 6 ,2016 ,4.82                     ,- -             ,2.91         ,6.68                       ,- -                    ,- -                     ,-26.57                      ,-26.57        ,-23.29                      ,-2.94                     ,-20.24            ,-3.04                       ,-20.15              ,181.42  ,168.47            ,- -   ,- -  ,- -              ,- -                  ,-26.14            ,4.07               ,             19.91 ,181.42               ,8.45                           ,-19.79                  ,- -                     ,- -         ,- -             ,8.45                 ,- -                            ,- -                       ,6.79                         ,-27.85          ,-0.18                   ,3.51         ,19.49               ,-6.83   ,2.38                 ,11.27                     ,-28.71  ,4.31                 ,2.97                         ,3.13              ,0.51                 ,- -          ,15.93             ,19.02        ,9.48                            ,9.93         ,3.51                       ,-3.92              ,-39.66   ,-45.12             ,8.09                         ,-2.54         ,- -                   ,0.72                ,-22.64     ,181.42                      ,-83.04         ,- -                      ,3.9                      ,6.35                           ,- -                   ,337.25                      ,178.22                         ,16.38          ,-46.92         ,27.34                       ,-191.88                        ,-234.67             ,- -                  ,6.35           ,16.6                 ,37.37                   ,0.22966284037996743
 7 ,2017 ,3.54                     ,- -             ,1.55         ,3                          ,- -                    ,- -                     ,13.71                       ,13.71         ,81.35                       ,-2.58                     ,84.79             ,-2.37                       ,84.39               ,-30.19  ,-32.58            ,- -   ,- -  ,- -              ,- -                  ,73.86             ,3.61               ,              2.34 ,-30.19               ,6.07                           ,2.57                    ,- -                     ,- -         ,-112.19         ,4.33                 ,- -                            ,- -                       ,5.76                         ,18.65           ,7.63                    ,6.12         ,-7.8                ,21.8    ,13.1                 ,1.06                      ,-7.43   ,5.86                 ,5.49                         ,5.38              ,0.66                 ,- -          ,29.88             ,16.78        ,17.89                           ,17.91        ,6.12                       ,-1.63              ,-22.47   ,-34.25             ,13.45                        ,3.23          ,- -                   ,-0.07               ,80.45      ,-30.19                      ,-278.95        ,- -                      ,-54.93                   ,-9.02                          ,- -                   ,-53.37                      ,-44.62                         ,-0.31          ,-55.32         ,-41.01                      ,-138.85                        ,-107.16             ,- -                  ,-9.02          ,18.69                ,-49.46                  ,-0.05767848040282075
 8 ,2018 ,6.76                     ,- -             ,5.53         ,-0.29                      ,- -                    ,- -                     ,-25.48                      ,-25.48        ,-49.38                      ,-2.2                      ,-47.02            ,-2.26                       ,-46.99              ,-27.48  ,-32.07            ,- -   ,- -  ,- -              ,- -                  ,-51.47            ,5.1                ,             20.01 ,-27.48               ,0.34                           ,5.96                    ,- -                     ,- -         ,- -             ,2.01                 ,- -                            ,- -                       ,-4.62                        ,-8.68           ,-5.27                   ,-2.02        ,-17.33              ,77.61   ,-36.37               ,-16.87                    ,-1.91   ,-1.12                ,-1.14                        ,-1.48             ,0.24                 ,- -          ,6.9               ,-36.13       ,-10.08                          ,-9.78        ,-2.02                      ,-2.8               ,-2.67    ,7.88               ,-8.68                        ,22.71         ,- -                   ,1.58                ,-48.73     ,-27.48                      ,-128.72        ,- -                      ,276.39                   ,61.13                          ,- -                   ,102.52                      ,81.23                          ,17.36          ,139.51         ,20                          ,-162.08                        ,222.92              ,- -                  ,61.13          ,-57.29               ,210.99                  ,-0.20225037459928896
 9 ,2019 ,-0.57                    ,- -             ,2.87         ,11.98                      ,- -                    ,- -                     ,5.19                        ,5.19          ,4.34                        ,-3.07                     ,6.01              ,-3.57                       ,6.55                ,185.71  ,187.35            ,- -   ,- -  ,- -              ,- -                  ,3.34              ,-2.53              ,             11.31 ,185.71               ,9.96                           ,6.34                    ,- -                     ,- -         ,- -             ,9.96                 ,- -                            ,- -                       ,10.3                         ,8.5             ,10.02                   ,10           ,43.37               ,-21.13  ,77.32                ,42.09                     ,8.66    ,8.06                 ,8.07                         ,8.72              ,2.83                 ,- -          ,8.27              ,120.42       ,29.82                           ,29.96        ,10                         ,-2.89              ,1.75     ,-21.71             ,20.52                        ,-22.61        ,- -                   ,2.02                ,3.67       ,185.71                      ,-1155.42       ,- -                      ,-25.06                   ,-9.41                          ,- -                   ,-38.45                      ,-21.27                         ,7.89           ,35.11          ,66.67                       ,-309.22                        ,17.87               ,- -                  ,-9.41          ,21.58                ,-11.84                  ,-0.08773568004067478
