   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                    1.17 ,1.35            ,1.08         ,7.7                        ,- -                    ,-0.63                   ,-152.34                     ,-13.67        ,-13.85                      ,                     0.31 ,-32.09            ,0.59                        ,-32.28              ,0.72   ,-0.44             ,-0.57 ,-0.63 ,-0.08            ,-1.77                ,-20.41            ,1.17               ,15.47              ,3.47                 ,-26.87                         ,-40.26                  ,- -                     ,- -         ,- -             ,-34.8                ,-0.39                          ,2.89                      ,-1.76                        ,3.59            ,-0.14                   ,-3.16        ,-3.05               ,9.55    ,- -                  ,5.89                      ,- -     ,- -                  ,- -                          ,5.89              ,-2.89                ,        0.5  ,53.75             ,5.14         ,-2.82                           ,-3.89        ,-3.16                      ,              0.5  ,-377.9   ,-389.16            ,-3.3                         ,-38.43        ,- -                   ,- -                 ,-11.94     ,3.58                        ,-316.57        ,- -                      ,- -                      ,-1.76                          ,18.31                 ,1582.9                      ,191.66                         ,15.83          ,- -            ,-7584.4                     ,20.71                          ,-468.58             ,18.31                ,-2.02          ,24.97                ,22                      ,0.1580004625396907
 1 ,2011 ,                    6.4  ,2.46            ,8.27         ,36.18                      ,-29.54                 ,10.22                   ,-199.79                     ,21.16         ,21.12                       ,                     0.46 ,40.08             ,0.58                        ,39.92               ,7.24   ,0.79              ,10.17 ,10.22 ,1.76             ,3.59                 ,15.22             ,4.27               ,11.6               ,1.25                 ,-75.11                         ,-69.53                  ,- -                     ,- -         ,-533.47         ,-75.11               ,-2.04                          ,1.73                      ,18.79                        ,-12.8           ,-1.6                    ,-5.93        ,2.53                ,-29.93  ,- -                  ,-21.3                     ,-29.93  ,- -                  ,-29.93                       ,-21.3             ,-1.32                ,        0.57 ,9.8               ,45.91        ,-4.48                           ,-4.56        ,-5.93                      ,              0.58 ,-3.37    ,1.24               ,4.16                         ,-68.38        ,- -                   ,2.04                ,20.16      ,1.17                        ,-80.18         ,- -                      ,- -                      ,10.08                          ,14.35                 ,-407.63                     ,-69.48                         ,12.12          ,- -            ,-116.1                      ,27                             ,3.38                ,14.35                ,10.02          ,22.07                ,-10.2                   ,0.3675501441887876
 2 ,2012 ,                    4.26 ,-0.53           ,6.41         ,8.45                       ,53.91                  ,9.24                    ,62.47                       ,11.52         ,11.52                       ,                     0.53 ,29.97             ,0.54                        ,29.97               ,6.34   ,1.99              ,9.27  ,9.24  ,2.06             ,4.78                 ,9.35              ,4.26               ,12.74              ,-0.18                ,-87.6                          ,-87.6                   ,2.06                    ,- -         ,- -             ,208.06               ,-99.51                         ,-99.66                    ,2.9                          ,985.22          ,-4.87                   ,-1.56        ,-4.39               ,-66.61  ,- -                  ,-45.06                    ,-15.69  ,- -                  ,-15.69                       ,10.05             ,1.41                 ,        0.68 ,7.66              ,-95.63       ,-2.35                           ,-2.41        ,-1.56                      ,              0.67 ,-31.33   ,-29.64             ,3.12                         ,460.77        ,- -                   ,- -                 ,12.74      ,-0.12                       ,-282.79        ,- -                      ,- -                      ,6.83                           ,-46.94                ,- -                         ,257.03                         ,13.34          ,- -            ,371.1                       ,-22.33                         ,-61.41              ,-46.94               ,7.7            ,0.14                 ,-6.3                    ,-0.02125299818784332
 3 ,2013 ,                    8.49 ,4.63            ,10.1         ,17.32                      ,64.83                  ,10.38                   ,63.34                       ,13.69         ,13.69                       ,                     0.63 ,14.82             ,0.6                         ,14.86               ,9.74   ,1.16              ,10.34 ,10.38 ,1.49             ,1.75                 ,3.29              ,4.31               ,13.08              ,8.28                 ,11.2                           ,11.2                    ,4.17                    ,- -         ,- -             ,4.45                 ,44.4                           ,44.4                      ,16.44                        ,12.21           ,12.72                   ,12.31        ,8.25                ,-62.33  ,- -                  ,-19.79                    ,134.93  ,- -                  ,134.93                       ,57.7              ,0.21                 ,        0.23 ,13.96             ,-50.25       ,8.62                            ,8.57         ,12.31                      ,              0.23 ,81.56    ,67.23              ,-12.02                       ,30.23         ,- -                   ,4                   ,12.14      ,8.18                        ,-5.72          ,- -                      ,- -                      ,11.25                          ,897.01                ,- -                         ,386.25                         ,13.79          ,426.32         ,-83.04                      ,-98.55                         ,-101.46             ,897.01               ,4.19           ,-9.8                 ,-0.71                   ,-0.22223536317391224
 4 ,2014 ,                   10.78 ,9.48            ,11.3         ,7.17                       ,1.33                   ,10.97                   ,-13.87                      ,8.74          ,8.74                        ,                     0.36 ,7.1               ,0.26                        ,7.2                 ,11.51  ,0.65              ,10.97 ,10.97 ,0.47             ,0.17                 ,-1.86             ,8.69               ,9.6                ,12.83                ,879.25                         ,879.25                  ,- -                     ,- -         ,- -             ,-58.04               ,99.81                          ,99.81                     ,-4.96                        ,2.26            ,2.14                    ,-0.58        ,13.18               ,- -     ,- -                  ,-7.94                     ,-91.84  ,- -                  ,-91.84                       ,-70.54            ,0.55                 ,        0.39 ,17.69             ,9531.2       ,7.84                            ,7.81         ,-0.58                      ,              0.39 ,-115.04  ,-113.96            ,-0.71                        ,-54.42        ,- -                   ,1.92                ,8.74       ,12.83                       ,-234.91        ,- -                      ,- -                      ,12.33                          ,48.36                 ,- -                         ,-84.92                         ,9.99           ,- -            ,79.39                       ,7483.01                        ,9325.92             ,48.36                ,9.59           ,8.72                 ,3.33                    ,0.15446235783419926
 5 ,2015 ,                    8.49 ,2.71            ,10.75        ,23.4                       ,-5.73                  ,15.34                   ,4.69                        ,14.59         ,14.59                       ,                     0.26 ,16.65             ,0.21                        ,16.71               ,10.15  ,1.53              ,15.34 ,15.34 ,2.09             ,6.32                 ,5.64              ,8.49               ,13.9               ,-2.54                ,-44.44                         ,-44.44                  ,- -                     ,- -         ,- -             ,-44.44               ,109.6                          ,109.6                     ,-0.54                        ,-0.77           ,0.45                    ,-0.41        ,5.84                ,- -     ,- -                  ,5.84                      ,395.64  ,- -                  ,395.64                       ,86.38             ,0.72                 ,        0.28 ,15.95             ,42.35        ,-3.27                           ,-3.26        ,-0.41                      ,              0.28 ,-274.09  ,-279.94            ,-0.21                        ,-47.51        ,- -                   ,- -                 ,14.59      ,-2.54                       ,-156.36        ,10.26                    ,- -                      ,7.83                           ,51.91                 ,- -                         ,106.63                         ,14.2           ,-62.25         ,-21.68                      ,12.26                          ,-149.37             ,51.91                ,3.28           ,19.16                ,-5.9                    ,0.39124868395333867
 6 ,2016 ,                    7.51 ,5.28            ,8.32         ,-5.13                      ,-2.85                  ,11.57                   ,0.31                        ,10.83         ,10.83                       ,                     0.23 ,13.74             ,0.21                        ,13.75               ,9.03   ,1.42              ,11.57 ,11.57 ,0.75             ,3.77                 ,3.11              ,3.6                ,9.58               ,1.71                 ,76.14                          ,76.14                   ,- -                     ,- -         ,- -             ,76.14                ,5.07                           ,5.07                      ,-14.84                       ,4.41            ,2.82                    ,3.6          ,13.9                ,- -     ,- -                  ,13.9                      ,22.49   ,- -                  ,22.49                        ,18.62             ,0.15                 ,        0.21 ,12.19             ,38.74        ,2.63                            ,2.65         ,3.6                        ,              0.21 ,-3.57    ,-6.06              ,-4.9                         ,54.65         ,- -                   ,3.77                ,10.83      ,1.71                        ,-564.88        ,15.08                    ,- -                      ,12.28                          ,18.14                 ,- -                         ,62.85                          ,9.83           ,-57            ,-65.67                      ,-16.49                         ,-196                ,18.14                ,11.39          ,-22.02               ,1.28                    ,-0.16412589147122636
 7 ,2017 ,                    4.22 ,5.81            ,3.65         ,-0.93                      ,-15.72                 ,3.54                    ,-70.54                      ,-0.82         ,-0.82                       ,                     0.3  ,-1.09             ,0.16                        ,-0.95               ,3.86   ,-0.34             ,3.54  ,3.54  ,-0.54            ,-0.65                ,-4.8              ,2.36               ,7.95               ,4.9                  ,135.93                         ,135.93                  ,- -                     ,- -         ,- -             ,135.93               ,14.82                          ,14.82                     ,5.07                         ,3.14            ,3.55                    ,5.95         ,13.18               ,- -     ,- -                  ,13.18                     ,266.3   ,- -                  ,266.3                        ,156.8             ,0.69                 ,        0.32 ,38.58             ,-21.07       ,-5.01                           ,-5.06        ,5.95                       ,              0.33 ,381.96   ,407.62             ,-8.37                        ,108.46        ,- -                   ,1.82                ,-0.82      ,4.9                         ,40.91          ,0.17                     ,- -                      ,1.56                           ,25.4                  ,- -                         ,3.23                           ,8.27           ,773.15         ,178.95                      ,-13.63                         ,205.33              ,25.4                 ,-2.28          ,-8.68                ,2.36                    ,-0.2231285534063775
 8 ,2018 ,                    3.21 ,4.48            ,2.75         ,43.24                      ,-33.59                 ,-0.77                   ,1104.56                     ,18.55         ,18.55                       ,                     0.21 ,23.72             ,0.08                        ,23.87               ,0.97   ,-2.18             ,-0.77 ,-0.77 ,-0.44            ,-3.86                ,14.95             ,3.21               ,-1.29              ,6.41                 ,-16.65                         ,-16.65                  ,- -                     ,- -         ,- -             ,-16.65               ,7.9                            ,7.9                       ,8.26                         ,2.01            ,2.6                     ,1.82         ,10.1                ,- -     ,- -                  ,10.1                      ,-1.33   ,- -                  ,-1.33                        ,0.85              ,1.24                 ,        0.16 ,-14.56            ,-14.66       ,2.01                            ,2.01         ,1.82                       ,              0.16 ,5.32     ,3.25               ,1.98                         ,-24.3         ,- -                   ,- -                 ,18.55      ,6.41                        ,-291.73        ,86.26                    ,- -                      ,4.34                           ,0.1                   ,- -                         ,-30.56                         ,-1.08          ,- -            ,-99.37                      ,63.23                          ,-129.5              ,0.1                  ,5.22           ,-6.98                ,-12.05                  ,0.06859204473446334
 9 ,2019 ,                    3.36 ,7.71            ,1.76         ,-39.37                     ,25.9                   ,3.75                    ,-80.16                      ,-11.16        ,-11.16                      ,                     0.18 ,-12.49            ,0.13                        ,-12.45              ,4.34   ,0.95              ,3.75  ,3.75  ,-1.55            ,0.38                 ,-14.02            ,-1.9               ,-0.43              ,6.05                 ,13.43                          ,13.43                   ,- -                     ,- -         ,- -             ,13.43                ,-50.26                         ,-50.26                    ,-2.06                        ,5.77            ,3.68                    ,4            ,3.24                ,- -     ,- -                  ,3.24                      ,34.71   ,- -                  ,34.71                        ,28.16             ,-0.13                ,        0.17 ,15.28             ,1.3          ,-0.62                           ,-0.71        ,4                          ,              0.17 ,42.02    ,43.04              ,-5.93                        ,9.87          ,- -                   ,5.36                ,-11.16     ,6.05                        ,-120.86        ,-63.06                   ,- -                      ,0.3                            ,-44.72                ,- -                         ,74.66                          ,-0.24          ,-49.91         ,11923.6                     ,-30.8                          ,-168.95             ,-44.72               ,9.15           ,11.37                ,12.86                   ,-0.19915396655192197
