   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,5.52                     ,10.56           ,3.3          ,5.53                       ,4.47                   ,47.48                   ,-600.67                     ,94.32         ,103.96                      ,-0.79                     ,105.57            ,-0.9                        ,105.8               ,38.03  ,30.81             ,47.48  ,47.48  ,-2.1             ,39.77                ,93.29             ,-2.92              ,              8.54 ,4.88                 ,-7.14                          ,30.55                   ,4.29                    ,16.56       ,71.26           ,-3.48                ,-0.59                          ,8.33                      ,21.73                        ,36.6            ,23.96                   ,11.39        ,97.76               ,- -     ,28.17                ,94.38                     ,- -     ,-1.62                ,-1.62                        ,36.26             ,-19.27               ,- -          ,18.42             ,18.54        ,2.67                            ,2.67         ,11.39                      ,-3.42              ,-9.42    ,-11.78             ,-8.9                         ,-50.34        ,-94.84                ,8.7                 ,103.96     ,4.88                        ,-78.05         ,4.79                     ,-101.15                  ,-43.17                         ,235.61                ,-113.36                     ,-84.63                         ,7.69           ,- -            ,-751.82                     ,188.72                         ,-5.67               ,235.61               ,-76.26         ,16.71                ,-72.14                  ,-0.03775859881050048
 1 ,2011 ,36.08                    ,38.67           ,34.87        ,18.45                      ,17.5                   ,53.09                   ,-11.98                      ,40.98         ,40.28                       ,0.91                      ,30.01             ,1.99                        ,28.64               ,54.14  ,13.27             ,53.09  ,53.09  ,-0.89            ,12.5                 ,-3.59             ,12.33              ,             13.32 ,59.31                ,13.36                          ,53.99                   ,36.03                   ,44.89       ,48.15           ,17.8                 ,1.73                           ,12.13                     ,14.01                        ,31.61           ,20.01                   ,19.14        ,-4.89               ,-8.47   ,0.97                 ,-3.27                     ,- -     ,-2                   ,-2                           ,-2.72             ,51.6                 ,- -          ,21.79             ,-49.35       ,29.21                           ,29.31        ,19.14                      ,4.28               ,81.55    ,40.4               ,9.02                         ,21.79         ,100.38                ,21.14               ,30.64      ,59.31                       ,-504.31        ,34.64                    ,-1060.87                 ,20.22                          ,-76.78                ,-217.2                      ,435.04                         ,14.36          ,46.15          ,-207.65                     ,-163.12                        ,131.85              ,-76.78               ,182.98         ,35.3                 ,-8.37                   ,0.12250986596025415
 2 ,2012 ,27.84                    ,45.5            ,19.3         ,19.49                      ,30.72                  ,13.05                   ,33.13                       ,15.39         ,15.98                       ,2.53                      ,39.86             ,2.96                        ,39.29               ,8.08   ,-15.45            ,13.05  ,13.05  ,-6.68            ,-11.57               ,12.17             ,1.89               ,             14.7  ,-15.46               ,6.2                            ,-30.3                   ,46.93                   ,34.64       ,-11.44          ,9.46                 ,18.1                           ,9.14                      ,56.17                        ,-3.84           ,23.67                   ,18.09        ,-6.53               ,- -     ,52.09                ,0.25                      ,- -     ,0.1                  ,0.1                          ,0.18              ,15.03                ,- -          ,27.75             ,145.33       ,24.38                           ,24.37        ,18.09                      ,1.49               ,-14.79   ,-31.49             ,7.94                         ,9.19          ,83.82                 ,25.47               ,42.83      ,-15.46                      ,-65.33         ,25.61                    ,-250.45                  ,22.41                          ,116.53                ,765.27                      ,53.2                           ,17.61          ,-54.34         ,-83.99                      ,-149.87                        ,-184.81             ,116.53               ,9.45           ,-0.98                ,-14.64                  ,0.014841172700405636
 3 ,2013 ,30.05                    ,38.39           ,25.12        ,8.35                       ,26.87                  ,27.24                   ,9.55                        ,24.87         ,29.57                       ,0.88                      ,11.2              ,0.75                        ,11.35               ,25.35  ,-3.61             ,27.24  ,27.24  ,-3.79            ,-2.15                ,-13.74            ,11.59              ,             28.68 ,13.38                ,20.95                          ,61.33                   ,46.81                   ,26.41       ,46.42           ,24.99                ,5.05                           ,4.14                      ,-0.16                        ,-15.19          ,-5.14                   ,5.82         ,21.97               ,- -     ,-15.57               ,-1.68                     ,- -     ,1.22                 ,1.22                         ,-0.4              ,65.17                ,- -          ,22.99             ,-13.05       ,7.65                            ,7.58         ,5.82                       ,-1.23              ,61.33    ,49.97              ,2.71                         ,27.13         ,36.06                 ,16.54               ,12.97      ,13.38                       ,-451.88        ,6.76                     ,-82.71                   ,46.35                          ,-18.38                ,-93.91                      ,-77.05                         ,29.82          ,-24.79         ,-869.33                     ,540.03                         ,-243.95             ,-18.38               ,63.98          ,-20.66               ,30.46                   ,-0.07240681537724991
 4 ,2014 ,6.52                     ,8.82            ,5.02         ,-9.05                      ,10.27                  ,4.43                    ,27.39                       ,7.13          ,10.07                       ,-1.87                     ,18.47             ,-2.28                       ,18.97               ,5.49   ,-0.96             ,4.43   ,4.43   ,-1.41            ,-1.96                ,9.14              ,5.5                ,             28.23 ,13.08                ,17.37                          ,28.74                   ,12.61                   ,11.98       ,-14.59          ,14.62                ,-16.96                         ,-7.91                     ,0.12                         ,8.1             ,0.77                    ,6.72         ,24.74               ,- -     ,7.38                 ,15.35                     ,- -     ,-19.47               ,-19.47                       ,-0.22             ,-60.83               ,-21.65       ,20.97             ,-15.8        ,8.54                            ,8.53         ,6.72                       ,-0.95              ,28.74    ,18.62              ,2                            ,-0.63         ,-16.41                ,0.97                ,6.63       ,13.08                       ,2.42           ,-4.16                    ,437.39                   ,1.24                           ,13.07                 ,15.67                       ,3.87                           ,25.84          ,- -            ,0.81                        ,13.11                          ,-24.93              ,13.07                ,-0.36          ,6.3                  ,-12.91                  ,-0.09133954897422703
 5 ,2015 ,-4.55                    ,-2.88           ,-5.68        ,2.36                       ,0.24                   ,-23.5                   ,-42.1                       ,-26.1         ,-30.08                      ,-3.86                     ,-31.18            ,-4.38                       ,-30.81              ,-19.66 ,-15.82            ,-23.5  ,-23.5  ,-1.18            ,-19.85               ,-30.68            ,-9.47              ,             15.84 ,5.57                 ,-1.39                          ,-4.39                   ,-18.57                  ,2.33        ,35.17           ,-1.4                 ,1.89                           ,3.77                      ,-5.75                        ,36.02           ,9.69                    ,4.57         ,-27.6               ,0.6     ,-2.94                ,1.45                      ,- -     ,-2.42                ,291.22                       ,106.02            ,- -                  ,- -          ,1.39              ,-69.24       ,-19.78                          ,-19.79       ,4.57                       ,-8.69              ,-143.11  ,-153.75            ,-30.97                       ,-2.81         ,49.61                 ,5.43                ,-27.83     ,5.57                        ,-8.05          ,-3.12                    ,215.05                   ,-38.04                         ,-16.12                ,-138.28                     ,117.94                         ,11.37          ,2525.47        ,236.3                       ,-58.74                         ,-118.5              ,-16.12               ,-41.42         ,5.08                 ,-6.36                   ,-0.2990617606413659
 6 ,2016 ,-6.83                    ,-6.06           ,-7.37        ,1.75                       ,-6.17                  ,12.45                   ,-52.46                      ,5.33          ,8.24                        ,-8.28                     ,18.01             ,-8.6                        ,18.42               ,13.35  ,21.66             ,12.45  ,12.45  ,-0.58            ,20.69                ,16.17             ,0.81               ,             13.19 ,17.63                ,7.66                           ,-21.35                  ,12.98                   ,4.29        ,-57.79          ,3.99                 ,-9                             ,2.48                      ,0.56                         ,6.64            ,2.37                    ,3.08         ,29.2                ,74.9    ,-5.75                ,19.85                     ,0.39    ,-1.24                ,-0.02                        ,6.24              ,-94.65               ,-94.65       ,-0.93             ,119.49       ,1.14                            ,1.13         ,3.08                       ,-3.15              ,70.46    ,68.56              ,-2                           ,-13.23        ,39.36                 ,-7.58               ,8.24       ,17.63                       ,-56.44         ,-8.09                    ,-92.14                   ,34.4                           ,-45.77                ,-1547.75                    ,-2.35                          ,3.82           ,-36.17         ,-68.88                      ,144.23                         ,392.35              ,-45.77               ,52.06          ,-3.41                ,24.17                   ,0.25555633164043146
 7 ,2017 ,-5.36                    ,0.44            ,-9.46        ,11.45                      ,6.48                   ,-59.75                  ,20.12                       ,-55.8         ,-56.77                      ,-0.47                     ,-56.57            ,-0.53                       ,-56.54              ,-48.57 ,-45.65            ,-59.75 ,-59.75 ,-4.33            ,-57.47               ,-54.33            ,-14.6              ,              9.28 ,2.31                 ,100.06                         ,489.12                  ,63.68                   ,30.78       ,10.75           ,89.69                ,39.46                          ,22.83                     ,-90.73                       ,30.19           ,-25.48                  ,25.07        ,12.97               ,42.65   ,89.82                ,49.19                     ,93.82   ,35.54                ,79.47                        ,68.71             ,-33.82               ,-33.82       ,-2.74             ,-10.28       ,-3.25                           ,-3.22        ,25.07                      ,-0.14              ,-326.05  ,-333.57            ,-29.31                       ,27.15         ,52.25                 ,10.82               ,-56.77     ,2.31                        ,-18.91         ,-3.08                    ,-377.12                  ,-36.58                         ,28.01                 ,-978.89                     ,-629.33                        ,8.76           ,118.02         ,-74.04                      ,-206.47                        ,-1903.42            ,28.01                ,-41.66         ,10.19                ,46.72                   ,-0.17373546117653405
 8 ,2018 ,1.98                     ,4.62            ,-0.09        ,12.34                      ,2.55                   ,-71.61                  ,-156.4                      ,-83.01        ,-297.32                     ,-0.95                     ,-299.13           ,-1.81                       ,-300.88             ,-43.48 ,-44.58            ,-71.61 ,-71.61 ,-2.03            ,-72.17               ,-293.42           ,-2.63              ,              7.6  ,6.84                 ,-67.6                          ,-66.38                  ,-20.04                  ,-16.81      ,13.11           ,-60.12               ,-7.49                          ,0.57                      ,-97.24                       ,-29.38          ,-30.11                  ,-50.09       ,-7.86               ,-59.72  ,39.31                ,3.02                      ,-20.79  ,16.28                ,-13.89                       ,-8.58             ,- -                  ,- -          ,-97.8             ,-30.99       ,-96.98                          ,-96.98       ,-50.09                     ,-17.3              ,-134.96  ,-1258.44           ,-199.22                      ,-61.29        ,4.55                  ,4.73                ,-297.32    ,6.84                        ,1572.89        ,-3.39                    ,244.34                   ,-17                            ,13.62                 ,-84.66                      ,-76.27                         ,6.58           ,-42.95         ,2500.83                     ,-635.58                        ,-179.94             ,13.62                ,-22.28         ,57.22                ,-142.08                 ,-0.013515203410702226
 9 ,2019 ,6.78                     ,-16.06          ,25.51        ,-26.49                     ,-4.04                  ,933.29                  ,-18.78                      ,1358.28       ,-190.17                     ,-17.29                    ,-209.03           ,-16.61                      ,-208.13             ,293.75 ,268.75            ,933.29 ,933.29 ,17.54            ,867.69               ,-184.45           ,2.16               ,              3.54 ,-10.25               ,1.42                           ,0.53                    ,-14.91                  ,-17.31      ,-9.3            ,-3.56                ,3.56                           ,2.51                      ,- -                          ,6.66            ,5.82                    ,0.83         ,-16.86              ,148.36  ,-45.08               ,-20.48                    ,-12.55  ,10.06                ,-6.87                        ,-11.68            ,25.18                ,25.18        ,573.6             ,-62.26       ,428.99                          ,428.99       ,0.83                       ,-6.07              ,-10.86   ,-83.15             ,-60.57                       ,21.27         ,-26.62                ,4.52                ,-190.17    ,-10.25                      ,-52.54         ,17.44                    ,-183.84                  ,87.06                          ,13.14                 ,-94.04                      ,-118.4                         ,-14.37         ,-46.2          ,-93.73                      ,-79.72                         ,-100.4              ,13.14                ,105.69         ,-48.67               ,-307.45                 ,0.3188599860390289
