   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA  ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt  ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,21.04                    ,24.14           ,21.03        ,23.2                       ,22.69                  ,31.54                   ,-425.24                     ,45.19         ,54.01                       ,3.94                      ,48.18             ,3.94                        ,48.18               ,29.95   ,7.36              ,31.54  ,31.54  ,-0.01            ,8.67                 ,27.24             ,-10.72             ,- -                ,               38.18 ,-26.94                         ,-45.64                  ,42.01                   ,- -         ,1921.21         ,69.22                ,                         33.8  ,                    28.54 ,686.01                       ,-3994.85        ,                  17.01 ,       46.98 ,24.43               ,- -      ,-101.52              ,-34.8                     ,46.79   ,140.11               ,99.55                        ,63.05             ,17.88                ,9.88         ,11.1              ,-338.6       ,33.03                           ,33.03        ,                     46.98 ,10.25              ,-45.64   ,-59.14             ,-9.49                        ,159.55        ,-39.96                ,              35.57 ,54.01      ,                      38.18 ,30.4           ,27.63                    ,-384.9                   ,-233.39                        ,2.44                  ,-444.49                     ,-297465.07                     ,- -            ,- -            ,2144.62                     ,675.77                         ,132.07              ,2.44                 ,-98.03         ,-82.03               ,-186.61                 ,0.22990658423771837
 1 ,2011 ,-2.89                    ,101.43          ,-3.36        ,79.85                      ,8.23                   ,110.48                  ,153.47                      ,113.36        ,112.28                      ,9.27                      ,94.27             ,9.27                        ,94.27               ,123.79  ,130.44            ,110.48 ,110.48 ,-0.49            ,116.74               ,118.58            ,-20.5              ,- -                ,               57.88 ,111.31                         ,329.6                   ,10.66                   ,852.64      ,-28.21          ,26.88                ,                          5.9  ,                     9.89 ,-25.45                       ,-32.83          ,                  11    ,       21.49 ,67.3                ,49.04    ,-44432.44            ,559.45                    ,172.16  ,- -                  ,-13                          ,49.19             ,11.36                ,4.49         ,21.21             ,-25.25       ,-7.97                           ,-7.97        ,                     21.49 ,3.78               ,85.3     ,101.35             ,-24.25                       ,-80.76        ,-115.42               ,              22.15 ,112.28     ,                      57.88 ,65.36          ,40.6                     ,-112.39                  ,-247.06                        ,-42.6                 ,-155.42                     ,-129.59                        ,- -            ,722.62         ,-103.4                      ,57.93                          ,-492.62             ,-42.6                ,5846.16        ,-529.26              ,-169.28                 ,0.6884265126807749
 2 ,2012 ,209.2                    ,1903.2          ,193.03       ,79.73                      ,18.14                  ,-323.1                  ,144.13                      ,-285.93       ,-438.32                     ,4.5                       ,-423.76           ,27.34                       ,-365.69             ,-384.16 ,-191.9            ,-323.1 ,-323.1 ,-5.23            ,-172.16              ,-209.42           ,170.19             ,- -                ,               18.85 ,-41.53                         ,-52.38                  ,572.7                   ,111.26      ,118.82          ,77.41                ,                          3.26 ,                     6.53 ,-1.69                        ,-18.12          ,                  12.12 ,       57.19 ,16.2                ,36.58    ,-100.46              ,-70.52                    ,5       ,-23.9                ,64.51                        ,-0.33             ,0.5                  ,4.3          ,-59.2             ,-37.38       ,156.39                          ,156.39       ,                     57.19 ,4.84               ,-131.76  ,-112.39            ,63.11                        ,501.79        ,-69.66                ,              14.44 ,-438.32    ,                      18.85 ,-384.42        ,67.86                    ,3752.49                  ,-47.34                         ,-13.77                ,-116.77                     ,-163.11                        ,- -            ,- -            ,1418.51                     ,-125.41                        ,-168.28             ,-13.77               ,-37.68         ,1162.28              ,-115.57                 ,1.9521780967300835
 3 ,2013 ,52.69                    ,83.95           ,50.65        ,56.3                       ,37.47                  ,66.05                   ,7.8                         ,72.13         ,-43.44                      ,3.41                      ,-45.31            ,-3.55                       ,-41.36              ,61.98   ,6.09              ,66.05  ,66.05  ,-1.34            ,8.75                 ,-62.96            ,27.24              ,- -                ,               11.54 ,125.25                         ,132.59                  ,28.66                   ,145.67      ,0.87            ,38.96                ,                         38.7  ,                    33.57 ,43.75                        ,13.89           ,                  52.01 ,       41.84 ,121.09              ,-31.66   ,-31.66               ,121.09                    ,10.54   ,-10.79               ,2.82                         ,19.62             ,16.01                ,2.06         ,-82.07            ,1.89         ,56.74                           ,56.74        ,                     41.84 ,2.46               ,-425.01  ,-307.35            ,10.51                        ,-37.15        ,115.62                ,              20    ,-43.44     ,                      11.54 ,-263.34        ,110.71                   ,-71.66                   ,-882.21                        ,216.85                ,538.57                      ,338.44                         ,- -            ,- -            ,38.04                       ,-179                           ,-220.53             ,216.85               ,-444.75        ,-105.47              ,-1482.95                ,0.31291939442988204
 4 ,2014 ,33.96                    ,31.97           ,34.12        ,53.23                      ,47.84                  ,10.32                   ,34.32                       ,8.75          ,-17.98                      ,2.75                      ,-20.17            ,1.91                        ,-19.51              ,11.22   ,-16.98            ,10.32  ,10.32  ,0.12             ,-17.65               ,-38.77            ,7.17               ,- -                ,               27.87 ,29.76                          ,21.12                   ,14.09                   ,83.16       ,-22.8           ,11.31                ,                         84.88 ,                    64.08 ,18.02                        ,-68.12          ,                  95.32 ,       31.2  ,136.49              ,- -      ,- -                  ,136.49                    ,-9.19   ,8.26                 ,-3.71                        ,33.09             ,17.51                ,5.05         ,-375.52           ,-4498.23     ,30.24                           ,30.24        ,                     31.2  ,2.75               ,133.15   ,79.02              ,-0.74                        ,-52.93        ,17.97                 ,              25    ,-17.98     ,                      27.87 ,4.34           ,54.86                    ,-110.61                  ,27.33                          ,113.02                ,-55.92                      ,18.38                          ,- -            ,- -            ,2.79                        ,-371.29                        ,-62.95              ,113.02               ,-4.02          ,4.17                 ,55.24                   ,0.376611081678494
 5 ,2015 ,45.55                    ,91.55           ,41.94        ,66.13                      ,27.47                  ,49.32                   ,-57.22                      ,57.92         ,82.74                       ,2.43                      ,78.39             ,1.6                         ,79.85               ,48.89   ,2.3               ,49.32  ,49.32  ,-2.48            ,2.59                 ,25.55             ,-1                 ,- -                ,               42.18 ,16.07                          ,24.72                   ,44.27                   ,85.14       ,37.38           ,34.98                ,                         63.62 ,                    56.74 ,37.38                        ,-98.7           ,                  63.04 ,       44.87 ,22.65               ,- -      ,- -                  ,22.65                     ,-18.2   ,226.87               ,68.27                        ,46.99             ,28.92                ,3.85         ,233.89            ,-83.59       ,43.76                           ,43.76        ,                     44.87 ,2.17               ,59.04    ,10.63              ,-0.77                        ,10.05         ,2.55                  ,              47.01 ,82.74      ,                      42.18 ,21.05          ,49.41                    ,1035.56                  ,79.07                          ,103.58                ,161.67                      ,115.7                          ,- -            ,-93.35         ,-132.37                     ,25.58                          ,41.79               ,103.58               ,59.17          ,-28.3                ,-2.01                   ,0.33053228633973575
 6 ,2016 ,18.44                    ,-23.69          ,22.9         ,40.45                      ,26.64                  ,6.3                     ,-96.55                      ,8.55          ,40.79                       ,1.59                      ,38.59             ,0.93                        ,39.5                ,8.19    ,-8.65             ,6.3    ,6.3    ,3.76             ,-10.25               ,18.87             ,-5.69              ,- -                ,               39.83 ,-0.63                          ,-33.85                  ,9.8                     ,67.39       ,36.71           ,15.67                ,                         30.69 ,                    30.32 ,36.71                        ,-12447.13       ,                  37.48 ,       24.32 ,28.93               ,13454.21 ,13454.21             ,28.93                     ,28.13   ,29.86                ,29.31                        ,29.16             ,-2.24                ,1.85         ,105.02            ,-249.79      ,21.74                           ,21.74        ,                     24.32 ,1.3                ,-32.96   ,-44.93             ,-2.08                        ,-10.29        ,103.54                ,              25.58 ,40.79      ,                      39.83 ,-37.19         ,21.96                    ,-0.71                    ,10.72                          ,-24.49                ,132.93                      ,15.35                          ,- -            ,- -            ,-135.89                     ,166.52                         ,-270.78             ,-24.49               ,47.28          ,-29.37               ,-21.36                  ,-0.4191478216041089
 7 ,2017 ,20.82                    ,32.49           ,20.05        ,12.12                      ,1.11                   ,56.27                   ,16.63                       ,56.3          ,33.83                       ,1.53                      ,31.82             ,-0.34                       ,34.3                ,55      ,28.3              ,56.27  ,56.27  ,-0.63            ,29.35                ,10.77             ,5.23               ,- -                ,               38.88 ,35.71                          ,51.86                   ,22.51                   ,81.83       ,72              ,42.99                ,                         13.21 ,                    16.58 ,72                           ,-705.52         ,                   3.54 ,       25.68 ,-1.35               ,- -      ,- -                  ,-1.35                     ,46.21   ,-10.65               ,7.08                         ,3.8               ,15.93                ,1.82         ,68.56             ,-104.98      ,38.09                           ,38.09        ,                     25.68 ,1.53               ,51.86    ,9.97               ,9.88                         ,44.95         ,39.28                 ,              14.81 ,33.83      ,                      38.88 ,263.22         ,-9.4                     ,-506.04                  ,-11.29                         ,-46.75                ,36.94                       ,-3.99                          ,- -            ,119.06         ,273.87                      ,-96.52                         ,-201.33             ,-46.75               ,7.59           ,27.43                ,-33.71                  ,-0.17003665649775979
 8 ,2018 ,14.28                    ,9.33            ,14.64        ,17.86                      ,5.35                   ,21.87                   ,-1868.52                    ,22.85         ,103.95                      ,1.51                      ,100.93            ,-0.95                       ,105.91              ,20.56   ,5.5               ,21.87  ,21.87  ,0.31             ,6.64                 ,78.47             ,-4.25              ,- -                ,                1.88 ,99.34                          ,80.59                   ,13.62                   ,58.54       ,18.06           ,42.22                ,                          9.21 ,                    12.98 ,18.06                        ,-17.98          ,                  19.18 ,       33.89 ,39.75               ,- -      ,- -                  ,39.75                     ,0.72    ,-3.44                ,-1.67                        ,13.62             ,11.35                ,-10.71       ,78.31             ,-2021.88     ,42.53                           ,42.53        ,                     33.89 ,1.28               ,80.59    ,26.7               ,6.45                         ,1.76          ,49.1                  ,              19.35 ,103.95     ,                       1.88 ,-66.34         ,-15.75                   ,-24.77                   ,67.94                          ,40.54                 ,46.05                       ,45.55                          ,- -            ,- -            ,25.42                       ,215.98                         ,136.01              ,40.54                ,75.16          ,-42.03               ,-17.66                  ,0.055829371793926
 9 ,2019 ,17.18                    ,80.19           ,12.82        ,17.9                       ,38.9                   ,-12.81                  ,1048.17                     ,-4.87         ,-13.44                      ,1.2                       ,-14.47            ,-0.17                       ,-13.29              ,-9.79   ,-23.01            ,-12.81 ,-12.81 ,-3.72            ,-25.59               ,-26.13            ,7.05               ,- -                ,               41.9  ,14.39                          ,10.23                   ,19.12                   ,22.96       ,85.57           ,32.66                ,                         12.21 ,                    15.38 ,85.57                        ,242.12          ,                  12.48 ,       26.17 ,32.46               ,- -      ,- -                  ,32.46                     ,0.76    ,32.07                ,18.42                        ,24.8              ,13.22                ,- -          ,40.45             ,-271.54      ,26.63                           ,26.63        ,                     26.17 ,1.17               ,10.23    ,-12.96             ,0.37                         ,0.15          ,-26.57                ,               9.46 ,-13.44     ,                      41.9  ,1.64           ,8.63                     ,-71.23                   ,10.7                           ,12.14                 ,49.38                       ,38.61                          ,- -            ,- -            ,226.98                      ,226.98                         ,-77.08              ,12.14                ,10.4           ,-7.8                 ,27.89                   ,-0.2834794680177741
