   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,12.11                    ,5.7             ,23.38        ,7.76                       ,- -                    ,77.07                   ,-10.5                       ,98.69         ,102.11                      ,0.28                      ,109.78            ,1.12                        ,108.04              ,53.91  ,37.29             ,77.07  ,77.07  ,10.05            ,57.95                ,87.66             ,12.11              ,              5.23 ,-5.07                ,26.34                          ,26.34                   ,18.27                   ,38.24       ,- -             ,6.6                  ,0.83                           ,-2.09                     ,- -                          ,18.15           ,13.9                    ,10.28        ,39.07               ,- -     ,- -                  ,-54                       ,0.02    ,71.21                ,39.67                        ,9.99              ,                2.65 ,- -          ,             9.19 ,15.63        ,10.94                           ,10.94        ,10.28                      ,-0.22              ,-64.93   ,-68.39             ,67.65                        ,131.75        ,-62.42                ,- -                 ,102.11     ,-5.07                       ,13.84          ,30.58                    ,-92.77                   ,-6.07                          ,1.43                  ,-153.25                     ,-32.78                         ,          5.53 ,- -            ,122.06                      ,-21.47                         ,90.01               ,1.43                 ,-7.78          ,55.66                ,-55.35                  ,0.4334519901304401
 1 ,2011 ,23.54                    ,23.6            ,23.45        ,10.42                      ,- -                    ,53.32                   ,-1.65                       ,59.43         ,58.29                       ,0.49                      ,49.55             ,0.83                        ,49.05               ,44.59  ,17.04             ,53.32  ,53.32  ,-0.08            ,24.1                 ,21.65             ,11.78              ,             20.95 ,3.14                 ,21.58                          ,21.58                   ,23.8                    ,6.36        ,- -             ,18.38                ,4.56                           ,-0.11                     ,- -                          ,4.85            ,4.78                    ,11.3         ,4.45                ,- -     ,- -                  ,4.45                      ,0.01    ,11.79                ,8.05                         ,7.57              ,                2.44 ,- -          ,            16.15 ,18.03        ,19.69                           ,19.69        ,11.3                       ,0.08               ,-191.69  ,-176.61            ,53.61                        ,13.33         ,145.1                 ,10.53               ,58.29      ,3.14                        ,-8.21          ,8.82                     ,-648.37                  ,30.3                           ,20.82                 ,- -                         ,80.79                          ,         21.54 ,- -            ,151.43                      ,23.41                          ,13.02               ,20.82                ,32.69          ,-30.1                ,-13.3                   ,0.04520489698706531
 2 ,2012 ,4.32                     ,3.51            ,5.53         ,2.09                       ,- -                    ,11.21                   ,9.41                        ,11.33         ,5.72                        ,-0.84                     ,6.51              ,-1.24                       ,6.94                ,10.51  ,5.93              ,11.21  ,11.21  ,1.17             ,6.61                 ,1.25              ,-0.43              ,             18.25 ,5.56                 ,26.8                           ,-8.6                    ,11.65                   ,-3.54       ,- -             ,13.59                ,-211.22                        ,-65.88                    ,- -                          ,57.71           ,-0.56                   ,6.65         ,20.33               ,- -     ,- -                  ,54.82                     ,- -     ,-0.07                ,-0.05                        ,7.01              ,                2.26 ,- -          ,            14.07 ,23.41        ,5.93                            ,5.93         ,6.65                       ,-1.48              ,-288.44  ,-277.89            ,10.33                        ,-26.63        ,53.62                 ,4.76                ,5.72       ,5.56                        ,180.67         ,10.13                    ,-177.6                   ,11.65                          ,16.24                 ,-8636.59                    ,212.74                         ,         17.25 ,- -            ,-13.16                      ,-5.1                           ,-136.34             ,16.24                ,10.6           ,7.63                 ,5.71                    ,0.038033345306138555
 3 ,2013 ,1.48                     ,1.11            ,2.03         ,3.08                       ,- -                    ,0.49                    ,-15.21                      ,1.55          ,2.62                        ,-1.63                     ,4.31              ,-1.74                       ,4.44                ,1      ,-0.47             ,0.49   ,0.49   ,0.54             ,-0.97                ,1.12              ,1.48               ,             13.53 ,4.76                 ,25.5                           ,32.86                   ,-0.1                    ,-0.58       ,- -             ,10.29                ,-4.42                          ,4.92                      ,- -                          ,-4.2            ,-4.15                   ,3.69         ,-0.16               ,14.01   ,- -                  ,2.99                      ,0.01    ,-25.14               ,-17.75                       ,-13.89            ,                2.46 ,- -          ,            12.3  ,-33.27       ,39.63                           ,39.63        ,3.69                       ,-0.64              ,-173.88  ,-152.91            ,89.13                        ,7.08          ,-3.87                 ,- -                 ,2.62       ,4.76                        ,-154.89        ,-5.52                    ,-120.18                  ,41.2                           ,4.73                  ,-93.66                      ,-48.97                         ,         11.68 ,- -            ,55.24                       ,60.81                          ,-551.49             ,4.73                 ,49.99          ,11.89                ,37.6                    ,0.1412862733440705
 4 ,2014 ,4.28                     ,2.42            ,7.0          ,2.11                       ,- -                    ,14.26                   ,-10.14                      ,15.63         ,9.32                        ,-0.86                     ,10.27             ,-0.85                       ,10.26               ,13.12  ,8.48              ,14.26  ,14.26  ,2.61             ,9.57                 ,4.84              ,1.96               ,             17.01 ,5.03                 ,15.65                          ,-0.8                    ,2.5                     ,-4.39       ,- -             ,7.37                 ,4.32                           ,2.74                      ,- -                          ,5.28            ,5.51                    ,6.59         ,-4.77               ,81.56   ,- -                  ,16.52                     ,0.06    ,11.79                ,7.59                         ,9.58              ,                3.44 ,- -          ,            11.68 ,15.93        ,2.81                            ,2.81         ,6.59                       ,-1.58              ,-133.65  ,-132.73            ,-5.76                        ,-7.85         ,-3.53                 ,2.27                ,9.32       ,5.03                        ,-29.67         ,3.41                     ,132.91                   ,1.82                           ,-3.56                 ,1061.71                     ,88.24                          ,         16    ,- -            ,20.61                       ,14.78                          ,-90.74              ,-3.56                ,2.73           ,3.48                 ,-6.86                   ,-0.15293922386670533
 5 ,2015 ,-4.76                    ,-6.84           ,-1.84        ,-4.06                      ,- -                    ,1.09                    ,39.52                       ,-0.59         ,0.1                         ,-2.54                     ,2.7               ,-2.86                       ,3.05                ,1.71   ,6.8               ,1.09   ,1.09   ,3.07             ,6.15                 ,5.1               ,-4.76              ,             12.08 ,6.56                 ,18.1                           ,19.81                   ,-14.38                  ,-8.97       ,- -             ,2.81                 ,11.39                          ,-4.31                     ,- -                          ,4.47            ,2.82                    ,2.81         ,0.21                ,- -     ,- -                  ,-38.3                     ,65.74   ,16.76                ,33.03                        ,16.14             ,                2.35 ,- -          ,             9.86 ,40.78        ,-15.1                           ,-15.1        ,2.81                       ,-3.15              ,87.28    ,120.58             ,-29.7                        ,66.64         ,-5.01                 ,- -                 ,0.1        ,6.56                        ,37.22          ,-2.35                    ,-298.37                  ,14.94                          ,-12.84                ,-59.33                      ,-48.92                         ,          9.24 ,- -            ,23.2                        ,16.54                          ,1083.99             ,-12.84               ,19.33          ,-21.29               ,14.83                   ,-0.04812638826817328
 6 ,2016 ,-6.79                    ,-5.57           ,-8.42        ,-2.59                      ,- -                    ,-15.76                  ,-6.07                       ,-16.35        ,-11.83                      ,-3.2                      ,-8.92             ,-3.39                       ,-8.74               ,-13.16 ,-6.83             ,-15.76 ,-15.76 ,-1.75            ,-9.62                ,-5.4              ,-4.67              ,             11.59 ,5.97                 ,13.03                          ,6.94                    ,3.65                    ,-1.68       ,- -             ,8.29                 ,19.13                          ,-4.51                     ,- -                          ,15.43           ,14.46                   ,10.87        ,4.1                 ,38.03   ,- -                  ,90.09                     ,1.03    ,22.48                ,13.6                         ,23.22             ,                2.08 ,- -          ,             6.61 ,15.3         ,-11.82                          ,-11.82       ,10.87                      ,-2.95              ,495.79   ,575.63             ,-40.98                       ,-43.03        ,-4.56                 ,-2.22               ,-11.83     ,5.97                        ,-9.47          ,-2.41                    ,-192.33                  ,-20.24                         ,-4.88                 ,75.79                       ,78.21                          ,          8.03 ,- -            ,-15.17                      ,-34.6                          ,-67.06              ,-4.88                ,-22.01         ,41                   ,-9.54                   ,0.24922388569298648
 7 ,2017 ,7.34                     ,8.32            ,6.01         ,8.46                       ,- -                    ,2.44                    ,-107.23                     ,10            ,13.16                       ,-1.38                     ,14.74             ,-0.92                       ,14.2                ,1.8    ,-5.16             ,2.44   ,2.44   ,-1.25            ,-4.57                ,5.41              ,7.34               ,              4.75 ,-1.92                ,4.38                           ,-7.57                   ,5.24                    ,6.1         ,- -             ,4.83                 ,12.32                          ,0.97                      ,- -                          ,-9.2            ,-4.38                   ,0.85         ,14.75               ,33.84   ,- -                  ,23.38                     ,-18     ,-21.97               ,-20.51                       ,-11.99            ,                2.81 ,- -          ,             7.67 ,-23.37       ,33.84                           ,33.84        ,0.85                       ,-0.08              ,-1.28    ,-26.24             ,101.37                       ,-15.04        ,-7.62                 ,- -                 ,13.16      ,-1.92                       ,-202.75        ,-4.94                    ,-330.42                  ,9.15                           ,21.21                 ,154.34                      ,17.43                          ,          3.31 ,- -            ,-32.51                      ,63.34                          ,-220.71             ,21.21                ,7.45           ,32.99                ,-3.54                   ,0.29451797498304755
 8 ,2018 ,5.62                     ,2.89            ,9.45         ,0.47                       ,- -                    ,23.29                   ,1125.53                     ,28.28         ,-35.15                      ,-2.34                     ,-33.59            ,-2.31                       ,-33.61              ,19.66  ,13.29             ,23.29  ,23.29  ,3.63             ,16.73                ,-38.6             ,1.03               ,             15.52 ,-2.55                ,-64.12                         ,-56.14                  ,4.81                    ,4.1         ,- -             ,-36.61               ,6.1                            ,-1.22                     ,295.46                       ,-7.27           ,22.12                   ,-12.56       ,14.47               ,-8.23   ,- -                  ,3.33                      ,-1.46   ,6.1                  ,3.22                         ,3.25              ,                2.39 ,- -          ,             1.55 ,-20.12       ,-39.27                          ,-39.27       ,-12.56                     ,-5.69              ,167.36   ,340.27             ,-71.49                       ,-38.65        ,-9.77                 ,4.55                ,-35.15     ,-2.55                       ,-125.28        ,- -                      ,267.42                   ,25.73                          ,-11.43                ,-92.43                      ,-67.02                         ,         12.82 ,- -            ,332.66                      ,190.78                         ,473.92              ,-11.43               ,31.63          ,-13.85               ,93.86                   ,-0.15550759931632896
 9 ,2019 ,0.43                     ,0.02            ,0.97         ,-3.78                      ,- -                    ,6.94                    ,-899.65                     ,-32.3         ,29.93                       ,-5.66                     ,37.73             ,-5.99                       ,38.21               ,5.29   ,4.83              ,6.94   ,6.94   ,0.54             ,6.48                 ,29.38             ,0.43               ,             10.57 ,-7.53                ,16.3                           ,64.58                   ,-0.96                   ,-1.01       ,- -             ,4.89                 ,0.96                           ,-0.85                     ,-38.36                       ,6.82            ,-7.82                   ,-2.38        ,-2.64               ,-45.46  ,- -                  ,-21.3                     ,59.68   ,27.95                ,39.45                        ,22.92             ,                1.49 ,- -          ,             3.91 ,57.98        ,-75.01                          ,-75.01       ,-2.38                      ,-4.46              ,7.01     ,328.21             ,-370.18                      ,33.27         ,-4.03                 ,- -                 ,29.93      ,-7.53                       ,1360.07        ,11.95                    ,-116.44                  ,-9.08                          ,5.82                  ,-1153.52                    ,-232.04                        ,          4.31 ,66.18          ,-31.93                      ,-47.81                         ,-155.46             ,5.82                 ,-10.67         ,-12.85               ,-30.02                  ,0.08970487627126222
