   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt  ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,16.41                    ,10.38           ,22.24        ,17.46                      ,- -                    ,30.07                   ,18.47                       ,31.97         ,34.7                        ,                     3.92 ,29.62             ,                       4.13 ,29.36               ,27.76  ,9.74              ,30.07  ,30.07  ,5                ,11.73                ,15.71             ,10.63              ,15.21              ,               18.92 ,61.23                          ,61.23                   ,9.15                    ,-0.13       ,-17.85          ,14.62                ,-5.49                          ,2.11                      ,- -                          ,18.53           ,17.77                   ,17.14        ,19.89               ,-17.25   ,525.07               ,12.89                     ,19.86   ,37.18                ,24.56                        ,21.63             ,                6.4  ,1.36         ,            20.44 ,-31.23       ,                          13.6  ,       13.6  ,17.14                      ,-0.71              ,8.58     ,-4.42              ,11.93                        ,1.53          ,-14.57                ,5.23                ,34.7       ,                      18.92 ,-24.21         ,-8.47                    ,-668.79                  ,35.93                          ,10.45                 ,- -                         ,50.53                          ,19.73          ,-62            ,-100.29                     ,-1332.69                       ,-611.95             ,10.45                ,37.86          ,11.97                ,0.91                    ,0.3412473662402129
 1 ,2011 ,17.22                    ,15.35           ,18.86        ,12.38                      ,- -                    ,28.44                   ,-15.7                       ,34.92         ,32.45                       ,                     1.82 ,30.08             ,                       1.79 ,30.11               ,25.63  ,7.17              ,28.44  ,28.44  ,1.39             ,9.56                 ,12.99             ,10.11              ,15.77              ,               13.92 ,25.04                          ,25.04                   ,5.01                    ,14.67       ,-0.76           ,11.76                ,5.11                           ,8.36                      ,- -                          ,3.21            ,3.25                    ,4.93         ,-43.43              ,-25.11   ,2175.83              ,2.7                       ,-18.64  ,4.47                 ,-11.74                       ,-8.38             ,                6.86 ,1.65         ,            22.74 ,-23.14       ,                          16.15 ,       16.15 ,4.93                       ,1.67               ,-30.24   ,-39.94             ,-35.55                       ,8.83          ,-9.61                 ,6.46                ,32.45      ,                      13.92 ,75.46          ,26.16                    ,-118.4                   ,20.43                          ,42.36                 ,- -                         ,-51.05                         ,17.88          ,- -            ,23.98                       ,-253.14                        ,-33.39              ,42.36                ,19.1           ,-4.99                ,-9.07                   ,0.1430047710779483
 2 ,2012 ,7.02                     ,3.14            ,10.3         ,6.91                       ,- -                    ,14.69                   ,27.64                       ,13.5          ,13.13                       ,                     1.82 ,11.12             ,                       1.19 ,11.8                ,13.94  ,6.47              ,14.69  ,14.69  ,3.07             ,7.17                 ,5.71              ,-3.2               ,63.12              ,               10.42 ,9.61                           ,9.61                    ,19.01                   ,-6.78       ,22.73           ,11.66                ,1.49                           ,9.34                      ,- -                          ,39.56           ,38.57                   ,32.93        ,-2.65               ,642.45   ,37.63                ,96                        ,48.07   ,43.07                ,46.3                         ,59.27             ,                3.66 ,1.93         ,            20.68 ,73.19        ,                          15.42 ,       15.42 ,32.93                      ,1.99               ,121.11   ,91.58              ,121.99                       ,-43.03        ,5.47                  ,10.56               ,13.13      ,                      10.42 ,24.47          ,28.5                     ,74.31                    ,12.67                          ,-5.64                 ,- -                         ,445.98                         ,66.08          ,426.32         ,4.33                        ,-432.66                        ,-62.17              ,-5.64                ,14             ,12.94                ,-0.41                   ,0.15851894135408684
 3 ,2013 ,8.17                     ,2.53            ,12.63        ,13.83                      ,- -                    ,11.19                   ,24.43                       ,9.82          ,11.36                       ,                     1.45 ,9.77              ,                       0.65 ,10.64               ,13.07  ,4.52              ,11.19  ,11.19  ,4.12             ,2.79                 ,2.95              ,3.39               ,-30.78             ,               22.26 ,24.05                          ,24.05                   ,1.24                    ,7.36        ,20.11           ,10.26                ,6.26                           ,6.6                       ,- -                          ,17.13           ,16.93                   ,15.75        ,17.42               ,-97.88   ,7.05                 ,-40.79                    ,63.25   ,10.19                ,44.91                        ,17.4              ,                6.15 ,0.7          ,            18.85 ,-26.4        ,                          14.25 ,       14.25 ,15.75                      ,0.72               ,21.41    ,6.27               ,19.06                        ,86.23         ,-0.85                 ,4.62                ,11.36      ,                      22.26 ,6.22           ,30.31                    ,-322.48                  ,18.4                           ,10.74                 ,- -                         ,-25.88                         ,-29.77         ,-5             ,11.57                       ,-52.73                         ,245.05              ,10.74                ,18.86          ,9.51                 ,6.31                    ,-0.04713662948684805
 4 ,2014 ,9.62                     ,6.82            ,11.63        ,5.94                       ,- -                    ,18.65                   ,-11.58                      ,22.19         ,20.02                       ,                     0.8  ,19.06             ,                       0.67 ,19.21               ,16.02  ,5.84              ,18.65  ,18.65  ,1.84             ,8.24                 ,9.49              ,7.19               ,61.38              ,                4.28 ,32.78                          ,32.78                   ,0.32                    ,-5.44       ,-2.64           ,10.1                 ,-5.48                          ,2.86                      ,- -                          ,1.24            ,1.12                    ,2.63         ,-2.76               ,0.69     ,-2.12                ,-2.35                     ,-10.74  ,-5.53                ,-9.37                        ,-8.24             ,                7.81 ,0.79         ,            18.96 ,-266.95      ,                          12.87 ,       12.87 ,2.63                       ,0.82               ,-20.66   ,-29.7              ,-24.07                       ,12.76         ,-10.67                ,2.26                ,20.02      ,                       4.28 ,29.76          ,18.62                    ,-421.24                  ,4.72                           ,0.69                  ,- -                         ,-68.8                          ,62.67          ,- -            ,12.33                       ,-173.86                        ,115.04              ,0.69                 ,4.95           ,9.88                 ,-12.74                  ,0.019980186872186056
 5 ,2015 ,0.93                     ,-2.06           ,2.99         ,3.11                       ,- -                    ,2.85                    ,-67.22                      ,8.78          ,7.74                        ,                     0.7  ,7                 ,                       0.71 ,6.99                ,2.96   ,2.01              ,2.85   ,2.85   ,2.04             ,1.9                  ,6.76              ,-5.32              ,24.76              ,                3.54 ,27.53                          ,27.53                   ,0.39                    ,-2.01       ,-60.63          ,7.01                 ,-4.84                          ,-1.11                     ,- -                          ,24.61           ,24.13                   ,21.05        ,11.74               ,-38.65   ,18.76                ,14.68                     ,49.04   ,7.05                 ,37.54                        ,33.6              ,                7.08 ,0.69         ,            16.77 ,195.83       ,                          11.43 ,       11.43 ,21.05                      ,0.74               ,56.68    ,40.61              ,48.9                         ,-6.69         ,-3.29                 ,6.6                 ,7.74       ,                       3.54 ,-105.87        ,-2                       ,-145.52                  ,10.52                          ,-3.93                 ,- -                         ,387.88                         ,25.64          ,13.68          ,5.02                        ,-434.19                        ,16.73               ,-3.93                ,11.29          ,9.76                 ,2.57                    ,0.22854506690123322
 6 ,2016 ,5.79                     ,2.8             ,7.75         ,12.41                      ,- -                    ,2.6                     ,345.78                      ,-6.16         ,-5.38                       ,                     0.68 ,-6.02             ,                       0.89 ,-6.22               ,5.11   ,-0.65             ,2.6    ,2.6    ,1.85             ,-3.02                ,-10.56            ,-19.24             ,19.88              ,               17.74 ,-2.74                          ,-2.74                   ,28.05                   ,-4.17       ,41.92           ,9.79                 ,33.94                          ,8.83                      ,- -                          ,46.92           ,46.76                   ,40.88        ,19.22               ,5792.36  ,66.84                ,100.7                     ,77.94   ,44.91                ,70.89                        ,75.3              ,                4.92 ,0.78         ,            12.94 ,52.62        ,                           9.25 ,        9.25 ,40.88                      ,0.8                ,118.73   ,100.22             ,91.38                        ,-45.29        ,-0.83                 ,30.99               ,-5.38      ,                      17.74 ,-2151.22       ,27.58                    ,-154.74                  ,3.77                           ,4.28                  ,- -                         ,120.98                         ,20.7           ,173.15         ,14.23                       ,181.59                         ,-92.86              ,4.28                 ,3.74           ,-5.85                ,9.67                    ,-0.12419130409871404
 7 ,2017 ,21.57                    ,19.57           ,22.83        ,29.49                      ,- -                    ,14.75                   ,53.95                       ,10            ,47.56                       ,                     0.89 ,46.26             ,                       0.98 ,46.13               ,20.08  ,-1.23             ,14.75  ,14.75  ,1.03             ,-5.61                ,21.37             ,20.88              ,16.88              ,               43.45 ,-11.34                         ,-11.34                  ,3.61                    ,12.61       ,31.6            ,-0.96                ,0.84                           ,5.25                      ,- -                          ,0.06            ,0.07                    ,-0.06        ,12.74               ,99.74    ,20.27                ,40.42                     ,-25.03  ,-16.65               ,-23.51                       ,-12.69            ,                7.64 ,-3.47        ,            17.71 ,-42.66       ,                          18.57 ,       18.57 ,-0.06                      ,0.81               ,-17.76   ,-30.63             ,-16.57                       ,-29.47        ,-9.66                 ,0.57                ,47.56      ,                      43.45 ,-24.85         ,5.46                     ,710.67                   ,28.09                          ,64.1                  ,- -                         ,-94.41                         ,17.92          ,- -            ,27.27                       ,-141.71                        ,-995.68             ,64.1                 ,26.41          ,10.81                ,-13.19                  ,0.22970051527171487
 8 ,2018 ,12.67                    ,9.7             ,14.48        ,13.81                      ,- -                    ,15.39                   ,12.82                       ,15.82         ,-2.82                       ,                     0.98 ,-3.76             ,                       0.87 ,-3.66               ,13.39  ,0.64              ,15.39  ,15.39  ,1.6              ,2.41                 ,-13.75            ,2.74               ,17.96              ,                6.38 ,-45.72                         ,-45.72                  ,10.15                   ,-6.88       ,122.59          ,-8.45                ,-9.68                          ,-4.07                     ,- -                          ,8.83            ,8.62                    ,6.52         ,8.21                ,-99.81   ,22.57                ,-28.64                    ,13.45   ,5.03                 ,11.79                        ,0.78              ,                9.27 ,10           ,            14.33 ,30.67        ,                          12.75 ,       12.75 ,6.52                       ,0.88               ,2.08     ,-9.46              ,-1.59                        ,28.29         ,-7.81                 ,9.66                ,-2.82      ,                       6.38 ,33.23          ,61.01                    ,-125.02                  ,15.84                          ,-3.27                 ,- -                         ,536.98                         ,19.12          ,-49.15         ,28.57                       ,-66.83                         ,102                 ,-3.27                ,17             ,-10.42               ,19.21                   ,0.09752897004941807
 9 ,2019 ,-8.93                    ,-16.95          ,-4.25        ,-3.79                      ,- -                    ,-4.88                   ,-468.23                     ,71.68         ,73.66                       ,                     0.68 ,85.94             ,                       0.67 ,85.95               ,-1.49  ,8.17              ,-4.88  ,-4.88  ,5.14             ,4.45                 ,105.55            ,-13.63             ,11.94              ,               11.39 ,94.76                          ,94.76                   ,11.4                    ,3.98        ,-40.22          ,24.14                ,9.25                           ,16.04                     ,- -                          ,18.2            ,18.12                   ,18.75        ,42.59               ,43833.33 ,10.19                ,65.54                     ,-5.41   ,37.76                ,2.59                         ,14.73             ,                8.7  ,- -          ,            25.13 ,-12.54       ,                          22.66 ,       22.66 ,18.75                      ,0.68               ,-0.26    ,-18.68             ,-13.74                       ,-25.01        ,23.35                 ,5.44                ,73.66      ,                      11.39 ,-1051.94       ,-24.36                   ,90.3                     ,2.22                           ,-6.9                  ,- -                         ,-2.93                          ,12.7           ,-20            ,25.93                       ,-145.61                        ,-216.96             ,-6.9                 ,2.67           ,31.7                 ,-45.4                   ,0.04785860968342459
