   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,9.49                     ,7.55            ,15.05        ,8.75                       ,- -                    ,24.85                   ,26.02                       ,24.84         ,25.31                       ,-4.12                     ,30.69             ,-4.09                       ,30.65               ,20.57  ,10.12             ,24.85  ,24.85  ,5.07             ,14.03                ,14.44             ,0.86               ,46.09              ,1.04                 ,8.7                            ,8.54                    ,2.6                     ,24.58       ,25.92           ,17.06                ,4.32                           ,8.32                      ,-16.42                       ,18.58           ,4.87                    ,12.55        ,13.87               ,- -     ,- -                  ,13.59                     ,- -     ,3.83                 ,2.46                         ,10.69             ,                8.6  ,-3.91        ,24.64             ,187.06       ,15.16                           ,15.16        ,12.55                      ,-3.96              ,10.61    ,-3.95              ,2.33                         ,3.05          ,-2.46                 ,8.55                ,25.31      ,1.04                        ,-55.41         ,41.97                    ,-125.33                  ,-24.24                         ,25.34                 ,-91.66                      ,43.86                          ,40.07          ,- -            ,35.62                       ,34.83                          ,-85.33              ,25.34                ,-35            ,63.29                ,-39.54                  ,0.3709811889558201
 1 ,2011 ,9.44                     ,8.92            ,10.82        ,6.04                       ,- -                    ,17.3                    ,7.87                        ,17.4          ,18.45                       ,-4.13                     ,23.55             ,-4.1                        ,23.51               ,14.62  ,4.74              ,17.3   ,17.3   ,1.27             ,7.19                 ,8.24              ,0.5                ,37.65              ,-0.5                 ,-22.29                         ,-22.08                  ,12.04                   ,3.97        ,25.94           ,-5.82                ,26.22                          ,17.76                     ,-60.22                       ,72.44           ,28.32                   ,5.94         ,-0.46               ,- -     ,- -                  ,-0.46                     ,- -     ,11.01                ,7.18                         ,1.38              ,                6.64 ,92.13        ,19.91             ,30.12        ,12.03                           ,12.03        ,5.94                       ,-3.92              ,-26.92   ,-34.76             ,5.77                         ,-5.38         ,8.43                  ,8.89                ,18.45      ,-0.5                        ,227.37         ,10.54                    ,-2.79                    ,21.85                          ,109.55                ,154.1                       ,139.66                         ,31.97          ,- -            ,28.87                       ,29.66                          ,-380.7              ,109.55               ,-14.88         ,5.19                 ,2.87                    ,0.5200856892730894
 2 ,2012 ,12.93                    ,12.35           ,14.45        ,10.26                      ,- -                    ,19.59                   ,-33.08                      ,20.1          ,19.72                       ,-3                        ,23.43             ,-3.13                       ,23.59               ,19.12  ,5.48              ,19.59  ,19.59  ,1.35             ,5.9                  ,6.02              ,5.86               ,26.99              ,16.01                ,-0.41                          ,-0.47                   ,17.25                   ,7.01        ,23.41           ,5.56                 ,-94.29                         ,-41.11                    ,-21.92                       ,1107.44         ,19.05                   ,11.19        ,5.69                ,- -     ,- -                  ,5.69                      ,- -     ,6.08                 ,4.1                          ,5.28              ,                9.8  ,-2.73        ,29.57             ,-7.87        ,18.34                           ,18.34        ,11.19                      ,-2.71              ,-0.62    ,-16.02             ,6.46                         ,-0.12         ,0.5                   ,6.68                ,19.72      ,16.01                       ,-82.84         ,21.16                    ,-94.29                   ,19.45                          ,1.96                  ,-82.2                       ,-9.76                          ,23.18          ,- -            ,6.88                        ,4.61                           ,-98.33              ,1.96                 ,37.48          ,0.35                 ,-0.22                   ,0.014694651277442183
 3 ,2013 ,5.24                     ,4.98            ,5.9          ,6.15                       ,- -                    ,5.61                    ,-103.58                     ,6.2           ,6.42                        ,-2.85                     ,9.55              ,-3.13                       ,9.87                ,6.31   ,1.02              ,5.61   ,5.61   ,0.63             ,0.35                 ,1.13              ,-8.73              ,21.14              ,11.12                ,-32.83                         ,-34.57                  ,5.02                    ,3.96        ,-2.19           ,-8.09                ,279.15                         ,25.58                     ,-15.18                       ,12.35           ,23.82                   ,6.16         ,-2.08               ,- -     ,- -                  ,-2.08                     ,- -     ,4.63                 ,3.18                         ,-0.75             ,                7.94 ,-3.31        ,20.37             ,-33.5        ,13.61                           ,13.61        ,6.16                       ,-3.31              ,-45.01   ,-51.6              ,7.03                         ,-6.14         ,7.37                  ,15.3                ,6.42       ,11.12                       ,199.28         ,-4.3                     ,1472.05                  ,4.32                           ,29.71                 ,-1372.71                    ,32.44                          ,17.68          ,- -            ,20.94                       ,22.4                           ,7173.68             ,29.71                ,-15.08         ,-3.2                 ,-1.97                   ,0.1037137855932524
 4 ,2014 ,7.93                     ,7.84            ,8.17         ,5.83                       ,- -                    ,10.82                   ,-1308.1                     ,10.58         ,10.44                       ,-2.87                     ,13.7              ,-3.14                       ,14.02               ,11.11  ,2.95              ,10.82  ,10.82  ,0.22             ,2.67                 ,2.33              ,0.22               ,17.25              ,13.03                ,60.19                          ,64.62                   ,17.04                   ,9.19        ,6.69            ,21.19                ,90.83                          ,21.25                     ,-16.17                       ,9.5             ,20.24                   ,20.69        ,19.12               ,- -     ,- -                  ,19.12                     ,165.58  ,5.7                  ,54.01                        ,28.28             ,                8.53 ,-2.76        ,19.4              ,-15.17       ,13.55                           ,13.55        ,20.69                      ,-2.79              ,9.18     ,-3.85              ,-5.92                        ,1.74          ,-7.72                 ,7.69                ,10.44      ,13.03                       ,142.43         ,13.14                    ,-354.35                  ,34.33                          ,17.47                 ,-215.61                     ,13.34                          ,13.88          ,- -            ,1.58                        ,-32.47                         ,-222.29             ,17.47                ,54.02          ,4.41                 ,21.63                   ,0.1574095391108754
 5 ,2015 ,8.14                     ,8.05            ,8.36         ,7.64                       ,- -                    ,9.14                    ,322.65                      ,8.51          ,10.37                       ,-2.54                     ,13.26             ,-2.79                       ,13.54               ,10.33  ,2.03              ,9.14   ,9.14   ,0.21             ,0.93                 ,2.07              ,-0.76              ,17.14              ,17.97                ,9.5                            ,9.33                    ,0.48                    ,3.38        ,-3.01           ,4.83                 ,-32.63                         ,3.04                      ,-57.2                        ,11.74           ,2.32                    ,3.53         ,-3.41               ,- -     ,- -                  ,-3.41                     ,-0.59   ,8.76                 ,3.89                         ,-1.11             ,               10.67 ,93.88        ,10.78             ,-44.85       ,8.46                            ,8.46         ,3.53                       ,-3.04              ,22.58    ,13.02              ,4.83                         ,8.53          ,-8.53                 ,8.96                ,10.37      ,17.97                       ,62.4           ,33.84                    ,-170.65                  ,-3.4                           ,-43.26                ,-96.79                      ,-43.27                         ,14.16          ,- -            ,30.54                       ,95.2                           ,-76.23              ,-43.26               ,32.1           ,35.64                ,-12.48                  ,0.15968357508978248
 6 ,2016 ,7.76                     ,6.96            ,9.81         ,8.72                       ,- -                    ,10.97                   ,30.73                       ,10.82         ,9.5                         ,-2.71                     ,12.55             ,-2.82                       ,12.68               ,10.84  ,2.86              ,10.97  ,10.97  ,1.9              ,2.98                 ,1.62              ,6.66               ,14.72              ,10.07                ,45.62                          ,45.96                   ,2.07                    ,6.61        ,-2.34           ,18.58                ,-81.25                         ,-0.63                     ,-3.23                        ,13.05           ,-0.02                   ,9.04         ,9.34                ,- -     ,- -                  ,9.34                      ,0.12    ,3.54                 ,1.83                         ,6.85              ,                8.28 ,-2.59        ,14.36             ,-50          ,11.17                           ,11.17        ,9.04                       ,-2.6               ,95.61    ,75.96              ,1.95                         ,8.46          ,6.05                  ,1.03                ,9.5        ,10.07                       ,-48.3          ,5.1                      ,-175.39                  ,17.54                          ,-18.82                ,347.93                      ,-19.24                         ,11.61          ,- -            ,-3.33                       ,1.93                           ,438.51              ,-18.82               ,31.45          ,6.39                 ,7.34                    ,0.13487613087502237
 7 ,2017 ,9.85                     ,9.47            ,10.81        ,8.11                       ,- -                    ,13.63                   ,-53.44                      ,14.25         ,21.93                       ,-2.79                     ,25.43             ,-2.69                       ,25.3                ,12.18  ,2.12              ,13.63  ,13.63  ,0.87             ,3.44                 ,10.99             ,4.41               ,18.63              ,3.52                 ,16.12                          ,16.08                   ,16.92                   ,8.52        ,15.29           ,12.02                ,-320.92                        ,2.34                      ,-44.72                       ,11.66           ,2.99                    ,7.77         ,5.07                ,- -     ,- -                  ,9.92                      ,-21.31  ,5.34                 ,-7.73                        ,4.35              ,                6.27 ,-3.14        ,15.01             ,-70.33       ,10.96                           ,10.96        ,7.77                       ,-3.13              ,24.92    ,12.58              ,2.96                         ,1.91          ,1.78                  ,5.22                ,21.93      ,3.52                        ,-29.86         ,17.25                    ,-156.05                  ,7.85                           ,24.69                 ,-97.69                      ,20.61                          ,15.32          ,- -            ,23.83                       ,25.48                          ,-48.94              ,24.69                ,3.88           ,12.82                ,-11.54                  ,0.04109236412702244
 8 ,2018 ,6.01                     ,6.81            ,4.04         ,8.46                       ,- -                    ,-0.38                   ,-232.39                     ,0.5           ,16.49                       ,-3.05                     ,20.16             ,-3.03                       ,20.13               ,0.4    ,-5.28             ,-0.38  ,-0.38  ,-1.86            ,-6.02                ,9.89              ,-0.49              ,40.51              ,5.49                 ,9.46                           ,9.5                     ,10.06                   ,6.62        ,10.1            ,8.02                 ,113.82                         ,3.89                      ,-82.44                       ,9.67            ,3.84                    ,6.15         ,9.13                ,- -     ,- -                  ,4.31                      ,0.14    ,2.69                 ,1.62                         ,3.56              ,                6.44 ,-3           ,10.98             ,- -          ,8.41                            ,8.41         ,6.15                       ,-3                 ,23.19    ,13.63              ,2.13                         ,3.56          ,0.91                  ,6.53                ,16.49      ,5.49                        ,175.76         ,9.34                     ,-152.67                  ,22.92                          ,11.44                 ,8622.5                      ,16.23                          ,36.22          ,- -            ,22.7                        ,33.23                          ,-30.16              ,11.44                ,26.18          ,-11.34               ,5.52                    ,0.11018181110560177
 9 ,2019 ,7.04                     ,7.55            ,5.77         ,6.32                       ,- -                    ,5.17                    ,78.17                       ,5.53          ,4.63                        ,-3                        ,7.86              ,-3.08                       ,7.96                ,5.31   ,-1.62             ,5.17   ,5.17   ,-1.19            ,-1.75                ,-2.26             ,1.95               ,13.06              ,6.22                 ,-4.37                          ,-4.37                   ,5.71                    ,4.68        ,2.15            ,0.85                 ,-968.12                        ,130.58                    ,- -                          ,9.43            ,121.58                  ,53.92        ,6.37                ,564.31  ,- -                  ,34.46                     ,835.67  ,-18.44               ,333.4                        ,116.37            ,                5.96 ,-3.1         ,1.39              ,- -          ,1.62                            ,1.62         ,53.92                      ,-3.11              ,-5.65    ,-7.15              ,-33.98                       ,-25           ,-9.87                 ,4.99                ,4.63       ,6.22                        ,0.07           ,-0.15                    ,50.13                    ,5.07                           ,34.21                 ,-85.18                      ,35.22                          ,9.67           ,- -            ,18.26                       ,9.91                           ,-153.42             ,34.21                ,-2.22          ,8.77                 ,0.43                    ,0.12460832392686338
10 ,2020 ,-21.87                   ,-14.72          ,-40.19       ,6.22                       ,- -                    ,-91.16                  ,-560.69                     ,-95.09        ,-94.86                      ,-1.69                     ,-94.77            ,-1.82                       ,-94.76              ,-77.82 ,-71.61            ,-91.16 ,-91.16 ,-23.45           ,-88.69               ,-93.42            ,-22.87             ,-72.11             ,3.81                 ,256.67                         ,256.67                  ,12.55                   ,-17.65      ,69.43           ,94.96                ,-8.94                          ,1.54                      ,- -                          ,10.67           ,1.86                    ,36.04        ,54.58               ,17.46   ,- -                  ,46.82                     ,73.42   ,7.33                 ,66.11                        ,57.41             ,                8.31 ,-0.08        ,-6.22             ,- -          ,-2.04                           ,-2.04        ,36.04                      ,-0.08              ,122.11   ,126.74             ,-28                          ,32.78         ,-114.98               ,1.3                 ,-94.86     ,3.81                        ,146.15         ,6.42                     ,4493.07                  ,3.43                           ,-27.01                ,- -                         ,-26.94                         ,-72.58         ,1434.83        ,-86.7                       ,-201.11                        ,-5413.35            ,-27.01               ,13.89          ,-0.68                ,1911.93                 ,-0.10445317373376439
11 ,2021 ,50.95                    ,39.34           ,93.37        ,14.83                      ,- -                    ,1129.7                  ,-10.89                      ,2024.74       ,1917.51                     ,-0.25                     ,1922.65           ,-0.25                       ,1922.56             ,386.24 ,222.12            ,1129.7 ,1129.7 ,28.1             ,714.65               ,1236.55           ,41.44              ,300.53             ,-0.98                ,2.14                           ,2.14                    ,3.63                    ,49.92       ,-32.05          ,11.67                ,-7.02                          ,2.25                      ,- -                          ,8.65            ,2.35                    ,7.25         ,8.49                ,-4.9    ,- -                  ,6.25                      ,-1.54   ,-4.3                 ,-1.74                        ,1.62              ,                8.69 ,-1.35        ,31.53             ,- -          ,23.38                           ,23.38        ,7.25                       ,-1.34              ,7.1      ,-13.19             ,15.04                        ,5.1           ,97.75                 ,6.72                ,1917.51    ,-0.98                       ,-52.19         ,32.14                    ,-133.35                  ,-22.58                         ,37.59                 ,- -                         ,37.59                          ,299.51         ,- -            ,298.08                      ,-167.71                        ,-99.19              ,37.59                ,-35.83         ,-2.18                ,-96.16                  ,-0.3292717950457811
12 ,2022 ,-1.17                    ,1.73            ,-8.79        ,-4.01                      ,- -                    ,-14.68                  ,-96.18                      ,-12           ,-12.22                      ,-2.29                     ,-10.17            ,-2.41                       ,-10.06              ,-11.46 ,-10.41            ,-14.68 ,-14.68 ,-7.71            ,-13.68               ,-11.19            ,-2.14              ,8.95               ,9.42                 ,-7.53                          ,-7.53                   ,22.18                   ,-10.55      ,8.48            ,-7.61                ,0.01                           ,5.97                      ,- -                          ,8.8             ,5.59                    ,-1.64        ,-16.85              ,4.04    ,- -                  ,-13.73                    ,1.18    ,18.07                ,2.36                         ,-4.72             ,                5.96 ,-2.53        ,6.08              ,- -          ,5.63                            ,5.63         ,-1.64                      ,-2.55              ,-15.17   ,-19.69             ,7.39                         ,7.1           ,-105.46               ,1                   ,-12.22     ,9.42                        ,34.24          ,-9.15                    ,-15.32                   ,-2.85                          ,17.25                 ,- -                         ,17.25                          ,6.46           ,- -            ,41.21                       ,21.96                          ,-1393.61            ,17.25                ,-12.34         ,19.79                ,10.68                   ,0.2238035882116174
13 ,2023 ,8.99                     ,6.13            ,17.39        ,18.43                      ,- -                    ,15.94                   ,-5874.74                    ,24.37         ,23.97                       ,-2.41                     ,27.03             ,-2.26                       ,26.83               ,14.34  ,4.91              ,15.94  ,15.94  ,7.7              ,6.38                 ,13.74             ,8.99               ,8.05               ,6.28                 ,7.04                           ,7.04                    ,-10.25                  ,8.34        ,10.37           ,7.15                 ,195.75                         ,75.8                      ,- -                          ,-94.29          ,5.99                    ,6.59         ,9.13                ,42.28   ,- -                  ,15.11                     ,-4.67   ,-2.84                ,-4.53                        ,3.3               ,                7.25 ,-2.22        ,16.36             ,- -          ,13.59                           ,13.59        ,6.59                       ,-2.21              ,15.1     ,1.33               ,6.57                         ,-6.92         ,1779.37               ,- -                 ,23.97      ,6.28                        ,-38.08         ,19.32                    ,-122.9                   ,48.84                          ,16.63                 ,- -                         ,16.63                          ,5.45           ,- -            ,-0.03                       ,1.64                           ,-187.32             ,16.63                ,69.19          ,-16.38               ,20.06                   ,-0.035901086023638173
