   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,2.66                     ,1.42            ,6.07         ,-0.2                       ,12.07                  ,11.15                   ,-8.09                       ,13.51         ,12.73                       ,-1.04                     ,15.4              ,-0.66                       ,14.96               ,10.6   ,7.74              ,11.15  ,11.15  ,3.32             ,8.28                 ,11.25             ,1.92               ,10.44              ,7.79                 ,-8.23                          ,-8.23                   ,5.38                    ,3.42        ,-1.12           ,1.36                 ,-1.32                          ,1.51                      ,- -                          ,9.54            ,7.42                    ,4.9          ,6.25                ,-81.24  ,- -                  ,-1.01                     ,21.23   ,-2.02                ,9.37                         ,4.02              ,7.49                 ,7.49         ,10.2              ,8.09         ,6.57                            ,6.35         ,4.9                        ,-1.65              ,17.2     ,10.21              ,-53.64                       ,2.4           ,-4.39                 ,0.73                ,12.73      ,7.79                        ,-24.11         ,0.65                     ,-50.7                    ,10.33                          ,1.45                  ,- -                         ,188.68                         ,9.29           ,1170.27        ,139.31                      ,-24.77                         ,-848.28             ,1.45                 ,11.95          ,1.5                  ,-3.39                   ,0.033909578299790466
 1 ,2011 ,7.11                     ,6.95            ,7.54         ,7.3                        ,17.87                  ,12.71                   ,-23.77                      ,16.32         ,14.07                       ,-1.72                     ,15.85             ,-1.72                       ,15.85               ,10.58  ,3.24              ,12.71  ,12.71  ,0.4              ,5.22                 ,6.3               ,11.56              ,9.99               ,-0.66                ,45.97                          ,45.97                   ,6.96                    ,0.4         ,-10.27          ,9.56                 ,-1.26                          ,0.41                      ,- -                          ,-0.85           ,2.03                    ,5.06         ,2.31                ,172.04  ,- -                  ,4.99                      ,-5.08   ,20.64                ,6.67                         ,5.84              ,6.93                 ,6.93         ,10.92             ,45.66        ,2.31                            ,3.79         ,5.06                       ,-1.52              ,-30.71   ,-33.24             ,121.64                       ,4.36          ,-6.2                  ,-3.99               ,14.07      ,-0.66                       ,-118           ,48.7                     ,-179.62                  ,11.58                          ,10.86                 ,-187.72                     ,-77.82                         ,8.1            ,-87.45         ,7.44                        ,27.02                          ,-532.72             ,10.86                ,11.7           ,-17.38               ,-2                      ,-0.04969051338746511
 2 ,2012 ,-0.83                    ,- -             ,-3.01        ,-0.19                      ,15.21                  ,-5.12                   ,56.48                       ,-9.13         ,-3.24                       ,0.33                      ,2.7               ,-0.02                       ,3.06                ,-2.52  ,-1.71             ,-5.12  ,-5.12  ,-2.2             ,-4.33                ,3.89              ,-9.06              ,9.01               ,13.14                ,-19.14                         ,-19.14                  ,16.27                   ,22.32       ,69.25           ,14.95                ,37.36                          ,13.05                     ,11.11                        ,76.16           ,67.53                   ,45.49        ,21.75               ,113.97  ,- -                  ,27.77                     ,127.31  ,64.61                ,94.91                        ,62.26             ,4.09                 ,4.09         ,9.82              ,-0.77        ,18.44                           ,17.81        ,45.49                      ,1.28               ,327.95   ,263.24             ,-1115.65                     ,-10.03        ,14.93                 ,9.05                ,-3.24      ,13.14                       ,-241.4         ,-8.3                     ,-124.64                  ,0.85                           ,381.7                 ,-150                        ,2137.77                        ,9.36           ,16945.76       ,- -                         ,-300.27                        ,-161.45             ,381.7                ,-61.65         ,-26.31               ,-2.12                   ,0.017405806065024843
 3 ,2013 ,8.52                     ,7.52            ,11.25        ,4.12                       ,6.66                   ,19.85                   ,16.04                       ,20.27         ,16.81                       ,0.65                      ,10.8              ,0.94                        ,10.48               ,19.79  ,10.38             ,19.85  ,19.85  ,2.51             ,10.43                ,2.76              ,11.59              ,8.2                ,19.49                ,-4.15                          ,-4.15                   ,3.23                    ,8.31        ,-26.96          ,-0.57                ,4.09                           ,3.3                       ,0.52                         ,1.99            ,2.26                    ,1.33         ,2.57                ,-69.21  ,- -                  ,-4.15                     ,-8.59   ,-11.94               ,-10.05                       ,-7.79             ,5.79                 ,5.79         ,10.23             ,-47.14       ,22.97                           ,22.06        ,1.33                       ,-0.24              ,-15.11   ,-30.45             ,-34.63                       ,3.73          ,2.52                  ,-2.75               ,16.81      ,19.49                       ,-13.96         ,30.95                    ,-293.2                   ,3.48                           ,-32.67                ,440                         ,-92.97                         ,8.9            ,- -            ,-38.43                      ,-174.06                        ,-84.75              ,-32.67               ,77.98          ,59.51                ,-7.21                   ,0.12260783239039075
 4 ,2014 ,3.95                     ,4.69            ,2.01         ,-3.25                      ,4.19                   ,6.08                    ,-1.67                       ,6.92          ,9.04                        ,-0.3                      ,9.05              ,-0.38                       ,9.14                ,5.86   ,1.83              ,6.08   ,6.08   ,-1.87            ,2.05                 ,4.59              ,4.2                ,7.66               ,4.72                 ,13.34                          ,13.34                   ,-1.23                   ,-4.5        ,10.08           ,1.07                 ,4.62                           ,5.91                      ,-15.4                        ,0.29            ,0.62                    ,0.77         ,-5.95               ,284.4   ,- -                  ,0.42                      ,-9.47   ,21.02                ,3.56                         ,2.31              ,3.74                 ,3.74         ,10.04             ,131.28       ,-2.05                           ,-1.88        ,0.77                       ,-0.8               ,-6.8     ,-5.02              ,0.62                         ,0.65          ,-5.73                 ,-0.24               ,9.04       ,4.72                        ,51.31          ,-12.73                   ,526.63                   ,6.67                           ,-7.73                 ,-195.56                     ,107.1                          ,7.34           ,- -            ,25                          ,-28.3                          ,-538.64             ,-7.73                ,17.91          ,0.36                 ,-1.88                   ,-0.08158274281699596
 5 ,2015 ,-13.83                   ,-14.79          ,-11.25       ,-9.45                      ,-13.51                 ,-25.37                  ,-6.58                       ,-27.23        ,-34.23                      ,-2.85                     ,25.9              ,-3.12                       ,26.25               ,-21.6  ,-9.02             ,-25.37 ,-25.37 ,2.99             ,-13.39               ,41.94             ,-7.49              ,9.77               ,-2.31                ,35.15                          ,35.15                   ,-5.87                   ,-17.54      ,-74.77          ,-10.26               ,-5.86                          ,-6.43                     ,4.09                         ,-0.49           ,-1.22                   ,-4.17        ,2.57                ,-42.51  ,- -                  ,-1.21                     ,8.1     ,-6.95                ,0.59                         ,-0.11             ,4.89                 ,4.89         ,11.98             ,14.38        ,-12.35                          ,-11.43       ,-4.17                      ,-7.81              ,-8.3     ,3.53               ,40.69                        ,-9.16         ,0.05                  ,-6.86               ,-34.23     ,-2.31                       ,-558.82        ,-34.17                   ,-32.08                   ,-13.77                         ,-9.14                 ,-258.14                     ,-380.82                        ,6.64           ,-92.1          ,493.33                      ,153.23                         ,160.88              ,-9.14                ,-16.59         ,-8.46                ,-29.5                   ,-0.1372245156757821
 6 ,2016 ,2.04                     ,2.55            ,0.75         ,2.96                       ,2.54                   ,12.08                   ,26.09                       ,10.3          ,24.79                       ,-6.24                     ,-29.13            ,-6.47                       ,-28.96              ,10.71  ,8.49              ,12.08  ,12.08  ,-1.27            ,9.84                 ,-34.89            ,-0.48              ,1.04               ,5.31                 ,1.16                           ,1.16                    ,7.77                    ,6.99        ,43.3            ,6.9                  ,4.88                           ,5.27                      ,37.33                        ,-0.84           ,0.62                    ,2.54         ,-8.42               ,99.46   ,- -                  ,-3.15                     ,12.3    ,0.35                 ,6.78                         ,2.94              ,7.92                 ,7.92         ,5.84              ,9.38         ,0.81                            ,1.72         ,2.54                       ,-3.54              ,25.42    ,23.3               ,-9.57                        ,10.38         ,-5.84                 ,2.54                ,24.79      ,5.31                        ,-86.8          ,-3.8                     ,37.07                    ,-38.67                         ,-2.34                 ,-7.35                       ,-138.67                        ,-5.27          ,405.28         ,-74.67                      ,-88.98                         ,-90.62              ,-2.34                ,-62.82         ,49.65                ,-7.69                   ,0.07605173186087733
 7 ,2017 ,4.53                     ,6.01            ,0.63         ,2.03                       ,2.14                   ,6.12                    ,-12.51                      ,8.83          ,-9.49                       ,-3.45                     ,-6.74             ,-3.27                       ,-6.91               ,6.69   ,2.07              ,6.12   ,6.12   ,-3.73            ,1.52                 ,-13.85            ,3.15               ,3.82               ,9.07                 ,25.54                          ,25.54                   ,9.7                     ,13.52       ,15.65           ,15.09                ,11.23                          ,9.73                      ,69.67                        ,1.79            ,4.75                    ,8.04         ,11.13               ,13.25   ,- -                  ,11.34                     ,15.17   ,-3.91                ,6.89                         ,8.51              ,1.74                 ,1.74         ,4.48              ,-9.71        ,7.36                            ,7.08         ,8.04                       ,-1.18              ,10.49    ,3.18               ,-18.51                       ,3.36          ,-0.9                  ,1.34                ,-9.49      ,9.07                        ,-886.86        ,26.32                    ,-95.52                   ,45.13                          ,12.44                 ,583.6                       ,20.62                          ,0.24           ,-16.6          ,-35.54                      ,-16.41                         ,756.61              ,12.44                ,102.19         ,-15.25               ,61.17                   ,-0.0028862183051048262
 8 ,2018 ,11.14                    ,13.72           ,3.98         ,14.28                      ,3.14                   ,-1.37                   ,-69.97                      ,6.66          ,14.92                       ,1.32                      ,14.25             ,1.38                        ,14.18               ,1.61   ,-8.57             ,-1.37  ,-1.37  ,-6.44            ,-11.26               ,4.15              ,-5.21              ,3.27               ,13.69                ,-31.53                         ,-31.53                  ,40.98                   ,2.04        ,8.16            ,8.05                 ,20.72                          ,12.73                     ,27.45                        ,61.91           ,54.08                   ,38.48        ,-2.7                ,74.08   ,1258.67              ,28.6                      ,64.84   ,30.92                ,51.61                        ,43.02             ,28.3                 ,28.3         ,4.67              ,24.03        ,29.84                           ,29.05        ,38.48                      ,7.8                ,112.89   ,64.96              ,145.95                       ,-15.98        ,-12.39                ,17.24               ,14.92      ,13.69                       ,238.56         ,30.73                    ,1351.92                  ,12.27                          ,-18.28                ,-34.6                       ,462.21                         ,4.63           ,226.42         ,-77.63                      ,-902.11                        ,-265.9              ,-18.28               ,41.93          ,-18.36               ,-3.01                   ,-0.0842010484463549
 9 ,2019 ,15.86                    ,14.16           ,20.98        ,20.59                      ,22.46                  ,4.83                    ,164.84                      ,-0.45         ,5.2                         ,6.8                       ,-1.6              ,6.64                        ,-1.46               ,16.05  ,0.16              ,4.83   ,4.83   ,4.42             ,-9.52                ,-9.3              ,14.33              ,5.37               ,55.49                ,19.93                          ,19.93                   ,-0.28                   ,8.6         ,-3.31           ,5.62                 ,-80.3                          ,-36.25                    ,15.02                        ,15.51           ,3.56                    ,4.1          ,5.83                ,34.87   ,8.04                 ,10.26                     ,-3.06   ,-0.29                ,-2.12                        ,2.03              ,2.3                  ,2.3          ,6.52              ,8.74         ,8.66                            ,8.86         ,4.1                        ,0.33               ,-7.91    ,-15.4              ,-19.89                       ,-4.21         ,-10.28                ,1.33                ,5.2        ,55.49                       ,-21.09         ,41.83                    ,-69.4                    ,40.51                          ,13.37                 ,-61.89                      ,-81.78                         ,12.53          ,-99.2          ,-53.54                      ,-157.3                         ,-145.68             ,13.37                ,55.68          ,13.44                ,33.71                   ,0.14943270282010057
