   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,9.54                     ,3.09            ,14.66        ,6.26                       ,- -                    ,71.43                   ,-152.84                     ,156.97        ,142.66                      ,0.77                      ,140.11            ,2.45                        ,136.17              ,39.62  ,27.46             ,71.43  ,71.43  ,4.67             ,56.5                 ,120.89            ,13.54              ,- -                ,-3.99                ,117.64                         ,94.06                   ,11.7                    ,-18.29      ,6.2             ,35.4                 ,-4.73                          ,3.29                      ,25.93                        ,16.97           ,2.5                     ,14.51        ,17.44               ,- -     ,3.19                 ,12.53                     ,0.02    ,-6.41                ,-2.69                        ,6.82              ,-21.81               ,- -          ,24.27             ,-12.54       ,21.1                            ,20.9         ,14.51                      ,-0.04              ,1121.87  ,910.63             ,6.85                         ,20.32         ,-16.74                ,-3.52               ,142.66     ,-3.99                       ,-59.14         ,36.54                    ,-42.63                   ,22.74                          ,-1.1                  ,2937.22                     ,87.49                          ,- -            ,- -            ,-375.22                     ,-46.12                         ,74.82               ,-1.1                 ,34             ,11.5                 ,-49.27                  ,0.28458717762560415
 1 ,2011 ,9.27                     ,11.01           ,8.04         ,4.38                       ,- -                    ,15.12                   ,154.21                      ,26.03         ,31.6                        ,0.52                      ,31.05             ,0.72                        ,30.8                ,11.23  ,1.79              ,15.12  ,15.12  ,-1.13            ,5.35                 ,20.56             ,0.47               ,126.59             ,1.7                  ,41.46                          ,-1.37                   ,27.68                   ,77.77       ,-14.93          ,37.68                ,-2.55                          ,4.66                      ,-10.13                       ,7.58            ,-1.76                   ,15.26        ,-17.35              ,- -     ,90.7                 ,16.68                     ,0.02    ,-7.28                ,-2.94                        ,9.97              ,-71.84               ,- -          ,23.8              ,-19.06       ,19.33                           ,19.15        ,15.26                      ,-0.16              ,-2.6     ,-18.25             ,3.16                         ,18            ,6.5                   ,8.76                ,31.6       ,1.7                         ,-25.06         ,27.82                    ,-287.39                  ,-5.43                          ,20.69                 ,0.46                        ,29.13                          ,127.78         ,-99.86         ,103.23                      ,75.72                          ,-102.65             ,20.69                ,-14.53         ,46.24                ,-28.21                  ,0.45368767727508463
 2 ,2012 ,13.67                    ,17.46           ,10.89        ,9.72                       ,- -                    ,17.19                   ,-4.92                       ,13.69         ,10.95                       ,0.82                      ,10.19             ,0.43                        ,10.61               ,14.11  ,0.39              ,17.19  ,17.19  ,-2.44            ,3.1                  ,-2.27             ,5.85               ,30.64              ,5.56                 ,-0.67                          ,3.53                    ,25.72                   ,28.55       ,11.05           ,10.66                ,12.9                           ,12.01                     ,20.15                        ,7.33            ,12.74                   ,11.67        ,52.08               ,- -     ,-36.56               ,6.46                      ,0.02    ,-0.72                ,-0.27                        ,4.43              ,-2.67                ,- -          ,17.42             ,-50.97       ,16.51                           ,16.58        ,11.67                      ,1.07               ,6.75     ,-8.43              ,5.64                         ,3.95          ,38.23                 ,7.38                ,10.95      ,5.56                        ,202.4          ,5.79                     ,75.25                    ,6.64                           ,60.97                 ,-108.7                      ,-4.46                          ,31.71          ,- -            ,-2.5                        ,17.55                          ,-303.97             ,60.97                ,-20.1          ,12.35                ,-4                      ,0.04872619481416263
 3 ,2013 ,11.98                    ,83.52           ,-43.58       ,-80.13                     ,- -                    ,23.54                   ,-994.71                     ,-111.17       ,-99.36                      ,-0.68                     ,-99.4             ,-1.39                       ,-99.39              ,20.94  ,8                 ,25.45  ,23.54  ,-49.61           ,10.33                ,-99.46            ,-1.56              ,23.44              ,7.03                 ,58.75                          ,116.7                   ,15.54                   ,-10.5       ,29.83           ,30.28                ,20.37                          ,12.73                     ,-3.66                        ,191.79          ,50.4                    ,40.12        ,169.27              ,- -     ,84.75                ,143.34                    ,136.43  ,3.59                 ,85.17                        ,126.57            ,605.49               ,14.29        ,-18.15            ,195.15       ,-12.31                          ,-12.36       ,40.12                      ,0.52               ,99.73    ,127.91             ,-46.56                       ,-46.46        ,-29.12                ,13.75               ,-99.36     ,12.92                       ,835.03         ,-7.36                    ,-209.64                  ,69.14                          ,34.45                 ,432.01                      ,44.89                          ,22.59          ,2334.09        ,9.09                        ,-84.86                         ,4409.42             ,34.45                ,103.53         ,-5.52                ,28098.91                ,0.18505585804558078
 4 ,2014 ,10.45                    ,7.77            ,17.21        ,5.69                       ,- -                    ,26.52                   ,-115.06                     ,-1474.38      ,23396.59                    ,0.52                      ,24687.85          ,0.12                        ,24787.52            ,23.69  ,11.99             ,24.59  ,26.52  ,6.13             ,14.55                ,22460.28          ,5.24               ,23.87              ,20.44                ,-42.98                         ,-33.67                  ,12.4                    ,-1.83       ,6.73            ,-23.81               ,-148.21                        ,-54.78                    ,50.2                         ,218.52          ,8.91                    ,-6.63        ,-50.35              ,- -     ,-20.9                ,-43.49                    ,57.63   ,9.64                 ,47.28                        ,-22.11            ,-85.83               ,-12.5        ,26.06             ,-62.24       ,17.67                           ,17.66        ,-6.63                      ,-0.49              ,-126.63  ,-122.64            ,33.63                        ,34.83         ,-15.37                ,4.95                ,23396.59   ,14.15                       ,-99.92         ,28.74                    ,-563.56                  ,-79.1                          ,0.84                  ,1.61                        ,-42.06                         ,24.52          ,-0.16          ,81.55                       ,476.06                         ,-159.99             ,0.84                 ,-131.48        ,127.32               ,-99.92                  ,-0.05147130879251072
 5 ,2015 ,16.51                    ,14.8            ,20.47        ,20.72                      ,- -                    ,20                      ,50.34                       ,23.52         ,33.45                       ,-0.69                     ,34.26             ,-0.85                       ,34.47               ,21.01  ,3.86              ,20     ,20     ,3.4              ,3                    ,14.44             ,-6.5               ,19.4               ,24.77                ,-12.6                          ,-10.44                  ,13.95                   ,19.75       ,18.72           ,4.41                 ,-5.05                          ,16.18                     ,-20.26                       ,21.94           ,22.92                   ,15.75        ,19.37               ,- -     ,22.01                ,20.23                     ,14.61   ,59.43                ,21.81                        ,20.94             ,6.23                 ,114.29       ,14.75             ,-888.14      ,10.36                           ,10.36        ,15.75                      ,-0.93              ,140.48   ,117.92             ,-16.45                       ,-13.16        ,-7.67                 ,24.61               ,33.45      ,24.77                       ,-14953.33      ,14.52                    ,-112.62                  ,516.83                         ,12.3                  ,-79.88                      ,85.92                          ,18.58          ,13.36          ,101.05                      ,262.02                         ,-96.68              ,12.3                 ,-542.13        ,-48.19               ,362.63                  ,0.48937890848067345
 6 ,2016 ,11.24                    ,10.43           ,13.02        ,13.7                       ,- -                    ,15                      ,-37.51                      ,7.57          ,2.16                        ,-1.62                     ,3.87              ,-1.76                       ,4.02                ,13.98  ,2.46              ,15     ,15     ,1.6              ,3.38                 ,-8.14             ,4.23               ,28.95              ,10.31                ,40.45                          ,39.13                   ,6.93                    ,5.52        ,-51.11          ,9.37                 ,2.76                           ,10.9                      ,125.16                       ,7.69            ,18.23                   ,15.13        ,11.65               ,199900  ,17.26                ,24.45                     ,36.41   ,10.3                 ,30.92                        ,27.35             ,- -                  ,- -          ,-0.42             ,-45.64       ,1.13                            ,1.22         ,15.13                      ,-1.66              ,80.25    ,78.08              ,-16.01                       ,-12.12        ,-2.4                  ,6.72                ,2.16       ,10.31                       ,-267.46        ,3.96                     ,26.61                    ,22.03                          ,10.48                 ,-1786.73                    ,46.21                          ,26.86          ,47.85          ,47.46                       ,-22.45                         ,-2274.01            ,10.48                ,28.19          ,-21.51               ,19.42                   ,-0.15663923556818582
 7 ,2017 ,5.02                     ,6.56            ,1.7          ,2.4                        ,- -                    ,1.12                    ,21.98                       ,2.83          ,2.34                        ,-1.5                      ,3.94              ,-1.7                        ,4.14                ,1.64   ,-3.22             ,1.12   ,1.12   ,-3.16            ,-3.72                ,-2.52             ,-3.7               ,25                 ,3.59                 ,18.9                           ,15.67                   ,13.22                   ,-1.05       ,2.31            ,10.98                ,15.89                          ,8.51                      ,-31.57                       ,2.35            ,-5.09                   ,0.25         ,-0.47               ,- -     ,6.1                  ,-7.17                     ,22.81   ,9.51                 ,20.45                        ,5.57              ,-0.23                ,-6.67        ,-6.5              ,43.54        ,-7.37                           ,-7.36        ,0.25                       ,-1.98              ,-0.21    ,7.72               ,-7.12                        ,19.56         ,-3.26                 ,9.06                ,2.34       ,3.59                        ,-64.46         ,-19.3                    ,-74.59                   ,-8.76                          ,5.49                  ,-160.39                     ,-61.76                         ,23.12          ,-40.2          ,3.1                         ,71.52                          ,-46.41              ,5.49                 ,-15.31         ,6.1                  ,-10.88                  ,-0.1405943546934687
 8 ,2018 ,10.42                    ,11.82           ,7.24         ,26.25                      ,- -                    ,-2.32                   ,369.1                       ,33.87         ,56.61                       ,-4.61                     ,64.2              ,-4.58                       ,64.14               ,2.99   ,-6.73             ,-2.32  ,-2.32  ,-2.88            ,-11.54               ,41.85             ,5.11               ,26.01              ,22.38                ,232.15                         ,255.61                  ,-20.37                  ,2.68        ,308.49          ,136.48               ,-23.27                         ,20.52                     ,-41.17                       ,26.47           ,28.41                   ,68.15        ,28                  ,-12.52  ,23.47                ,34.67                     ,131.15  ,986.48               ,268.96                       ,157.96            ,-0.24                ,-7.14        ,-73.8             ,112.28       ,-78.54                          ,-78.45       ,68.15                      ,-8.56              ,-53.49   ,115.85             ,-162.03                      ,75.59         ,-27.96                ,5.05                ,56.62      ,22.38                       ,-703.17        ,42.22                    ,7607.25                  ,185.98                         ,30.08                 ,-41.02                      ,177.82                         ,20.2           ,644.35         ,268.96                      ,8.04                           ,1862.66             ,30.08                ,275.21         ,-59.12               ,82.59                   ,0.20973340927647055
 9 ,2019 ,7.24                     ,9.52            ,1.85         ,3.7                        ,- -                    ,2.87                    ,-72.11                      ,-22.73        ,-20.44                      ,-11.68                    ,-9.81             ,-11.57                      ,-9.92               ,4.94   ,-2.14             ,2.87   ,2.87   ,-5.02            ,-4.07                ,-25.72            ,-9.81              ,14.39              ,10.98                ,-69.15                         ,-69.32                  ,26.85                   ,9.2         ,-66.63          ,-54.75               ,5.32                           ,8.48                      ,2.26                         ,15.82           ,16.32                   ,-20.44       ,34.84               ,- -     ,-20.31               ,8.52                      ,22.85   ,-1.11                ,11.48                        ,10.75             ,-0.24                ,-7.69        ,-495.99           ,52.38        ,-632.89                         ,-629.94      ,-20.44                     ,-9.51              ,1140.19  ,-334.03            ,303.58                       ,-58.3         ,-18.29                ,18.9                ,-20.44     ,10.98                       ,105.75         ,23.05                    ,-76.15                   ,-57.72                         ,-8.59                 ,-46.32                      ,-57.2                          ,1.03           ,-64.26         ,40.59                       ,210.13                         ,-195.06             ,-8.59                ,-67.47         ,176.56               ,-46.93                  ,0.10207155482654429
