   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,1.36                     ,- -             ,4.07         ,18.29                      ,- -                    ,- -                     ,-38.95                      ,-38.95        ,-42.31                      ,3.03                      ,-44.01            ,2.93                        ,-43.96              ,-8.18  ,-9.41             ,- -   ,- -  ,- -              ,- -                  ,-43.09            ,-1.8               ,0.19               ,-8.18                ,4.01                           ,4.01                    ,26.81                   ,- -         ,- -             ,-53.69               ,-2.65                          ,                     2.17 ,40.89                        ,265.05          ,91.74                   ,22.72        ,12.39               ,- -     ,- -                  ,12.39                     ,32.67   ,30.32                ,30.41                        ,22.72             ,               31.83 ,- -          ,             2.29 ,-108.38      ,22.73                           ,22.73        ,22.72                      ,3.47               ,2.28     ,-16.66             ,0.29                         ,-58.79        ,- -                   ,3.23                ,-42.31     ,-8.18                       ,-32.95         ,16                       ,-265.76                  ,-100.63                        ,-7.86                 ,10.37                       ,9.63                           ,          3.23 ,-6.16          ,- -                         ,-21.47                         ,-218.26             ,-7.86                ,-110.64        ,1110.45              ,-101.09                 ,-0.20552947399482724
 1 ,2011 ,9.95                     ,- -             ,10.15        ,-5.05                      ,- -                    ,- -                     ,78.69                       ,78.69         ,90.31                       ,3.02                      ,84.72             ,2.93                        ,84.89               ,6.16   ,-3.44             ,- -   ,- -  ,- -              ,- -                  ,73.08             ,-0.19              ,-0.57              ,6.16                 ,54.06                          ,-68.65                  ,-2.99                   ,- -         ,-102.07         ,228.19               ,9.78                           ,                     7.76 ,17.99                        ,-88.63          ,-28.76                  ,17.27        ,12.56               ,- -     ,- -                  ,8.42                      ,-0.25   ,23.05                ,22.16                        ,16.79             ,               26.02 ,7.14         ,             7.68 ,-50          ,23.9                            ,23.9         ,17.27                      ,5.72               ,-73.99   ,-79.01             ,-4.43                        ,202.71        ,- -                   ,10.16               ,90.31      ,6.16                        ,703.39         ,13.79                    ,-245.36                  ,-27477.78                      ,39.53                 ,-46.21                      ,-43.76                         ,          2.43 ,- -            ,- -                         ,-17.82                         ,-213.23             ,39.53                ,-1755.07       ,-96.89               ,-14486.01               ,-0.3312615113728735
 2 ,2012 ,3.35                     ,- -             ,4.03         ,3.85                       ,- -                    ,- -                     ,4.17                        ,4.17          ,7.41                        ,3.83                      ,-1.57             ,3.74                        ,-1.49               ,26.45  ,22.35             ,- -   ,- -  ,- -              ,- -                  ,3.92              ,5.6                ,10.02              ,26.45                ,37.85                          ,45.9                    ,27.04                   ,- -         ,- -             ,34.41                ,-1.46                          ,                     0.6  ,30.9                         ,-237.26         ,11.74                   ,23.11        ,13.31               ,- -     ,17.47                ,13.15                     ,-18.44  ,30.15                ,28.63                        ,23.02             ,                1.43 ,- -          ,             7.22 ,3625         ,24.31                           ,24.31        ,23.11                      ,0.5                ,66.61    ,34.03              ,-6.58                        ,18.79         ,- -                   ,-2.13               ,7.41       ,26.45                       ,0.84           ,6.06                     ,-134.6                   ,-48.62                         ,-17.78                ,102.84                      ,87.61                          ,         14.24 ,-7.28          ,- -                         ,90.71                          ,6.3                 ,-17.78               ,-51.05         ,141.97               ,-52.16                  ,0.164759773006675
 3 ,2013 ,10.92                    ,- -             ,10.92        ,10.6                       ,- -                    ,- -                     ,17.59                       ,17.59         ,15.41                       ,0.86                      ,13.4              ,1.41                        ,12.79               ,3.06   ,-7.09             ,- -   ,- -  ,- -              ,- -                  ,4.05              ,10.92              ,8.26               ,3.06                 ,0.95                           ,-38.97                  ,4.19                    ,- -         ,- -             ,1.59                 ,17.04                          ,                     3.12 ,26.92                        ,168.87          ,14.62                   ,7.49         ,-10.81              ,- -     ,-3.35                ,-11.11                    ,16.61   ,16.71                ,16.71                        ,7.43              ,                1.8  ,- -          ,             8.17 ,-96.98       ,8.26                            ,8.26         ,7.49                       ,1.52               ,-46.85   ,-50.9              ,3.83                         ,14.28         ,- -                   ,- -                 ,15.41      ,3.06                        ,-41.21         ,10.48                    ,-130.36                  ,30.81                          ,68.24                 ,20.67                       ,23.31                          ,          9.2  ,-57.69         ,- -                         ,-29.08                         ,-223.87             ,68.24                ,25.85          ,37.01                ,13.34                   ,0.5370085910398767
 4 ,2014 ,11.41                    ,- -             ,11.41        ,5.91                       ,- -                    ,- -                     ,24.05                       ,24.05         ,23.34                       ,1.4                       ,23.13             ,1.7                         ,22.76               ,-1.49  ,-11.57            ,- -   ,- -  ,- -              ,- -                  ,10.71             ,5.31               ,-0.04              ,-1.49                ,11.46                          ,47.04                   ,11.48                   ,- -         ,- -             ,11.46                ,31.52                          ,                    13.53 ,8.78                         ,35.91           ,3.58                    ,7.66         ,-0.68               ,- -     ,14.5                 ,-1.33                     ,-0.21   ,10.65                ,10.44                        ,7.19              ,                2.5  ,- -          ,            10.21 ,1733.33      ,13.7                            ,13.7         ,7.66                       ,1.07               ,61.43    ,41.98              ,9.67                         ,12.97         ,- -                   ,5.8                 ,23.34      ,-1.49                       ,-27.05         ,-0.86                    ,510.78                   ,41.79                          ,60.64                 ,-61.65                      ,-58.13                         ,          1.36 ,- -            ,- -                         ,-28.06                         ,-173.66             ,60.64                ,38.45          ,-16.36               ,14.95                   ,0.057867273557228094
 5 ,2015 ,5.2                      ,- -             ,5.2          ,2.68                       ,- -                    ,- -                     ,7.75                        ,7.75          ,9.54                        ,0.92                      ,7.18              ,0.91                        ,7.19                ,12.56  ,7                 ,- -   ,- -  ,- -              ,- -                  ,4.12              ,0.39               ,2.81               ,12.56                ,17.35                          ,5.41                    ,11.08                   ,- -         ,- -             ,16.09                ,10.2                           ,                     0.1  ,29.64                        ,57.82           ,21.91                   ,18.8         ,-0.53               ,- -     ,18.45                ,-1.48                     ,52.19   ,25.81                ,26.28                        ,19.24             ,                2.51 ,- -          ,            10.35 ,-181.21      ,13.55                           ,13.55        ,18.8                       ,0.73               ,-4.02    ,-15.47             ,-6.59                        ,17.83         ,- -                   ,4.79                ,9.54       ,12.56                       ,34.15          ,17.39                    ,-212.36                  ,-46.93                         ,-33.5                 ,292.51                      ,240.95                         ,          3.75 ,389.45         ,- -                         ,189.11                         ,-83.08              ,-33.5                ,-49.69         ,98.38                ,-51.55                  ,0.10646637754830168
 6 ,2016 ,17.33                    ,- -             ,17.41        ,9                          ,- -                    ,- -                     ,31.33                       ,31.33         ,30.55                       ,0.68                      ,27.14             ,0.53                        ,27.33               ,4.46   ,-10.97            ,- -   ,- -  ,- -              ,- -                  ,11.26             ,10.82              ,24.73              ,4.46                 ,13.62                          ,-9.6                    ,0.73                    ,- -         ,- -             ,11.13                ,13.45                          ,                    10.3  ,31.77                        ,27.23           ,33.09                   ,21.59        ,7.14                ,- -     ,8.37                 ,7.07                      ,-0.48   ,25.94                ,25.37                        ,21.52             ,                2.76 ,- -          ,            12.41 ,21.64        ,22.53                           ,22.53        ,21.59                      ,0.94               ,-12.47   ,-28.57             ,-4.38                        ,3.8           ,- -                   ,5.88                ,30.55      ,4.46                        ,54.91          ,4.44                     ,-116.14                  ,113.64                         ,30.08                 ,36.1                        ,35.47                          ,         25.58 ,531.8          ,- -                         ,24.9                           ,-286.99             ,30.08                ,136.33         ,-39.16               ,63.65                   ,0.11477523941831946
 7 ,2017 ,15.32                    ,- -             ,15.24        ,15.06                      ,- -                    ,- -                     ,21.95                       ,21.95         ,24.62                       ,1.13                      ,23.46             ,1.42                        ,23.1                ,14.96  ,-0.32             ,- -   ,- -  ,- -              ,- -                  ,8.06              ,6.15               ,20.45              ,14.96                ,-27.19                         ,31.3                    ,18.44                   ,- -         ,- -             ,-19.22               ,13.24                          ,                     9.8  ,12.06                        ,-57.11          ,34.7                    ,8.9          ,-13.02              ,- -     ,20.55                ,24.1                      ,65.26   ,4.03                 ,5.07                         ,8.59              ,                2.01 ,- -          ,            13.91 ,-6.75        ,12.81                           ,12.81        ,8.9                        ,0.94               ,-169.03  ,-161.19            ,7.7                          ,-34.91        ,- -                   ,8.64                ,24.62      ,14.96                       ,41.78          ,8.51                     ,-1838.05                 ,-52.55                         ,15.61                 ,-49.98                      ,-47.2                          ,         21.81 ,101.42         ,- -                         ,-35.36                         ,-394.7              ,15.61                ,-62.74         ,141.16               ,-61.93                  ,0.11732650984592685
 8 ,2018 ,17.57                    ,- -             ,17.57        ,11.3                       ,- -                    ,- -                     ,24.99                       ,24.99         ,48.98                       ,0.67                      ,51.69             ,0.59                        ,51.81               ,13.75  ,-3.24             ,- -   ,- -  ,- -              ,- -                  ,26.72             ,6.11               ,32.05              ,13.75                ,47.19                          ,96.51                   ,4.98                    ,- -         ,-121.4          ,36.27                ,20.26                          ,                    10.73 ,23.11                        ,110.82          ,13.95                   ,21.87        ,6.14                ,- -     ,70.28                ,-31.15                    ,44.71   ,36.96                ,37.17                        ,22.72             ,                3.34 ,- -          ,            20.27 ,65.79        ,11.58                           ,11.58        ,21.87                      ,-0.96              ,-481.36  ,-441.78            ,-6.05                        ,97.91         ,- -                   ,10.8                ,48.98      ,13.75                       ,21.36          ,28.76                    ,-502.75                  ,886.22                         ,42.5                  ,115.55                      ,98.09                          ,         32.94 ,-82.35         ,-284.16                     ,108.71                         ,462.61              ,42.5                 ,1277.29        ,-89.82               ,561.98                  ,-0.12196370232846665
 9 ,2019 ,5.81                     ,- -             ,5.81         ,5.29                       ,- -                    ,- -                     ,6.27                        ,6.27          ,5.62                        ,-2.74                     ,8.91              ,-3.01                       ,9.21                ,14.05  ,7.79              ,- -   ,- -  ,- -              ,- -                  ,-0.19             ,4.74               ,38.49              ,14.05                ,-4.01                          ,4.88                    ,-0.23                   ,- -         ,-144.55         ,-3.15                ,52.91                          ,                    25.66 ,-6.65                        ,-41.69          ,0.68                    ,-0.84        ,19.26               ,- -     ,15.28                ,19.84                     ,8.03    ,-4.49                ,-4.13                        ,-1.27             ,                3.48 ,- -          ,            15.18 ,-134.92      ,4.98                            ,4.98         ,-0.84                      ,-3.51              ,3.59     ,-1.33              ,7.28                         ,-19.18        ,- -                   ,1.03                ,5.62       ,14.05                       ,13.23          ,-7.11                    ,-43.84                   ,-25.14                         ,24.21                 ,-136.03                     ,-129.5                         ,         34.69 ,-80.39         ,122                         ,-129.55                        ,-61.45              ,24.21                ,-27.5          ,45.62                ,-29.12                  ,-0.12501147973292825
