   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                    9.62 ,12.12           ,6.68         ,                      6.22 ,- -                    ,17.61                   ,404.59                      ,8.83          ,6.11                        ,-5.72                     ,12.55             ,-4.96                       ,11.64               ,14.43  ,4.39              ,17.61 ,17.61  ,-2.68            ,7.3                  ,-3.2              ,-0.62              ,              2.06 ,2.58                 ,-15.5                          ,-15.5                   ,31.69                   ,24.27       ,20.53           ,25.07                ,16.3                           ,9.23                      ,- -                          ,15.46           ,15.73                   ,19.55        ,41.05               ,1034.68 ,- -                  ,48.09                     ,-17.16  ,29.08                ,3.93                         ,25.66             ,12.07                ,1.18         ,6.77              ,-12.33       ,7.95                            ,7.95         ,19.55                      ,-2.21              ,31.8     ,22.09              ,22.17                        ,-15.55        ,-1.98                 ,10.29               ,6.11       ,2.58                        ,7.7            ,81.67                    ,-130.75                  ,-17.76                         ,37.05                 ,156.45                      ,275.73                         ,-3.78          ,-96.86         ,-29.17                      ,-67.26                         ,-115.07             ,37.05                ,-24.28         ,46.41                ,-22.5                   ,0.2585575881123341
 1 ,2011 ,                   12.72 ,16.9            ,7.57         ,                      8.53 ,- -                    ,4.62                    ,-40.87                      ,9.41          ,-4.46                       ,-3.32                     ,-1.18             ,-2.86                       ,-1.64               ,4.35   ,-7.43             ,4.62  ,4.62   ,-4.57            ,-7.19                ,-15.24            ,10.12              ,              1.51 ,3.19                 ,-44.19                         ,-44.19                  ,7.99                    ,0.99        ,-2.67           ,2.16                 ,0.46                           ,1.93                      ,- -                          ,0.39            ,0.41                    ,1.16         ,-6.6                ,-10.68  ,42.21                ,4.78                      ,-1.4    ,7.42                 ,3.6                          ,4.29              ,-3.38                ,-53.55       ,-84.32            ,32.18        ,-5.75                           ,-5.75        ,1.16                       ,-2.96              ,-2.59    ,3.35               ,85.63                        ,-2.5          ,-11.19                ,2.36                ,-4.46      ,3.19                        ,6.53           ,13.96                    ,-81.62                   ,4.14                           ,22.88                 ,23.23                       ,-43.31                         ,-1.86          ,175.56         ,-2.21                       ,112.56                         ,147.81              ,22.88                ,0.1            ,-2.95                ,9                       ,0.08505254483600488
 2 ,2012 ,                    8.77 ,5.8             ,12.76        ,                      8.11 ,- -                    ,30.31                   ,-19.38                      ,33.14         ,53.94                       ,-1.7                      ,56.6              ,-1.65                       ,56.52               ,24.45  ,14.42             ,30.31 ,30.31  ,3.66             ,19.81                ,41.53             ,5.06               ,              6.65 ,-0.94                ,2538.21                        ,2538.21                 ,4.31                    ,-0.7        ,6.92            ,39.25                ,0.98                           ,4.64                      ,- -                          ,5.39            ,3.97                    ,19.23        ,-4.41               ,-79.46  ,25.42                ,-13.23                    ,155.33  ,2.62                 ,65.62                        ,19.68             ,27.07                ,3.88         ,62.15             ,0.68         ,18.12                           ,18.12        ,19.23                      ,-0.56              ,-12.32   ,-25.77             ,-363.71                      ,60.49         ,-3.86                 ,3.53                ,42.81      ,-0.94                       ,-15.97         ,12.81                    ,193.14                   ,20.67                          ,2.15                  ,3.69                        ,23.29                          ,4.84           ,2351.62        ,51.83                       ,-160.31                        ,-4946.84            ,2.15                 ,25.56          ,40.42                ,-21.61                  ,0.610770617364103
 3 ,2013 ,                    6.83 ,4.83            ,9.34         ,                      8.41 ,- -                    ,12.24                   ,77.56                       ,9.99          ,10.64                       ,-0.8                      ,11.53             ,-0.85                       ,11.58               ,11.13  ,4.03              ,12.24 ,12.24  ,2.35             ,5.07                 ,3.57              ,-3.05              ,             28.4  ,4.79                 ,-13.65                         ,-13.65                  ,6.32                    ,5.49        ,3.43            ,0.3                  ,5.74                           ,5.94                      ,- -                          ,3.91            ,4.48                    ,2.37         ,6.89                ,724.35  ,7.22                 ,34.75                     ,-31.23  ,2.43                 ,-18.98                       ,3.71              ,9.82                 ,1.15         ,44.65             ,-13.32       ,-0.96                           ,-0.96        ,2.37                       ,-3.04              ,15.99    ,17.12              ,25.16                        ,-25.57        ,1.39                  ,10.19               ,19.26      ,4.79                        ,53.18          ,6.73                     ,-47.49                   ,22.06                          ,6.09                  ,-1.08                       ,-1.21                          ,27.36          ,-99.95         ,37.92                       ,-397.76                        ,-112.96             ,6.09                 ,25.5           ,0.65                 ,10.32                   ,-0.0895125675016375
 4 ,2014 ,                    9.27 ,7.11            ,11.87        ,                     11.25 ,- -                    ,13.75                   ,-24.17                      ,15.86         ,15.06                       ,-4.67                     ,20.69             ,-4.18                       ,20.08               ,12.65  ,3.1               ,13.75 ,13.75  ,2.38             ,4.11                 ,5.3               ,3.65               ,             10.16 ,5.94                 ,-94.53                         ,-94.53                  ,2.99                    ,6.46        ,4.84            ,-18.74               ,-0.03                          ,3.42                      ,- -                          ,-3.82           ,-2.62                   ,-10.6        ,2.9                 ,13.88   ,6.76                 ,6.02                      ,0.03    ,-5.31                ,-2.43                        ,2.21              ,11.91                ,1.44         ,36.67             ,47.01        ,-43.85                          ,-43.85       ,-10.6                      ,-5.42              ,80.63    ,221.66             ,-313.89                      ,-23.35        ,-4.41                 ,5.42                ,15.06      ,5.94                        ,-27.42         ,11.6                     ,657.3                    ,-0.21                          ,20.32                 ,17.19                       ,-8.35                          ,5.02           ,211.63         ,93.52                       ,71.93                          ,544.93              ,20.32                ,-3.94          ,35.56                ,-13.27                  ,0.334621180830571
 5 ,2015 ,                    1.88 ,-3.1            ,7.64         ,                      2.16 ,- -                    ,23.88                   ,45.11                       ,23.11         ,21.71                       ,-4.15                     ,26.98             ,-4.25                       ,27.11               ,20.69  ,18.46             ,23.88 ,23.88  ,5.65             ,21.59                ,19.46             ,-0.7               ,             21    ,-0.19                ,405.12                         ,405.12                  ,-1.44                   ,-1.45       ,-11.5           ,3.59                 ,2.04                           ,3.11                      ,- -                          ,-1.28           ,-0.2                    ,1.5          ,7.54                ,-93.76  ,-6.16                ,-20.1                     ,71.03   ,-4.89                ,37.12                        ,4.55              ,11.49                ,1.08         ,33.17             ,24.4         ,-12.9                           ,-12.9        ,1.5                        ,-2.6               ,-0.43    ,14.32              ,14.09                        ,29.65         ,-13.28                ,2.6                 ,21.71      ,-0.19                       ,7.48           ,11.75                    ,-175.74                  ,33.84                          ,16.85                 ,-40.92                      ,-6.91                          ,15.97          ,54005.43       ,-30.45                      ,-33.18                         ,-125.66             ,16.85                ,37.7           ,-27.98               ,9.96                    ,0.0037544874794672722
 6 ,2016 ,                    4.55 ,2.65            ,6.53         ,                      5.78 ,- -                    ,8.36                    ,133.52                      ,2.99          ,7.48                        ,-0.39                     ,7.9               ,-0.06                       ,7.55                ,7.4    ,2.72              ,8.36  ,8.36   ,1.89             ,3.64                 ,2.8               ,0.02               ,             25.5  ,-0.43                ,332.48                         ,332.48                  ,10.47                   ,4.89        ,36.8            ,36.42                ,5.19                           ,6.07                      ,- -                          ,-2.95           ,-0.25                   ,16.59        ,-4.04               ,1639.29 ,17.68                ,32.09                     ,-36.92  ,-3.29                ,-26.5                        ,-1.01             ,6.5                  ,0.69         ,25.42             ,-7.96        ,116.43                          ,116.43       ,16.59                      ,0.83               ,-39.52   ,-72.05             ,-176.52                      ,3.28          ,6.83                  ,4.53                ,7.48       ,-0.43                       ,69.37          ,-0.32                    ,-411.69                  ,-9.6                           ,2                     ,57.31                       ,5.25                           ,25.01          ,-99.94         ,- -                         ,-68.65                         ,290.78              ,2                    ,-11.84         ,13.18                ,-15.89                  ,-0.04747161891085061
 7 ,2017 ,                   26.39 ,38.25           ,14.5         ,                     15.21 ,- -                    ,1.01                    ,54.58                       ,-4.2          ,60.13                       ,1.17                      ,54.66             ,0.46                        ,55.74               ,16     ,-8.22             ,17.29 ,1.01   ,-9.4             ,-20.08               ,23.8              ,2.05               ,              1.05 ,4.58                 ,-77.05                         ,-77.05                  ,70.96                   ,68.62       ,-18.83          ,23.12                ,71.29                          ,27.92                     ,- -                          ,570.93          ,395.73                  ,195.57       ,68.3                ,-14.34  ,27.67                ,40.93                     ,716.11  ,187.11               ,500.47                       ,233.73            ,9.04                 ,0.86         ,35.89             ,-28.77       ,96.56                           ,96.56        ,195.57                     ,0.94               ,870.73   ,393.87             ,-1481.9                      ,-12.64        ,39.88                 ,23.84               ,60.13      ,148.73                      ,-305.16        ,25.22                    ,-100.77                  ,43.97                          ,-6.79                 ,-40.37                      ,2878.32                        ,2.23           ,1654933.8      ,- -                         ,-2219.42                       ,-193.1              ,-6.79                ,55.32          ,12.09                ,-7.98                   ,0.3469436636127492
 8 ,2018 ,                   17.02 ,23.33           ,9.4          ,                      8.67 ,- -                    ,6.19                    ,115.84                      ,-11.03        ,-38.87                      ,0.09                      ,-37.5             ,0.06                        ,-37.48              ,9.46   ,-6.46             ,4.99  ,6.19   ,-6.52            ,-9.26                ,-46.54            ,15.55              ,              1.13 ,53.85                ,-23.85                         ,-23.85                  ,-4.08                   ,0.77        ,-0.21           ,-2.72                ,-5.34                          ,1.85                      ,- -                          ,-4.43           ,-4.54                   ,-4.13        ,-36.73              ,0.11    ,266.56               ,7.79                      ,-11.91  ,0.18                 ,-9.56                        ,-5.3              ,6.13                 ,0.69         ,13.52             ,63.67        ,1.04                            ,1.04         ,-4.13                      ,-0.82              ,-10.94   ,-11.86             ,-5.44                        ,-9.75         ,-7.03                 ,1.28                ,-38.87     ,21.25                       ,-114.69        ,-8.53                    ,9893.32                  ,3.17                           ,12.66                 ,-36.55                      ,-97.22                         ,1.22           ,-97.28         ,-40.76                      ,-126.81                        ,-91.59              ,12.66                ,1.9            ,-9.29                ,64.91                   ,0.030085073448264832
 9 ,2019 ,                    2.09 ,-2.48           ,8.32         ,                      1.74 ,- -                    ,28.32                   ,-17.45                      ,45.76         ,39.01                       ,-1.28                     ,40.82             ,-1.64                       ,41.33               ,20.63  ,18.16             ,23.92 ,28.32  ,6.11             ,25.7                 ,36.17             ,-10.85             ,             32    ,-1.67                ,4.05                           ,4.05                    ,3.47                    ,4.09        ,43.52           ,7.03                 ,-45.21                         ,-12.86                    ,- -                          ,14.43           ,7.27                    ,7.21         ,5.27                ,58.29   ,-11.98               ,5.63                      ,8.19    ,1.33                 ,6.71                         ,6.41              ,8.54                 ,0.87         ,17.94             ,7.87         ,10.52                           ,10.52        ,7.21                       ,-1.04              ,-7.23    ,-16.07             ,-28.16                       ,1.32          ,-2.01                 ,14.51               ,39.01      ,-3.59                       ,1110.95        ,23.14                    ,-410.51                  ,19.43                          ,31.04                 ,62.15                       ,83.83                          ,30.31          ,494.64         ,26.98                       ,5.71                           ,-122.53             ,31.04                ,17.71          ,20.51                ,-14.09                  ,0.20819366711468357
