   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,19.46                    ,23.59           ,6.59         ,4.33                       ,14.59                  ,5.39                    ,-451.58                     ,31.06         ,34.83                       ,4.34                      ,30.49             ,4.04                        ,30.87               ,7.65   ,-9.89             ,5.39   ,5.39   ,-10.77           ,-11.78               ,13.97             ,19.46              ,-0.92              ,11.43                ,77.99                          ,1953.5                  ,35.97                   ,103.86      ,-303.7          ,32.59                ,24.96                          ,24.06                     ,-34.42                       ,123.7           ,69.67                   ,54.55        ,34.01               ,130.76  ,- -                  ,49                        ,26.68   ,50.34                ,35.57                        ,42.42             ,149.53               ,149.53       ,14.49             ,3.52         ,63.32                           ,63.52        ,54.55                      ,13.91              ,-40.37   ,-63.53             ,-22.51                       ,-11.02        ,83.79                 ,- -                 ,35.77      ,11.43                       ,1577.53        ,6.45                     ,-89.45                   ,4.33                           ,35.2                  ,-188.27                     ,-26.99                         ,3.38           ,42.68          ,280.69                      ,18.6                           ,2024.07             ,35.2                 ,-21.42         ,15.86                ,-23.37                  ,0.17217983059947617
 1 ,2011 ,44.06                    ,46.14           ,36.55        ,-34.31                     ,15.45                  ,51.22                   ,-136.55                     ,22.92         ,12.35                       ,7.92                      ,8.51              ,7.76                        ,8.68                ,38.74  ,-3.7              ,51.22  ,51.22  ,-5.21            ,4.97                 ,-18.71            ,44.06              ,15.83              ,18.92                ,-3.25                          ,-3.27                   ,14.76                   ,23.55       ,-26.82          ,13.49                ,7.64                           ,10.77                     ,-47.11                       ,1.65            ,3.1                     ,6.73         ,11.45               ,-46.96  ,- -                  ,-2.57                     ,55.08   ,19.61                ,40.3                         ,17.43             ,-2.36                ,-2.36        ,14.48             ,28.5         ,0.12                            ,-0.17        ,6.73                       ,-2                 ,63.5     ,63.77              ,-9.88                        ,16.48         ,-4.17                 ,- -                 ,17.51      ,18.92                       ,-109.38        ,37.37                    ,8791.3                   ,12.29                          ,32.58                 ,-65.69                      ,19.98                          ,25             ,144.55         ,94.93                       ,91.63                          ,-104.88             ,32.58                ,-16.84         ,-27.42               ,-4.12                   ,-0.17153704334724496
 2 ,2012 ,6.6                      ,5.21            ,11.96        ,-5.15                      ,10.08                  ,13.56                   ,15.85                       ,13.46         ,14.08                       ,-1.41                     ,11.44             ,-1.62                       ,11.67               ,11.28  ,4.39              ,13.56  ,13.56  ,5.03             ,6.53                 ,3.07              ,6.6                ,11.73              ,6.67                 ,-21.07                         ,-60.53                  ,19.48                   ,1.81        ,-208.45         ,17.61                ,13.75                          ,12.24                     ,-4.3                         ,4.45            ,7.87                    ,11.5         ,11.85               ,54.03   ,- -                  ,17.37                     ,11.14   ,2.06                 ,7.91                         ,12.1              ,2.35                 ,2.35         ,13.95             ,9.31         ,11.16                           ,11.04        ,11.5                       ,-0.41              ,90.46    ,71.52              ,7.41                         ,0.21          ,3.97                  ,- -                 ,9.08       ,6.67                        ,-81.43         ,23.16                    ,6.6                      ,8.41                           ,17.52                 ,-449.86                     ,74.81                          ,10.15          ,-58.86         ,-67.58                      ,-87.44                         ,-433.93             ,17.52                ,-12.42         ,-11.45               ,-1.32                   ,-0.10399804531048984
 3 ,2013 ,7.4                      ,6.88            ,9.26         ,2.72                       ,0.51                   ,10.97                   ,-205.17                     ,20.86         ,25.15                       ,-0.53                     ,23.27             ,-0.45                       ,23.17               ,8.99   ,1.49              ,10.97  ,10.97  ,1.74             ,3.33                 ,14.18             ,7.4                ,12.88              ,4.74                 ,33.41                          ,82.26                   ,1.29                    ,-3.8        ,0.52            ,8.57                 ,2.14                           ,6.02                      ,48.16                        ,13.64           ,9.32                    ,9.02         ,4.83                ,31.21   ,- -                  ,9.35                      ,9.3     ,-26.29               ,-2.66                        ,2.91              ,2.35                 ,2.35         ,15.44             ,-34.31       ,13.58                           ,13.7         ,9.02                       ,-1.58              ,-0.22    ,-12.24             ,15.55                        ,-0.72         ,-6.49                 ,- -                 ,25.15      ,4.74                        ,-769.23        ,-5.97                    ,-74.91                   ,46.32                          ,-14.03                ,-47.23                      ,-2.55                          ,12.29          ,60.81          ,167.08                      ,548.67                         ,745.99              ,-14.03               ,231.65         ,9.06                 ,19.33                   ,0.024626257466312085
 4 ,2014 ,7.32                     ,5.85            ,12.55        ,14.18                      ,3.66                   ,13.72                   ,-634.97                     ,-12.1         ,-16.54                      ,-2.12                     ,-17.48            ,-1.88                       ,-17.68              ,13.1   ,5.38              ,13.72  ,13.72  ,4.87             ,5.96                 ,-24.73            ,7.32               ,25.03              ,11.67                ,-10.38                         ,-9.85                   ,-2.84                   ,0.54        ,-20.57          ,-5.84                ,1.99                           ,5.12                      ,21.76                        ,3.76            ,3.27                    ,-0.29        ,6.23                ,-0.65   ,- -                  ,4.81                      ,1.65    ,15.99                ,5.3                          ,5.06              ,2.49                 ,2.49         ,8.87              ,64.68        ,-4.1                            ,-4           ,-0.29                      ,-2.45              ,5.11     ,9.49               ,-9.69                        ,-10.16        ,-17.35                ,- -                 ,-16.54     ,11.67                       ,-1222.99       ,4.44                     ,3.11                     ,14.64                          ,-0.92                 ,-54.63                      ,-7.08                          ,22.39          ,-49.74         ,80.2                        ,168.12                         ,-116.25             ,-0.92                ,27.03          ,-14.46               ,41.92                   ,-0.1502031766782913
 5 ,2015 ,-26.98                   ,-24.27          ,-36.02       ,4                          ,-10.11                 ,-41.35                  ,45.06                       ,-62.29        ,-62.62                      ,-2.16                     ,-61.06            ,-2.52                       ,-60.91              ,-29    ,-2.78             ,-41.35 ,-41.35 ,-12.39           ,-19.68               ,-47.82            ,-40.81             ,25.63              ,-0.39                ,73.76                          ,-10.77                  ,-21.4                   ,-18.84      ,-3.73           ,8.98                 ,-12.87                         ,0.42                      ,-5.43                        ,3.37            ,-2.65                   ,1.65         ,-16.19              ,64.81   ,- -                  ,-0.39                     ,36.7    ,-14.03               ,22.48                        ,11.25             ,1.58                 ,1.58         ,-1.12             ,8.37         ,-5.86                           ,-5.63        ,1.65                       ,-1.49              ,58.88    ,68.37              ,-14.12                       ,9.41          ,4.28                  ,23.38               ,-62.62     ,-0.39                       ,46.78          ,-0.91                    ,-51.06                   ,-23.59                         ,-32.6                 ,2213.27                     ,83.73                          ,22.92          ,317.87         ,-53.36                      ,-123.3                         ,19.07               ,-32.6                ,-18            ,6.73                 ,100.53                  ,-0.1558919153001458
 6 ,2016 ,-21.61                   ,-14.87          ,-48.28       ,-18.42                     ,-7.5                   ,-58.95                  ,56.05                       ,-166.12       ,-176.21                     ,7.1                       ,-176.02           ,6.43                        ,-176.5              ,-33.86 ,-15.62            ,-58.95 ,-58.95 ,-34.03           ,-47.63               ,-203.86           ,-21.61             ,2.17               ,0.39                 ,-28.98                         ,4.87                    ,6.91                    ,12.49       ,-21.16          ,-11.09               ,-4.43                          ,7.78                      ,-43.06                       ,50.29           ,31.48                   ,14.63        ,24.49               ,-30.81  ,- -                  ,6.64                      ,13.99   ,38.68                ,18.85                        ,13.48             ,0.85                 ,0.85         ,-10.77            ,1.86         ,15.28                           ,15.66        ,14.63                      ,10.74              ,2.97     ,-10.98             ,-52.86                       ,-16.63        ,9.3                   ,- -                 ,-176.21    ,0.39                        ,40.86          ,-18.1                    ,-10.87                   ,-26.96                         ,-7.29                 ,-166.36                     ,-93.91                         ,9.43           ,-61.94         ,-64.34                      ,-495.05                        ,-168.3              ,-7.29                ,-37            ,65.8                 ,-189.71                 ,0.13991674282694633
 7 ,2017 ,9.46                     ,10.09           ,5.32         ,7.2                        ,-22.23                 ,17.2                    ,-7.85                       ,-37.9         ,-7.01                       ,2.28                      ,-12.78            ,2.28                        ,-12.78              ,2.13   ,-6.69             ,17.2   ,17.2   ,-3.78            ,7.07                 ,-18.5             ,9.46               ,2.61               ,-6.28                ,-45.03                         ,-38.58                  ,-13.88                  ,-4.24       ,20.79           ,-22.69               ,-9.71                          ,-5.49                     ,538.24                       ,-1.4            ,-1                      ,-7.66        ,0.44                ,5.42    ,- -                  ,1.48                      ,-9.65   ,-6.85                ,-9                           ,-4.67             ,1.36                 ,1.36         ,-11.74            ,-7.95        ,-10.31                          ,-10.28       ,-7.66                      ,-0.53              ,-1.72    ,9.54               ,-52.05                       ,-23.82        ,-52.37                ,- -                 ,-7.01      ,-6.28                       ,-0.45          ,28.46                    ,177.64                   ,-9.55                          ,-11.25                ,-63.04                      ,185.1                          ,4.95           ,-34.86         ,24.55                       ,-7.28                          ,-649.76             ,-11.25               ,-8.28          ,-8.99                ,1.39                    ,-0.36789117423533213
 8 ,2018 ,7.8                      ,7.29            ,11.29        ,2.78                       ,-10.8                  ,19.16                   ,-85.31                      ,-321.81       ,-243.89                     ,-0.22                     ,-242.37           ,0.36                        ,-241.55             ,3.56   ,-3.93             ,19.16  ,19.16  ,3.24             ,10.53                ,-231.78           ,2.41               ,-0.07              ,-7.32                ,-45.43                         ,-20.34                  ,-2.51                   ,-0.89       ,-16.82          ,-14.95               ,0.89                           ,2.25                      ,1.25                         ,2.88            ,2.4                     ,-2.06        ,1.01                ,-57.67  ,- -                  ,-11.75                    ,-1.55   ,26.75                ,5.1                          ,-2.32             ,1.21                 ,1.21         ,-1.65             ,8.14         ,-1.85                           ,-1.81        ,-2.06                      ,-0.07              ,-10.87   ,-9.22              ,6.88                         ,-3.63         ,-54.3                 ,5.26                ,-243.89    ,-7.32                       ,-90.43         ,0.58                     ,-40.7                    ,0.88                           ,-5.16                 ,-42.33                      ,-41.54                         ,-0.29          ,-62.13         ,-58.72                      ,-0.26                          ,-69.8               ,-5.16                ,5.27           ,-44.96               ,-171.01                 ,-0.38421656805131665
 9 ,2019 ,0.31                     ,0.85            ,-3.23        ,6.76                       ,2.14                   ,-5.8                    ,2267.55                     ,-497.03       ,-564.26                     ,- -                       ,-574.13           ,-0.57                       ,-576.87             ,-2.25  ,-2.56             ,-5.8   ,-5.8   ,-3.53            ,-6.09                ,-572.67           ,-4.47              ,-0.04              ,0.93                 ,-21.97                         ,-20.66                  ,-1.7                    ,2.99        ,39.79           ,-1.28                ,-20.63                         ,-9.45                     ,1.76                         ,-27.94          ,-25.55                  ,-20.13       ,4.1                 ,-62.76  ,- -                  ,-2.88                     ,0.86    ,-26.3                ,-6.84                        ,-5.26             ,-0.41                ,-0.41        ,-40.77            ,-3.98        ,-34.3                           ,-33.92       ,-20.13                     ,0.11               ,-3.15    ,46.56              ,-60.36                       ,1.65          ,-40.48                ,5                   ,-564.26    ,0.93                        ,3088.57        ,17.39                    ,-19.26                   ,-4.94                          ,-13.5                 ,-148.23                     ,93.37                          ,-0.04          ,345.88         ,-30.5                       ,-25.94                         ,-14.12              ,-13.5                ,0.67           ,17.14                ,-120.05                 ,-0.1114945029544403
