   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                    1.52 ,           2.72 ,        1.21 ,2.58                       ,                  6.98 ,-12.52                  ,-35.68                      ,-14.76        ,41.38                       ,2.96                      ,37.31             ,4.15                        ,35.74               ,-8.53  ,-9.89             ,-12.52 ,-12.52 ,-0.3             ,-13.82               ,39.27             ,-10.27             ,- -                ,-0.25                ,-19.67                         ,10.52                   ,11.97                   ,- -         ,-6.49           ,-14.76               ,1.14                           ,9.71                      ,- -                          ,42.32           ,38.22                   ,       11.83 ,23.25               ,- -     ,8.41                 ,13.16                     ,- -     ,-5.54                ,-5.54                        ,8.37              ,2.75                 ,1.09         ,            34.03 ,311.75       ,                          13.88 ,       13.88 ,                     11.83 ,1.04               ,10.52    ,-2.95              ,-22.63                       ,-24.67        ,120.5                 ,              13.14 ,41.38      ,-0.25                       ,-0.06          ,5.36                     ,-27.89                   ,44.07                          ,6.25                  ,-415.23                     ,26.01                          ,- -            ,- -            ,-154.74                     ,-162                           ,-49.24              ,6.25                 ,51.67          ,-15.95               ,1.91                    ,0.07998251218389907
 1 ,2011 ,                   11.23 ,          21.12 ,        8.7  ,4.67                       ,                  9.49 ,15.61                   ,-56.9                       ,10.3          ,-6.62                       ,-0.97                     ,-5.7              ,-1.02                       ,-5.66               ,19.66  ,7.58              ,15.61  ,15.61  ,-2.27            ,3.94                 ,-16.05            ,9.66               ,- -                ,27.02                ,6.98                           ,10.27                   ,14.61                   ,- -         ,-3.97           ,7.24                 ,7.36                           ,6.06                      ,- -                          ,-1.08           ,-0.47                   ,        2.46 ,-4.96               ,- -     ,17.15                ,9.44                      ,- -     ,-2.78                ,-2.78                        ,6.72              ,-1.3                 ,-3.5         ,            24.24 ,32.78        ,                           0.05 ,        0.05 ,                      2.46 ,-3.48              ,10.27    ,10.22              ,-0.86                        ,-2.02         ,-13.41                ,               1.43 ,-6.62      ,27.02                       ,-15.02         ,-5.96                    ,-111.62                  ,29.11                          ,43.15                 ,-95.91                      ,-62.8                          ,- -            ,- -            ,508.73                      ,544.7                          ,24.71               ,43.15                ,27.14          ,-19.61               ,38.27                   ,0.010808533697446387
 2 ,2012 ,                   14.35 ,          15.34 ,       14.07 ,20.43                      ,                 18.25 ,-10.72                  ,77.21                       ,-8.2          ,-17.6                       ,0.21                      ,-17.78            ,-0.06                       ,-17.55              ,1.6    ,-11.15            ,-10.72 ,-10.72 ,-0.25            ,-21.93               ,-27.94            ,-4.41              ,- -                ,22.01                ,-30.25                         ,-18.09                  ,35.54                   ,- -         ,23.76           ,-14.75               ,19.89                          ,14.46                     ,- -                          ,50.59           ,48.18                   ,       23.17 ,27.03               ,- -     ,18.66                ,24.17                     ,- -     ,-4.35                ,36.47                        ,26.67             ,4.19                 ,5.3          ,            14.74 ,-26.18       ,                          19.05 ,       21.07 ,                     23.17 ,5.3                ,-33.88   ,-45.38             ,-81.95                       ,-31.35        ,-6.01                 ,              19.62 ,-17.6      ,22.01                       ,10.03          ,26.59                    ,457.24                   ,10.39                          ,-4.54                 ,1094.74                     ,889.79                         ,- -            ,9673.26        ,-156.7                      ,-187.71                        ,-302.45             ,-4.54                ,12.76          ,11.02                ,33.97                   ,0.03653129880364103
 3 ,2013 ,                   11.74 ,          15.5  ,       10.66 ,-0.58                      ,                 15.06 ,29.72                   ,162.56                      ,37.06         ,35.85                       ,4.38                      ,30.15             ,4.21                        ,30.37               ,25.09  ,11.95             ,29.72  ,29.72  ,-0.97            ,16.09                ,21.58             ,6.07               ,- -                ,19.49                ,45.98                          ,45.98                   ,-11.5                   ,- -         ,16.03           ,26.94                ,3.32                           ,8.93                      ,- -                          ,-3.64           ,-3.19                   ,        5.09 ,-5.78               ,- -     ,-0.88                ,-2.37                     ,-28.57  ,10.85                ,-0.94                        ,-2.06             ,0.77                 ,2.19         ,            20.58 ,85.6         ,                          11.46 ,        9.6  ,                      5.09 ,2.17               ,62.27    ,48.05              ,294.34                       ,30.03         ,-7.38                 ,               5.35 ,35.85      ,19.49                       ,-24.77         ,-5.47                    ,-107.74                  ,2.19                           ,13.86                 ,-99.33                      ,-92.48                         ,- -            ,- -            ,-109.64                     ,-140.24                        ,-322.4              ,13.86                ,0.62           ,13.68                ,-24.78                  ,-0.02182909433879443
 4 ,2014 ,                    4.85 ,           0.73 ,        6.09 ,6.76                       ,                  7.41 ,0.9                     ,-19.7                       ,-1.28         ,4.57                        ,1.13                      ,3.4               ,0.71                        ,3.83                ,1.76   ,-2.95             ,0.9    ,0.9    ,1.18             ,-3.77                ,-0.27             ,-4.74              ,- -                ,2.89                 ,-3.59                          ,-3.59                   ,28.77                   ,- -         ,9.6             ,3.92                 ,26.06                          ,16.47                     ,- -                          ,11.36           ,12.36                   ,        9.56 ,17.28               ,- -     ,12.17                ,13.4                      ,-40     ,5.44                 ,-4.36                        ,9.47              ,1.09                 ,1.17         ,            17.11 ,116.38       ,                           9.61 ,        9.61 ,                      9.56 ,1.16               ,-0.73    ,-9.43              ,-13.24                       ,-8.36         ,1.12                  ,              10.07 ,4.57       ,2.89                        ,-18.13         ,17.67                    ,-1083.19                 ,10.92                          ,57.77                 ,686.05                      ,652.51                         ,- -            ,-20            ,187.45                      ,-24.8                          ,-106.01             ,57.77                ,3.81           ,-2.32                ,6.07                    ,-0.042424909528972155
 5 ,2015 ,                    8.98 ,          13.58 ,        7.67 ,5.13                       ,                  7.99 ,13.2                    ,-99.76                      ,3.48          ,-12.81                      ,-0.06                     ,-12.75            ,0.23                        ,-13                 ,11.74  ,2.53              ,13.2   ,13.2   ,-1.2             ,3.88                 ,-19.99            ,-0.01              ,- -                ,9.85                 ,-2.11                          ,-15.17                  ,22.42                   ,- -         ,0.42            ,3.93                 ,5.61                           ,4.41                      ,- -                          ,6.53            ,6.46                    ,        5.66 ,-5.46               ,583.33  ,4.31                 ,13.82                     ,- -     ,15.94                ,0.25                         ,11.19             ,-0.26                ,-0.51        ,            11.22 ,69.72        ,                           2.55 ,        2.55 ,                      5.66 ,-0.52              ,-30.7    ,-32.42             ,-33.05                       ,-8.69         ,-13.1                 ,               8.99 ,-12.81     ,9.85                        ,82.18          ,8.76                     ,-191.6                   ,-10.13                         ,-15.79                ,-1768.75                    ,12.54                          ,- -            ,130            ,364.89                      ,-15.77                         ,533.14              ,-15.79               ,-8.82          ,36.94                ,3.08                    ,0.056495335359815435
 6 ,2016 ,                    8.04 ,           4.63 ,        9.07 ,4.51                       ,                 10.37 ,16.15                   ,4400                        ,17.02         ,18.1                        ,-1.9                      ,20.38             ,-2.12                       ,20.65               ,8.25   ,0.19              ,16.15  ,16.15  ,0.95             ,7.51                 ,9.31              ,4.14               ,- -                ,-2.26                ,15.79                          ,16.79                   ,14.46                   ,- -         ,-37.12          ,9.79                 ,-2.3                           ,6.41                      ,- -                          ,1.48            ,1.19                    ,        3.86 ,4.7                 ,- -     ,12.14                ,8.65                      ,- -     ,-0.94                ,-0.94                        ,6.98              ,2.12                 ,-2.38        ,            12.86 ,-0.76        ,                           1.95 ,        1.95 ,                      3.86 ,-2.39              ,22.25    ,19.91              ,23.5                         ,1.05          ,-6.84                 ,               3.74 ,18.1       ,-2.26                       ,-11.51         ,12.94                    ,-162.18                  ,18.47                          ,-23.06                ,-91.07                      ,-74.51                         ,- -            ,-59.78         ,56.9                        ,394.5                          ,-208.29             ,-23.06               ,27.32          ,2.19                 ,0.32                    ,0.19515623731946619
 7 ,2017 ,                   12.48 ,          20.48 ,       10.17 ,11.64                      ,                  6.09 ,17.47                   ,-141.71                     ,16.25         ,-48.82                      ,-1.03                     ,-48.29            ,0.1                         ,-48.87              ,7.4    ,-4.52             ,17.47  ,17.47  ,-2.06            ,4.43                 ,-54.5             ,2.69               ,- -                ,-8.5                 ,-6.17                          ,7.35                    ,0.9                     ,- -         ,-30.3           ,-2                   ,3.49                           ,9.82                      ,- -                          ,5.55            ,5.4                     ,        2.98 ,27.23               ,-95.16  ,-1.96                ,-5.88                     ,197.92  ,11.58                ,52.17                        ,3.49              ,-1.35                ,-0.66        ,            10.08 ,-36.91       ,                           2.52 ,        2.65 ,                      2.98 ,-0.67              ,17.2     ,14.18              ,-21.63                       ,4.12          ,-24.49                ,               9.53 ,-48.82     ,-8.5                        ,169.28         ,10.98                    ,188.33                   ,8.17                           ,5.11                  ,-1320.95                    ,32.67                          ,- -            ,72.97          ,-7.66                       ,21.56                          ,-47.34              ,5.11                 ,8.56           ,37.17                ,111.35                  ,0.2539824205379215
 8 ,2018 ,                   14.54 ,          12.49 ,       15.19 ,18.69                      ,                 19.36 ,-2.86                   ,815.98                      ,-5.1          ,216.72                      ,-0.94                     ,219.74            ,-0.96                       ,219.77              ,1.53   ,-11.36            ,-2.86  ,-2.86  ,0.56             ,-15.19               ,176.51            ,1.06               ,- -                ,10.43                ,-31.02                         ,-31.02                  ,26.3                    ,97.8        ,-7.43           ,-8.25                ,16.28                          ,11.69                     ,- -                          ,24.51           ,23.92                   ,       13.89 ,12.25               ,3364.02 ,8.3                  ,30.25                     ,-6.36   ,17.5                 ,11.14                        ,25.71             ,1.38                 ,-0.8         ,            18.65 ,71.53        ,                           6.21 ,        6.26 ,                     13.89 ,-0.78              ,-71.94   ,-73.59             ,-105.39                      ,-29.56        ,-6.71                 ,              13.34 ,216.72     ,10.43                       ,-128.54        ,29.31                    ,-304.03                  ,-33.15                         ,40.73                 ,-93.36                      ,292.81                         ,- -            ,93.95          ,8.87                        ,-101.38                        ,-535.34             ,40.73                ,-42.35         ,36.61                ,-78.89                  ,0.05064101678502231
 9 ,2019 ,                    7.68 ,           2.32 ,        9.33 ,-2.65                      ,                  4.8  ,52.05                   ,127.6                       ,50.05         ,23.09                       ,0.56                      ,22.4              ,0.52                        ,22.45               ,32.06  ,22.64             ,52.05  ,52.05  ,1.54             ,41.21                ,14.31             ,2.63               ,- -                ,-3.6                 ,0.76                           ,0.76                    ,-8.24                   ,15.61       ,329.5           ,12.64                ,38.87                          ,18.9                      ,- -                          ,-1.31           ,1.39                    ,        4.22 ,-13.77              ,-94.88  ,5.17                 ,-16.65                    ,-4.34   ,2.48                 ,0.95                         ,-12.95            ,-0.57                ,0.67         ,            24.39 ,-18.32       ,                          17.36 ,       17.33 ,                      4.22 ,0.71               ,132.81   ,98.43              ,-3162.86                     ,35.13         ,-7.22                 ,               4.92 ,23.09      ,-3.6                        ,-313.05        ,10.69                    ,-49.31                   ,88.7                           ,100.18                ,-66.79                      ,-68.28                         ,- -            ,-68.92         ,-37.42                      ,-11036.01                      ,-100.87             ,100.18               ,85.2           ,-18.21               ,53.31                   ,0.3636409558466549
