   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,10.88                    ,13.37           ,6.62         ,- -                        ,- -                    ,9.44                    ,-15.01                      ,17.56         ,19.3                        ,                     4.65 ,14.72             ,                       5.15 ,14.18               ,7.05   ,-3.45             ,9.75   ,9.44   ,-3.84            ,-1.3                 ,7.59              ,11.62              ,4.02               ,0.33                 ,-35.22                         ,-35.22                  ,7.25                    ,-4.73       ,18.96           ,0.17                 ,                          7.07 ,                     6.56 ,15.69                        ,-2.09           ,                   6.45 ,        5.74 ,0.91                ,48.29   ,1.38                 ,15.9                      ,0.13    ,5.89                 ,                        2.51 ,4.56              ,               11.63 ,        2.88 ,6.1               ,-20.45       ,8.5                             ,8.5          ,                      5.74 ,2.93               ,5.79     ,-2.49              ,2.99                         ,-13.57        ,-3.07                 ,-0.66               ,19.44      ,2.4                         ,-195.21        ,43.48                    ,31.11                    ,22.31                          ,-12.51                ,-102.56                     ,-1.46                          ,          8.86 ,3.58           ,-39.97                      ,-98.34                         ,-189.01             ,-12.51               ,-93.25         ,17.68                ,2.53                    ,0.07938454586470245
 1 ,2011 ,1.15                     ,-4.12           ,10.75        ,- -                        ,- -                    ,11.28                   ,1.09                        ,13.73         ,11.18                       ,                     3    ,8.29              ,                       3.23 ,8.06                ,11.47  ,10.2              ,10.73  ,11.28  ,9.49             ,10.02                ,9.91              ,-0.52              ,3.61               ,13.48                ,194.18                         ,194.18                  ,-6.26                   ,6.32        ,-33.76          ,6.61                 ,                          7.03 ,                     6.33 ,-6.74                        ,21.45           ,                   7.83 ,        7.7  ,4.94                ,-0.85   ,0.78                 ,1.62                      ,2.72    ,16.75                ,                        8.7  ,7.5               ,               10.31 ,        2.58 ,7.2               ,58.57        ,8.14                            ,8.14         ,                      7.7  ,2.56               ,-1.96    ,-9.33              ,0.74                         ,4.91          ,-0.14                 ,1.68                ,11.18      ,11.85                       ,466.48         ,27.27                    ,-1071.19                 ,47.91                          ,10.74                 ,-83.33                      ,-1.72                          ,          6.73 ,18.03          ,-6.35                       ,-3972.73                       ,-457.2              ,10.74                ,-1550.53       ,-2.64                ,33.04                   ,0.26942905507039305
 2 ,2012 ,-6.34                    ,-13.1           ,4.32         ,- -                        ,- -                    ,5.03                    ,-6.59                       ,7.51          ,6.48                        ,                     1.63 ,4.96              ,                       1.74 ,4.85                ,4.94   ,12.04             ,5.26   ,5.03   ,11.39            ,12.15                ,13.69             ,-6.56              ,3.83               ,4.08                 ,-52.24                         ,-52.24                  ,-3.34                   ,24.19       ,8.66            ,-1.75                ,                          9.61 ,                     7.76 ,-38.48                       ,8.21            ,                   7.53 ,        6.55 ,-17.27              ,22.67   ,17.66                ,6.64                      ,3.36    ,10.94                ,                        6.83 ,6.8               ,                5.79 ,        1.41 ,7.34              ,10.81        ,2.12                            ,5.98         ,                      6.55 ,0.33               ,9.42     ,3.24               ,-2.31                        ,-7.87         ,34.47                 ,0.24                ,6.48       ,4.74                        ,-22.19         ,30.95                    ,-178.71                  ,-17.03                         ,6.28                  ,-40                         ,23.55                          ,          5.52 ,18.42          ,-104.56                     ,-51.06                         ,-179.15             ,6.28                 ,-93.54         ,-1.09                ,-22.08                  ,-0.16955410213133504
 3 ,2013 ,3.33                     ,4.64            ,1.6          ,- -                        ,- -                    ,-27                     ,-1.44                       ,-31.74        ,-29.19                      ,                     0.69 ,-30.52            ,                       0.23 ,-30.2               ,-15.89 ,-18.6             ,-24.18 ,-27    ,-1.67            ,-29.35               ,-31.47            ,3.87               ,3.27               ,6.38                 ,4.94                           ,4.94                    ,10.31                   ,-18.48      ,-22.8           ,-9.14                ,                          5.71 ,                     5.49 ,12.43                        ,-15.87          ,                   3.44 ,        2.21 ,3.66                ,-38.26  ,-18.72               ,-21.07                    ,10.74   ,0.26                 ,                        5.75 ,1.46              ,                6.26 ,        1.64 ,-1.21             ,-39.02       ,3.81                            ,3.92         ,                      2.21 ,2.22               ,3.78     ,-0.13              ,1.64                         ,15.12         ,-7.86                 ,-0.53               ,-29.19     ,7.13                        ,145.5          ,7.27                     ,-133.7                   ,24.48                          ,13.6                  ,-33.33                      ,11.11                          ,          3.98 ,-18.26         ,-2145.45                    ,-22.3                          ,-104.51             ,13.6                 ,612.36         ,-18.19               ,75.8                    ,-0.29125723935124936
 4 ,2014 ,8.26                     ,12.26           ,2.85         ,- -                        ,- -                    ,13.22                   ,-6.86                       ,18.6          ,19.77                       ,                     2.28 ,17.75             ,                       2.27 ,17.76               ,7.65   ,-0.57             ,10.6   ,13.22  ,-5               ,4.58                 ,10.62             ,7.98               ,3.44               ,2                    ,7.74                           ,7.74                    ,7.04                    ,-14.32      ,111.91          ,13.77                ,                          7.15 ,                     6.28 ,5.53                         ,33.43           ,                   9.51 ,        9.88 ,20.52               ,111.99  ,54.8                 ,61.98                     ,-2.36   ,13.05                ,                        4.59 ,11.74             ,                6.83 ,        1.75 ,1.04              ,70.67        ,8.76                            ,5.77         ,                      9.88 ,2.37               ,7.21     ,1.36               ,-3.43                        ,-29.76        ,-34.2                 ,0.26                ,18.77      ,-0.22                       ,-54.72         ,6.78                     ,303.95                   ,-4.63                          ,9.41                  ,- -                         ,11.6                           ,          5.8  ,-11.97         ,18.67                       ,-298.77                        ,64.52               ,9.41                 ,-125.55        ,22.02                ,-20.37                  ,0.13852157385363095
 5 ,2015 ,-5.25                    ,-10.73          ,2.84         ,- -                        ,- -                    ,16.58                   ,2.35                        ,19.57         ,18.9                        ,                     1.45 ,17.84             ,                       1.44 ,17.85               ,11.92  ,18.12             ,15.3   ,16.58  ,8.54             ,23.05                ,24.77             ,-6.44              ,2.85               ,4.9                  ,97.75                          ,97.75                   ,5.14                    ,-2.03       ,-34.29          ,2.45                 ,                         11.72 ,                     8.43 ,-2.2                         ,10.19           ,                  11.21 ,       10.43 ,5.19                ,-2.08   ,5.08                 ,1.81                      ,18.46   ,13.06                ,                       15.83 ,13.29             ,                3.43 ,        0.73 ,4.17              ,1.56         ,1.13                            ,3.75         ,                     10.43 ,0.36               ,12.65    ,8.58               ,-5.09                        ,0.63          ,-27.74                ,1.27                ,19.89      ,4.45                        ,85.97          ,57.14                    ,-130.46                  ,7.89                           ,23.69                 ,200                         ,13.61                          ,          4.34 ,147.93         ,-82.4                       ,163.98                         ,1260.78             ,23.69                ,590.74         ,-17.24               ,-8.73                   ,0.0063390066209476625
 6 ,2016 ,13.52                    ,13.96           ,12.95        ,- -                        ,- -                    ,8.1                     ,75.96                       ,-4.11         ,3.86                        ,                     4.51 ,-1.04             ,                       4.81 ,-1.33               ,13.1   ,-0.36             ,8.77   ,8.1    ,-0.5             ,-4.77                ,-9.29             ,-5.32              ,-0.23              ,23.01                ,40.67                          ,40.67                   ,85.15                   ,44.22       ,2.53            ,48.97                ,                         27.48 ,                    26.25 ,108.66                       ,118.65          ,                  39.26 ,       40.07 ,76.59               ,19.21   ,40.26                ,41.49                     ,72.67   ,22.41                ,                       48.76 ,47.58             ,               34.63 ,        8.31 ,3.46              ,38.46        ,19.54                           ,20.95        ,                     40.07 ,8.62               ,66.47    ,37.64              ,-32.1                        ,5.29          ,18.24                 ,19.89               ,3.86       ,22.05                       ,-186.82        ,22.22                    ,-558.82                  ,-22                            ,-1.12                 ,- -                         ,175.38                         ,          4.26 ,123.95         ,2565.25                     ,825                            ,-17.72              ,-1.12                ,115.91         ,22.87                ,-24.25                  ,0.0038518665998916735
 7 ,2017 ,15.76                    ,14.56           ,17.31        ,- -                        ,- -                    ,-44.89                  ,29.07                       ,-69.31        ,-63.38                      ,                     5.15 ,-67.29            ,                       5.22 ,-67.31              ,-20.44 ,-31.27            ,-40.63 ,-44.89 ,1.34             ,-52.39               ,-69.51            ,18.24              ,3.96               ,20.3                 ,7.85                           ,7.85                    ,6.81                    ,-5.57       ,7.83            ,3.6                  ,                          1.77 ,                     2.75 ,6.02                         ,-3.68           ,                   0.96 ,        1.19 ,-10.74              ,31.13   ,-9.48                ,5.24                      ,4.3     ,-1.18                ,                        2.15 ,2.63              ,                6.12 ,        1.74 ,-14.2             ,5            ,-3.9                            ,-3.28        ,                      1.19 ,1.76               ,7        ,10.64              ,-3.41                        ,-1.56         ,-18.47                ,-2.1                ,-63.38     ,18.27                       ,-312.43        ,-9.92                    ,-216.08                  ,30.67                          ,1.55                  ,- -                         ,-64.13                         ,          9.32 ,-59.55         ,-78.9                       ,-93.95                         ,-72.85              ,1.55                 ,-57.45         ,-9.12                ,270.18                  ,-0.17004081677007576
 8 ,2018 ,2.01                     ,7.65            ,-5.11        ,- -                        ,- -                    ,61.11                   ,-8.23                       ,157.4         ,148.38                      ,                     2    ,159.19            ,                       1.69 ,159.99              ,27.48  ,24.96             ,51.03  ,61.11  ,-6.99            ,57.93                ,149.74            ,9.54               ,3.37               ,4.02                 ,-34.46                         ,-34.46                  ,0.27                    ,-8.87       ,36.86           ,-4.86                ,                          1.2  ,                     0.49 ,-1.32                        ,32.79           ,                   6.34 ,        5.32 ,8.98                ,-3.44   ,17.37                ,5.09                      ,-8.38   ,20.17                ,                        2.43 ,2.85              ,                4.84 ,        2.5  ,-2.01             ,7.41         ,2.14                            ,13.45        ,                      5.32 ,2.6                ,-6.59    ,-17.66             ,17.63                        ,-9.46         ,-39.4                 ,-6.87               ,148.38     ,2.66                        ,-72.74         ,14.68                    ,-127.71                  ,8.6                            ,7.79                  ,- -                         ,-19.9                          ,          5.43 ,-20.92         ,37.45                       ,-290.64                        ,-505.16             ,7.79                 ,2.72           ,-14.52               ,-57.37                  ,0.024852984647780962
 9 ,2019 ,-8.84                    ,-14.81          ,-0.27        ,- -                        ,- -                    ,29.81                   ,-188.68                     ,137.98        ,106.26                      ,                     2.55 ,107.6             ,                       2.83 ,107.04              ,13.15  ,24.11             ,24.29  ,29.81  ,9.4              ,42.39                ,132.59            ,-4.76              ,3.35               ,-2.97                ,41.48                          ,41.48                   ,-16.01                  ,-0.25       ,17.94           ,2.44                 ,                          5.12 ,                     3.47 ,1.15                         ,-12.1           ,                   1.45 ,        1.53 ,-19.15              ,-13.74  ,-0.72                ,-12.18                    ,6.57    ,-5.75                ,                        1.1  ,-1.07             ,                4.51 ,        1.8  ,24.94             ,58.13        ,11.12                           ,9.27         ,                      1.53 ,1.86               ,-1.24    ,-9.62              ,10.37                        ,16.65         ,16.8                  ,-4.28               ,106.26     ,-6.14                       ,-399.51        ,-14.4                    ,-41.3                    ,-16.76                         ,-5.57                 ,- -                         ,-41.11                         ,          5.98 ,10.34          ,-22.57                      ,6.45                           ,-173.09             ,-5.57                ,67.99          ,65.97                ,-60.74                  ,0.22774757446800975
