   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,4.83                     ,102.64          ,-7.6         ,-62.88                     ,- -                    ,13.2                    ,-13.42                      ,98.37         ,94.57                       ,8.99                      ,97.83             ,8.52                        ,98.69               ,8.35   ,3.36              ,13.2   ,13.2   ,-11.86           ,7.98                 ,90.23             ,9.03               ,425.94             ,0.65                 ,-79.87                         ,-79.87                  ,5.96                    ,- -         ,- -             ,-71.94               ,8                              ,8.57                      ,-5.34                        ,36.86           ,9.48                    ,-4.2         ,2.77                ,- -     ,- -                  ,2.77                      ,-6.21   ,-42.18               ,-8.02                        ,-7.42             ,6.78                 ,3.45         ,5.38              ,-311.46      ,8.36                            ,8.7          ,-4.2                       ,3.92               ,13.66    ,4.57               ,13.56                        ,-72.7         ,-53.01                ,-3.85               ,94.57      ,0.65                        ,-85.04         ,- -                      ,-561.79                  ,2.02                           ,-31.88                ,52.51                       ,197.55                         ,473.25         ,19.81          ,-99.75                      ,-294.91                        ,-199.27             ,-31.88               ,11.5           ,37.83                ,-48.85                  ,0.1566928810669619
 1 ,2011 ,8.81                     ,6.63            ,9.42         ,29.43                      ,- -                    ,7.01                    ,-35.19                      ,65.93         ,65.35                       ,0.83                      ,65.95             ,0.76                        ,66.07               ,7.9    ,-0.84             ,7.01   ,7.01   ,0.56             ,-1.65                ,52.63             ,-1.08              ,34.2               ,9.49                 ,0.24                           ,0.24                    ,247.21                  ,- -         ,- -             ,86.38                ,7.43                           ,7.81                      ,48.42                        ,-75.29          ,1.28                    ,5.47         ,51.65               ,- -     ,- -                  ,51.65                     ,5.57    ,-70.07               ,3.17                         ,6.14              ,0.54                 ,- -          ,4.4               ,-1543.54     ,-3.75                           ,3.17         ,5.47                       ,0.26               ,5.82     ,2.57               ,-6.12                        ,22.91         ,-1155.27              ,10                  ,65.35      ,9.49                        ,-563.16        ,- -                      ,125.77                   ,14.28                          ,73.81                 ,-91.69                      ,-20.27                         ,35.32          ,-57.11         ,27.53                       ,-72.48                         ,-100.06             ,73.81                ,4.1            ,8.22                 ,-31.19                  ,0.33573203118854167
 2 ,2012 ,-1.17                    ,-12.99          ,2.04         ,8.89                       ,- -                    ,2.92                    ,-38.62                      ,25.56         ,25.47                       ,3.28                      ,35.66             ,3.26                        ,35.69               ,8.03   ,9.31              ,2.92   ,2.92   ,3.25             ,4.13                 ,41.63             ,-1.17              ,15.58              ,16.98                ,48.32                          ,48.32                   ,-33.8                   ,- -         ,- -             ,-5.04                ,- -                            ,- -                       ,113.05                       ,4205.13         ,27.09                   ,24.3         ,17.44               ,- -     ,- -                  ,17.44                     ,25.3    ,77.57                ,25.78                        ,25.05             ,13.24                ,3.33         ,-5.18             ,-3.57        ,27.12                           ,21.66        ,24.3                       ,4.09               ,24.26    ,2.14               ,-3.72                        ,-19.14        ,164.85                ,- -                 ,38.02      ,16.98                       ,148.59         ,- -                      ,-119.74                  ,25.28                          ,80.12                 ,-757.33                     ,260.21                         ,19.38          ,309.16         ,18078.81                    ,-243.92                        ,19872.46            ,80.12                ,9.63           ,-8.7                 ,-10.5                   ,0.12610767130168288
 3 ,2013 ,6.76                     ,4.69            ,7.24         ,6.44                       ,- -                    ,9.44                    ,85.9                        ,-10.93        ,-12.57                      ,2.35                      ,-10.14            ,2.35                        ,-10.14              ,6.68   ,-0.07             ,9.44   ,9.44   ,0.45             ,2.51                 ,-13.83            ,3.01               ,11.21              ,2.43                 ,42.76                          ,42.76                   ,2.13                    ,- -         ,- -             ,163.01               ,- -                            ,- -                       ,7.22                         ,-11.95          ,-9.18                   ,2.26         ,8.31                ,- -     ,- -                  ,61.57                     ,-1.92   ,-17.53               ,-2.12                        ,3.12              ,0.45                 ,- -          ,4.39              ,-16.62       ,-1.04                           ,-0.82        ,2.26                       ,0.23               ,-4.33    ,-3.54              ,-1.54                        ,62.78         ,0.92                  ,3.64                ,-9.77      ,2.43                        ,-65.98         ,- -                      ,-105.76                  ,7.48                           ,4.83                  ,-98.54                      ,-73.52                         ,13.82          ,-56.89         ,-99.99                      ,-183.98                        ,37.96               ,4.83                 ,8.72           ,-5.62                ,16.83                   ,-0.30522594590942875
 4 ,2014 ,7.2                      ,5.35            ,7.61         ,10.65                      ,- -                    ,8.99                    ,-6.04                       ,17.34         ,18.68                       ,0.15                      ,6.59              ,0.15                        ,6.59                ,4.25   ,-2.75             ,8.99   ,8.99   ,0.39             ,1.67                 ,-0.43             ,16.38              ,10.87              ,-3.54                ,-63.79                         ,-63.79                  ,-4.92                   ,- -         ,- -             ,-72.52               ,- -                            ,- -                       ,5.57                         ,0.33            ,1.22                    ,-11.38       ,6.75                ,- -     ,- -                  ,-16.37                    ,-9.82   ,10.02                ,-9.6                         ,-10.48            ,2.22                 ,- -          ,30.74             ,-19.47       ,-12.93                          ,-14.77       ,-11.38                     ,0.06               ,-3.52    ,13.21              ,-3.85                        ,-67.15        ,-9.89                 ,-7.89               ,6.44       ,-3.54                       ,-42.29         ,- -                      ,6430.51                  ,1.09                           ,-5.29                 ,-11680.46                   ,-5.36                          ,11.04          ,58.61          ,-14401.01                   ,140.69                         ,-307.49             ,-5.29                ,3.97           ,29.82                ,-5.29                   ,0.19758256089342807
 5 ,2015 ,8.12                     ,8.77            ,7.97         ,-0.73                      ,- -                    ,11.89                   ,-30.71                      ,30.86         ,31.88                       ,-0.2                      ,30.09             ,-0.2                        ,30.09               ,6.45   ,-1.54             ,11.89  ,11.89  ,-0.13            ,3.49                 ,20.02             ,13.52              ,17.22              ,-3.62                ,14.51                          ,14.51                   ,6.05                    ,- -         ,- -             ,9.36                 ,- -                            ,- -                       ,-3.72                        ,4.66            ,3.17                    ,3.5          ,10.94               ,114.73  ,- -                  ,25.92                     ,5.35    ,-22.22               ,4.99                         ,7.51              ,-0.4                 ,- -          ,1.4               ,313.96       ,-12.21                          ,-12.3        ,3.5                        ,-0.44              ,7.29     ,22.33              ,-15.52                       ,-13.15        ,-4.82                 ,-4.76               ,29.54      ,-3.62                       ,163.48         ,- -                      ,-24.2                    ,10.78                          ,28.14                 ,-213.63                     ,63.02                          ,16.99          ,126.09         ,3497.1                      ,-49.86                         ,-108.04             ,28.14                ,3.62           ,-8.75                ,-14.63                  ,0.10945590378160719
 6 ,2016 ,3.21                     ,1.14            ,3.67         ,6.51                       ,- -                    ,1.95                    ,9.25                        ,0.22          ,-0.22                       ,0.83                      ,-0.22             ,0.83                        ,-0.22               ,3.6    ,0.38              ,1.95   ,1.95   ,0.45             ,-1.23                ,-2.52             ,3.21               ,6.39               ,7.16                 ,-20.12                         ,-20.12                  ,10.48                   ,- -         ,- -             ,-2.06                ,- -                            ,- -                       ,-5.4                         ,3.46            ,1.99                    ,1.76         ,-4.4                ,8.54    ,- -                  ,-1.22                     ,2.25    ,112.39               ,3.34                         ,2.7               ,1.48                 ,3.23         ,4.51              ,-54.83       ,-3.6                            ,-2.75        ,1.76                       ,1.18               ,3.23     ,6.15               ,-4.78                        ,-0.85         ,-3.48                 ,- -                 ,-0.22      ,7.16                        ,-105.55        ,- -                      ,36.38                    ,11.51                          ,-21.79                ,-99.15                      ,-33.75                         ,7.28           ,42.01          ,-48.97                      ,72.75                          ,-258.78             ,-21.79               ,28.47          ,-11.55               ,10.83                   ,-0.15034835849553208
 7 ,2017 ,1.69                     ,0.92            ,1.86         ,-2.43                      ,- -                    ,3                       ,-4.02                       ,4.8           ,5.16                        ,-0.38                     ,6.34              ,-0.38                       ,6.34                ,2.74   ,1.03              ,3      ,3      ,0.17             ,1.28                 ,4.17              ,1.69               ,9.58               ,2.21                 ,164.67                         ,164.67                  ,18.89                   ,- -         ,- -             ,67.6                 ,- -                            ,- -                       ,0.01                         ,0.08            ,0.07                    ,3.71         ,3.96                ,2.6     ,- -                  ,3.59                      ,7.4     ,14.36                ,7.54                         ,7.01              ,0.96                 ,- -          ,7.24              ,-3.22        ,-14.48                          ,-13.11       ,3.71                       ,-0.77              ,2.97     ,18.5               ,-15.77                       ,61.79         ,-4.08                 ,- -                 ,5.16       ,2.21                        ,230.39         ,- -                      ,-43.8                    ,6.56                           ,-8.31                 ,724.8                       ,-21.42                         ,9.16           ,-21.51         ,57.8                        ,-24.94                         ,-753.73             ,-8.31                ,11.17          ,-6.82                ,0.59                    ,-0.1843783045745091
 8 ,2018 ,2.13                     ,2.85            ,1.98         ,-2.49                      ,- -                    ,4.42                    ,-87.44                      ,26.06         ,25.72                       ,-0.61                     ,26.07             ,-0.61                       ,26.07               ,2.8    ,0.65              ,4.42   ,4.42   ,-0.15            ,2.24                 ,22.64             ,2.13               ,10.39              ,-0.56                ,-65.3                          ,-65.3                   ,-3.51                   ,- -         ,- -             ,-36.12               ,- -                            ,- -                       ,-5.48                        ,-1.24           ,-1.89                   ,-4.87        ,6.63                ,-22.46  ,- -                  ,-1.16                     ,-4.68   ,-3.8                 ,-4.66                        ,-4.2              ,0.89                 ,- -          ,2.32              ,14.09        ,-10.57                          ,-9.08        ,-4.87                      ,-0.53              ,-1.55    ,8.28               ,-3.69                        ,-35.37        ,0.86                  ,- -                 ,25.72      ,-0.56                       ,-913.66        ,- -                      ,-85.39                   ,4.37                           ,6.8                   ,-89.01                      ,-68.94                         ,9.72           ,-31.66         ,7.01                        ,134.66                         ,-204.96             ,6.8                  ,3.75           ,-6.84                ,-16.68                  ,0.0879039677687391
 9 ,2019 ,1.95                     ,1.36            ,2.07         ,-6.36                      ,- -                    ,-0.46                   ,585.29                      ,-14.2         ,-14.14                      ,-0.54                     ,-13.42            ,-0.54                       ,-13.42              ,0.72   ,-1.2              ,-0.46  ,-0.46  ,0.13             ,-2.36                ,-15.52            ,13.27              ,5.1                ,3.29                 ,30.14                          ,30.14                   ,3.47                    ,- -         ,- -             ,11.12                ,-97.58                         ,-98.26                    ,5.49                         ,-1.64           ,1.2                     ,1.78         ,3.65                ,74.92   ,- -                  ,18.62                     ,3.58    ,-7.25                ,3.34                         ,5.41              ,0.57                 ,- -          ,9.95              ,-5.88        ,-23.37                          ,-22.27       ,1.78                       ,-0.7               ,3.09     ,32.63              ,-23.46                       ,-6.32         ,3.22                  ,-10                 ,-14.14     ,3.29                        ,-106.51        ,- -                      ,320.8                    ,1.52                           ,12.03                 ,-10988.3                    ,355.26                         ,4.53           ,66.95          ,-15.71                      ,-42.53                         ,-116.02             ,12.03                ,-1.25          ,-15.73               ,17.87                   ,-0.3562091366049811
