   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA   ,EBIT    ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt    ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,3.64                     ,-1.68           ,7.19         ,5.65                       ,- -                    ,12.87                   ,1.84                        ,13.62         ,13.62                       ,-0.9                      ,14.39             ,-0.35                       ,13.75               ,8.46   ,4.66              ,12.87   ,12.87   ,3.43             ,8.91                 ,9.38              ,4.02               ,11.53              ,-4.26                ,25.37                          ,26.09                   ,2.16                    ,-8.67       ,11.65           ,12.2                 ,-5.35                          ,2.74                      ,- -                          ,8.25            ,6.02                    ,8.82         ,17.42               ,- -        ,4.78                 ,9.34                      ,0.01    ,-2.23                ,-0.95                        ,4.6               ,14.85                ,- -          ,8.19              ,7.1          ,19.65                           ,18.78        ,8.82                       ,-2.45              ,2604.56  ,2177.04            ,-18.34                       ,2.62          ,-24.26                ,-0.37               ,13.62      ,-4.26                       ,182.3          ,198.57                   ,-93.34                   ,10.4                           ,25.09                 ,- -                         ,114.41                         ,10.52          ,- -            ,- -                         ,63.6                           ,-54.3               ,25.09                ,9.3            ,-4.89                ,-2.6                    ,-0.00802874916531704
 1 ,2011 ,1.26                     ,2.3             ,0.62         ,0.83                       ,- -                    ,-0.85                   ,-24.06                      ,0.57          ,0.72                        ,-3.65                     ,14.19             ,-2.75                       ,13.13               ,-13.19 ,-14.27            ,-0.85   ,-0.85   ,-0.63            ,-2.08                ,8.65              ,-6.32              ,2.74               ,-55.2                ,-37.13                         ,-38.12                  ,5.49                    ,-4.4        ,-17.29          ,-18.69               ,-8.89                          ,-2.95                     ,- -                          ,1.4             ,-0.11                   ,-8.79        ,-52.3               ,1818081.82 ,36.01                ,16.75                     ,-33.39  ,4.41                 ,-17.42                       ,1.85              ,5.7                  ,0.07         ,8.65              ,15.68        ,-31.77                          ,-30.87       ,-8.79                      ,-10.28             ,-177.53  ,-212.15            ,392.58                       ,-30.35        ,-9.03                 ,8.1                 ,9.64       ,-55.2                       ,42.73          ,45.9                     ,-960.03                  ,-7.83                          ,-20.31                ,542.22                      ,-58.83                         ,-1.02          ,- -            ,486.38                      ,212.14                         ,-273.28             ,-20.31               ,-6.76          ,32.84                ,-16.22                  ,0.26589142152008116
 2 ,2012 ,-28.75                   ,37.13           ,-69.86       ,-25.08                     ,- -                    ,-14.05                  ,30.65                       ,-16.11        ,-15.38                      ,-6.54                     ,-48.67            ,-6.26                       ,-48.83              ,-15.29 ,18.9              ,-14.05  ,-14.05  ,-57.7            ,20.64                ,-32.67            ,-25.43             ,241.84             ,-24.6                ,-21.79                         ,-19.49                  ,-8.71                   ,- -         ,448.74          ,45.54                ,-26.4                          ,-27.2                     ,- -                          ,-14.25          ,-15.88                  ,9.72         ,-17.78              ,14.25      ,25.41                ,17.16                     ,0.13    ,2.3                  ,1.28                         ,11.54             ,78.66                ,- -          ,-14.9             ,21.65        ,-44.3                           ,4.17         ,9.72                       ,1.09               ,95.28    ,87.46              ,-32.56                       ,24.23         ,39.18                 ,-4.46               ,-22.27     ,-24.6                       ,-26.24         ,-4.12                    ,685                      ,-44.42                         ,4.35                  ,- -                         ,0.41                           ,219.48         ,- -            ,-80.33                      ,-45.65                         ,-28.57              ,4.35                 ,-48            ,87.21                ,15.87                   ,0.1671167494151291
 3 ,2013 ,9.55                     ,5.07            ,22.26        ,1.64                       ,- -                    ,16.02                   ,-27.16                      ,19.12         ,24.38                       ,-1.47                     ,219.58            ,-1.69                       ,220.28              ,14.05  ,4.11              ,16.02   ,16.02   ,11.6             ,5.91                 ,187.42            ,39.75              ,-68.23             ,-2.84                ,104.99                         ,102.89                  ,2.62                    ,- -         ,-81.82          ,-24.7                ,-32.34                         ,-24.04                    ,- -                          ,3.27            ,-0.89                   ,-14.05       ,-42.51              ,- -        ,-23.72               ,-35.31                    ,- -     ,-21.37               ,-11.53                       ,-27.67            ,-4.98                ,- -          ,13.16             ,-62.09       ,60                              ,30.55        ,-14.05                     ,-2.87              ,-249.8   ,-214.75            ,-58.02                       ,16.41         ,-21.4                 ,-21.61              ,24.38      ,-2.84                       ,42.27          ,6.45                     ,59.24                    ,9.24                           ,21.88                 ,- -                         ,-47.37                         ,-68.7          ,- -            ,231.53                      ,92.6                           ,160.99              ,21.88                ,7.37           ,30.24                ,-65.31                  ,0.16299533367445784
 4 ,2014 ,3.61                     ,42.54           ,-91.39       ,82.38                      ,- -                    ,-91.96                  ,- -                         ,-95.99        ,-121.15                     ,-1.09                     ,-108.45           ,-2.97                       ,-108.61             ,-83.98 ,-84.54            ,-91.96  ,-91.96  ,-91.69           ,-92.24               ,-108.07           ,3.61               ,7.01               ,-2.19                ,60.26                          ,61.93                   ,-4.8                    ,- -         ,34.51           ,35.08                ,-17.27                         ,-11.2                     ,- -                          ,-9.63           ,-10.24                  ,11.71        ,682.91              ,- -        ,-0.14                ,67.24                     ,- -     ,-10.87               ,-5.21                        ,38.78             ,5.36                 ,- -          ,-5.93             ,162.24       ,-59.9                           ,-37.37       ,11.71                      ,0.37               ,128.53   ,264.91             ,195.62                       ,-19.23        ,13.01                 ,- -                 ,-121.15    ,-2.19                       ,455.43         ,1.01                     ,-46.6                    ,48.16                          ,-21.37                ,- -                         ,-50                            ,5.84           ,- -            ,-62.99                      ,-73.49                         ,-164.52             ,-21.37               ,59.8           ,-19.29               ,-1872.79                ,0.04069095059520467
 5 ,2015 ,5.19                     ,-30.88          ,1462.3       ,-50.19                     ,- -                    ,1596.46                 ,72.88                       ,3261.11       ,-763.87                     ,0.04                      ,-1104.85          ,1.14                        ,-1093.87            ,739.68 ,698.27            ,1596.46 ,1596.46 ,1385.25          ,1512.8               ,-1055.65          ,-12.34             ,11.31              ,17.16                ,-40.52                         ,-40.69                  ,6.33                    ,- -         ,53.18           ,-16.89               ,31.07                          ,11.18                     ,- -                          ,77.65           ,74.22                   ,20.85        ,-79.09              ,-68.71     ,11.57                ,-26.7                     ,334.04  ,-1.83                ,182.61                       ,29.47             ,-1.99                ,- -          ,9.93              ,16.73        ,-54.92                          ,-13.79       ,20.85                      ,-2.21              ,-225.44  ,-245.5             ,260.5                        ,13.37         ,-16.85                ,20                  ,-763.87    ,17.16                       ,-65.36         ,-22                      ,559.55                   ,-83.87                         ,51.09                 ,- -                         ,3784.62                        ,11.35          ,- -            ,169.06                      ,-426.84                        ,-220.23             ,51.09                ,-94.99         ,333.84               ,-101.6                  ,0.129752687614604
 6 ,2016 ,6.55                     ,-0.41           ,18.99        ,-8.56                      ,- -                    ,18.31                   ,-1001.96                    ,75.65         ,75.71                       ,-3.24                     ,88.28             ,-3.42                       ,88.64               ,18.08  ,10.82             ,18.31   ,18.31   ,11.68            ,11.04                ,70.98             ,8.68               ,8.19               ,15.29                ,61.4                           ,61.51                   ,13.22                   ,- -         ,-81.78          ,11.38                ,0.37                           ,-5.5                      ,- -                          ,2.38            ,2.27                    ,5.94         ,-12.79              ,- -        ,-4.41                ,-10.21                    ,2.77    ,10.71                ,4.01                         ,-1.88             ,3.04                 ,- -          ,20.61             ,28.83        ,188.48                          ,53.14        ,5.94                       ,-2.89              ,-44.98   ,-64.07             ,-26.01                       ,24.05         ,5.37                  ,-1.96               ,75.71      ,15.29                       ,-260.64        ,-2.56                    ,-94.78                   ,650.77                         ,-17.27                ,- -                         ,-147.72                        ,4.68           ,-81.56         ,15.3                        ,-205.96                        ,-230.37             ,-17.27               ,2308.93        ,-77.73               ,312.1                   ,0.01014972867735886
 7 ,2017 ,7.1                      ,1.77            ,15.08        ,8.11                       ,- -                    ,15.08                   ,-116.2                      ,-22.8         ,-26.48                      ,-2.47                     ,-27.16            ,-2.38                       ,-27.24              ,13.92  ,6.37              ,15.08   ,15.08   ,7.45             ,7.45                 ,-33.67            ,5                  ,13.6               ,-0.55                ,16.29                          ,16.18                   ,17.56                   ,- -         ,43.62           ,17.79                ,1.48                           ,2.6                       ,- -                          ,2.09            ,2.06                    ,8.72         ,13.47               ,179.02     ,6.98                 ,23.09                     ,-11.05  ,29.45                ,-4.3                         ,6.08              ,2.52                 ,- -          ,8.85              ,-16.04       ,9.56                            ,18.92        ,8.72                       ,-1.66              ,-32.59   ,-43.32             ,-29.48                       ,-4.31         ,13.35                 ,2                   ,-26.48     ,-0.55                       ,-131.18        ,30.26                    ,-26.09                   ,37.7                           ,6.96                  ,- -                         ,-117.34                        ,10.79          ,- -            ,-10.86                      ,-5.81                          ,-71.94              ,6.96                 ,40.33          ,13.17                ,93.85                   ,0.3989711144297423
 8 ,2018 ,3.22                     ,0.43            ,6.9          ,0.06                       ,- -                    ,6.9                     ,-26.85                      ,8.94          ,29.49                       ,-2.11                     ,33.7              ,-2.2                        ,33.83               ,7.38   ,4.04              ,6.9     ,6.9     ,3.57             ,3.57                 ,26.8              ,-0.68              ,22.05              ,14.44                ,-29.2                          ,-29.54                  ,9.86                    ,- -         ,-16.36          ,-16.65               ,-1.82                          ,4.46                      ,- -                          ,15.71           ,14.76                   ,0.35         ,-25.07              ,- -        ,-3.74                ,-18.2                     ,15.52   ,-6.5                 ,10.55                        ,-2.09             ,20.28                ,-28.64       ,12.56             ,14.33        ,-10.94                          ,8.78         ,0.35                       ,-1.97              ,115.7    ,98.28              ,39.95                        ,1.9           ,10.95                 ,3.92                ,29.49      ,14.44                       ,-6.39          ,-5.05                    ,652.94                   ,2.38                           ,-8.13                 ,- -                         ,145.45                         ,19.48          ,-0.81          ,65.83                       ,51.82                          ,-345.67             ,-8.13                ,3.06           ,-4.55                ,-21.78                  ,0.07610965098661693
 9 ,2019 ,7.05                     ,-48.07          ,75.56        ,-2.82                      ,- -                    ,13.87                   ,126.61                      ,9.29          ,8.58                        ,-2.19                     ,10.86             ,-2.49                       ,11.19               ,12.85  ,5.42              ,13.87   ,13.87   ,64               ,6.37                 ,1.29              ,0.86               ,13.83              ,-0.97                ,47.47                          ,47.4                    ,8.83                    ,- -         ,23.46           ,30.74                ,38.52                          ,15.01                     ,- -                          ,12.14           ,13.36                   ,19.98        ,-9.15               ,-71.93     ,16.12                ,17.65                     ,24.74   ,2.32                 ,20.46                        ,19.43             ,6.21                 ,- -          ,8.16              ,-15.9        ,-21.64                          ,21.7         ,19.98                      ,-2.01              ,-37.68   ,-48.79             ,-44.8                        ,11.13         ,-29.57                ,6.13                ,8.58       ,-0.97                       ,8.43           ,-17.02                   ,-99.8                    ,34.5                           ,1.77                  ,- -                         ,-74.46                         ,11.33          ,122.09         ,-25.3                       ,-23.47                         ,-221.3              ,1.77                 ,36.39          ,17.89                ,24.04                   ,0.333886831913226
