   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,11.07                    ,16.11           ,7.67         ,- -                        ,- -                    ,17.19                   ,-528.32                     ,-46.75        ,-34.67                      ,0.57                      ,-35.22            ,0.23                        ,-35                 ,15.21  ,3.73              ,17.19  ,17.19  ,-3.05            ,5.51                 ,-41.07            ,13.82              ,5.94               ,               11.87 ,729.09                         ,729.09                  ,-0.62                   ,30.96       ,56.32           ,46.1                 ,8.72                           ,8.2                       ,-0.07                        ,-24.33          ,2.72                    ,        6.21 ,-7.48               ,-57.43  ,44.05                ,-2.62                     ,20.38   ,4.63                 ,12.27                        ,9.26              ,-15.8                ,- -          ,5.14              ,-10.57       ,0.22                            ,-0.14        ,                      6.21 ,-2.83              ,0.4      ,0.54               ,-6.21                        ,50.04         ,-57.41                ,-2.42               ,-34.67     ,                      11.87 ,136.51         ,- -                      ,-150.71                  ,14.88                          ,-5.37                 ,- -                         ,-51.98                         ,6.55           ,-47.7          ,-1005.88                    ,-111.98                        ,-462.9              ,-5.37                ,-130.26        ,-11.02               ,75.51                   ,-0.16132385061197718
 1 ,2011 ,11.47                    ,9.6             ,12.84        ,- -                        ,- -                    ,16.63                   ,-91.9                       ,118.96        ,91.95                       ,-2.05                     ,88.92             ,-2.59                       ,89.97               ,15.25  ,3.38              ,16.63  ,16.63  ,1.22             ,4.63                 ,64.73             ,-13.9              ,22.29              ,               12.8  ,-72.37                         ,-72.37                  ,-16.05                  ,34.11       ,-33.39          ,-30.45               ,18.6                           ,15.56                     ,-26.71                       ,56.77           ,15.2                    ,       10.15 ,23.35               ,54.83   ,-7.07                ,9.96                      ,12.23   ,7.19                 ,9.81                         ,9.84              ,106.68               ,- -          ,12.23             ,48.18        ,8.98                            ,10.86        ,                     10.15 ,- -                ,23.74    ,11.62              ,-7.11                        ,-36.75        ,77.4                  ,29.47               ,91.95      ,                      12.8  ,-172.04        ,- -                      ,-283.18                  ,-13.32                         ,74.54                 ,68.94                       ,139.28                         ,19.79          ,86.49          ,-102.16                     ,-873.91                        ,-183.42             ,74.54                ,-1982.61       ,-20.32               ,-52.8                   ,0.08770850389994611
 2 ,2012 ,-3.88                    ,59.5            ,-48.49       ,- -                        ,- -                    ,-11.01                  ,970                         ,-45.21        ,-34.61                      ,0.68                      ,-36.75            ,2.14                        ,-37.66              ,-3.04  ,0.86              ,-11.01 ,-11.01 ,-46.41           ,-7.42                ,-33.69            ,-0.52              ,23.27              ,               11.45 ,88.49                          ,88.49                   ,19.41                   ,17.92       ,215.04          ,58.45                ,6.87                           ,7.11                      ,-23.44                       ,21.07           ,5.74                    ,        9.42 ,2.53                ,61.91   ,-20.87               ,2.28                      ,15.31   ,11.09                ,13.33                        ,11.34             ,5.37                 ,5.37         ,2.63              ,-23.11       ,5.52                            ,5.09         ,                      9.42 ,1.37               ,17.02    ,11.36              ,-3.99                        ,54.91         ,-176.67               ,-3.37               ,-34.61     ,                      11.45 ,-189.75        ,- -                      ,43.37                    ,8.09                           ,-17.87                ,-72.43                      ,2.87                           ,24.11          ,47.62          ,520                         ,153.75                         ,-132.14             ,-17.87               ,-45.84         ,41.73                ,69.57                   ,0.20423024783577226
 3 ,2013 ,9.43                     ,8.66            ,11.11        ,- -                        ,- -                    ,18.86                   ,-29.28                      ,51.64         ,18.26                       ,1.04                      ,15.67             ,1.07                        ,15.64               ,12.04  ,2.38              ,18.86  ,18.86  ,1.53             ,8.62                 ,6.59              ,7.97               ,8.76               ,                2.11 ,90.32                          ,90.32                   ,-0.43                   ,-29.66      ,0.08            ,8.17                 ,1.07                           ,2.62                      ,7.63                         ,-0.21           ,1.35                    ,        2.04 ,7.99                ,33.12   ,-26.07               ,2.61                      ,-3.17   ,-0.87                ,-2.11                        ,-1.33             ,8.66                 ,8.66         ,4.57              ,-39.36       ,6.23                            ,10.11        ,                      2.04 ,0.29               ,-3.03    ,-11.93             ,11.19                        ,5.42          ,-99.81                ,1.36                ,18.26      ,                       2.11 ,23.53          ,- -                      ,175.44                   ,-11.6                          ,-12.99                ,-147.56                     ,-46.52                         ,9.89           ,-32.81         ,-72.58                      ,-75.06                         ,101.4               ,-12.99               ,-15.99         ,47.93                ,-24.21                  ,0.007907779818511873
 4 ,2014 ,4.53                     ,7.0             ,-0.74        ,- -                        ,- -                    ,-5.41                   ,-43.17                      ,6.57          ,15.99                       ,0.83                      ,14.68             ,0.53                        ,15.03               ,-1.97  ,-6.22             ,-5.41  ,-5.41  ,-5.04            ,-9.51                ,10.18             ,4.99               ,-2.77              ,                3.86 ,-36.95                         ,-36.95                  ,-8.32                   ,37.98       ,45.69           ,4.68                 ,1.74                           ,2.91                      ,52.51                        ,9.44            ,6.92                    ,        6.68 ,10.16               ,30.14   ,3.27                 ,16.02                     ,8.12    ,6.39                 ,7.32                         ,8.81              ,3.11                 ,3.11         ,5.8               ,117.98       ,2.88                            ,2.11         ,                      6.68 ,1.35               ,14.6     ,12.23              ,-3.57                        ,-9.78         ,5282.84               ,-0.44               ,15.99      ,                       3.86 ,-84.87         ,- -                      ,-59.82                   ,21.13                          ,21.42                 ,-217.76                     ,97.87                          ,-1.96          ,57.23          ,5.88                        ,152.66                         ,-175.52             ,21.42                ,22.08          ,4.83                 ,5.18                    ,0.15903913498462985
 5 ,2015 ,-7.29                    ,-13.54          ,7.08         ,- -                        ,- -                    ,7.18                    ,-20.16                      ,11.81         ,14.74                       ,0.96                      ,15.09             ,0.11                        ,16.07               ,7.56   ,16.01             ,7.18   ,7.18   ,15.5             ,15.61                ,25.31             ,-9.1               ,4.01               ,                8.13 ,-29.3                          ,-29.3                   ,2.17                    ,-24.75      ,-60.88          ,-30.9                ,8.25                           ,7.89                      ,-0.28                        ,10.32           ,7.63                    ,        3.57 ,-2.75               ,-30.56  ,21.22                ,-9.02                     ,7.95    ,4.13                 ,6.19                         ,3.4               ,5.52                 ,5.52         ,7.01              ,62.17        ,4.26                            ,3.96         ,                      3.57 ,0.4                ,3.34     ,-0.59              ,1.53                         ,-24.06        ,-479.89               ,2                   ,14.74      ,                       8.13 ,-64.81         ,- -                      ,-160.45                  ,34.43                          ,1.06                  ,-118.25                     ,-13.67                         ,5.01           ,-8.56          ,-222.22                     ,-120.26                        ,-53.21              ,1.06                 ,-73.91         ,-27.33               ,15.71                   ,-0.12428586170058342
 6 ,2016 ,-0.47                    ,2.65            ,-6.25        ,- -                        ,- -                    ,-15.13                  ,-201.46                     ,7.39          ,4.9                         ,0.79                      ,0.76              ,0.09                        ,1.46                ,-7.18  ,-6.75             ,-15.13 ,-15.13 ,-5.81            ,-14.73               ,2.03              ,4.41               ,8.36               ,                4.96 ,-13.4                          ,-13.4                   ,7.55                    ,-13.42      ,29.22           ,7.58                 ,17.45                          ,14.2                      ,-21.3                        ,37.91           ,16.77                   ,       16.13 ,13.44               ,76.06   ,-4.16                ,28.51                     ,9.86    ,12.6                 ,11.1                         ,13.91             ,13.77                ,13.77        ,7.23              ,-7.2         ,9.65                            ,21.16        ,                     16.13 ,0.68               ,17.62    ,-2.93              ,-3.39                        ,-16.29        ,61.28                 ,-4.67               ,4.9        ,                       4.96 ,-2105.26       ,- -                      ,-169.68                  ,-20.17                         ,33.52                 ,117.39                      ,69.36                          ,9.22           ,-1.37          ,-77.27                      ,-1552.6                        ,-64.71              ,33.52                ,654.98         ,-0.77                ,-21.39                  ,0.00607744117799669
 7 ,2017 ,10.06                    ,1.86            ,26.7         ,- -                        ,- -                    ,43.74                   ,-456.46                     ,-13.39        ,-76.89                      ,0.53                      ,-81.41            ,0.46                        ,-81.4               ,30.24  ,18.34             ,43.74  ,43.74  ,15.13            ,30.6                 ,-82.97            ,-34.16             ,9.46               ,               13.57 ,-17.48                         ,-17.48                  ,6.65                    ,18.99       ,15.34           ,7.43                 ,10.85                          ,10.28                     ,13.99                        ,-18.23          ,5.45                    ,        5.58 ,3.65                ,10.22   ,25.68                ,11.95                     ,13.97   ,0.37                 ,7.74                         ,8.51              ,5.6                  ,5.6          ,-5.32             ,-16.31       ,-2.17                           ,-0.66        ,                      5.58 ,0.4                ,14.02    ,14.78              ,-6.85                        ,-4.04         ,150.76                ,67.17               ,-76.89     ,                      13.57 ,-460.63        ,57.69                    ,-194.66                  ,56.32                          ,-6.29                 ,- -                         ,-3.81                          ,10.04          ,52.8           ,-740                        ,-59.93                         ,25.93               ,-6.29                ,-82.9          ,-7.93                ,733.9                   ,-0.0998895524812502
 8 ,2018 ,4.28                     ,4.63            ,3.71         ,- -                        ,- -                    ,2.7                     ,80.81                       ,-34.01        ,220.8                       ,6.57                      ,238.69            ,6.96                        ,237.46              ,3.19   ,-1.04             ,2.7    ,2.7    ,-0.55            ,-1.51                ,291.78            ,71.76              ,20.02              ,                3.96 ,-34.03                         ,-34.03                  ,13.06                   ,-3.58       ,18.42           ,9.1                  ,0.8                            ,2.51                      ,264.13                       ,2.61            ,20.97                   ,       20.18 ,5.93                ,26.46   ,-0.45                ,13.38                     ,31.41   ,0.18                 ,18.09                        ,17.21             ,444.24               ,444.24       ,-0.42             ,22.04        ,35.21                           ,27.13        ,                     20.18 ,9.16               ,31.63    ,3.54               ,11.91                        ,-3.78         ,-46.45                ,-39.28              ,220.8      ,                       3.96 ,-75.84         ,1.22                     ,16.13                    ,-4.91                          ,-4.18                 ,-10476                      ,167.17                         ,27.91          ,103.46         ,6934.38                     ,794.34                         ,52.94               ,-4.18                ,4.01           ,12.34                ,-76.73                  ,0.1072591796322967
 9 ,2019 ,-7.34                    ,-15.62          ,6.3          ,- -                        ,- -                    ,9.78                    ,-33.7                       ,65.77         ,77.53                       ,3.67                      ,114.53            ,4.51                        ,112.8               ,6.44   ,14.88             ,9.78   ,9.78   ,14.72            ,18.48                ,125.92            ,11.59              ,13.22              ,                1.29 ,-43.16                         ,-43.16                  ,-4.96                   ,-6.42       ,-8.99           ,-8.4                 ,-34.32                         ,-24.88                    ,16.45                        ,218.83          ,9.36                    ,        8.29 ,-2.52               ,34.09   ,22.26                ,21.63                     ,-3.82   ,13.62                ,2.49                         ,5.97              ,-78.18               ,-56.35       ,10.15             ,22.91        ,16.27                           ,13.28        ,                      8.29 ,6.57               ,2.13     ,-9.85              ,9.38                         ,-24.68        ,72.37                 ,-16.96              ,77.53      ,                       1.29 ,-193.37        ,-9.64                    ,-488.89                  ,-10.41                         ,-2.01                 ,-82.68                      ,-63.42                         ,17.37          ,-53.17         ,-19.86                      ,-83.62                         ,-71.15              ,-2.01                ,83.98          ,56.27                ,-57.2                   ,0.15129811044058594
