   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt  ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,8.88                     ,4.67            ,10.9         ,8.02                       ,17.16                  ,12.85                   ,287.47                      ,6.51          ,14.99                       ,-0.25                     ,15.28             ,0.03                        ,14.96               ,11.65  ,2.54              ,12.85  ,12.85  ,1.86             ,3.65                 ,5.61              ,0.98               ,             20.41 ,6.46                 ,48.24                          ,166.83                  ,9.14                    ,12.07       ,12.53           ,29.82                ,-15.76                         ,-5.8                      ,1.79                         ,11.23           ,2.45                    ,20.11        ,11.01               ,40.56    ,- -                  ,11.38                     ,- -     ,8.19                 ,104.45                       ,50.29             ,                6.76 ,-1.76        ,11.48             ,-40.5        ,8.77                            ,8.77         ,20.11                      ,-1.71              ,14.84    ,5.58               ,-11.56                       ,16.56         ,0.93                  ,7.82                ,14.99      ,6.46                        ,84.33          ,10.43                    ,162.32                   ,5.94                           ,38.69                 ,43.52                       ,-40.12                         ,         20.11 ,5846.15        ,- -                         ,-312.16                        ,-2004.92            ,38.69                ,2.7            ,-2.06                ,-7.87                   ,-0.048851419166942245
 1 ,2011 ,13.48                    ,22.98           ,9.17         ,16.35                      ,17.29                  ,-6.02                   ,-47.69                      ,-2.52         ,5.62                        ,-2.5                      ,8.33              ,-2.5                        ,8.33                ,-1.84  ,-13.51            ,-6.02  ,-6.02  ,-3.8             ,-17.19               ,-6.93             ,7.05               ,             20.08 ,17.26                ,-21.97                         ,-48.51                  ,13.19                   ,21.4        ,22.67           ,-4.81                ,11.24                          ,11.09                     ,9.47                         ,79.53           ,56.84                   ,13.86        ,-13.46              ,-32.81   ,- -                  ,14.7                      ,75.72   ,0.89                 ,36.12                        ,26.88             ,                5.66 ,-2.81        ,7.68              ,-6.19        ,7.1                             ,7.1          ,13.86                      ,-2.58              ,-217.29  ,-209.51            ,-20.55                       ,-17.01        ,-5.38                 ,6.01                ,5.62       ,17.26                       ,-38.46         ,9.01                     ,80.21                    ,-7.33                          ,24.11                 ,-98.13                      ,168.38                         ,         17.08 ,-26.76         ,46.18                       ,-139.26                        ,-174.18             ,24.11                ,-11.52         ,-6.45                ,-12.26                  ,-0.061203088864837385
 2 ,2012 ,4.21                     ,-1.07           ,6.91         ,10.03                      ,1.95                   ,3.06                    ,46.05                       ,1.13          ,-3.49                       ,-1.53                     ,-2                ,-1.67                       ,-1.86               ,2.63   ,-1.52             ,3.06   ,3.06   ,2.59             ,-1.1                 ,-7.4              ,0.57               ,             17.93 ,1.04                 ,25.37                          ,54.14                   ,0.92                    ,-1.4        ,2.25            ,12.27                ,6.76                           ,8.61                      ,- -                          ,10.91           ,3.38                    ,8.56         ,1.9                 ,-5.88    ,-6.35                ,-0.22                     ,-0.29   ,13.89                ,5.28                         ,3.13              ,                7.17 ,- -          ,13.17             ,-10.42       ,11.9                            ,11.9         ,8.56                       ,-0.26              ,-57.47   ,-62                ,8.09                         ,12.51         ,7.62                  ,3.62                ,-3.49      ,1.04                        ,-1.32          ,- -                      ,-56.84                   ,15.55                          ,-7.08                 ,2940                        ,-65.53                         ,         16.13 ,-75.82         ,-82.64                      ,178.88                         ,-154.76             ,-7.08                ,19.78          ,-4.35                ,19.73                   ,-0.01299590229111569
 3 ,2013 ,4.2                      ,7.05            ,2.86         ,17.31                      ,13.8                   ,-28.19                  ,-17.12                      ,-28.91        ,-22.5                       ,-0.53                     ,-22.09            ,-0.23                       ,-22.31              ,-30.02 ,-32.84            ,-28.19 ,-28.19 ,-1.29            ,-31.09               ,-25.62            ,-8.26              ,             24.42 ,-36.83               ,-7.12                          ,-4.01                   ,6.15                    ,12.41       ,24.34           ,2.67                 ,14.03                          ,11.87                     ,- -                          ,43.76           ,38.49                   ,16.9         ,50.54               ,56.25    ,25                   ,44.64                     ,56.87   ,1.01                 ,33.17                        ,37.49             ,                5.46 ,- -          ,3.89              ,79.84        ,5.23                            ,5.23         ,16.9                       ,-0.53              ,288.28   ,268.97             ,-36.17                       ,-29.01        ,2.1                   ,13.58               ,-22.5      ,-36.83                      ,-33.33         ,1.33                     ,-358.91                  ,13.82                          ,-7.14                 ,-255.7                      ,201.22                         ,         23.77 ,664.04         ,193.52                      ,-166.82                        ,-106.57             ,-7.14                ,16.86          ,23.95                ,46.86                   ,0.09692948756481456
 4 ,2014 ,7.25                     ,10.55           ,5.63         ,6.64                       ,14.55                  ,-4.45                   ,-6.52                       ,-4.29         ,-48.81                      ,-0.03                     ,-48.79            ,0.18                        ,-48.9               ,0.81   ,-6.01             ,-4.45  ,-4.45  ,-1.51            ,-10.91               ,-52.27            ,3.12               ,             15.24 ,23.13                ,25.63                          ,34.06                   ,3.56                    ,11.67       ,6.93            ,16.05                ,1.57                           ,4                         ,- -                          ,9.72            ,8.53                    ,12.51        ,49.74               ,2808     ,11.4                 ,67.97                     ,18.51   ,8.31                 ,15.23                        ,36.16             ,                7.68 ,- -          ,-0.76             ,-209.48      ,-4.99                           ,-4.99        ,12.51                      ,- -                ,52.84    ,60.86              ,-35.92                       ,-30.91        ,1.03                  ,4                   ,-48.81     ,23.13                       ,-40            ,1.32                     ,64.24                    ,-5.51                          ,19.49                 ,-82.89                      ,-15.29                         ,         15.21 ,-14.78         ,-68.45                      ,109.67                         ,-1819.35            ,19.49                ,-8.4           ,31.97                ,84.57                   ,0.16018725724668426
 5 ,2015 ,2.8                      ,1.61            ,3.41         ,-16.74                     ,1.79                   ,73.11                   ,390.7                       ,49.57         ,179.42                      ,-0.5                      ,180.83            ,-0.5                        ,180.81              ,57.27  ,52.98             ,73.11  ,73.11  ,0.6              ,68.4                 ,171.8             ,-1.01              ,             13.34 ,5.03                 ,-18.42                         ,88.25                   ,5.73                    ,3.21        ,-62.72          ,-17.87               ,9.2                            ,5.12                      ,- -                          ,2.33            ,3.27                    ,-8.28        ,-33.22              ,5.78     ,-109.56              ,-37.06                    ,0.22    ,18.89                ,5.87                         ,-15.15            ,                5.27 ,-2.63        ,3.08              ,151.57       ,-0.99                           ,-0.99        ,-8.28                      ,-1.32              ,-70.48   ,-70.18             ,20.37                        ,30.48         ,2.34                  ,3.85                ,179.42     ,5.03                        ,- -            ,11.69                    ,-209.08                  ,-49.55                         ,15.88                 ,-426.34                     ,-204.15                        ,         12.77 ,-35.81         ,600                         ,-281.4                         ,221.58              ,15.88                ,-59.39         ,67.31                ,-81.94                  ,0.007400288034573377
 6 ,2016 ,13.86                    ,14.53           ,13.53        ,14.6                       ,14.4                   ,7.74                    ,-4.5                        ,10.72         ,14.45                       ,-0.66                     ,15.22             ,-0.63                       ,15.18               ,12.37  ,-1.31             ,7.74   ,7.74   ,-0.3             ,-5.38                ,0.52              ,-6.84              ,              9.75 ,37.53                ,-17.04                         ,-1.86                   ,18.35                   ,23.86       ,-14.89          ,-1.04                ,30.86                          ,15.79                     ,- -                          ,54.91           ,51.44                   ,25.78        ,2.67                ,-70.35   ,-403.51              ,-9.08                     ,105.53  ,-1.73                ,69.09                        ,40.71             ,                8.17 ,- -          ,13.48             ,19.09        ,12.21                           ,12.21        ,25.78                      ,0.54               ,459.56   ,398.69             ,-111.87                      ,8.84          ,0.49                  ,22.22               ,14.45      ,37.53                       ,- -            ,12.79                    ,-59.34                   ,101.56                         ,81.48                 ,-73.35                      ,-314.26                        ,          9.02 ,511.16         ,-98.14                      ,-306.92                        ,-101.05             ,81.48                ,110.17         ,-34.97               ,76.1                    ,0.2115350402038354
 7 ,2017 ,9.88                     ,11.51           ,9.05         ,10.03                      ,10.07                  ,5.98                    ,-0.74                       ,7.39          ,-38.07                      ,-0.03                     ,-38.05            ,0.42                        ,-38.33              ,8.19   ,-1.54             ,5.98   ,5.98   ,-0.76            ,-3.55                ,-43.64            ,9.88               ,             12    ,17.58                ,-17.46                         ,-23.34                  ,11.74                   ,21.43       ,11.87           ,1.68                 ,25.88                          ,20.22                     ,- -                          ,11              ,12.85                   ,8.55         ,-6.41               ,177.19   ,271.1                ,28.78                     ,-1.44   ,40.43                ,6.83                         ,11.98             ,                4.36 ,- -          ,1.63              ,-27.33       ,4.5                             ,4.65         ,8.55                       ,-0.16              ,30.07    ,24.29              ,85.64                        ,-21.04        ,10.49                 ,- -                 ,-38.07     ,17.58                       ,- -            ,16.49                    ,-72.97                   ,-13.96                         ,22.04                 ,-128.86                     ,-61.51                         ,         11.97 ,-72.91         ,1669.23                     ,-133.63                        ,4611.11             ,22.04                ,-27.31         ,38.68                ,38.93                   ,0.11417584451379037
 8 ,2018 ,9.3                      ,9.18            ,9.36         ,12.02                      ,9.53                   ,3.94                    ,-49                         ,14.2          ,248.33                      ,0.03                      ,248.24            ,0.05                        ,248.15              ,5.73   ,-3.26             ,3.94   ,3.94   ,0.06             ,-4.9                 ,218.7             ,0.19               ,             10.51 ,12.62                ,32.44                          ,42.25                   ,6.1                     ,19.88       ,39.11           ,21.77                ,16                             ,12.55                     ,- -                          ,24.48           ,23.3                    ,22.75        ,24.91               ,117.25   ,42.83                ,46.15                     ,28.77   ,-4.5                 ,20.13                        ,27.16             ,                4.11 ,- -          ,19.8              ,14.1         ,17.54                           ,17.37        ,22.75                      ,- -                ,33.4     ,13.66              ,24.54                        ,-16.68        ,7.12                  ,9.09                ,248.33     ,12.62                       ,- -            ,5.31                     ,1517.48                  ,67.42                          ,-4.35                 ,-191.8                      ,77.12                          ,         10.53 ,153.73         ,30.43                       ,-267.38                        ,-227.59             ,-4.35                ,112.07         ,-32.54               ,-51.94                  ,0.08672215732962119
 9 ,2019 ,9.43                     ,11.26           ,8.48         ,5.04                       ,12.65                  ,13.48                   ,68.14                       ,8.74          ,-41.37                      ,-0.03                     ,-41.36            ,-0.11                       ,-41.31              ,12.18  ,2.51              ,13.48  ,13.48  ,-0.87            ,3.69                 ,-46.43            ,-1.51              ,             10.7  ,7.61                 ,19.63                          ,19.94                   ,24.06                   ,11.07       ,1.74            ,16.72                ,12.05                          ,10.22                     ,- -                          ,6.81            ,7.49                    ,10.79        ,2.74                ,-37.44   ,4.14                 ,-8.47                     ,20.56   ,23.71                ,21.21                        ,12.01             ,                4.32 ,- -          ,9.13              ,-3.96        ,9.18                            ,9.18         ,10.79                      ,0.03               ,8.17     ,-0.93              ,-57.79                       ,27.51         ,2.99                  ,11.11               ,-41.37     ,7.61                        ,- -            ,6.72                     ,-59.78                   ,-16.05                         ,13.46                 ,-102.98                     ,-49.07                         ,         10.67 ,-15.48         ,2.33                        ,-99.77                         ,-31.7               ,13.46                ,-24.34         ,50.27                ,43.19                   ,0.06450719004773786
