   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,1.06                     ,1.07            ,1.01         ,- -                        ,- -                    ,5.54                    ,24.56                       ,4.45          ,11.75                       ,-0.5                      ,12.31             ,-0.42                       ,12.21               ,4.94   ,3.84              ,5.54   ,5.54   ,-0.05            ,4.43                 ,10.58             ,3.26               ,              6.28 ,2                    ,-43.98                         ,-46.15                  ,6.03                    ,7.32        ,-53.77          ,-5.57                ,7.54                           ,6.81                      ,- -                          ,-2.93           ,5.89                    ,-0.08        ,6.35                ,-13.02  ,-68.66               ,-6.89                     ,0.21    ,-14.37               ,-4.49                        ,-5.62             ,                3.7  ,- -          ,9.09              ,72.76        ,10.95                           ,10.95        ,-0.08                      ,-0.27              ,36.39    ,22.92              ,19.89                        ,1.41          ,-1.45                 ,-2.13               ,11.75      ,2                           ,-102.22        ,18.43                    ,-0.02                    ,-44.04                         ,27.99                 ,- -                         ,-0.36                          ,5.75           ,-98.6          ,-74.19                      ,75.7                           ,-180.5              ,27.99                ,-73.98         ,76.35                ,-49.93                  ,-0.048343103894531
 1 ,2011 ,5.58                     ,6.19            ,3.01         ,- -                        ,- -                    ,-2.25                   ,-17.6                       ,-1.2          ,-2.37                       ,-0.95                     ,-1.43             ,-0.83                       ,-1.56               ,-1.34  ,-6.56             ,-2.25  ,-2.25  ,-2.44            ,-7.42                ,-7.53             ,5.58               ,              3.97 ,3.23                 ,5.06                           ,9.28                    ,10.73                   ,17.06       ,54.4            ,12.94                ,9.63                           ,9.55                      ,- -                          ,12.11           ,7.93                    ,10.39        ,7.68                ,4780.88 ,-17.94               ,18.8                      ,-7.81   ,-17.78               ,-10.69                       ,2.99              ,                4.48 ,- -          ,7.67              ,-45.87       ,22.93                           ,22.93        ,10.39                      ,0.54               ,7.05     ,-12.92             ,22.48                        ,-4.94         ,6.59                  ,- -                 ,-2.37      ,3.23                        ,304.06         ,-10.73                   ,-41.45                   ,23.28                          ,7.04                  ,-206.34                     ,3.54                           ,2.99           ,2528.49        ,-148.67                     ,-43.34                         ,-107.78             ,7.04                 ,56.48          ,-8.57                ,26.27                   ,0.035070089805740334
 2 ,2012 ,7.78                     ,8.44            ,4.85         ,- -                        ,- -                    ,-2.12                   ,2.48                        ,-2.38         ,-2.64                       ,0.2                       ,-2.84             ,0.05                        ,-2.69               ,-1.14  ,-8.27             ,-2.12  ,-2.12  ,-2.71            ,-9.18                ,-9.67             ,3.72               ,              4.11 ,3.57                 ,7.68                           ,7.68                    ,2.36                    ,5.07        ,106.9           ,6.14                 ,-87.86                         ,-42.45                    ,- -                          ,160.89          ,6.32                    ,6.23         ,4.24                ,-34.54  ,- -                  ,-4.24                     ,21.24   ,48.07                ,28.38                        ,10.92             ,                3.11 ,- -          ,6.43              ,154.99       ,-0.43                           ,-0.43        ,6.23                       ,-0.95              ,14.82    ,15.32              ,-8.3                         ,10.84         ,1.78                  ,3.91                ,-2.64      ,3.57                        ,3.25           ,18.71                    ,-84.84                   ,28.64                          ,23.26                 ,- -                         ,32.97                          ,4.32           ,299.49         ,-762.72                     ,17.13                          ,70.02               ,23.26                ,36.17          ,-25.29               ,32.14                   ,-0.01520895023002522
 3 ,2013 ,4.79                     ,5.3             ,2.49         ,- -                        ,- -                    ,-12.28                  ,4.12                        ,-13.26        ,-11.52                      ,0.28                      ,-11.77            ,0.63                        ,-12.07              ,-5.92  ,-10.22            ,-12.28 ,-12.28 ,-2.2             ,-16.29               ,-15.56            ,4.14               ,              3.78 ,22.93                ,-40.15                         ,-40.15                  ,7.3                     ,9.98        ,-13.83          ,2.02                 ,-53.07                         ,2.43                      ,- -                          ,12.05           ,7.43                    ,4.7          ,10.46               ,-2.25   ,- -                  ,9.51                      ,-4.48   ,-11.43               ,-6.61                        ,0.84              ,                7.07 ,- -          ,4.13              ,-32.58       ,10.82                           ,10.82        ,4.7                        ,0.03               ,6.32     ,-4.06              ,4.14                         ,-6.85         ,1.35                  ,0.63                ,-11.52     ,22.93                       ,-199.99        ,-0.24                    ,15.93                    ,7.65                           ,-34.75                ,- -                         ,0.91                           ,4.08           ,-91.74         ,165.01                      ,97.49                          ,-574.07             ,-34.75               ,61.33          ,26.61                ,21.66                   ,-0.10703550188159872
 4 ,2014 ,4.74                     ,4.9             ,3.98         ,- -                        ,- -                    ,-4.3                    ,0.43                        ,-4.64         ,-6.14                       ,-0.58                     ,-5.59             ,-0.41                       ,-5.74               ,-1.28  ,-5.75             ,-4.3   ,-4.3   ,-0.72            ,-8.63                ,-10.38            ,0.16               ,              3.52 ,8.49                 ,0.18                           ,0.18                    ,6.77                    ,8.59        ,24.26           ,7.64                 ,-156.28                        ,0.19                      ,- -                          ,5.47            ,0.46                    ,3.98         ,14.04               ,50.95   ,- -                  ,16.49                     ,-9.69   ,6.15                 ,-5.08                        ,5.74              ,                4.36 ,- -          ,3.03              ,43.79        ,1.44                            ,1.44         ,3.98                       ,- -                ,-5.24    ,-6.59              ,-3.08                        ,-7.6          ,-1.5                  ,4.57                ,-6.14      ,8.49                        ,-3.59          ,5.96                     ,-1.9                     ,-1.24                          ,2.22                  ,- -                         ,-36.74                         ,2.93           ,-40.08         ,-53.94                      ,4.76                           ,-100.04             ,2.22                 ,-3.01          ,10.16                ,5.21                    ,0.02005436281468098
 5 ,2015 ,4.65                     ,4.68            ,4.53         ,- -                        ,- -                    ,-22.54                  ,98.4                        ,-31.68        ,-26.27                      ,1.04                      ,-27.03            ,1.12                        ,-27.09              ,-16.83 ,-20.53            ,-22.54 ,-22.54 ,-0.12            ,-25.98               ,-29.55            ,1.82               ,              3.13 ,-0.55                ,1142                           ,1142                    ,-1.33                   ,3.45        ,18.96           ,72.02                ,278.34                         ,-0.09                     ,- -                          ,4.89            ,0.14                    ,36.61        ,8.96                ,1243.99 ,- -                  ,115.21                    ,-4.71   ,-11.58               ,-6.95                        ,60.58             ,                3.93 ,- -          ,-0.21             ,43.65        ,-0.12                           ,0.66         ,36.61                      ,1.4                ,-6.61    ,-7.22              ,-29.39                       ,-20.07        ,-4.41                 ,2.78                ,-26.27     ,-0.55                       ,3.94           ,-0.76                    ,-457.31                  ,4.2                            ,3.75                  ,- -                         ,13.44                          ,4.21           ,13587.3        ,- -                         ,-525.56                        ,4032421.01          ,3.75                 ,4.44           ,-4.21                ,41.33                   ,0.0649745573708993
 6 ,2016 ,3.46                     ,2.98            ,5.72         ,- -                        ,- -                    ,50.53                   ,88.73                       ,42.14         ,38.27                       ,-3.21                     ,42.86             ,-3.26                       ,42.93               ,41     ,36.28             ,50.53  ,50.53  ,2.18             ,45.49                ,33.64             ,3.07               ,              3.85 ,19.83                ,-23.6                          ,-23.6                   ,0.82                    ,-1.96       ,-64.13          ,-12.53               ,93.44                          ,-2.55                     ,- -                          ,8.25            ,2.66                    ,-7.05        ,-0.31               ,-98.05  ,- -                  ,-52.82                    ,222.95  ,37.3                 ,165.57                       ,3.78              ,                3.39 ,- -          ,2.9               ,47.11        ,-33.85                          ,-32.94       ,-7.05                      ,-5.84              ,60.42    ,139.23             ,-57.57                       ,85.41         ,-5.31                 ,0.39                ,38.27      ,19.83                       ,451.29         ,7.73                     ,-139.33                  ,24.28                          ,-2.85                 ,-284.25                     ,-8.18                          ,0.52           ,1.86           ,486.51                      ,-161.7                         ,-122.35             ,-2.85                ,38.82          ,11.27                ,-10.12                  ,0.29223240755549673
 7 ,2017 ,9.94                     ,8.44            ,16.78        ,- -                        ,- -                    ,10.95                   ,-31.27                      ,23.25         ,20.31                       ,-5.16                     ,26.85             ,-5                          ,26.64               ,17.59  ,6.96              ,10.95  ,10.95  ,6.23             ,0.92                 ,9.44              ,-14.2              ,              5.41 ,36.11                ,-77.81                         ,-77.81                  ,18.68                   ,13.51       ,36.25           ,-20.1                ,14.58                          ,12.8                      ,- -                          ,42.45           ,45.9                    ,6.22         ,28.27               ,442.3   ,- -                  ,37.47                     ,4.42    ,10.42                ,5.38                         ,16.18             ,                2.26 ,- -          ,4.9               ,-7.02        ,-31.56                          ,-30.68       ,6.22                       ,-5.28              ,108.34   ,200.54             ,-328.76                      ,-41.87        ,-12.65                ,28.13               ,20.31      ,36.11                       ,-87.41         ,5.56                     ,-253.49                  ,15.97                          ,30.16                 ,- -                         ,496.59                         ,-0.03          ,-85.06         ,-3.25                       ,-33.2                          ,174.98              ,30.16                ,10.65          ,-20.65               ,-3.61                   ,-0.06953381127058988
 8 ,2018 ,6.06                     ,6.31            ,5.0          ,- -                        ,- -                    ,13.43                   ,29.9                        ,10.76         ,25.23                       ,-3.78                     ,30.16             ,-3.55                       ,29.84               ,4.71   ,-1.27             ,13.43  ,13.43  ,-1               ,6.95                 ,18.07             ,5.27               ,              7.43 ,-15.13               ,-36.48                         ,-36.48                  ,3.13                    ,4.33        ,20.48           ,-0.37                ,22.55                          ,3.3                       ,- -                          ,5.17            ,3.48                    ,1.74         ,4.32                ,47.28   ,- -                  ,8.09                      ,-1.57   ,-9.38                ,-2.88                        ,1.49              ,                2.69 ,- -          ,9.54              ,11.6         ,5.27                            ,3.26         ,1.74                       ,-1.77              ,6.14     ,2.79               ,-6.59                        ,-7.83         ,-9.3                  ,0.75                ,25.23      ,-15.13                      ,643.58         ,11.87                    ,-393.84                  ,-3.71                          ,0.21                  ,- -                         ,-74.51                         ,3.37           ,30.42          ,-48.1                       ,-12.19                         ,-94.39              ,0.21                 ,-5.44          ,35.84                ,-23.11                  ,0.11719892960255096
 9 ,2019 ,2.36                     ,2.23            ,2.92         ,- -                        ,- -                    ,0.05                    ,-12.99                      ,2.54          ,17.02                       ,-1.15                     ,18.39             ,-1.08                       ,18.3                ,-0.01  ,-2.32             ,0.05   ,0.05   ,0.55             ,-2.26                ,14.32             ,-0.61              ,              8.63 ,-0.2                 ,-7.04                          ,-7.04                   ,1.54                    ,2.9         ,12.08           ,1.72                 ,-17.86                         ,-0.44                     ,- -                          ,-4              ,-2.4                    ,-0.57        ,4.48                ,-94.75  ,- -                  ,-7.37                     ,7.71    ,-13.82               ,4.34                         ,-0.63             ,                3.43 ,- -          ,8.51              ,13.51        ,-0.17                           ,-0.26        ,-0.57                      ,-1.49              ,-1.61    ,-1.35              ,-7.87                        ,9.82          ,-2.19                 ,2.99                ,17.02      ,-0.2                        ,-101.79        ,11.79                    ,-95.3                    ,11.7                           ,0.67                  ,152.86                      ,-18.7                          ,7.38           ,-61.21         ,4.41                        ,30.26                          ,2.07                ,0.67                 ,16.86          ,-6.38                ,-4.54                   ,0.10762071893009462
