   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,1.03                     ,3.69            ,-0.82        ,5.28                       ,- -                    ,-8.93                   ,-46.45                      ,-4.01         ,51.06                       ,0.22                      ,58.12             ,0.24                        ,58.09               ,-5.47  ,-6.43             ,-8.93  ,-8.93  ,-1.83            ,-9.85                ,56.86             ,7.61               ,2.32               ,-1.7                 ,-62.2                          ,-62.2                   ,-9.13                   ,- -         ,-11.7           ,-18.01               ,3.1                            ,5.76                      ,54.57                        ,0.13            ,2                       ,0.19         ,-9.95               ,-2.24   ,-2.01                ,-7.5                      ,-8.88   ,-1.68                ,-5.28                        ,-5.77             ,0.02                 ,- -          ,-18.03            ,-118.82      ,10.03                           ,9.87         ,0.19                       ,0.16               ,-5.2     ,-13.71             ,-34.48                       ,-11.36        ,-1.13                 ,-6.12               ,51.06      ,-1.7                        ,-712.31        ,- -                      ,-214.91                  ,1.59                           ,17.98                 ,-281.82                     ,19.66                          ,2.54           ,-53.11         ,78.57                       ,9.22                           ,-214.63             ,17.98                ,-13.57         ,-2.69                ,-35.89                  ,0.011358314506274336
 1 ,2011 ,1.97                     ,9.78            ,-3.7         ,17.48                      ,- -                    ,-38.04                  ,305.39                      ,-63.18        ,-78.43                      ,0.25                      ,-80.2             ,0.2                         ,-80.19              ,-21.69 ,-23.2             ,-38.04 ,-38.04 ,-5.56            ,-39.23               ,-80.53            ,5.54               ,2.32               ,-5.17                ,121.64                         ,121.64                  ,-0.03                   ,- -         ,27.16           ,15.42                ,3.77                           ,6.74                      ,-17.65                       ,-3.59           ,-0.8                    ,0.4          ,3.53                ,-52.02  ,-5.24                ,-9.3                      ,3.95    ,13.37                ,8.85                         ,4.92              ,-0.59                ,- -          ,-21.12            ,17.3         ,-5.88                           ,-5.9         ,0.4                        ,0.26               ,-4.88    ,1.07               ,8.38                         ,27.25         ,-13.43                ,-3.39               ,-78.43     ,-5.17                       ,-805.08        ,- -                      ,8.24                     ,-0.99                          ,2.97                  ,- -                         ,-0.93                          ,2.58           ,107.37         ,374                         ,-26.49                         ,-175.87             ,2.97                 ,-5.98          ,2.29                 ,398.69                  ,0.11098797926980186
 2 ,2012 ,0.56                     ,-3.76           ,4.14         ,5.75                       ,- -                    ,7.17                    ,-52.73                      ,55.43         ,80.19                       ,-2.14                     ,88.21             ,-2.17                       ,88.26               ,2.08   ,1.51              ,7.17   ,7.17   ,3.56             ,6.57                 ,83.15             ,6.55               ,2.88               ,-1.27                ,52.84                          ,52.84                   ,-6.97                   ,- -         ,-16.92          ,-1.39                ,2.5                            ,4.08                      ,23.21                        ,-0.92           ,0.93                    ,0.73         ,4.36                ,0.96    ,-1.65                ,3.22                      ,8.25    ,12.45                ,10.53                        ,9.16              ,-0.12                ,- -          ,-11.68            ,64.65        ,-12.48                          ,-12.38       ,0.73                       ,-5.82              ,5.54     ,20.45              ,43.32                        ,-4.47         ,10.68                 ,-5.62               ,80.19      ,-1.27                       ,-14.16         ,- -                      ,-174.59                  ,13.07                          ,-3.21                 ,- -                         ,-7.39                          ,0.68           ,69.95          ,-5279.32                    ,51.7                           ,4.29                ,-3.21                ,35.58          ,0.56                 ,-38.61                  ,0.061168657434188534
 3 ,2013 ,1.03                     ,-6.79           ,7.02         ,-30.83                     ,- -                    ,134.51                  ,5.63                        ,166.09        ,146.09                      ,-7.46                     ,171.49            ,-7.49                       ,171.57              ,56.95  ,55.34             ,134.51 ,134.51 ,5.92             ,132.11               ,148.65            ,0.47               ,2.32               ,1.39                 ,-31.41                         ,-31.41                  ,2.06                    ,- -         ,33.93           ,2.16                 ,1.09                           ,1.44                      ,-15.74                       ,3.33            ,2                       ,2.01         ,3.23                ,57.72   ,10.61                ,10.09                     ,4.42    ,0.67                 ,2.35                         ,3.72              ,0.05                 ,- -          ,38.52             ,50.5         ,-1.49                           ,-1.31        ,2.01                       ,-6.36              ,9.96     ,11.42              ,9.64                         ,-7.21         ,16.07                 ,0.56                ,146.09     ,1.39                        ,-108.99        ,- -                      ,-173.72                  ,-11.18                         ,7.6                   ,- -                         ,17.5                           ,-5.32          ,35.92          ,5.21                        ,-25.3                          ,-183.87             ,7.6                  ,-29.72         ,3.32                 ,-64.65                  ,-0.18047622888821224
 4 ,2014 ,2.87                     ,17.77           ,-7.05        ,39.71                      ,- -                    ,-54.51                  ,44.56                       ,-64.14        ,-64.87                      ,-3.04                     ,-64.83            ,-3.05                       ,-64.82              ,-34.24 ,-36.08            ,-54.51 ,-54.51 ,-9.65            ,-55.78               ,-66.85            ,-1.05              ,1.6                ,-0.66                ,157.65                         ,157.65                  ,12.46                   ,- -         ,28.23           ,38.08                ,1.74                           ,2.73                      ,-93.52                       ,5.65            ,2.44                    ,5.41         ,7.26                ,10.15   ,-2.54                ,6.54                      ,9.7     ,12.91                ,11.44                        ,10.52             ,0.02                 ,- -          ,-10.93            ,2.28         ,-5.08                           ,-4.98        ,5.41                       ,-0.75              ,2.82     ,8.21               ,16.46                        ,29.61         ,-14.17                ,3.96                ,-64.87     ,-0.66                       ,-815.42        ,- -                      ,12.35                    ,-9.94                          ,1.22                  ,1790                        ,-20.7                          ,-1.49          ,-12.54         ,-87.78                      ,-41.39                         ,-444.28             ,1.22                 ,-26.8          ,-0.62                ,164.07                  ,-0.0899736790447141
 5 ,2015 ,10.84                    ,10.62           ,11.02        ,-16.99                     ,- -                    ,78.75                   ,4.79                        ,107.75        ,109.99                      ,8.13                      ,98.3              ,8.14                        ,98.27               ,45.62  ,31.38             ,78.75  ,78.75  ,0.17             ,61.27                ,93.45             ,-0.37              ,-1.24              ,20.48                ,-40.47                         ,-40.47                  ,13.8                    ,- -         ,61.15           ,12.38                ,10.23                          ,8.48                      ,542.4                        ,62.38           ,40.27                   ,37.22        ,30.89               ,26.09   ,14.06                ,28.25                     ,55.92   ,20.76                ,36.61                        ,35.1              ,-1.38                ,- -          ,21.4              ,-33.82       ,42.03                           ,42.24        ,37.22                      ,18.47              ,64.75    ,15.82              ,80.81                        ,-12.38        ,11.89                 ,11.25               ,109.99     ,20.48                       ,-84.38         ,- -                      ,-13.99                   ,14.49                          ,-9.34                 ,- -                         ,168                            ,6.78           ,111.87         ,-92.02                      ,-226.43                        ,-166.15             ,-9.34                ,64.34          ,4.88                 ,-46.6                   ,0.11041072326096768
 6 ,2016 ,11.57                    ,14.67           ,8.96         ,10.3                       ,- -                    ,-0.31                   ,19.62                       ,-4.25         ,-2.59                       ,9.59                      ,-11.28            ,9.62                        ,-11.3               ,8.02   ,-3.18             ,-0.31  ,-0.31  ,-2.34            ,-10.65               ,-12.85            ,17.17              ,5.53               ,17.4                 ,13.02                          ,13.02                   ,1.58                    ,- -         ,10.1            ,6.6                  ,0.36                           ,4.38                      ,4.23                         ,-0.37           ,-0.1                    ,0.5          ,2.05                ,28.76   ,-3.48                ,5.77                      ,-4.08   ,3.23                 ,-0.53                        ,0.55              ,-0.17                ,- -          ,3.16              ,-6.99        ,0.38                            ,0.38         ,0.5                        ,-0.1               ,-2.73    ,-3.1               ,-6.39                        ,0.79          ,0.55                  ,-4.78               ,-2.59      ,17.4                        ,88.1           ,- -                      ,104.45                   ,9.65                           ,11.96                 ,-135.56                     ,-50.73                         ,15.66          ,-70.15         ,190.48                      ,-247.84                        ,-119.16             ,11.96                ,7              ,22.75                ,12.77                   ,0.22458169393703753
 7 ,2017 ,-1.98                    ,1.2             ,-4.79        ,-2.43                      ,- -                    ,-7.38                   ,58.19                       ,-23.59        ,123.86                      ,-0.06                     ,127.1             ,-0.1                        ,127.18              ,-6.5   ,-4.61             ,-7.38  ,-7.38  ,-2.87            ,-5.51                ,131.54            ,4.25               ,2.11               ,-5.65                ,772.46                         ,772.46                  ,-1.62                   ,- -         ,-23.19          ,106.28               ,0.26                           ,-1.92                     ,-6.81                        ,-0.3            ,-0.14                   ,9.97         ,2.74                ,290.3   ,28.3                 ,60.92                     ,10.81   ,-17.95               ,-3.68                        ,8                 ,-0.04                ,- -          ,45.39             ,41.44        ,14.4                            ,14.42        ,9.97                       ,0.01               ,-3.29    ,-15.48             ,-35.73                       ,28.18         ,-15.06                ,-5.97               ,123.86     ,-5.65                       ,-654.26        ,- -                      ,70.88                    ,-3.39                          ,-4.04                 ,- -                         ,-21.77                         ,2.04           ,381.19         ,17.49                       ,-279.3                         ,6646.18             ,-4.04                ,-2.61          ,-4.92                ,-57.43                  ,-0.2188186987179187
 8 ,2018 ,6.36                     ,2.07            ,10.4         ,3.67                       ,- -                    ,14.24                   ,-83.62                      ,64.3          ,-33.15                      ,9.96                      ,-40.19            ,10.08                       ,-40.25              ,15.44  ,8.54              ,14.24  ,14.24  ,3.79             ,7.41                 ,-38.16            ,0.01               ,1.31               ,16.58                ,-89.69                         ,-89.69                  ,60.22                   ,- -         ,62.88           ,-35.02               ,4.99                           ,5.48                      ,300.32                       ,43.9            ,31.64                   ,19.76        ,29.56               ,-73.28  ,2.59                 ,-20.85                    ,31.97   ,13.28                ,23.95                        ,11.88             ,38.61                ,17.34        ,16.34             ,-39.45       ,30.69                           ,36.53        ,19.76                      ,18.6               ,50.46    ,10.21              ,51.49                        ,-17.91        ,18.34                 ,6.35                ,-33.15     ,16.58                       ,-141.63        ,- -                      ,177.97                   ,14.71                          ,0.54                  ,-127.53                     ,233.34                         ,11.4           ,-4.14          ,-131.63                     ,-200.23                        ,-201.19             ,0.54                 ,31.57          ,-26.93               ,74.41                   ,-0.14539163560854274
 9 ,2019 ,6.11                     ,5.95            ,6.26         ,7.23                       ,- -                    ,12.51                   ,762.49                      ,-25.75        ,-24.95                      ,7.98                      ,-33.54            ,7.96                        ,-33.53              ,5.6    ,-0.48             ,12.51  ,12.51  ,0.14             ,6.03                 ,-32.36            ,15.6               ,2.82               ,-0.75                ,133.09                         ,133.09                  ,-14.24                  ,- -         ,1.24            ,6.61                 ,-137.29                        ,-53.32                    ,-40.83                       ,58.28           ,3.47                    ,3.78         ,5.67                ,11.54   ,4.09                 ,6.45                      ,4.37    ,0.57                 ,2.88                         ,3.56              ,0.57                 ,- -          ,-1.39             ,28.74        ,0.07                            ,4.15         ,3.78                       ,-0.37              ,-11.84   ,-15.36             ,-21.7                        ,0.15          ,31.41                 ,-8.21               ,-24.95     ,-0.75                       ,231.4          ,- -                      ,18.88                    ,11.62                          ,-6.37                 ,- -                         ,-73.57                         ,11.02          ,-54.99         ,-1413.24                    ,-3.49                          ,-115.14             ,-6.37                ,27.97          ,39.32                ,55.51                   ,0.1960298454358056
