   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,8.68                     ,6.74            ,10.18        ,15.22                      ,- -                    ,9.06                    ,36.2                        ,-0.07         ,0.33                        ,0.73                      ,-0.39             ,0.73                        ,-0.39               ,9.1    ,0.39              ,9.06  ,9.06  ,1.38             ,0.35                 ,-7.68             ,-9.43              ,- -                ,9.61                 ,23.11                          ,23.11                   ,26.32                   ,12.51       ,-13.81          ,17.94                ,2.96                           ,                    10.89 ,- -                          ,           7.07 ,                   6.87 ,9.1          ,13.29               ,- -     ,- -                  ,13.29                     ,30.58   ,11.98                ,28.41                        ,27.49             ,                7.87 ,1.01         ,-57.37            ,-31.02       ,-27.61                          ,-27.61       ,9.1                        ,0.98               ,31.8     ,82.07              ,19.08                        ,4.1           ,5.06                  ,20                  ,0.33       ,9.61                        ,-114.87        ,15.33                    ,-362.05                  ,0.1                            ,-2.04                 ,- -                         ,4.85                           ,- -            ,- -            ,- -                         ,874.38                         ,41.28               ,-2.04                ,0.25           ,31.36                ,-0.24                   ,0.38849240837744814
 1 ,2011 ,45.72                    ,53.67           ,39.77        ,41.43                      ,- -                    ,34.08                   ,127.07                      ,-8.54         ,-6.86                       ,0.77                      ,4.51              ,0.77                        ,4.51                ,39.13  ,-4.52             ,34.08 ,34.08 ,-4.09            ,-7.99                ,-27.72            ,-7.97              ,-99.31             ,100.43               ,60.69                          ,60.69                   ,40.78                   ,40.56       ,50.88           ,49.15                ,51.39                          ,                    38.32 ,- -                          ,          75.09 ,                  73.96 ,68.56        ,3.38                ,- -     ,- -                  ,83.04                     ,76.27   ,86.31                ,77.29                        ,77.6              ,               10.79 ,1.8          ,89.59             ,-13.76       ,36.76                           ,36.76        ,68.56                      ,1.82               ,79.65    ,31.36              ,22.74                        ,-18.52        ,-12.18                ,58.33               ,5.32       ,100.43                      ,-4832.81       ,87.56                    ,-756.73                  ,31.97                          ,39.88                 ,- -                         ,691.25                         ,-99.31         ,281.23         ,- -                         ,5410.87                        ,222.86              ,39.88                ,31.42          ,-2.85                ,25.31                   ,0.32873594836969033
 2 ,2012 ,40.98                    ,38.47           ,43.03        ,55.21                      ,- -                    ,42.54                   ,-19.08                      ,112.65        ,113.48                      ,1.03                      ,86.86             ,1.03                        ,86.86               ,39.28  ,-1.2              ,42.54 ,42.54 ,1.47             ,1.11                 ,33.91             ,-0.79              ,16.16              ,12.85                ,17.1                           ,17.1                    ,24.56                   ,20.8        ,36.01           ,20.71                ,14.55                          ,                    20.8  ,- -                          ,          21.3  ,                  21.02 ,20.96        ,4.24                ,32.26   ,22.95                ,13.08                     ,15.23   ,9.46                 ,14.62                        ,14.53             ,               19.03 ,2.56         ,89.21             ,145.68       ,50.3                            ,50.3         ,20.96                      ,2.62               ,15.08    ,-23.43             ,-5.74                        ,6.75          ,-7.79                 ,42.11               ,88.79      ,12.85                       ,-85.21         ,76.17                    ,-135.99                  ,58.95                          ,40.05                 ,- -                         ,-37.27                         ,17.36          ,-84.29         ,-94.45                      ,-58.77                         ,-54.34              ,40.05                ,60.36          ,11.42                ,-15.8                   ,0.4272287572318967
 3 ,2013 ,13.19                    ,15.94           ,10.98        ,21.74                      ,- -                    ,8.36                    ,46.31                       ,-8.07         ,-6.83                       ,2.22                      ,-8.85             ,2.22                        ,-8.85               ,8.31   ,-4.31             ,8.36  ,8.36  ,-1.94            ,-4.26                ,-17.68            ,0.2                ,58949.34           ,7.75                 ,28.2                           ,28.2                    ,23.18                   ,29.04       ,-3.72           ,25.7                 ,20.97                          ,                    22.38 ,- -                          ,           9.04 ,                   9.51 ,12.62        ,49.14               ,51.44   ,19.85                ,37.87                     ,58.4    ,13.31                ,53.8                         ,52.93             ,               24.69 ,2.11         ,-245.71           ,-19.07       ,-127.6                          ,-127.6       ,12.62                      ,1.97               ,62.54    ,-688.94            ,33.33                        ,-8.83         ,7.87                  ,12.96               ,-6.83      ,7.75                        ,149.25         ,120.69                   ,509.57                   ,13.61                          ,40.75                 ,- -                         ,-42.66                         ,60262.23       ,777.05         ,- -                         ,-70.37                         ,91.36               ,40.75                ,11.84          ,-12.37               ,21.93                   ,0.07199810053339628
 4 ,2014 ,23.31                    ,26.31           ,20.8         ,10.31                      ,- -                    ,23.09                   ,56.6                        ,- -           ,1.36                        ,3.47                      ,-2.04             ,3.47                        ,-2.04               ,23.8   ,0.4               ,23.09 ,23.09 ,-2.03            ,-0.17                ,-17.8             ,3.04               ,-29.56             ,31.11                ,45.12                          ,45.12                   ,20.95                   ,11          ,15.32           ,27.95                ,1.5                            ,                     9.23 ,- -                          ,           5.1  ,                   4.95 ,9.89         ,9.84                ,670.8   ,33.95                ,81.68                     ,26.91   ,6.62                 ,25.38                        ,28.18             ,               15.18 ,1.13         ,114.12            ,286.3        ,362.6                           ,362.6        ,9.89                       ,-0.47              ,28.78    ,-72.16             ,3.71                         ,-29.57        ,-6.36                 ,19.67               ,1.36       ,31.11                       ,393.47         ,-46.13                   ,-60.95                   ,15.1                           ,-3.91                 ,- -                         ,-34.39                         ,-27.12         ,-21.58         ,18795.04                    ,-71.85                         ,106.16              ,-3.91                ,16.66          ,21.77                ,13.56                   ,0.28458000470190514
 5 ,2015 ,14.08                    ,13.78           ,14.35        ,11.44                      ,- -                    ,17.19                   ,-5.8                        ,41.99         ,45.71                       ,-0.68                     ,46.71             ,-0.68                       ,46.71               ,15.31  ,1.08              ,17.19 ,17.19 ,0.23             ,2.72                 ,27.73             ,1.56               ,-99.77             ,-2.82                ,-12.87                         ,-12.87                  ,26.41                   ,28.82       ,-37.83          ,5.74                 ,22.9                           ,                    21.36 ,- -                          ,          28.87 ,                  28.62 ,22.9         ,14.61               ,1.64    ,26.25                ,12.24                     ,12.06   ,17.25                ,12.39                        ,12.38             ,               19.56 ,2.42         ,-20.14            ,281.43       ,-33.28                          ,-33.28       ,22.9                       ,2.42               ,14.76    ,71.99              ,11.83                        ,-5.79         ,8.82                  ,12.33               ,45.71      ,-2.82                       ,-96.01         ,19.63                    ,-186.97                  ,-3.75                          ,60.7                  ,- -                         ,409.39                         ,-99.77         ,-41.12         ,- -                         ,2299.08                        ,-140.41             ,60.7                 ,-8.09          ,14.07                ,-33.94                  ,0.1707495471139331
 6 ,2016 ,17.15                    ,14.79           ,19.19        ,17.83                      ,- -                    ,18.39                   ,15.29                       ,20.62         ,31.13                       ,-0.79                     ,32.18             ,-0.79                       ,32.18               ,19.3   ,1.84              ,18.39 ,18.39 ,1.75             ,1.06                 ,11.93             ,3.29               ,-10.13             ,29.9                 ,122.26                         ,122.26                  ,29.79                   ,22.42       ,16.91           ,64.04                ,19.14                          ,                    17.84 ,- -                          ,          19.63 ,                  19.61 ,29.17        ,38.52               ,3.78    ,-1.22                ,14.45                     ,22.66   ,17.93                ,22.34                        ,21.79             ,                8.27 ,1.27         ,-33.21            ,56.01        ,-37.25                          ,-37.25       ,29.17                      ,-0.65              ,12.74    ,79.68              ,-29.46                       ,43.33         ,10.63                 ,13.41               ,31.13      ,29.9                        ,1863.95        ,53.35                    ,355.99                   ,31.17                          ,-19.84                ,- -                         ,-14.06                         ,-10.85         ,35.17          ,29.97                       ,54.74                          ,-945.13             ,-19.84               ,37.17          ,6.51                 ,0.03                    ,0.09593743469921656
 7 ,2017 ,10.5                     ,5.29            ,14.85        ,15.59                      ,- -                    ,14.62                   ,22.8                        ,9.02          ,7.18                        ,-1.12                     ,2.94              ,-1.12                       ,2.94                ,14.73  ,3.83              ,14.62 ,14.62 ,3.93             ,3.73                 ,-7.88             ,11.7               ,86923.37           ,15.91                ,-59.01                         ,-59.01                  ,10.37                   ,0.92        ,167.99          ,-27.2                ,4.62                           ,                     9.11 ,- -                          ,           0.43 ,                   0.6  ,-7           ,-1.98               ,46.2    ,4.38                 ,15.73                     ,14.59   ,-2.89                ,13.47                        ,13.62             ,                6.44 ,0.54         ,177.88            ,-43.16       ,352.99                          ,352.99       ,-7                         ,-2.63              ,29.08    ,-71.5              ,68.08                        ,-37.1         ,5.75                  ,-1.08               ,1.79       ,15.91                       ,79.19          ,-5.76                    ,-6.68                    ,15.43                          ,61.46                 ,- -                         ,-80.11                         ,85951.73       ,25.9           ,87.63                       ,-188.44                        ,-207.93             ,61.46                ,12.26          ,-26.71               ,13.4                    ,0.004219012521020193
 8 ,2018 ,8.75                     ,7.52            ,9.69         ,9.08                       ,- -                    ,11.61                   ,3.65                        ,17.74         ,53.05                       ,0.13                      ,60.13             ,0.13                        ,60.13               ,9.86   ,1.02              ,11.61 ,11.61 ,0.86             ,2.63                 ,47.43             ,-0.94              ,-97.83             ,-8.53                ,218.65                         ,218.65                  ,10.72                   ,10.21       ,-35.73          ,71.42                ,19.52                          ,                    17.94 ,- -                          ,           8.44 ,                   8.9  ,22.27        ,4.56                ,1.71    ,4.67                 ,3.37                      ,9.73    ,-8.85                ,8.71                         ,8.35              ,               10.35 ,1.43         ,-29.51            ,-104.82      ,-38.72                          ,-38.72       ,22.27                      ,1.54               ,-2.77    ,58.67              ,-43.4                        ,65.82         ,-0.04                 ,9.78                ,60.33      ,-8.53                       ,-140.83        ,27.41                    ,-99.03                   ,29.57                          ,2.8                   ,- -                         ,138.33                         ,-97.83         ,297.56         ,- -                         ,-175.22                        ,-251.18             ,2.8                  ,32.22          ,15.89                ,-19.18                  ,0.30066548915855595
 9 ,2019 ,37.05                    ,47.74           ,29.03        ,66.22                      ,- -                    ,16.37                   ,29                          ,7.81          ,-12.58                      ,1.26                      ,-8.16             ,1.26                        ,-8.16               ,20.63  ,-11.98            ,16.37 ,16.37 ,-5.85            ,-15.09               ,-32.14            ,-24.36             ,2919.13            ,75.19                ,-29.23                         ,-29.23                  ,51.64                   ,53.11       ,1369.17         ,33.02                ,94.94                          ,                    62.64 ,- -                          ,          30.44 ,                  33.37 ,33.27        ,57.42               ,14.56   ,197.86               ,70.82                     ,31.73   ,87.54                ,34.3                         ,36.65             ,               14.11 ,75.75        ,38.88             ,-9343.9      ,60.02                           ,59.47        ,33.27                      ,1.38               ,42.83    ,-10.43             ,0.72                         ,-22.13        ,-7.03                 ,81.19               ,-6.79      ,75.19                       ,-269.84        ,60.34                    ,20900                    ,-0.68                          ,39.73                 ,- -                         ,468.57                         ,2957.14        ,-65.87         ,- -                         ,109.12                         ,-142.35             ,39.73                ,-3.79          ,37.99                ,6.79                    ,0.5552953505790732
