   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,6.01                     ,- -             ,7.51         ,19.47                      ,- -                    ,- -                     ,-6.47                       ,-6.47         ,-2.62                       ,9.99                      ,1.77              ,10.29                       ,1.49                ,12.68  ,6.3               ,15.56  ,- -  ,- -              ,- -                  ,-9.76             ,9.39               ,-53.99             ,7.02                 ,-30.75                         ,-18.37                  ,-37.23                  ,- -         ,-147.1          ,-29.3                ,16.23                          ,11.87                     ,-31.1                        ,14.52           ,2.12                    ,-5.24        ,17.55               ,-0.6    ,-0.6                 ,17.55                     ,1.66    ,-8.28                ,-6.81                        ,-5.98             ,1.97                 ,0.67         ,5.25              ,79.14        ,1.51                            ,1.58         ,-5.24                      ,0.67               ,3.38     ,1.77               ,10.97                        ,-39.85        ,- -                   ,-3.09               ,-2.62      ,12.68                       ,14.75          ,27.42                    ,-68.75                   ,-687.83                        ,145.98                ,273.18                      ,-17.34                         ,-49.39         ,-87.06         ,-95.97                      ,33.82                          ,190.11              ,145.98               ,-470.31        ,-110.92              ,-714.48                 ,-0.06828314703088623
 1 ,2011 ,-3.97                    ,- -             ,-5.15        ,0.3                        ,- -                    ,- -                     ,68.01                       ,68.01         ,55.97                       ,0.58                      ,57.05             ,0.59                        ,57.04               ,-4.97  ,-1.05             ,1.54   ,- -  ,- -              ,- -                  ,64.49             ,-5.17              ,6.85               ,-18.85               ,5.21                           ,105.44                  ,-42.77                  ,- -         ,- -             ,0.67                 ,0.82                           ,3.46                      ,55.2                         ,4               ,13.36                   ,11.14        ,13.81               ,-34.21  ,-34.21               ,13.81                     ,0.34    ,13.84                ,11.66                        ,11.75             ,1.2                  ,0.4          ,10.55             ,-4.55        ,5.97                            ,5.95         ,11.14                      ,0.4                ,-15.01   ,-19.79             ,1.54                         ,-11.55        ,- -                   ,1.27                ,55.97      ,-4.97                       ,-31.61         ,24.05                    ,-159.44                  ,57.52                          ,-47.66                ,-214.97                     ,-398.14                        ,7.47           ,302            ,-80                         ,-266.5                         ,-842.05             ,-47.66               ,75.75          ,-32.98               ,-0.28                   ,-0.018431524056367832
 2 ,2012 ,12.19                    ,- -             ,12.19        ,14.16                      ,- -                    ,- -                     ,71.5                        ,71.5          ,52.25                       ,0.32                      ,48.17             ,0.53                        ,47.86               ,7.71   ,-3.99             ,6.44   ,- -  ,- -              ,- -                  ,36.85             ,4.93               ,26.06              ,11.11                ,8.53                           ,-13.27                  ,-56.45                  ,- -         ,-497.73         ,1.49                 ,1.78                           ,3                         ,6.19                         ,6.65            ,6.47                    ,5.32         ,11.85               ,-20.07  ,-121.36              ,55.63                     ,-12.33  ,3.96                 ,1.6                          ,3.53              ,1.21                 ,0.37         ,15.47             ,-21.6        ,21.47                           ,21.41        ,5.32                       ,0.37               ,-13.25   ,-28.55             ,0.87                         ,-34.79        ,- -                   ,6.92                ,52.25      ,7.71                        ,-43.17         ,-1.02                    ,-86.85                   ,-18.99                         ,-35.27                ,-85.11                      ,-60.25                         ,26.46          ,15.77          ,-31.82                      ,-81.63                         ,-130.17             ,-35.27               ,-18.15         ,42.74                ,-47.24                  ,0.05183449983696531
 3 ,2013 ,-1.8                     ,- -             ,-0.81        ,4.15                       ,- -                    ,- -                     ,11.89                       ,11.89         ,-14.74                      ,0.62                      ,-18.97            ,0.77                        ,-19.1               ,7.67   ,9.65              ,12.1   ,- -  ,- -              ,- -                  ,-13.6             ,-0.93              ,60.71              ,-3.64                ,-16.26                         ,-45                     ,-63.67                  ,- -         ,-85.84          ,-14.02               ,-1.01                          ,2.01                      ,3.46                         ,0.96            ,1.56                    ,-0.83        ,-6.6                ,76.39   ,-403.99              ,-11.75                    ,12.45   ,-3.15                ,-1.2                         ,-1.92             ,2.46                 ,0.97         ,9.03              ,6.08         ,7.57                            ,7.47         ,-0.83                      ,0.98               ,32.72    ,23.49              ,8.17                         ,-2.57         ,- -                   ,-0.88               ,-14.74     ,7.67                        ,24.81          ,-1.03                    ,1527.36                  ,44.38                          ,- -                   ,39.54                       ,-40.16                         ,61.7           ,78.94          ,- -                         ,-170.57                        ,47.88               ,- -                  ,50.27          ,-6.23                ,70.17                   ,0.03157262490459334
 4 ,2014 ,-3.2                     ,- -             ,-3.44        ,-1.76                      ,- -                    ,- -                     ,-4.42                       ,-4.42         ,28.74                       ,2.15                      ,25.54             ,1.96                        ,25.77               ,0.71   ,4.04              ,5.71   ,- -  ,- -              ,- -                  ,32.35             ,-2.33              ,-12.62             ,-14.15               ,-4.34                          ,7.49                    ,- -                     ,- -         ,- -             ,-4.34                ,-2.25                          ,2.25                      ,1.38                         ,3.74            ,3.07                    ,2.45         ,-10.94              ,-10.17  ,-103.62              ,8.34                      ,8.46    ,-0.26                ,0.98                         ,1.79              ,4.28                 ,1.98         ,11.97             ,26.64        ,6.94                            ,7.09         ,2.45                       ,1.99               ,5.28     ,-1.69              ,12.5                         ,-11.7         ,- -                   ,-0.89               ,28.74      ,0.71                        ,-63.59         ,6.25                     ,-95.65                   ,-38.98                         ,- -                   ,-75.74                      ,-4.17                          ,-10.75         ,32.32          ,1886.67                     ,-148.91                        ,-118.31             ,- -                  ,-38.98         ,76.79                ,-52.37                  ,-0.044987092730778944
 5 ,2015 ,4.09                     ,- -             ,3.31         ,5.65                       ,- -                    ,- -                     ,-2.31                       ,-2.31         ,-4.63                       ,4.16                      ,-7.2              ,4.04                        ,-7.09               ,8.73   ,4.45              ,6.91   ,- -  ,- -              ,- -                  ,-6.93             ,-6.54              ,10.51              ,15.38                ,25.05                          ,64.11                   ,- -                     ,- -         ,- -             ,25.05                ,9.85                           ,8.34                      ,6.51                         ,11.98           ,10.58                   ,12.38        ,-3.13               ,-3.34   ,-5307.25             ,-39.43                    ,1.96    ,18.35                ,15.84                        ,12.45             ,21.22                ,8.3          ,8.88              ,36.88        ,12.19                           ,11.93        ,12.38                      ,8.28               ,-4.25    ,-14.46             ,-3.94                        ,106.44        ,- -                   ,11.38               ,-4.63      ,8.73                        ,57.04          ,3.92                     ,-774.67                  ,-10.53                         ,- -                   ,-84.32                      ,-59.68                         ,15.11          ,-58.77         ,- -                         ,-88.7                          ,766.25              ,- -                  ,-10.53         ,12.08                ,-7.65                   ,0.00614451682651318
 6 ,2016 ,10.57                    ,- -             ,9.13         ,10.32                      ,- -                    ,- -                     ,19.99                       ,19.99         ,15.03                       ,7.58                      ,8.47              ,7.54                        ,8.5                 ,20.39  ,8.89              ,13.76  ,- -  ,- -              ,- -                  ,5.29              ,9.68               ,8.33               ,42.86                ,6.46                           ,6.58                    ,859.77                  ,- -         ,-182.76         ,12.74                ,4.98                           ,5.94                      ,-0.5                         ,4.27            ,3.12                    ,4.44         ,-6.14               ,-60.87  ,- -                  ,16.83                     ,-7.59   ,4.92                 ,3.24                         ,3.69              ,7.21                 ,3.72         ,9.99              ,10.12        ,9.43                            ,9.46         ,4.44                       ,3.73               ,-17.75   ,-24.86             ,0.84                         ,-3.5          ,- -                   ,0.81                ,15.03      ,20.39                       ,-67.86         ,8.49                     ,17.39                    ,-8.34                          ,- -                   ,-2513.27                    ,-58.36                         ,16.54          ,70.69          ,-274.5                      ,-1719.27                       ,-83.77              ,- -                  ,-8.34          ,45.26                ,-21.26                  ,0.18911088324998637
 7 ,2017 ,3.49                     ,- -             ,4.85         ,0.37                       ,- -                    ,- -                     ,-4.97                       ,-4.97         ,-1.11                       ,-0.68                     ,-1.05             ,-0.48                       ,-1.25               ,-0.9   ,-4.25             ,0.74   ,- -  ,- -              ,- -                  ,-4.65             ,6.38               ,8.71               ,-5.33                ,-11.67                         ,-31.8                   ,13.89                   ,- -         ,-11.81          ,-10.36               ,-2.47                          ,-1.1                      ,9.1                          ,1.29            ,3.07                    ,1.08         ,4.26                ,251.21  ,- -                  ,52.82                     ,7.66    ,-1.79                ,-0.65                        ,1.37              ,-10.25               ,-3.39        ,8.12              ,7.77         ,-0.78                           ,-0.77        ,1.08                       ,-3.39              ,32.8     ,33.83              ,-1.66                        ,-41.34        ,- -                   ,-2.71               ,-1.11      ,-0.9                        ,253.9          ,14.78                    ,-220.88                  ,73.47                          ,- -                   ,-271.16                     ,678.45                         ,7.97           ,129.06         ,210.19                      ,-68.9                          ,-643.56             ,- -                  ,73.47          ,-38.7                ,75.78                   ,-0.10760864184513519
 8 ,2018 ,2.13                     ,- -             ,2.13         ,4.66                       ,- -                    ,- -                     ,22.07                       ,22.07         ,34.87                       ,-3.28                     ,42.66             ,-3.39                       ,42.81               ,0.91   ,-1.2              ,3.92   ,- -  ,- -              ,- -                  ,32.39             ,3.93               ,20.85              ,-7.75                ,6.58                           ,50.04                   ,6.1                     ,- -         ,3341.73         ,21.07                ,3.07                           ,1.63                      ,-4.17                        ,-0.12           ,-1.09                   ,1.83         ,-9.3                ,4.86    ,58.2                 ,-54.91                    ,0.26    ,6.04                 ,5.29                         ,1.86              ,-9.63                ,-2.38        ,13.15             ,40.57        ,1.6                             ,1.63         ,1.83                       ,-2.39              ,-3.82    ,-5.36              ,-0.57                        ,168.54        ,- -                   ,-1.73               ,34.87      ,0.91                        ,-47.27         ,6.82                     ,-95.13                   ,-6.17                          ,150.34                ,-142.93                     ,-6.82                          ,16.88          ,-68.83         ,-25.29                      ,-373.59                        ,-173.92             ,150.34               ,-14            ,-18.53               ,-30.61                  ,-0.040031931706163704
 9 ,2019 ,8.74                     ,- -             ,8.74         ,15.23                      ,- -                    ,- -                     ,-1.01                       ,-1.01         ,-0.61                       ,4.16                      ,-5.09             ,4.05                        ,-4.99               ,13.51  ,4.39              ,-22.17 ,- -  ,- -              ,- -                  ,-8.41             ,-33.92             ,1.65               ,129.01               ,224.34                         ,391.37                  ,203.37                  ,- -         ,121.07          ,210.35               ,396.36                         ,197.56                    ,76.49                        ,91              ,90.92                   ,109.61       ,- -                 ,251.83  ,-48.8                ,210.7                     ,74.36   ,109.65               ,105.26                       ,107.92            ,296.77               ,75.82        ,9.32              ,-50.79       ,120.38                          ,120.55       ,109.61                     ,75.83              ,61.92    ,-26.58             ,-1.39                        ,-0.11         ,- -                   ,64.57               ,-0.61      ,13.51                       ,84.86          ,17.02                    ,-9457.14                 ,-65.05                         ,-38.29                ,-17.72                      ,-268.75                        ,5.88           ,155.83         ,- -                         ,256.39                         ,1583.74             ,-38.29               ,-67.49         ,268.9                ,-64.91                  ,0.05673627923779567
