   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,6.72                     ,4.27            ,10.22        ,8.78                       ,16.7                   ,19.43                   ,-11.99                      ,25.62         ,21.36                       ,-2.21                     ,24.54             ,-3.17                       ,25.78               ,10.45  ,3.5               ,19.43  ,19.43  ,3.29             ,11.91                ,14.13             ,1.55               ,- -                ,-2.2                 ,-41.06                         ,-41.37                  ,7.6                     ,3.86        ,23.88           ,-8.7                 ,                          5.64 ,                     9.85 ,- -                          ,0.67            ,1.06                    ,-0.99        ,4.61                ,-9.96   ,36.55                ,6.29                      ,-1.67   ,-8.63                ,-5.46                        ,-2.34             ,-9.88                ,-5.21        ,            23.8  ,-52.61       ,-0.45                           ,-0.45        ,-0.99                      ,-4.38              ,97       ,97.89              ,-54.08                       ,-14.1         ,-4.42                 ,5.08                ,21.36      ,-2.2                        ,37.2           ,22.03                    ,-265.67                  ,-9.73                          ,27.95                 ,1025                        ,3.54                           ,- -            ,-0.91          ,159.63                      ,132.3                          ,-341.07             ,27.95                ,-15.11         ,18.78                ,-25.88                  ,0.03300304884123362
 1 ,2011 ,8.69                     ,8.4             ,9.07         ,11.09                      ,18.59                  ,1.53                    ,36.28                       ,-3.26         ,-1.31                       ,-5.58                     ,36.01             ,-6.01                       ,36.63               ,5.43   ,-3                ,1.53   ,1.53   ,0.36             ,-6.58                ,18.15             ,2.88               ,- -                ,12.14                ,10.22                          ,10.82                   ,19.6                    ,15.34       ,21.8            ,16.57                ,                         17.58 ,                    15.95 ,- -                          ,28.49           ,27.6                    ,25.47        ,-8.65               ,1103.02 ,159.72               ,77.3                      ,183.33  ,31.04                ,103.26                       ,95.75             ,1.31                 ,1.14         ,            24.69 ,-1016.28     ,-2.1                            ,-2.1         ,25.47                      ,-5.11              ,392.76   ,403.34             ,-8454.09                     ,-34.25        ,4.28                  ,5.65                ,-1.31      ,12.14                       ,-125.23        ,-3.49                    ,28.7                     ,12.9                           ,0.38                  ,423.33                      ,498.7                          ,- -            ,473.79         ,26.11                       ,-374.16                        ,-115.15             ,0.38                 ,15.6           ,-31.53               ,-12.09                  ,-0.1876488023262739
 2 ,2012 ,6.69                     ,3.8             ,10.59        ,6.56                       ,10.51                  ,16.25                   ,34.61                       ,12.68         ,23.42                       ,-4.46                     ,-7.29             ,-4.73                       ,-7.03               ,15.34  ,8.11              ,16.25  ,16.25  ,3.66             ,8.96                 ,-16.98            ,7.78               ,- -                ,13.92                ,-16.2                          ,-16.26                  ,-0.51                   ,6.49        ,9.39            ,-0.57                ,                          4.24 ,                     8.08 ,- -                          ,2.37            ,2.51                    ,1.96         ,36.58               ,-92.69  ,-54.22               ,-31.25                    ,22.17   ,-7.15                ,12.23                        ,0.84              ,3.37                 ,1.75         ,            14.61 ,-62.35       ,2.84                            ,2.84         ,1.96                       ,-3.75              ,4.35     ,1.47               ,0.29                         ,44.63         ,4.3                   ,-1.02               ,23.42      ,13.92                       ,-574.59        ,-2.49                    ,-87.89                   ,20.61                          ,18.24                 ,-95.97                      ,-74.22                         ,- -            ,-69.3          ,-24.04                      ,-125.85                        ,-305.23             ,18.24                ,21.05          ,10.6                 ,36.17                   ,0.29766778646359593
 3 ,2013 ,4.64                     ,4.95            ,4.25         ,2.7                        ,5.07                   ,7.87                    ,24.76                       ,3.95          ,1.64                        ,-0.96                     ,9.15              ,-0.22                       ,8.34                ,5.47   ,0.79              ,7.87   ,7.87   ,-0.38            ,3.09                 ,3.31              ,-18.59             ,53.52              ,1.65                 ,581.69                         ,584.61                  ,7.61                    ,3.55        ,-10.71          ,106.16               ,                          2.37 ,                     8.03 ,- -                          ,-2.95           ,-2.54                   ,16.51        ,7.52                ,4388.29 ,-16.21               ,197.02                    ,-10.28  ,-12.3                ,-10.84                       ,26.27             ,-21.28               ,-10.62       ,            13.72 ,-48.67       ,9                               ,9            ,16.51                      ,1.26               ,-25.7    ,-31.83             ,-67.5                        ,-30.59        ,-0.77                 ,28.53               ,1.64       ,1.65                        ,163.49         ,16.24                    ,-522.81                  ,-1.41                          ,-10.38                ,300                         ,-80.14                         ,52.04          ,142.54         ,-115.69                     ,-460.68                        ,-2579.12            ,-10.38               ,0.23           ,80.92                ,-8.8                    ,0.4618304532251525
 4 ,2014 ,29.02                    ,22.23           ,37.7         ,37.39                      ,74.74                  ,12.89                   ,-149.59                     ,58.18         ,48.19                       ,10.52                     ,34.62             ,9.98                        ,35.28               ,33.58  ,3.53              ,12.89  ,12.89  ,6.72             ,-12.5                ,15.31             ,26.49              ,-1.73              ,68.5                 ,-76.81                         ,-76.94                  ,27.35                   ,24.42       ,16.09           ,-35.24               ,                         37.29 ,                    25.57 ,- -                          ,67.18           ,64.78                   ,33.77        ,45.69               ,-47.05  ,92.74                ,-14.33                    ,95.79   ,80.39                ,91.54                        ,47.08             ,38.29                ,10.52        ,            18.89 ,1564.51      ,21.9                            ,21.9         ,33.77                      ,10.64              ,183.62   ,132.66             ,479.48                       ,-24.41        ,-6.49                 ,2                   ,48.19      ,68.5                        ,224.62         ,28.82                    ,140.5                    ,30.28                          ,51.42                 ,1065.79                     ,4375.01                        ,8.6            ,108.1          ,1992.46                     ,44.9                           ,-186.35             ,51.42                ,26.83          ,-5.06                ,-12.43                  ,0.01673029795531744
 5 ,2015 ,0.45                     ,-2.09           ,3.33         ,-6.7                       ,0.17                   ,28.7                    ,-382.4                      ,-7.22         ,4.47                        ,0.2                       ,4.07              ,-0.07                       ,4.35                ,15.32  ,14.81             ,28.7   ,28.7   ,2.87             ,28.13                ,3.81              ,-1.48              ,2.26               ,0.2                  ,-66.56                         ,-66.35                  ,2.88                    ,7.11        ,-7.36           ,-11.7                ,                          0.92 ,                     6.33 ,- -                          ,-2.7            ,-2.46                   ,-3.85        ,-1.73               ,-52.41  ,-25.86               ,-24.12                    ,-7.11   ,-7.04                ,-7.09                        ,-11.25            ,2.79                 ,0.83         ,            16.68 ,55.43        ,4.12                            ,4.12         ,-3.85                      ,-0.21              ,-8.67    ,-12.28             ,-15.45                       ,16.36         ,16.19                 ,1.96                ,4.47       ,0.2                         ,-68.46         ,6.75                     ,-255.24                  ,7.53                           ,-1.1                  ,-86.46                      ,-90.77                         ,2.47           ,-71.97         ,-117                        ,-151.94                        ,-82.56              ,-1.1                 ,9.22           ,4.87                 ,3.12                    ,0.14473537985694995
 6 ,2016 ,7.71                     ,7.7             ,7.73         ,8.58                       ,9.03                   ,7.62                    ,19.3                        ,4.52          ,2.27                        ,-1                        ,3.39              ,-1.24                       ,3.64                ,6.2    ,-1.4              ,7.62   ,7.62   ,0.01             ,-0.08                ,-4.98             ,1.84               ,0.09               ,4.13                 ,73.9                           ,73.9                    ,19.79                   ,11.13       ,36.45           ,23.02                ,                          5.27 ,                     7.34 ,- -                          ,10.36           ,10                      ,11.8         ,12.53               ,19.25   ,47.57                ,16.58                     ,33.98   ,2.83                 ,25.88                        ,23.93             ,2.8                  ,0.78         ,            14.7  ,31.99        ,0.68                            ,0.68         ,11.8                       ,-1.55              ,31.2     ,30.31              ,20.55                        ,5.53          ,3.64                  ,5.77                ,2.27       ,4.13                        ,-4.22          ,6.8                      ,-44.74                   ,12.05                          ,5.08                  ,576.67                      ,408.75                         ,-0.91          ,311.58         ,122.94                      ,-214.82                        ,-163.64             ,5.08                 ,13.28          ,-11.02               ,9.48                    ,-0.09651588742193717
 7 ,2017 ,14.47                    ,15.88           ,12.96        ,9.06                       ,17.65                  ,16.17                   ,3.5                         ,20.02         ,10.01                       ,- -                       ,10.05             ,0.25                        ,9.77                ,15.96  ,1.3               ,16.17  ,16.17  ,-1.32            ,1.49                 ,-3.86             ,-10.06             ,-0.59              ,15.64                ,69.8                           ,69.8                    ,27.24                   ,34.23       ,38.03           ,35.69                ,                         56.99 ,                    43.56 ,- -                          ,18.73           ,21.27                   ,23.46        ,34.23               ,70.05   ,66.29                ,46.33                     ,22.77   ,28.06                ,23.9                         ,28.31             ,16.33                ,3.11         ,            14.27 ,-24.02       ,17.98                           ,17.98        ,23.46                      ,2                  ,24.18    ,5.26               ,-13.19                       ,-7.27         ,5.83                  ,27.27               ,10.01      ,15.64                       ,96.6           ,19.1                     ,-295.09                  ,26.89                          ,14.31                 ,-72.91                      ,39.71                          ,-0.59          ,95.15          ,-184.33                     ,34.73                          ,-73.18              ,14.31                ,28.95          ,7.99                 ,15.3                    ,0.15606239515327314
 8 ,2018 ,16.45                    ,18.55           ,14.13        ,9.37                       ,8.9                    ,25.06                   ,-10.22                      ,34.29         ,31.87                       ,1.77                      ,29.75             ,2.01                        ,29.44               ,19.65  ,2.76              ,25.06  ,25.06  ,-1.99            ,7.4                  ,13.4              ,16.45              ,10.28              ,11.51                ,57.53                          ,57.53                   ,6.63                    ,1.14        ,11.68           ,12.77                ,                          2.92 ,                     7.59 ,- -                          ,-4.02           ,-3.42                   ,-0.72        ,-3.03               ,-40.47  ,32.68                ,-11.05                    ,-6.11   ,-12.32               ,-7.48                        ,-8.28             ,3.07                 ,0.93         ,            17.48 ,24.71        ,8.55                            ,8.55         ,-0.72                      ,0.2                ,-14.16   ,-20.92             ,-29.1                        ,26.78         ,-7.94                 ,- -                 ,31.87      ,11.51                       ,-82.16         ,13.84                    ,-209.28                  ,13.43                          ,49.21                 ,- -                         ,-83.79                         ,12.24          ,-61.25         ,-153.19                     ,-158.04                        ,710                 ,49.21                ,8.24           ,1.55                 ,-14.1                   ,0.24447356387853125
 9 ,2019 ,4.86                     ,5.55            ,4.07         ,2.22                       ,3.72                   ,9.08                    ,-80.56                      ,24.77         ,25.8                        ,-0.5                      ,26.43             ,-0.74                       ,26.74               ,5.87   ,0.96              ,9.08   ,9.08   ,-0.75            ,4.02                 ,19.97             ,-2.13              ,12.21              ,0.44                 ,14.08                          ,14.08                   ,5.15                    ,12.15       ,24.93           ,11.48                ,                         14.02 ,                    13.84 ,- -                          ,0.49            ,1.73                    ,3.57         ,13.23               ,-46.81  ,3.95                 ,-0.35                     ,-3.63   ,12.55                ,-0.26                        ,-0.28             ,2.96                 ,0.46         ,            18.16 ,7.25         ,7.57                            ,7.57         ,3.57                       ,-0.84              ,-9.08    ,-15.48             ,-32.22                       ,11.88         ,-1.7                  ,7.14                ,25.8       ,0.44                        ,188.64         ,- -                      ,16.79                    ,9.47                           ,22.16                 ,- -                         ,18.68                          ,11.65          ,46.42          ,169.4                       ,39.38                          ,-65.05              ,22.16                ,6.92           ,29.11                ,-12.98                  ,0.16671854656193896
