   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,16.92                    ,15.64           ,18.65        ,9.5                        ,- -                    ,34.3                    ,49.7                        ,18.44         ,9.37                        ,0.52                      ,8.81              ,0.05                        ,9.31                ,27.98  ,9.46              ,34.3   ,34.3   ,1.48             ,14.87                ,-6.46             ,16.92              ,- -                ,19.02                ,1.48                           ,-14.29                  ,12.65                   ,9.26        ,47.23           ,6.87                 ,12.52                          ,18.76                     ,-10.02                       ,0.95            ,7.3                     ,7.21         ,-6.55               ,13.82   ,17.68                ,0.62                      ,3.62    ,22.61                ,6.57                         ,5.64              ,3.18                 ,2.86         ,29.1              ,-87.52       ,11.08                           ,10.7         ,7.21                       ,0.67               ,9.83     ,-0.79              ,-110.11                      ,6.21          ,140.05                ,- -                 ,9.37       ,19.02                       ,49.85          ,-2.61                    ,-68.97                   ,10.58                          ,-9.58                 ,-38.52                      ,-14.91                         ,- -            ,304.83         ,- -                         ,-139.4                         ,-157.4              ,-9.58                ,1169.95        ,66.01                ,1.11                    ,0.5274807237348209
 1 ,2011 ,19.12                    ,25.69           ,10.42        ,3.59                       ,- -                    ,4.49                    ,-33.23                      ,53.59         ,55.78                       ,51.33                     ,2.94              ,50.3                        ,3.65                ,10.38  ,-7.33             ,4.49   ,4.49   ,-7.3             ,-12.28               ,30.78             ,15.9               ,- -                ,19.81                ,91.5                           ,143.97                  ,34.39                   ,48.8        ,-10.19          ,72.13                ,9.8                            ,17.36                     ,-67.72                       ,2.62            ,6.56                    ,19.76        ,-1.81               ,52.12   ,4.75                 ,1.78                      ,25.38   ,25.73                ,25.45                        ,21.91             ,5.78                 ,- -          ,35.11             ,556.89       ,15.19                           ,15.19        ,19.76                      ,2.08               ,-6.09    ,-18.47             ,1461.74                      ,69.12         ,-51.47                ,2.78                ,55.78      ,19.81                       ,-15.22         ,-10.2                    ,-192                     ,6.77                           ,19.61                 ,-151.35                     ,-6.69                          ,- -            ,-24.85         ,156.95                      ,-649.26                        ,-963.19             ,19.61                ,-45.82         ,-13.18               ,-31.46                  ,-0.31271559433397134
 2 ,2012 ,5.24                     ,0.57            ,12.27        ,8.2                        ,- -                    ,10.9                    ,-16.92                      ,26.64         ,30.82                       ,- -                       ,30.82             ,- -                         ,30.82               ,14.3   ,8.61              ,10.9   ,10.9   ,6.68             ,5.38                 ,24.31             ,5.24               ,- -                ,19.04                ,16.5                           ,21.87                   ,26.44                   ,8.14        ,18.36           ,16.17                ,6.82                           ,14.37                     ,-73.43                       ,-0.24           ,3.9                     ,7.45         ,-2.03               ,9.5     ,14.14                ,3.81                      ,0.28    ,22.48                ,4.25                         ,4.2               ,2.34                 ,2.78         ,34                ,3.3          ,14.73                           ,14.73        ,7.45                       ,0.56               ,-14.59   ,-25.56             ,86.63                        ,11.91         ,36.52                 ,- -                 ,30.82      ,19.04                       ,-8.02          ,-9.13                    ,138.29                   ,11.27                          ,-12.1                 ,-16.04                      ,-18.43                         ,- -            ,- -            ,-11.96                      ,-103.4                         ,-62.94              ,-12.1                ,222.49         ,18.75                ,-14.95                  ,0.011104290128696181
 3 ,2013 ,378.7                    ,318.25          ,460.28       ,959.43                     ,- -                    ,39.01                   ,390.79                      ,-91.6         ,-91.12                      ,151.44                    ,-96.47            ,152.91                      ,-96.49              ,224.53 ,-32.21            ,39.01  ,39.01  ,17.04            ,-70.96               ,-98.15            ,-55.72             ,-99.32             ,465.46               ,125.42                         ,148.74                  ,3609.97                 ,126.12      ,867.16          ,283.65               ,257.61                         ,414.41                    ,- -                          ,726.18          ,438.77                  ,390.24       ,849.54              ,565.94  ,158.06               ,585.06                    ,256.49  ,937.59               ,399.77                       ,422.77            ,1944.27              ,- -          ,-1586.11          ,-131.24      ,324.1                           ,324.1        ,390.24                     ,340                ,263.56   ,-14.27             ,-323.78                      ,-44           ,145.89                ,981.08              ,-91.12     ,465.46                      ,294.78         ,163.34                   ,1027.65                  ,200.05                         ,424.32                ,- -                         ,189.18                         ,-98.29         ,66.54          ,-41370.21                   ,-12354.17                      ,1193.35             ,424.32               ,-352.4         ,9.25                 ,3279.23                 ,0.7463005459470882
 4 ,2014 ,21.06                    ,25.74           ,16.36        ,20.06                      ,- -                    ,-24.44                  ,-58.27                      ,709.8         ,605.71                      ,19.66                     ,489.75            ,20.54                       ,485.46              ,10.49  ,-8.73             ,-24.44 ,-24.44 ,-3.89            ,-37.59               ,482.92            ,7.61               ,- -                ,21.64                ,-9.78                          ,-9.78                   ,36.69                   ,85.15       ,23.43           ,14.36                ,5.84                           ,8.68                      ,- -                          ,18.09           ,13.11                   ,13.41        ,59.36               ,-64.34  ,37.09                ,51.1                      ,11.6    ,2.76                 ,7.74                         ,14.79             ,3.14                 ,- -          ,-1.07             ,-66.67       ,9.95                            ,9.95         ,13.41                      ,0.7                ,26.98    ,15.49              ,17.74                        ,-24.32        ,80.38                 ,12.5                ,605.71     ,21.64                       ,-65.23         ,96                       ,-20.92                   ,16.95                          ,63.8                  ,-114.19                     ,246.37                         ,- -            ,20.01          ,- -                         ,-37.59                         ,-110.48             ,63.8                 ,256.68         ,-31.21               ,-83.43                  ,-0.313073939254617
 5 ,2015 ,8.42                     ,-3.32           ,21.19        ,14.96                      ,- -                    ,160.34                  ,181.39                      ,136.8         ,196.76                      ,0.96                      ,171.89            ,0.82                        ,172.26              ,31.76  ,21.53             ,160.34 ,160.34 ,11.78            ,140.13               ,173.72            ,-2.42              ,11.04              ,6.26                 ,42.62                          ,-13.79                  ,-16.01                  ,19.35       ,-29.76          ,6.48                 ,23.11                          ,13.56                     ,- -                          ,4.25            ,11.43                   ,10.21        ,8.22                ,109.2   ,3.02                 ,8.57                      ,8.99    ,18.23                ,12.84                        ,11.93             ,0.42                 ,- -          ,-3.21             ,-200         ,5.71                            ,5.71         ,10.21                      ,1.35               ,45.62    ,37.76              ,-2.88                        ,-1.93         ,87.25                 ,11.11               ,196.76     ,6.26                        ,307.58         ,2.55                     ,60.38                    ,30.58                          ,-7.73                 ,33200                       ,31.93                          ,34.15          ,32.94          ,- -                         ,35.22                          ,27.26               ,-7.73                ,-59.46         ,38.42                ,-56                     ,0.45938189950532116
 6 ,2016 ,16.96                    ,11.09           ,22.06        ,11.67                      ,- -                    ,45.7                    ,-23.69                      ,137.93        ,99.18                       ,1.17                      ,104.84            ,1.27                        ,104.63              ,37.27  ,17.36             ,45.7   ,45.7   ,4.36             ,24.57                ,70.3              ,16.96              ,-1.15              ,33.17                ,-27.44                         ,20.03                   ,-8                      ,-14.21      ,106.29          ,-4.52                ,4.72                           ,5.86                      ,- -                          ,11.56           ,8.68                    ,5.53         ,-11.46              ,94.51   ,23.43                ,-5.31                     ,6.58    ,5.89                 ,6.28                         ,3.87              ,0.47                 ,- -          ,-6.78             ,-200         ,10.14                           ,10.14        ,5.53                       ,0.97               ,3.74     ,-5.81              ,10.14                        ,0.84          ,-7.8                  ,- -                 ,99.18      ,33.17                       ,-11.82         ,16.92                    ,103.7                    ,13.32                          ,30.2                  ,-200.03                     ,-40.59                         ,- -            ,-74.94         ,- -                         ,-86.43                         ,-225.24             ,30.2                 ,103.61         ,20.87                ,-43.11                  ,0.37474174018853446
 7 ,2017 ,8.31                     ,7.0             ,9.34         ,7.74                       ,- -                    ,40.19                   ,50.4                        ,35.84         ,210.68                      ,1.14                      ,215.34            ,4.65                        ,204.76              ,11.24  ,2.71              ,40.19  ,40.19  ,0.96             ,29.44                ,186.86            ,6.18               ,-1.13              ,-4.15                ,-77.84                         ,-77.84                  ,9.34                    ,40.95       ,-49.12          ,-37.29               ,5.98                           ,8.26                      ,- -                          ,28.38           ,19.3                    ,7.09         ,19.69               ,355.37  ,-14.23               ,27.63                     ,-44.48  ,45.04                ,-5.55                        ,0.73              ,-0.56                ,- -          ,-22.01            ,700          ,23.71                           ,23.71        ,7.09                       ,4                  ,-25      ,-39.37             ,50.06                        ,-50.87        ,-32.91                ,2                   ,210.68     ,-4.15                       ,-131.45        ,30.21                    ,129.34                   ,-37.56                         ,27.62                 ,- -                         ,18.75                          ,- -            ,1534.9         ,-123.89                     ,-395.25                        ,-566.34             ,27.62                ,185.36         ,15.23                ,-79.9                   ,-0.08987003154379525
 8 ,2018 ,6.66                     ,3.65            ,9.0          ,7.36                       ,- -                    ,14.1                    ,-6.7                        ,23.92         ,-36.33                      ,2.15                      ,-36.91            ,-1.55                       ,-34.54              ,10.89  ,3.96              ,14.1   ,14.1   ,2.19             ,6.97                 ,-40.31            ,4.61               ,- -                ,8.39                 ,-1.31                          ,-1.31                   ,2.15                    ,-30.78      ,-11.93          ,-7.11                ,5.24                           ,10.42                     ,- -                          ,3.49            ,4.12                    ,2.7          ,-8.83               ,-47.83  ,24.48                ,-10.84                    ,0.02    ,4.07                 ,2.72                         ,-0.53             ,-1.6                 ,- -          ,-19.41            ,-4250        ,9.57                            ,9.57         ,2.7                        ,-1.07              ,-6.01    ,-14.22             ,-15.84                       ,4.18          ,44.79                 ,1.96                ,-36.33     ,8.39                        ,-651.74        ,38.56                    ,19.27                    ,1.77                           ,-48.78                ,- -                         ,-91.42                         ,- -            ,-7.83          ,150.82                      ,144.04                         ,-99.63              ,-48.78               ,-75.55         ,51.43                ,59.85                   ,0.06394715998344702
 9 ,2019 ,3.9                      ,0.91            ,6.09         ,7.43                       ,- -                    ,7.78                    ,-19.61                      ,17.51         ,20.08                       ,0.52                      ,19.46             ,0.6                         ,19.37               ,4.6    ,0.68              ,7.78   ,7.78   ,2.11             ,3.74                 ,15.58             ,1.94               ,- -                ,2                    ,27.02                          ,27.02                   ,4.4                     ,-11.07      ,37.53           ,12.37                ,-89.24                         ,-34.81                    ,- -                          ,83.95           ,20.92                   ,19.94        ,-12.69              ,288.7   ,55.15                ,21.81                     ,88.41   ,-10.16               ,21.72                        ,21.74             ,1.28                 ,- -          ,-31.81            ,161.45       ,16.47                           ,16.47        ,19.94                      ,0.79               ,-19.61   ,-30.98             ,-45.98                       ,-7.75         ,8.34                  ,1.92                ,20.08      ,2                           ,11.71          ,16.75                    ,-26.2                    ,75.02                          ,29.82                 ,- -                         ,612.44                         ,- -            ,-84.42         ,- -                         ,-28.84                         ,-2131.25            ,29.82                ,-69.81         ,-16.47               ,45.75                   ,-0.05595558247850674
