   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,1.75                     ,- -             ,1.75         ,                      1.19 ,- -                    ,- -                     ,-8.6                        ,-8.6          ,-11.21                      ,-15.39                    ,4.85              ,-15.14                      ,4.54                ,1.88   ,0.13              ,- -   ,- -  ,- -              ,- -                  ,-12.74            ,1.75               ,             14.78 ,1.88                 ,13.88                          ,-21.57                  ,-6                      ,- -         ,- -             ,1.72                 ,- -                            ,- -                       ,-3.09                        ,-9.03           ,-4.49                   ,-4.23        ,-9.35               ,-70.78  ,- -                  ,-12.76                    ,1.29    ,-1.73                ,-1.47                        ,-3.28             ,2.9                  ,        2.9  ,            15.52 ,2.95         ,-7.08                           ,-7.08        ,-4.23                      ,-16.47             ,-1.88    ,5.59               ,-3.74                        ,16.59         ,- -                   ,- -                 ,-11.21     ,1.88                        ,-16.98         ,- -                      ,1.94                     ,-27.82                         ,- -                   ,-350.72                     ,-334.59                        ,-2.89          ,149.8          ,48.97                       ,51.69                          ,-47.27              ,- -                  ,-27.82         ,30.02                ,-18.71                  ,0.020558178695417206
 1 ,2011 ,1.33                     ,- -             ,1.33         ,                      4.4  ,- -                    ,- -                     ,-68.6                       ,-68.6         ,-55.66                      ,-12.74                    ,-49.57            ,-12.85                      ,-49.5               ,-1.23  ,-2.53             ,- -   ,- -  ,- -              ,- -                  ,-56.24            ,5.97               ,             13.24 ,-1.23                ,-34.53                         ,7                       ,0.7                     ,- -         ,-28655.68       ,441.01               ,- -                            ,- -                       ,-0.83                        ,-369            ,-83.75                  ,-0.55        ,-3.04               ,221.1   ,- -                  ,1.13                      ,-0.09   ,-0.21                ,-0.2                         ,0.53              ,2.83                 ,        2.83 ,             3.88 ,59.76        ,-3.92                           ,-3.92        ,-0.55                      ,-9.62              ,3.39     ,7.61               ,-3.51                        ,434.99        ,- -                   ,-4.37               ,-55.66     ,-1.23                       ,4.95           ,- -                      ,-16.9                    ,-28.98                         ,- -                   ,-34.57                      ,-45.38                         ,-1.19          ,- -            ,-42.74                      ,-36.68                         ,-125.86             ,- -                  ,-28.98         ,31.35                ,60.17                   ,0.09313133121118744
 2 ,2012 ,1.16                     ,- -             ,1.16         ,                      1.52 ,- -                    ,- -                     ,134.17                      ,134.17        ,73.42                       ,-7.12                     ,88.3              ,-7.3                        ,88.67               ,3.12   ,1.94              ,- -   ,- -  ,- -              ,- -                  ,71.44             ,1.49               ,             12.36 ,3.12                 ,1717.38                        ,54.21                   ,95.95                   ,- -         ,- -             ,0.54                 ,- -                            ,- -                       ,1.66                         ,2.33            ,-0.84                   ,0.32         ,-7.59               ,71.43   ,- -                  ,-2.92                     ,-12.94  ,0.69                 ,-0.53                        ,-0.74             ,2.07                 ,        2.07 ,             9.06 ,11.52        ,3.79                            ,3.79         ,0.32                       ,-3.92              ,-10.7    ,-13.96             ,4.34                         ,3.56          ,- -                   ,-0.33               ,73.42      ,3.12                        ,3.8            ,- -                      ,4.04                     ,48.92                          ,- -                   ,-138.22                     ,-184.38                        ,4.36           ,- -            ,-42.4                       ,-35.09                         ,646.67              ,- -                  ,48.92          ,-25.61               ,-14.13                  ,0.11445601755368684
 3 ,2013 ,1.75                     ,- -             ,1.75         ,                      4.07 ,- -                    ,- -                     ,56.19                       ,56.19         ,48.52                       ,-4.12                     ,54.9              ,-3.98                       ,54.67               ,4.84   ,3.03              ,- -   ,- -  ,- -              ,- -                  ,45.97             ,0.76               ,              9.55 ,4.84                 ,-1.55                          ,-10.91                  ,-5.72                   ,- -         ,- -             ,-2.54                ,- -                            ,- -                       ,-1.06                        ,-3.47           ,8.17                    ,-1.07        ,-10.21              ,-83.33  ,- -                  ,-17.84                    ,8.63    ,0.02                 ,0.69                         ,-0.65             ,1.6                  ,        1.6  ,            13.76 ,-63.77       ,-2.4                            ,-2.4         ,-1.07                      ,-6.33              ,0.53     ,3                  ,-2.6                         ,18.62         ,- -                   ,0.98                ,48.52      ,4.84                        ,-7.35          ,- -                      ,9.95                     ,18.14                          ,- -                   ,-190.44                     ,-6.38                          ,5.04           ,-59.97         ,61.17                       ,36.95                          ,-129.46             ,- -                  ,18.14          ,3.4                  ,-20.46                  ,-0.0051490710094928005
 4 ,2014 ,3.71                     ,- -             ,3.75         ,                      5.19 ,- -                    ,- -                     ,2.91                        ,2.91          ,0.52                        ,-8.51                     ,9.86              ,-8.5                        ,9.85                ,-0.35  ,-3.91             ,- -   ,- -  ,- -              ,- -                  ,-3.08             ,5.77               ,              9.3  ,-0.35                ,0.12                           ,27.21                   ,-1.22                   ,- -         ,- -             ,-0.19                ,- -                            ,- -                       ,-0.06                        ,0.98            ,-3.66                   ,-0.71        ,1.56                ,400     ,- -                  ,9.99                      ,-6.36   ,-1.25                ,-1.68                        ,-0.98             ,1.6                  ,        1.6  ,            12.19 ,8.64         ,0.16                            ,0.16         ,-0.71                      ,-8.85              ,-1.27    ,-1.43              ,1.2                          ,-9.25         ,- -                   ,-1.95               ,0.52       ,-0.35                       ,-0.78          ,- -                      ,2.67                     ,-3.22                          ,- -                   ,10.93                       ,-122.64                        ,- -            ,- -            ,35.39                       ,29.6                           ,-372.73             ,- -                  ,-3.22          ,12.15                ,-3.72                   ,0.08221039375425265
 5 ,2015 ,-1.33                    ,- -             ,-1.32        ,                      3.21 ,- -                    ,- -                     ,-6.86                       ,-6.86         ,-6.85                       ,-8.32                     ,1.6               ,-8.35                       ,1.63                ,-5.32  ,-4.05             ,- -   ,- -  ,- -              ,- -                  ,-5.59             ,-3.57              ,             10.58 ,-5.32                ,-3.67                          ,1.6                     ,-1                      ,- -         ,- -             ,-3.07                ,- -                            ,- -                       ,-3.93                        ,-4.67           ,-1.28                   ,-2.81        ,-0.6                ,- -     ,- -                  ,-0.54                     ,-0.09   ,-2.42                ,-2.23                        ,-2.12             ,1.51                 ,        1.51 ,             9.89 ,-117.84      ,-4.98                           ,-4.98        ,-2.81                      ,-8.16              ,-0.18    ,5.05               ,-2.84                        ,-2.54         ,- -                   ,2.32                ,-6.85      ,-5.32                       ,9.98           ,- -                      ,7.04                     ,-7.01                          ,- -                   ,19.21                       ,53.88                          ,1.37           ,-20.65         ,-3.24                       ,-2                             ,-80                 ,- -                  ,-7.01          ,4.97                 ,-0.17                   ,0.09822314927385478
 6 ,2016 ,3.08                     ,- -             ,3.02         ,                      1.84 ,- -                    ,- -                     ,-14.49                      ,-14.49        ,-12.36                      ,-7.24                     ,-5.51             ,-7.3                        ,-5.46               ,0.98   ,-2.04             ,- -   ,- -  ,- -              ,- -                  ,-14.98            ,3.08               ,             10.44 ,0.98                 ,-0.03                          ,-19.21                  ,-0.52                   ,- -         ,- -             ,-0.15                ,- -                            ,- -                       ,0.12                         ,-0.21           ,1.26                    ,0.06         ,4.54                ,10      ,- -                  ,5.07                      ,0.74    ,0.2                  ,0.25                         ,0.57              ,1.99                 ,        1.99 ,             7.52 ,380.89       ,-1.6                            ,-1.6         ,0.06                       ,-5.51              ,2.78     ,4.45               ,-1.96                        ,-4.96         ,- -                   ,- -                 ,-12.36     ,0.98                        ,0.37           ,- -                      ,-25.43                   ,22.36                          ,- -                   ,-256.61                     ,-560.57                        ,2.44           ,25.26          ,-23.33                      ,-24.83                         ,-455.56             ,- -                  ,22.36          ,-18.48               ,39.62                   ,0.014358725466518063
 7 ,2017 ,4.62                     ,- -             ,4.62         ,                      0.39 ,- -                    ,- -                     ,-32.64                      ,-32.64        ,-31.79                      ,-4.2                      ,-28.79            ,-4.26                       ,-28.75              ,-1.57  ,-5.92             ,- -   ,- -  ,- -              ,- -                  ,-34.8             ,4.96               ,              8.25 ,-1.57                ,3.42                           ,12.05                   ,3.11                    ,- -         ,- -             ,3.35                 ,- -                            ,- -                       ,2.92                         ,3.03            ,2.56                    ,3.23         ,3.42                ,9.09    ,- -                  ,3.99                      ,1.43    ,3.69                 ,3.51                         ,3.54              ,1.2                  ,        1.2  ,             3.93 ,-54.57       ,2.2                             ,2.2          ,3.23                       ,-2.93              ,1.58     ,-0.6               ,-2.49                        ,-0.62         ,- -                   ,-0.32               ,-31.79     ,-1.57                       ,2.5            ,- -                      ,-12.7                    ,-10.47                         ,- -                   ,-3.52                       ,24.38                          ,3.7            ,60.69          ,-41.75                      ,-31.58                         ,-140.62             ,- -                  ,-10.47         ,18.46                ,31.25                   ,-0.0606174207382415
 8 ,2018 ,4.77                     ,- -             ,4.77         ,                      3.05 ,- -                    ,- -                     ,8.46                        ,8.46          ,22.71                       ,-3.12                     ,26.66             ,-3.16                       ,26.72               ,-1.23  ,-5.73             ,- -   ,- -  ,- -              ,- -                  ,17.12             ,6.15               ,              7.03 ,-1.23                ,-0.16                          ,8.43                    ,2.14                    ,- -         ,- -             ,0.37                 ,- -                            ,- -                       ,-0.33                        ,-1.24           ,2.79                    ,0.72         ,0.5                 ,- -     ,- -                  ,0.44                      ,-0.12   ,2.3                  ,2.11                         ,1.99              ,1.13                 ,        1.13 ,             5.21 ,441.98       ,-3.53                           ,-3.53        ,0.72                       ,-2.87              ,-0.58    ,3.06               ,-4.98                        ,-0.08         ,- -                   ,-1.3                ,22.71      ,-1.23                       ,-0.03          ,- -                      ,-5.41                    ,16.43                          ,- -                   ,82.95                       ,28.25                          ,3.69           ,-25.1          ,-8.26                       ,4.79                           ,50                  ,- -                  ,16.43          ,-27.55               ,-5.12                   ,-0.03407267732220065
 9 ,2019 ,4.29                     ,- -             ,4.29         ,                      1.58 ,- -                    ,- -                     ,5.98                        ,5.98          ,3.92                        ,-2.77                     ,6.88              ,-2.78                       ,6.9                 ,-4.98  ,-8.89             ,- -   ,- -  ,- -              ,- -                  ,-0.35             ,2.94               ,              6.64 ,-4.98                ,8.48                           ,32.44                   ,0.49                    ,- -         ,-100.03         ,6.59                 ,- -                            ,- -                       ,8.38                         ,10.81           ,0.37                    ,5.65         ,-1.81               ,- -     ,- -                  ,-12.2                     ,-0.1    ,5.08                 ,4.67                         ,3.49              ,1.4                  ,        1.4  ,             5.04 ,-134.43      ,13.32                           ,13.32        ,5.65                       ,-3.07              ,-2.05    ,-13.56             ,9.87                         ,21.4          ,- -                   ,1.32                ,3.92       ,-4.98                       ,8.1            ,- -                      ,-15.91                   ,18.84                          ,- -                   ,23.07                       ,24.6                           ,3.69           ,-16.75         ,17.18                       ,8.7                            ,197.44              ,- -                  ,18.84          ,-5.88                ,14.35                   ,-0.11873702305077538
