   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,33.94                    ,19.27           ,49.87        ,15.08                      ,6.37                   ,106.4                   ,-102.15                     ,125.63        ,119.59                      ,-4.84                     ,130.76            ,-4.41                       ,129.73              ,74.55  ,30.32             ,106.4  ,106.4  ,11.89            ,54.1                 ,63.95             ,25.32              ,              9.72 ,-1.3                 ,5.03                           ,11.59                   ,18.87                   ,26.46       ,33.8            ,15.47                ,16.53                          ,3.01                      ,-28.89                       ,-0.09           ,5.6                     ,10.58        ,24.83               ,- -     ,- -                  ,24.83                     ,- -     ,21.36                ,21.36                        ,23.65             ,0.99                 ,- -          ,            11.91 ,12.88        ,7.35                            ,7.35         ,10.58                      ,-5.86              ,11.59    ,3.95               ,-3.09                        ,-7.49         ,-13.71                ,6.88                ,119.59     ,-1.3                        ,-148.33        ,2.15                     ,31.25                    ,44.53                          ,59.23                 ,-202.66                     ,-3.56                          ,          4.41 ,- -            ,142.25                      ,86.11                          ,0.74                ,59.23                ,38.68          ,-19                  ,-34.18                  ,0.1429275768519096
 1 ,2011 ,-1.65                    ,7.55            ,-9.61        ,7.83                       ,9.24                   ,-24.81                  ,-11700                      ,-35.07        ,-30.73                      ,-4                        ,-27.84            ,-3.46                       ,-28.25              ,-18.79 ,-17.43            ,-24.81 ,-24.81 ,-8.09            ,-23.54               ,-29.57            ,-19.61             ,             13.32 ,11.17                ,-4.46                          ,-24.79                  ,1.78                    ,17.63       ,64.21           ,10.88                ,20.33                          ,3.27                      ,-41.5                        ,260.33          ,99.48                   ,52.8         ,-23.22              ,- -     ,- -                  ,76.63                     ,- -     ,84.64                ,513.02                       ,221.36            ,2.84                 ,0.06         ,             6.41 ,10.7         ,4.93                            ,4.93         ,52.8                       ,-2.39              ,-448.75  ,-432.35            ,-65.14                       ,-37.23        ,15.53                 ,22.34               ,-30.73     ,11.17                       ,-183.33        ,41.58                    ,-4.76                    ,-14.76                         ,-31.94                ,-72.54                      ,483.92                         ,          8.78 ,- -            ,-37.32                      ,-198.59                        ,-338.69             ,-31.94               ,-6.91          ,7.16                 ,23.05                   ,-0.08872881410052003
 2 ,2012 ,-6.63                    ,-7.27           ,-5.97        ,10.13                      ,9.45                   ,-21.41                  ,62.07                       ,-34.52        ,-21.33                      ,-1.65                     ,-20.01            ,-2.13                       ,-19.62              ,-10.1  ,-3.73             ,-21.41 ,-21.41 ,0.71             ,-15.83               ,-15.75            ,-4.96              ,             29.31 ,27.98                ,35.09                          ,42.74                   ,-20.39                  ,-1.73       ,-15.32          ,5.68                 ,-11.65                         ,-3.39                     ,-18.87                       ,-3.67           ,-6.78                   ,-2.02        ,-4.87               ,8.62    ,-11.89               ,-0.74                     ,-0.59   ,-20.44               ,-6.57                        ,-4.43             ,-0.61                ,- -          ,             3.53 ,-9.92        ,0.08                            ,0.08         ,-2.02                      ,-2.75              ,-7.17    ,-7.25              ,13.65                        ,6.48          ,13.93                 ,-1.75               ,-21.33     ,27.98                       ,-82.76         ,-2.23                    ,-336.43                  ,4.85                           ,-39.34                ,-1126.42                    ,-83.17                         ,         27.17 ,-68.24         ,-0.47                       ,-175.36                        ,-229.66             ,-39.34               ,19.63          ,6.16                 ,33.29                   ,-0.04692596261124571
 3 ,2013 ,-4.83                    ,-9.54           ,-0.06        ,2.99                       ,-18.91                 ,11.05                   ,-69.41                      ,42.33         ,22.91                       ,-3                        ,26.72             ,-2.88                       ,26.55               ,5.34   ,10.7              ,11.05  ,11.05  ,5.01             ,16.69                ,29.15             ,0.9                ,             47.91 ,-6.47                ,-3.43                          ,14.9                    ,-2.2                    ,-1.48       ,-4.92           ,-3.07                ,-13.11                         ,-4.86                     ,0.47                         ,-4.7            ,-7.4                    ,-5.61        ,-17.62              ,-33.33  ,5.51                 ,-20.9                     ,-0.67   ,-15.1                ,-4.37                        ,-10.68            ,1.2                  ,- -          ,             3.56 ,-24.46       ,-1.4                            ,-1.4         ,-5.61                      ,-2.29              ,-17.31   ,-16.13             ,11.86                        ,22.55         ,8.1                   ,-5.69               ,22.91      ,-6.47                       ,1056           ,9.13                     ,-185.2                   ,-0.88                          ,-16.77                ,-162.87                     ,-99.71                         ,         43.47 ,-33.91         ,21.69                       ,62.48                          ,-50.24              ,-16.77               ,1.82           ,44.37                ,-19.36                  ,0.1668528405286489
 4 ,2014 ,6.88                     ,-3.82           ,16.7         ,-0.81                      ,-10.78                 ,41.62                   ,53.04                       ,40.67         ,30.48                       ,-3.01                     ,34.52             ,-2.96                       ,34.47               ,29.94  ,21.57             ,41.62  ,41.62  ,9.19             ,32.5                 ,22.08             ,11.04              ,             16.08 ,1.23                 ,-7.52                          ,-26.31                  ,3.57                    ,3.06        ,-4.7            ,-3.13                ,-16.45                         ,-4.42                     ,3.7                          ,-5.67           ,-8.84                   ,-6.42        ,-15.6               ,0.1     ,18.02                ,-3.09                     ,-12.43  ,-16.07               ,-13.26                       ,-9.83             ,5.32                 ,- -          ,             5.25 ,0.76         ,-3.86                           ,-3.86        ,-6.42                      ,-3.34              ,-2.49    ,1.42               ,5.96                         ,-0.04         ,2.22                  ,-3.74               ,30.48      ,1.23                        ,-77.85         ,-3.48                    ,-20.92                   ,15.01                          ,-6.55                 ,-141.23                     ,12466.67                       ,         12.6  ,-49.49         ,42.54                       ,24.38                          ,-302.84             ,-6.55                ,18             ,6.18                 ,-11.86                  ,0.13701722399676308
 5 ,2015 ,-0.34                    ,-3.17           ,1.79         ,-5.15                      ,-5.74                  ,7.24                    ,-10.23                      ,8.83          ,5.85                        ,-3.29                     ,9.45              ,-3.43                       ,9.6                 ,3.83   ,4.19              ,7.24   ,7.24   ,2.14             ,7.61                 ,6.22              ,3.07               ,             12.85 ,-7.89                ,-9.12                          ,-16.6                   ,-6.5                    ,-5.21       ,-16.46          ,-8.93                ,-8.59                          ,-12.78                    ,-1.34                        ,-8              ,-8.02                   ,-8.42        ,-11.43              ,-0.1    ,1.37                 ,-4.02                     ,-14.31  ,-40.82               ,-20.15                       ,-14.29            ,8.39                 ,- -          ,             5.14 ,- -          ,-4.27                           ,-4.27        ,-8.42                      ,-3.38              ,-9.38    ,-5.34              ,8.68                         ,-5.12         ,1.27                  ,-3.31               ,5.85       ,-7.89                       ,-14.06         ,3.25                     ,-142.15                  ,9.66                           ,43.12                 ,-188.65                     ,-19.89                         ,          9.15 ,- -            ,3.79                        ,5.63                           ,-53.5               ,43.12                ,5.99           ,-11.44               ,3.6                     ,0.05900884230109016
 6 ,2016 ,2.85                     ,-5.7            ,8.99         ,1.09                       ,7.03                   ,12.6                    ,-45.25                      ,16.94         ,20.4                        ,-2.62                     ,23.64             ,-2.11                       ,22.99               ,6.94   ,3.98              ,12.6   ,12.6   ,5.98             ,9.48                 ,17.06             ,3.23               ,             17.06 ,-15.71               ,8.45                           ,15.4                    ,8.76                    ,5.85        ,-9              ,5.41                 ,-3.24                          ,-9.92                     ,6.33                         ,-1.77           ,-1.99                   ,1.24         ,3.59                ,-36.9   ,6.93                 ,-11.39                    ,-4.55   ,17.57                ,-0.94                        ,-5.19             ,1.34                 ,- -          ,             6.19 ,-1.13        ,5.3                             ,5.3          ,1.24                       ,-1.51              ,-21.31   ,-25.27             ,15.44                        ,18.96         ,6.05                  ,-0.37               ,20.4       ,-15.71                      ,-261.82        ,-11.89                   ,62.77                    ,8.11                           ,-3.63                 ,-190.4                      ,115.23                         ,         13.99 ,0.2            ,-27.79                      ,-8.52                          ,-177.39             ,-3.63                ,9.85           ,21.75                ,-10.21                  ,0.27176291057136415
 7 ,2017 ,11.9                     ,4.23            ,16.67        ,-4.13                      ,10.07                  ,25.65                   ,91.91                       ,23.33         ,2.42                        ,-1.2                      ,3.66              ,-0.88                       ,3.33                ,20.77  ,7.92              ,25.65  ,25.65  ,4.27             ,12.29                ,-8.47             ,12.47              ,             29.37 ,-5.34                ,28.05                          ,43.5                    ,0.87                    ,9.33        ,13.19           ,17.12                ,6.05                           ,-2.72                     ,14.04                        ,-4.03           ,-0.74                   ,7.37         ,12.24               ,-20.76  ,1.69                 ,-0.27                     ,20.11   ,105.31               ,36.63                        ,22.61             ,2.99                 ,- -          ,             4.7  ,-27          ,-1.3                            ,-1.3         ,7.37                       ,-1.29              ,-1.38    ,-0.09              ,-9.76                        ,17.44         ,0.51                  ,-0.51               ,2.42       ,-5.34                       ,-503.37        ,-3.97                    ,173.2                    ,16.23                          ,30.89                 ,307.08                      ,73.38                          ,         27.83 ,120.24         ,24.88                       ,-1.99                          ,225.97              ,30.89                ,14.33          ,18.28                ,13.49                   ,0.2732593635246787
 8 ,2018 ,5.5                      ,2.99            ,6.9          ,-0.59                      ,3.38                   ,9.7                     ,4.82                        ,9.97          ,51.55                       ,-2.12                     ,54.83             ,-2.17                       ,54.92               ,9.19   ,3.49              ,9.7    ,9.7    ,1.32             ,3.98                 ,43.65             ,4.89               ,             24.06 ,5.53                 ,-5.28                          ,47.22                   ,-5.56                   ,13.29       ,-57.28          ,-7.29                ,19.48                          ,13.28                     ,-6.34                        ,-6.19           ,1.48                    ,-2.86        ,-3.38               ,49.8    ,0.28                 ,9.57                      ,20.74   ,-8.16                ,12.32                        ,11.47             ,4.95                 ,- -          ,             9.36 ,23.18        ,-12.99                          ,-12.99       ,-2.86                      ,-3.87              ,8.63     ,24.85              ,-19.31                       ,-15.39        ,5.2                   ,0.59                ,51.55      ,5.53                        ,-85.24         ,-4.13                    ,44.02                    ,34.05                          ,62.73                 ,-331.96                     ,-93.08                         ,         21.44 ,36.49          ,128.03                      ,69.5                           ,55.78               ,62.73                ,29.78          ,-35.63               ,-11.55                  ,-0.009322241822725785
 9 ,2019 ,-8.88                    ,-5.23           ,-10.83       ,-2.32                      ,-0.96                  ,-15.06                  ,-29.02                      ,-14.33        ,-10.09                      ,-3.51                     ,-6.82             ,-3.84                       ,-6.5                ,-12.06 ,-3.49             ,-15.06 ,-15.06 ,-2.14            ,-6.78                ,-1.33             ,-8.51              ,             22.01 ,10.06                ,27.26                          ,-0.04                   ,-11.02                  ,-9.74       ,-32.05          ,8.2                  ,3.77                           ,5.81                      ,19.52                        ,0.86            ,2.4                     ,5.14         ,-9.19               ,-33.24  ,-1.38                ,-14.19                    ,22.78   ,24.81                ,23.27                        ,11.89             ,4.33                 ,- -          ,             5.26 ,-26.64       ,-0.97                           ,-0.97        ,5.14                       ,-1.39              ,27.98    ,29.23              ,-3.84                        ,26.09         ,5.59                  ,-0.4                ,-10.09     ,10.06                       ,407.55         ,-6.47                    ,-48.01                   ,-7.51                          ,-25.11                ,-206.37                     ,2361.54                        ,         17.73 ,-0.6           ,-48.78                      ,-25.26                         ,-100.13             ,-25.11               ,-4.23          ,43.71                ,2.87                    ,0.10685387812060054
10 ,2020 ,0.54                     ,-0.52           ,1.15         ,-1.34                      ,-0.91                  ,2.36                    ,-59.92                      ,5.05          ,11.52                       ,-1.6                      ,13.34             ,-2                          ,13.79               ,1.18   ,0.64              ,2.36   ,2.36   ,0.6              ,1.81                 ,10.92             ,-0.24              ,             15.75 ,-5.52                ,21.92                          ,27.49                   ,31.66                   ,-2.3        ,1               ,16.87                ,-1.03                          ,0.71                      ,-83.67                       ,2.48            ,-1.57                   ,7.4          ,18.04               ,10      ,7.42                 ,12.58                     ,17.82   ,-9.44                ,11.25                        ,11.56             ,5.79                 ,- -          ,             5.4  ,3.75         ,3.14                            ,3.14         ,7.4                        ,-1.36              ,9.66     ,6.31               ,-0.94                        ,3.81          ,-1.98                 ,0.78                ,11.52      ,-5.52                       ,-107.43        ,3.23                     ,-236.74                  ,-7.67                          ,-23.38                ,-78.77                      ,-51.98                         ,         13.9  ,0.47           ,-13.96                      ,-3.87                          ,-67100              ,-23.38               ,-5.38          ,38.52                ,-17.21                  ,0.15442381031663066
11 ,2021 ,26.85                    ,14.95           ,33.52        ,2.65                       ,1.57                   ,49.71                   ,139.39                      ,48.23         ,38.86                       ,0.22                      ,38.56             ,0.32                        ,38.41               ,42.23  ,12.13             ,49.71  ,49.71  ,5.26             ,18.02                ,9.46              ,22.76              ,             13.18 ,-3.83                ,48.28                          ,49.05                   ,20.3                    ,-2.3        ,10.93           ,33.66                ,57.27                          ,35.93                     ,- -                          ,0.97            ,20.62                   ,27.52        ,20.6                ,-9.09   ,1.04                 ,7.49                      ,15.89   ,0.46                 ,12.86                        ,11.6              ,7.29                 ,- -          ,             9.2  ,-56.39       ,45.13                           ,45.13        ,27.52                      ,0.51               ,-15.74   ,-41.94             ,42.03                        ,24.34         ,-18.1                 ,3.33                ,38.86      ,-3.83                       ,-1090          ,2.68                     ,-61.45                   ,42.63                          ,279.35                ,582.99                      ,344.14                         ,         13.43 ,-0.2           ,-92.8                       ,-31.01                         ,127.46              ,279.35               ,14.64          ,-29.4                ,2.72                    ,-0.0936180909197466
12 ,2022 ,9.18                     ,4.84            ,11.27        ,2.28                       ,7.46                   ,13.55                   ,54.01                       ,12.48         ,12.61                       ,-0.76                     ,13.47             ,-1.07                       ,13.83               ,12.52  ,3.06              ,13.55  ,13.55  ,1.92             ,4.01                 ,3.15              ,2.56               ,             11.42 ,2.62                 ,-6.9                           ,-34.14                  ,11.41                   ,44.35       ,-9.85           ,2.46                 ,33.75                          ,26.62                     ,- -                          ,7.86            ,19.97                   ,10.26        ,30.29               ,- -     ,3.1                  ,16.19                     ,13.73   ,-8.02                ,9.93                         ,11.35             ,7.34                 ,- -          ,             9.66 ,61.78        ,9.33                            ,9.33         ,10.26                      ,-1.95              ,82.8     ,67.2               ,0.95                         ,-11.82        ,12.02                 ,6.45                ,12.61      ,2.62                        ,-198.48        ,25.65                    ,392.73                   ,-0.41                          ,13.61                 ,-49.82                      ,-12.5                          ,         10.58 ,-0.07          ,2149.33                     ,114.15                         ,-203.74             ,13.61                ,-5.89          ,-16.72               ,-11.57                  ,0.09585410519678061
13 ,2023 ,-12.53                   ,3.88            ,-19.98       ,7.1                        ,11.56                  ,-29.49                  ,-123.84                     ,-26.06        ,-25.59                      ,-0.87                     ,-24.94            ,-1.08                       ,-24.78              ,-24.67 ,-13.89            ,-29.49 ,-29.49 ,-8.52            ,-19.39               ,-14.94            ,-15.1              ,              6.99 ,26.46                ,-5.43                          ,-2.82                   ,20.53                   ,45.05       ,-12.58          ,7.85                 ,45.42                          ,33.35                     ,- -                          ,14.53           ,30.64                   ,18.9         ,-22                 ,19.8    ,75.97                ,11.22                     ,29.01   ,6.88                 ,25.78                        ,22.34             ,8.76                 ,- -          ,             3.83 ,-19.29       ,15.92                           ,15.92        ,18.9                       ,0.33               ,45.28    ,25.33              ,0.01                         ,-3.03         ,45.16                 ,3.03                ,-25.59     ,26.46                       ,17.44          ,25.26                    ,35.18                    ,-26.38                         ,81.3                  ,-182.57                     ,21.74                          ,          6.05 ,100.8          ,-99.11                      ,-68.09                         ,-94.56              ,81.3                 ,-77.22         ,3.9                  ,-1.05                   ,-0.1782151028695842
