   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT  ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,                    8.79 ,           5.82 ,       19.01 ,12.06                      ,- -                    ,                  36.36 ,-1273.17                    ,        27.12 ,21.25                       ,-4.11                     ,            26.44 ,-4.07                       ,              26.39 , 32.11 ,21.43             ,36.36 ,36.36 ,9.4              ,25.34                ,11.45             ,0.04               ,           1200.67 ,                7.37 ,1.41                           ,-6.91                   ,-2.32                   ,- -         ,3.71            ,1.06                 ,2.8                            ,2.07                      ,10.49                        ,9.33            ,                   9.36 ,        6.8  ,               0.4  ,14.6    ,               26.6  ,                     6.93 ,-2.74   ,29.51                ,                        1.97 ,             5.08 ,- -                  ,- -          ,             9.51 ,-0.4         ,                           9.4  ,        9.4  ,                      6.8  ,-5.32              ,18.44    ,8.27               ,-67.21                       ,-5.49         ,-2.11                 ,               8.75 ,21.25      ,                       7.37 ,68.33          ,-2.4                     ,-99.79                   ,11.52                          ,18.81                 ,-966.27                     ,447.03                         ,       1147.22 ,- -            ,47.79                       ,-29.19                         ,-128.52             ,18.81                ,10.42          ,-0.59                ,-8.02                   ,0.07128023384285043
 1 ,2011 ,                    8.19 ,           8.12 ,        8.39 ,9.02                       ,- -                    ,                   7.63 ,4.99                        ,         7.8  ,10.96                       ,-4.46                     ,            16.15 ,-3.89                       ,              15.45 ,  7.39 ,-0.73             , 7.63 , 7.63 ,0.19             ,-0.51                ,2.57              ,-4.93              ,             51.76 ,                5.64 ,7.24                           ,3.35                    ,22.81                   ,- -         ,8.61            ,10.64                ,14.32                          ,-0.48                     ,9.92                         ,3.94            ,                   6.42 ,        7.65 ,               6.01 ,-60.4   ,               14.08 ,                     0.94 ,-3.33   ,99.56                ,                       15.79 ,             6.33 ,-9.09                ,-9.09        ,             8.84 ,82.94        ,                           9.55 ,        9.55 ,                      7.65 ,-4.33              ,-49.57   ,-53.96             ,714.49                       ,9.61          ,34.32                 ,              13.79 ,10.96      ,                       5.64 ,-31.53         ,23.01                    ,30800                    ,11.08                          ,21.53                 ,-21.42                      ,-21.86                         ,         44.99 ,33.21          ,16.39                       ,54.56                          ,-145.2              ,21.53                ,9.38           ,21.18                ,0.11                    ,0.42192195370240415
 2 ,2012 ,                    8.6  ,           7.86 ,       10.83 ,- -                        ,- -                    ,                   9.33 ,25.15                       ,         8.33 ,7.47                        ,-4.02                     ,            11.97 ,-3.77                       ,              11.68 , 10.17 ,1.45              , 9.33 , 9.33 ,2.06             ,0.68                 ,-1.04             ,-19.17             ,             31.23 ,               16.46 ,-4.74                          ,-10.85                  ,23.06                   ,- -         ,5.85            ,3.45                 ,56.62                          ,31.24                     ,9.56                         ,32.31           ,                  25.86 ,       19.14 ,               8.02 ,176.27  ,                2.02 ,                    13.35 ,31.77   ,28.09                ,                       30.59 ,            20.18 ,660                  ,- -          ,            10.22 ,-4.99        ,                          10.2  ,       17.7  ,                     19.14 ,-1.92              ,277.91   ,221.08             ,-260.53                      ,-8.74         ,26.79                 ,              34.34 ,7.47       ,                      16.46 ,26.72          ,4.99                     ,-157.61                  ,2.68                           ,0.28                  ,-23.36                      ,107.31                         ,         25.96 ,148.57         ,-23.23                      ,-118.92                        ,-434.31             ,0.28                 ,3.12           ,-1.26                ,-4.45                   ,-0.04803090531618359
 3 ,2013 ,                   10.73 ,          11.84 ,        7.43 ,- -                        ,- -                    ,                   3.99 ,12.03                       ,         3.4  ,2.66                        ,-2.04                     ,             3.92 ,-2.2                        ,               4.08 ,  4.12 ,-5.97             , 3.99 , 3.99 ,-2.98            ,-6.09                ,-8.07             ,-5.59              ,             31.47 ,                5.04 ,-19.45                         ,-13.44                  ,25.94                   ,- -         ,2.49            ,-3.19                ,1.8                            ,2.8                       ,10.69                        ,-0.78           ,                   2.79 ,        1.23 ,               5.81 ,-27.42  ,                7.23 ,                     2.82 ,6.05    ,-10                  ,                        1.01 ,             2.04 ,-86.84               ,- -          ,             7.77 ,-307.31      ,                           3.11 ,        0.08 ,                      1.23 ,-3.04              ,14.81    ,14.72              ,-23.02                       ,-5.85         ,-5.47                 ,              17.29 ,2.66       ,                       5.04 ,-50            ,-21.38                   ,71.91                    ,-2.29                          ,22.15                 ,24.02                       ,-64.28                         ,         28.78 ,-59.75         ,28.22                       ,-1150.11                       ,2.05                ,22.15                ,-6.59          ,35.57                ,-4.01                   ,0.11441921092598095
 4 ,2014 ,                    6.52 ,           5.3  ,       10.27 ,- -                        ,- -                    ,                   6.77 ,-12.71                      ,         8.31 ,-0.95                       ,-3.38                     ,             3.39 ,-3.62                       ,               3.64 ,  6.86 ,0.32              , 6.77 , 6.77 ,3.53             ,0.23                 ,-6.22             ,-2.25              ,             33.49 ,                7.49 ,0.25                           ,3.01                    ,38.3                    ,- -         ,11              ,15.58                ,10.17                          ,10.28                     ,-3.97                        ,4.47            ,                   2.15 ,        5.5  ,              11.84 ,-28.95  ,               15.38 ,                     9.83 ,7.49    ,2.14                 ,                        6    ,             8.2  ,- -                  ,- -          ,             2.39 ,53.3         ,                           0.95 ,        1.55 ,                      5.5  ,-3.44              ,3.41     ,1.83               ,21.53                        ,5.23          ,1.35                  ,               8.97 ,-0.95      ,                       7.49 ,-120.48        ,9.97                     ,-428.43                  ,15.16                          ,16.68                 ,-149.6                      ,-17.97                         ,         28.98 ,-10.65         ,37.87                       ,7.02                           ,-121.46             ,16.68                ,14.81          ,14.83                ,15.29                   ,0.25065428175100557
 5 ,2015 ,                   20.41 ,          23.21 ,       12.15 ,- -                        ,- -                    ,                   7.27 ,27.83                       ,         5.95 ,4.43                        ,-1.95                     ,             5.52 ,-1.93                       ,               5.49 ,  8.19 ,-10.15            , 7.27 , 7.27 ,-6.86            ,-10.91               ,-14.08            ,2.35               ,             33.75 ,               14.55 ,39.79                          ,45.74                   ,36.66                   ,- -         ,18.25           ,34.31                ,10.03                          ,8.98                      ,-0.19                        ,41.39           ,                  26.72 ,       28.79 ,              23.66 ,374.2   ,               25.24 ,                    40.08 ,58.25   ,27.99                ,                       50.09 ,            44.26 ,290                  ,- -          ,             9.72 ,139.51       ,                           4.24 ,        4.78 ,                     28.79 ,-0.1               ,112.31   ,102.62             ,435.33                       ,-4.12         ,-8.34                 ,              17.65 ,4.43       ,                      14.55 ,-292.16        ,11.54                    ,107.06                   ,20.98                          ,2.03                  ,-166.46                     ,625.93                         ,         31.13 ,683.58         ,-77.5                       ,-331.23                        ,1500                ,2.03                 ,25.41          ,-4.35                ,16.94                   ,0.18997899314482058
 6 ,2016 ,                   17.65 ,          17.8  ,       17.18 ,- -                        ,- -                    ,                  17.32 ,35.06                       ,        15.95 ,20.54                       ,-0.1                      ,            20.84 ,0.1                         ,              20.59 , 17.86 ,0.18              ,17.32 ,17.32 ,-0.4             ,-0.28                ,2.6               ,2.31               ,             26.73 ,               21.38 ,2.82                           ,-4.51                   ,17.46                   ,- -         ,-8.35           ,7.08                 ,21.39                          ,20.11                     ,27.01                        ,5.72            ,                  11.7  ,       10.39 ,              13.02 ,8.43    ,               23.81 ,                    14.81 ,1.76    ,0.37                 ,                        1.44 ,             9.01 ,-74.36               ,- -          ,            10.29 ,-19.59       ,                          13.14 ,       13.33 ,                     10.39 ,-0.1               ,7.12     ,-5.48              ,-19.7                        ,-6.73         ,-3.32                 ,              15    ,20.54      ,                      21.38 ,393.88         ,19.46                    ,-91.21                   ,0.56                           ,9.58                  ,1016.2                      ,-49.14                         ,         26.6  ,-74.64         ,6.64                        ,-108.26                        ,-115.93             ,9.58                 ,-1.15          ,33.74                ,-16.69                  ,0.2887321840557038
 7 ,2017 ,                    8.83 ,           8.97 ,        8.36 ,- -                        ,- -                    ,                  17.63 ,11.15                       ,        18.21 ,53.02                       ,1.26                      ,            48.59 ,1.76                        ,              47.87 , 16.48 ,7.03              ,17.63 ,17.63 ,-0.44            ,8.08                 ,38.26             ,-3.73              ,             21.12 ,                9.25 ,16.69                          ,14.87                   ,1.14                    ,- -         ,16.37           ,9.46                 ,18.84                          ,10.95                     ,18.74                        ,12.61           ,                  14.67 ,       13.23 ,              11.09 ,-60.28  ,               18.27 ,                     2.46 ,11.86   ,1.92                 ,                        9.6  ,             5.34 ,17030                ,- -          ,            19.01 ,-0.52        ,                          24.83 ,       29.44 ,                     13.23 ,1.79               ,-12.55   ,-32.44             ,-39.32                       ,6.83          ,0.72                  ,              13.04 ,53.02      ,                       9.25 ,-131.2         ,23.09                    ,271.04                   ,38.81                          ,18.65                 ,-27.13                      ,-8.08                          ,         22.64 ,33.34          ,-4.58                       ,240.36                         ,-372.5              ,18.65                ,43.05          ,3.98                 ,-7.75                   ,0.20415020545682983
 8 ,2018 ,                   12.47 ,          11.84 ,       14.54 ,- -                        ,- -                    ,                  14.04 ,18.04                       ,        13.7  ,14.4                        ,-0.1                      ,            13.64 ,-0.2                        ,              13.76 , 13.28 ,0.72              ,14.04 ,14.04 ,1.84             ,1.39                 ,0.94              ,-2.52              ,             19.85 ,                8.15 ,-7.53                          ,-9.31                   ,-28.06                  ,- -         ,125.19          ,4.34                 ,20.6                           ,17.67                     ,14.71                        ,8.92            ,                  11.33 ,        9.47 ,              10.73 ,-30.94  ,                0.58 ,                     5.44 ,19.93   ,6.02                 ,                       16.99 ,            10.29 ,-99.42               ,- -          ,            14.6  ,55.98        ,                           8.2  ,        8.08 ,                      9.47 ,-0.93              ,30.32    ,20.58              ,-1.41                        ,-1.05         ,-2.5                  ,              15.38 ,14.4       ,                       8.15 ,-503.31        ,6.87                     ,-56.7                    ,15.57                          ,1.98                  ,-5.09                       ,44.03                          ,         19.73 ,31.07          ,350.99                      ,26.85                          ,-166.65             ,1.98                 ,17.95          ,-2.87                ,1.8                     ,0.20761198291405114
 9 ,2019 ,                    7.03 ,           7.05 ,        6.97 ,- -                        ,- -                    ,                  13.5  ,21.71                       ,        12.78 ,15                          ,-1.25                     ,            16.92 ,-1.73                       ,              17.49 , 13.32 ,5.87              ,13.5  ,13.5  ,-0.06            ,6.04                 ,7.87              ,-1.2               ,             19.93 ,               12.03 ,-0.55                          ,1.1                     ,3.81                    ,- -         ,27.63           ,10.19                ,2.91                           ,8.73                      ,14.45                        ,17.61           ,                  15.61 ,       14.23 ,              11.2  ,96.15   ,               17.6  ,                    16.11 ,6.44    ,60.13                ,                       16.73 ,            16.39 ,60                   ,-10          ,             9.55 ,-13.99       ,                          11.45 ,       10.56 ,                     14.23 ,-1.25              ,15.59    ,4.55               ,-1.06                        ,-5.1          ,3.72                  ,               8.33 ,15         ,                      12.03 ,34.81          ,9.25                     ,132.31                   ,17.5                           ,0.39                  ,-38.91                      ,2.54                           ,         18.43 ,-17.17         ,21.87                       ,28.87                          ,-113.4              ,0.39                 ,20.09          ,0.71                 ,1.77                    ,-0.08875000912972619
