   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,19.95                    ,42.79           ,15.68        ,6.18                       ,- -                    ,26.59                   ,2.42                        ,49.06         ,47.09                       ,-0.95                     ,48.51             ,-0.57                       ,47.94               ,22.13  ,1.82              ,26.59  ,26.59  ,-3.56            ,5.53                 ,22.62             ,21.76              ,11.73              ,4.2                  ,-41.3                          ,-41.3                   ,77.78                   ,12.42       ,-8.85           ,-6.74                ,2.83                           ,3.38                      ,                        9.75 ,- -             ,2.99                    ,        2.14 ,8.79                ,12.74   ,14.17                ,10.07                     ,-6.57   ,2.33                 ,-1.44                        ,-0.23             ,0.34                 ,0.07         ,            14.15 ,12.23        ,5.73                            ,5.73         ,                      2.14 ,-2.67              ,1.98     ,-3.55              ,3.51                         ,-15.27        ,-160.88               ,-1.49               ,47.09      ,4.2                         ,5              ,- -                      ,19.8                     ,28.12                          ,2382                  ,5.44                        ,15.99                          ,10.66          ,6.05           ,- -                         ,419.87                         ,-227.12             ,2382                 ,-47.71         ,-29.15               ,-12.9                   ,0.3480918407312892
 1 ,2011 ,15.28                    ,112.36          ,-7.12        ,8.51                       ,- -                    ,-21.21                  ,-83.76                      ,18.75         ,18.42                       ,-2.51                     ,21.46             ,-2.6                        ,21.58               ,-16.12 ,-27.24            ,-21.21 ,-21.21 ,-19.43           ,-31.65               ,2.72              ,10.2               ,42.61              ,8.74                 ,12.06                          ,12.06                   ,18.33                   ,14.98       ,-21.18          ,8.6                  ,4.39                           ,4.89                      ,                        3.34 ,-2.26           ,4.32                    ,        4.66 ,14.73               ,-12.55  ,10.77                ,11.79                     ,-3.4    ,8.61                 ,3.78                         ,4.71              ,0.88                 ,0.07         ,            13.72 ,43.6         ,4.59                            ,4.59         ,                      4.66 ,-2.37              ,-5.73    ,-9.86              ,-1.19                        ,-2.86         ,193.29                ,4.61                ,18.42      ,8.74                        ,264.02         ,- -                      ,-178.63                  ,43.07                          ,-96.58                ,27.96                       ,25.36                          ,39.04          ,-45.64         ,13.53                       ,10.16                          ,-117.15             ,-96.58               ,256.62         ,23.78                ,20.82                   ,0.16691419394350326
 2 ,2012 ,7.0                      ,98.33           ,-41.17       ,- -                        ,- -                    ,17.84                   ,-7.17                       ,20.02         ,19.78                       ,-2.59                     ,22.97             ,-2.73                       ,23.13               ,15.86  ,8.28              ,17.84  ,17.84  ,-45.02           ,10.13                ,11.94             ,4.51               ,40.56              ,8.84                 ,-12.65                         ,-12.65                  ,-5                      ,7.49        ,13.13           ,-3.03                ,-33.1                          ,-22.86                    ,                        7.15 ,5886.54         ,5.25                    ,        4.56 ,-4.71               ,-6.22   ,-8.4                 ,-5.48                     ,1.2     ,5.75                 ,4.04                         ,2.86              ,1.51                 ,- -          ,            14.16 ,12.52        ,6.99                            ,6.99         ,                      4.56 ,-2.18              ,3.19     ,-3.56              ,2.39                         ,2.6           ,24.16                 ,2.38                ,19.78      ,8.84                        ,5.67           ,- -                      ,-197.46                  ,4.9                            ,4297.65               ,- -                         ,16.48                          ,36.92          ,43             ,3.95                        ,2.25                           ,-217.56             ,4297.65              ,-58.14         ,-31.76               ,-12.42                  ,0.07813917127699233
 3 ,2013 ,4.96                     ,2.05            ,10.12        ,- -                        ,- -                    ,10.39                   ,-6.79                       ,11.55         ,11.29                       ,-2.08                     ,13.65             ,-2.25                       ,13.84               ,8.44   ,3.32              ,10.39  ,10.39  ,4.92             ,5.18                 ,6.03              ,3.79               ,18.79              ,0.97                 ,34.71                          ,34.71                   ,6.24                    ,-1.06       ,-12.32          ,10.4                 ,3.63                           ,4.17                      ,                        4.92 ,7.51            ,5.06                    ,        5.47 ,5.91                ,259.69  ,4.14                 ,21.55                     ,0.81    ,3.17                 ,2.31                         ,4.51              ,1.78                 ,0.07         ,            13.55 ,-36.76       ,6.78                            ,6.78         ,                      5.47 ,-2.87              ,2.66     ,-3.86              ,1.14                         ,-9.17         ,-1.43                 ,1.13                ,11.29      ,0.97                        ,-31.64         ,- -                      ,-159.85                  ,10.75                          ,-6.47                 ,- -                         ,-6.28                          ,16.32          ,107.63         ,50.47                       ,13.68                          ,-339.61             ,-6.47                ,37.31          ,26.61                ,-0.49                   ,0.06673842399824004
 4 ,2014 ,9.22                     ,4.7             ,16.66        ,- -                        ,- -                    ,17.55                   ,3.02                        ,18.37         ,18.05                       ,-3.17                     ,21.92             ,-3.26                       ,22.03               ,15.55  ,5.79              ,17.55  ,17.55  ,6.81             ,7.63                 ,8.08              ,7.47               ,26.44              ,7.15                 ,10.75                          ,10.75                   ,13.93                   ,9.04        ,56.82           ,17.27                ,5.94                           ,5.77                      ,                        5.22 ,3.48            ,5.02                    ,        6    ,6.22                ,-34.47  ,10.54                ,-0.69                     ,24.19   ,5.69                 ,12.33                        ,10.6              ,26.78                ,100.07       ,             8.22 ,61.33        ,-0.17                           ,-0.17        ,                      6    ,-3.14              ,21.47    ,21.68              ,-6.22                        ,18.08         ,2.65                  ,1.63                ,18.05      ,7.15                        ,22.74          ,- -                      ,-291.93                  ,8.24                           ,24.31                 ,- -                         ,24.79                          ,22.43          ,79.35          ,45.4                        ,-2.2                           ,-58.27              ,24.31                ,-8.66          ,23.45                ,-8.31                   ,0.33061460399712295
 5 ,2015 ,-9.07                    ,-10.3           ,-7.24        ,- -                        ,- -                    ,-8.01                   ,-3.41                       ,-8.23         ,-7.88                       ,-3.44                     ,-4.59             ,-3.52                       ,-4.52               ,-5.56  ,3.85              ,-8.01  ,-8.01  ,2                ,1.16                 ,1.31              ,-9.56              ,48.75              ,5.67                 ,-12.3                          ,-12.3                   ,-15.83                  ,3.37        ,-15.97          ,-11.73               ,6.27                           ,5.61                      ,                        1.44 ,3.32            ,5.06                    ,        3.57 ,-22.57              ,28.57   ,-14.06               ,-14.85                    ,23.5    ,2.04                 ,10.55                        ,7.52              ,1.37                 ,0.04         ,            10.47 ,-1.24        ,-2.3                            ,-2.3         ,                      3.57 ,-3.87              ,29.47    ,32.52              ,-5.79                        ,3.66          ,17.48                 ,0.54                ,-7.88      ,5.67                        ,20.82          ,- -                      ,-42.72                   ,-0.56                          ,6.99                  ,- -                         ,5.34                           ,43.63          ,28.59          ,7.44                        ,2.72                           ,-226.62             ,6.99                 ,-11.35         ,-39.24               ,7.95                    ,-0.3210890750909682
 6 ,2016 ,-8.58                    ,-9.08           ,-7.88        ,- -                        ,- -                    ,-9.69                   ,27.78                       ,-11.62        ,-11.3                       ,-3.9                      ,-7.69             ,-3.91                       ,-7.68               ,-7.49  ,1.19              ,-9.69  ,-9.69  ,0.77             ,-1.21                ,-2.97             ,1.08               ,-16.58             ,1.29                 ,-3.88                          ,-8.2                    ,-7.23                   ,-2.58       ,-56.11          ,-12.93               ,1.77                           ,3.12                      ,                        3.33 ,5.89            ,3.27                    ,        2.05 ,12.12               ,27.61   ,3.64                 ,13.54                     ,4.72    ,4.75                 ,4.74                         ,5.57              ,0.07                 ,0.04         ,             7.79 ,6.44         ,-3.72                           ,-3.72        ,                      2.05 ,-4.09              ,7.18     ,11.32              ,-5.78                        ,-23.31        ,-10.58                ,-9.56               ,-11.3      ,1.29                        ,-30.94         ,- -                      ,-520.9                   ,2.46                           ,-24.62                ,-98.11                      ,-24.2                          ,-19.84         ,-40.41         ,-10.39                      ,38.62                          ,-41.54              ,-24.62               ,49.22          ,40.04                ,15.51                   ,0.2644376159922308
 7 ,2017 ,6.51                     ,4.79            ,8.95         ,- -                        ,- -                    ,10.85                   ,-15.22                      ,12.8          ,153.06                      ,-4.08                     ,163.84            ,-4.03                       ,163.7               ,9.19   ,2.52              ,10.85  ,10.85  ,2.29             ,4.07                 ,137.58            ,8.87               ,9.97               ,3.29                 ,2.09                           ,-0.16                   ,18.68                   ,4.46        ,51.76           ,12.29                ,2.13                           ,2.41                      ,                       24.16 ,3.26            ,3.16                    ,        3.75 ,6.75                ,5.54    ,17.72                ,8.21                      ,13.3    ,-28.11               ,-9.75                        ,-7.92             ,0.78                 ,0.04         ,            26.79 ,-10.3        ,24.7                            ,24.7         ,                      3.75 ,-4.12              ,14.12    ,-8.49              ,20.61                        ,3.77          ,-19.08                ,-2.16               ,153.06     ,3.29                        ,-1172.69       ,- -                      ,-117.05                  ,-3.92                          ,-7.62                 ,-50                         ,-9.05                          ,5.48           ,37.92          ,29.24                       ,-2.36                          ,-98.25              ,-7.62                ,-0.7           ,31.3                 ,-62.03                  ,0.128811027347691
 8 ,2018 ,7.5                      ,8.68            ,5.88         ,- -                        ,- -                    ,5.66                    ,80.89                       ,1.43          ,-44.31                      ,-5.95                     ,-40.78            ,-5.91                       ,-40.81              ,5.33   ,-2.01             ,5.66   ,5.66   ,-1.5             ,-1.71                ,-48.19            ,7.56               ,23.33              ,4.09                 ,-2.34                          ,-0.16                   ,17.55                   ,-0.93       ,-22.74          ,3.1                  ,0.48                           ,2.08                      ,                        5.69 ,4.89            ,2.26                    ,        2.32 ,4.74                ,83.25   ,-14.31               ,17.44                     ,29.61   ,2.38                 ,17.53                        ,17.52             ,-0.36                ,0.04         ,             9.6  ,24.01        ,-17.83                          ,-17.83       ,                      2.32 ,-7.15              ,34.78    ,64.03              ,-20.13                       ,-12.21        ,26.6                  ,-0.06               ,-44.31     ,4.09                        ,-112           ,- -                      ,-0.79                    ,20.14                          ,6.15                  ,- -                         ,10.53                          ,15.99          ,161.13         ,104.96                      ,25.95                          ,-2750               ,6.15                 ,31.49          ,-17.1                ,115.71                  ,0.11499419557622026
 9 ,2019 ,-4.92                    ,-9.02           ,0.79         ,- -                        ,- -                    ,0.43                    ,3.99                        ,0.08          ,-0.79                       ,-6.31                     ,5.9               ,-6.39                       ,5.98                ,0.58   ,5.79              ,0.43   ,0.43   ,6                ,5.63                 ,4.35              ,6.45               ,20.62              ,1.14                 ,-33.16                         ,-34.72                  ,-9.12                   ,1.21        ,-33.33          ,-16.91               ,8.74                           ,5.79                      ,                        7.22 ,1.2             ,5.87                    ,        4.27 ,-15.13              ,-14.26  ,56.52                ,-5.94                     ,21.45   ,4.61                 ,14.95                        ,12.45             ,1.04                 ,0.04         ,             7.33 ,-4.17        ,-11.24                          ,-11.24       ,                      4.27 ,-4.55              ,15.39    ,30                 ,-15.28                       ,-11.66        ,27.81                 ,-10.68              ,-0.79      ,1.14                        ,-1.68          ,- -                      ,34.92                    ,-0.89                          ,0.47                  ,-150                        ,0.7                            ,13.01          ,-44.19         ,-29.43                      ,8.12                           ,-990.57             ,0.47                 ,-1.77          ,22.65                ,-0.1                    ,0.048217796211952324
