   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA  ,EBITDA Margin (%) ,EBITA   ,EBIT    ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,9.38                     ,21.82           ,6.37         ,0.67                       ,- -                    ,54.54                   ,-19.31                      ,64.08         ,62.08                       ,-0.4                      ,62.73             ,-0.1                        ,62.24               ,38.18   ,26.33             ,54.54   ,54.54   ,-2.75            ,41.29                ,48.18             ,11.4               ,              4.24 ,2.58                 ,94.33                          ,118.55                  ,3.29                    ,- -         ,9.42            ,24.73                ,-3.29                          ,1.19                      ,- -                          ,0.26            ,-2.57                   ,5.38         ,-21.54              ,-58.38  ,46.35                ,-5.4                      ,21.03   ,-1.33                ,9.47                         ,5.64              ,-16.67               ,- -          ,11.13             ,20.83        ,4.57                            ,4.56         ,5.38                       ,-0.5               ,-6.3     ,-10.39             ,1.15                         ,31.86         ,-25.59                ,-1.81               ,62.08      ,2.58                        ,-161.5         ,20.7                     ,-710.19                  ,-27.44                         ,-13.3                 ,-89.8                       ,-47.6                          ,          3.83 ,-30.54         ,45.39                       ,-55.8                          ,84.98               ,-13.3                ,-33.59         ,65                   ,-55.23                  ,0.17484694460379324
 1 ,2011 ,7.19                     ,25.73           ,2.05         ,-11.44                     ,- -                    ,3.51                    ,-13.39                      ,4.58          ,9.06                        ,-1.31                     ,10.5              ,-1.2                        ,10.38               ,2.56    ,-4.32             ,3.51    ,3.51    ,-4.79            ,-3.43                ,1.75              ,7.89               ,             11.3  ,-0.56                ,4.75                           ,-9.97                   ,2.11                    ,- -         ,3.43            ,6.18                 ,1.35                           ,3.75                      ,- -                          ,-3.19           ,1.77                    ,3.29         ,82.44               ,-90.7   ,-45.33               ,10.37                     ,5.76    ,9.03                 ,7.28                         ,8                 ,- -                  ,- -          ,-28.49            ,-49.91       ,-11.83                          ,-11.67       ,3.29                       ,-2.83              ,8.27     ,22.57              ,-20.43                       ,-3.8          ,-52.91                ,-0.65               ,9.06       ,-0.56                       ,-260.69        ,0.96                     ,-133.99                  ,84.43                          ,44.35                 ,-863.33                     ,287.92                         ,          9.85 ,-87.29         ,296.49                      ,261.22                         ,-117.77             ,44.35                ,107.2          ,-42.44               ,69.11                   ,0.03842345644883771
 2 ,2012 ,1.92                     ,145.07          ,-46.9        ,- -                        ,- -                    ,-77.91                  ,21.38                       ,-83.14        ,-78.79                      ,-2.14                     ,-78.32            ,-2.22                       ,-78.3               ,-59.29  ,-60.05            ,-77.91  ,-77.91  ,-47.91           ,-78.33               ,-79.19            ,1.67               ,              8.99 ,4.26                 ,85.36                          ,141.5                   ,-2.16                   ,13.91       ,-17.98          ,26.92                ,1.55                           ,4.1                       ,1.32                         ,12.86           ,3.81                    ,11.99        ,0.89                ,5296.97 ,5.39                 ,28.8                      ,-0.05   ,46.74                ,22.11                        ,23.69             ,- -                  ,- -          ,-21.04            ,8.09         ,-33.86                          ,-33.41       ,11.99                      ,-1.04              ,-36.95   ,-5.32              ,-60.74                       ,-1.46         ,-289.29               ,0.25                ,-78.79     ,4.26                        ,249.88         ,4.39                     ,-41.07                   ,2.02                           ,7.38                  ,-374.24                     ,-47.38                         ,          6.66 ,525.45         ,-44.42                      ,-62.63                         ,-1346.63            ,7.38                 ,-0.1           ,-6.22                ,380.91                  ,-0.09549686457732398
 3 ,2013 ,2.42                     ,-13.73          ,27.85        ,- -                        ,- -                    ,423.75                  ,-2.44                       ,585.22        ,441.76                      ,-2.08                     ,453.29            ,-2.17                       ,453.76              ,178.07  ,171.49            ,423.75  ,423.75  ,24.83            ,411.37               ,428.95            ,3.46               ,              8.36 ,0.48                 ,-33.81                         ,-36.33                  ,6.4                     ,2.54        ,6.36            ,-14.14               ,0.37                           ,2.92                      ,44.63                        ,-12.84          ,-1.92                   ,-6.82        ,11.15               ,-97.3   ,-4.88                ,-15.01                    ,-2.39   ,-19.67               ,-12.23                       ,-12.91            ,-10                  ,-10          ,-13.41            ,-86.29       ,39.14                           ,37.08        ,-6.82                      ,-3.15              ,12.37    ,-18.03             ,95.4                         ,1.02          ,-20.97                ,-1                  ,441.76     ,0.48                        ,-75.13         ,-6.22                    ,-125.76                  ,1.22                           ,-4.09                 ,-98.57                      ,58.35                          ,          6.1  ,-94.27         ,153.56                      ,329.66                         ,-164.39             ,-4.09                ,3.48           ,41.02                ,-81.32                  ,0.16919369671606654
 4 ,2014 ,5.04                     ,12.21           ,-2.58        ,- -                        ,- -                    ,-29.37                  ,-8.06                       ,-30.52        ,-30.65                      ,-2.55                     ,-28.83            ,-2.53                       ,-28.85              ,-22.58  ,-26.3             ,-29.37  ,-29.37  ,-7.26            ,-32.76               ,-33.98            ,-4.62              ,              7.43 ,3                    ,-37.41                         ,-50.89                  ,2.45                    ,-14.64      ,22.88           ,-11.8                ,1.78                           ,3.75                      ,10.14                        ,10.7            ,3.67                    ,-2.05        ,4.73                ,1822.92 ,23.83                ,21.15                     ,-8.87   ,25.84                ,9.21                         ,12.07             ,- -                  ,- -          ,-17.31            ,681.3        ,-66.93                          ,-66.74       ,-2.05                      ,-1.95              ,39.36    ,318.99             ,-125.4                       ,-27.19        ,-3.51                 ,10.13               ,-30.65     ,3                           ,-56.05         ,4.48                     ,-947.06                  ,-21.6                          ,12.74                 ,-4755.56                    ,32.5                           ,          4.69 ,1425           ,-27.67                      ,-33.89                         ,-14.56              ,12.74                ,-35.14         ,21.5                 ,13.04                   ,-0.027216150185356502
 5 ,2015 ,0.22                     ,-3.17           ,4.38         ,- -                        ,- -                    ,54.35                   ,-1.51                       ,58.34         ,59.76                       ,-1.64                     ,62.42             ,-1.95                       ,62.94               ,41.52   ,41.2              ,54.35   ,54.35   ,4.15             ,54                   ,59.4              ,-1.81              ,              8.5  ,8.37                 ,43.95                          ,19.16                   ,7.1                     ,-10.47      ,-31.58          ,11.86                ,0.39                           ,3.2                       ,-3.27                        ,28.31           ,6.09                    ,8.01         ,-4.95               ,226.98  ,12.83                ,23.81                     ,14.72   ,-6.77                ,1.82                         ,7.53              ,- -                  ,- -          ,4.8               ,-1.5         ,15.37                           ,15.43        ,8.01                       ,-2.1               ,39.27    ,20.65              ,176.05                       ,-9.66         ,-0.86                 ,2.07                ,59.76      ,8.37                        ,56.52          ,7.09                     ,-188.19                  ,29.76                          ,2.19                  ,145.11                      ,89.54                          ,          6.72 ,148.07         ,1.32                        ,-69.68                         ,-124.87             ,2.19                 ,48.65          ,-30.62               ,-18.78                  ,-0.10198820656664753
 6 ,2016 ,4.36                     ,78.67           ,-80.0        ,- -                        ,- -                    ,-28.7                   ,1.53                        ,-30.05        ,-29.17                      ,-2                        ,-27.73            ,-2.1                        ,-27.65              ,-21.13  ,-24.43            ,-28.7   ,-28.7   ,-80.84           ,-31.68               ,-32.13            ,6.76               ,              6.81 ,6.72                 ,-3.36                          ,27.33                   ,7.86                    ,11.04       ,-24.62          ,1.36                 ,2.44                           ,4.19                      ,0.63                         ,23.24           ,7.61                    ,5.46         ,9.68                ,21.97   ,-1.65                ,10.84                     ,9.53    ,13.87                ,11.91                        ,11.59             ,- -                  ,- -          ,-18.7             ,26.64        ,-83.6                           ,-82.78       ,5.46                       ,-1.99              ,12.8     ,554.95             ,96.25                        ,-8.55         ,80.76                 ,-2.25               ,-29.17     ,6.72                        ,101.98         ,2.96                     ,179.13                   ,-12.88                         ,24.63                 ,-188.41                     ,-51.67                         ,          4.67 ,56.67          ,-0.82                       ,100.64                         ,37.95               ,24.63                ,-30.55         ,21.01                ,23                      ,0.1318184558754123
 7 ,2017 ,8.15                     ,5.24            ,37.72        ,- -                        ,- -                    ,37.72                   ,15.11                       ,39.17         ,43.11                       ,-1.36                     ,45.08             ,-1.35                       ,45.07               ,27.56   ,17.95             ,37.72   ,37.72   ,27.33            ,27.33                ,32.32             ,3.39               ,              6.29 ,2.61                 ,-10.9                          ,-4.49                   ,34.45                   ,18.13       ,-7.02           ,16.13                ,17.65                          ,11.57                     ,1.47                         ,-6.24           ,10.52                   ,12.38        ,17.73               ,8.96    ,-25.45               ,7.2                       ,63.61   ,-27.58               ,12.62                        ,11.01             ,- -                  ,- -          ,20.07             ,8.57         ,146.91                          ,140.09       ,12.38                      ,-1.08              ,66.64    ,-30.59             ,-16.68                       ,8.34          ,-6.06                 ,4.61                ,43.11      ,2.61                        ,-378.52        ,-1.18                    ,105.92                   ,-77.15                         ,76.29                 ,-60.79                      ,93.88                          ,          4.84 ,102.73         ,-35.64                      ,-204.68                        ,-127.25             ,76.29                ,-206.84        ,43.43                ,-84.03                  ,-0.1227952418553937
 8 ,2018 ,9.09                     ,11.13           ,-6.71        ,- -                        ,- -                    ,-6.71                   ,163.78                      ,-15.79        ,-2.42                       ,-0.57                     ,-1.86             ,-0.57                       ,-1.86               ,-5.91   ,-13.75            ,-6.71   ,-6.71   ,-14.48           ,-14.48               ,-10.56            ,2.97               ,              9.29 ,-3.29                ,23.74                          ,27.26                   ,-4.33                   ,4.21        ,-48.29          ,1.18                 ,20.16                          ,11.83                     ,-64.8                        ,-1.96           ,13.41                   ,9.22         ,27.43               ,-30.07  ,39.9                 ,10.85                     ,-1.71   ,10.07                ,2.53                         ,4.91              ,- -                  ,- -          ,36.67             ,2.61         ,202.1                           ,194.85       ,9.22                       ,-0.12              ,-12.18   ,-70.21             ,-46.31                       ,-8.73         ,-17.06                ,5.95                ,-2.42      ,-3.29                       ,-186.32        ,8.56                     ,-239.86                  ,759.43                         ,20.2                  ,-124.44                     ,27.24                          ,          8.66 ,-90            ,-50.77                      ,-273.17                        ,-429.67             ,20.2                 ,-271.5         ,-71.44               ,780.78                  ,-0.09238750152711361
 9 ,2019 ,3.11                     ,2.25            ,11.02        ,- -                        ,- -                    ,11.02                   ,113.53                      ,-6.1          ,-7.33                       ,-0.23                     ,-7.11             ,-0.11                       ,-7.22               ,10.04   ,6.73              ,11.02   ,11.02   ,7.67             ,7.67                 ,-10.12            ,0.19               ,              6.32 ,6.93                 ,14.02                          ,23.98                   ,0.36                    ,21.38       ,143.24          ,8.72                 ,14.7                           ,9.61                      ,-87.65                       ,44.14           ,20.37                   ,16.67        ,-0.27               ,41.11   ,8.81                 ,9.41                      ,9.47    ,38.37                ,20.63                        ,17.23             ,1666.67              ,- -          ,13.73             ,20.08        ,8.14                            ,8.1          ,16.67                      ,-0.12              ,7.88     ,-0.2               ,-20.28                       ,-0.63         ,-14.79                ,2.91                ,-7.33      ,6.93                        ,-53.61         ,44.32                    ,-93.34                   ,-32.04                         ,1.54                  ,-470.11                     ,-4.25                          ,          6.08 ,333.03         ,1.95                        ,-69.66                         ,23.51               ,1.54                 ,-64.86         ,51.33                ,-26.66                  ,-0.046417170368254324
10 ,2020 ,14.22                    ,15.87           ,0.21         ,- -                        ,- -                    ,0.21                    ,172.13                      ,-65.07        ,-67.86                      ,0.35                      ,-67.97            ,0.23                        ,-67.93              ,3.48    ,-9.4              ,0.21    ,0.21    ,-12.27           ,-12.27               ,-71.86            ,4.12               ,              5.27 ,14.32                ,10.02                          ,12.83                   ,8.21                    ,21.33       ,185.06          ,18.69                ,-81.99                         ,-40.85                    ,19.05                        ,257.79          ,3.53                    ,8.01         ,21.39               ,-19.58  ,18.41                ,10.4                      ,12.62   ,16.2                 ,14.2                         ,13.13             ,449.69               ,- -          ,-23.34            ,18.61        ,-77.32                          ,-77.06       ,8.01                       ,0.89               ,-5.42    ,312.34             ,65.38                        ,7.51          ,-3.49                 ,9.7                 ,-67.86     ,14.32                       ,208.46         ,-13.01                   ,694.85                   ,21.07                          ,-15.17                ,-67.08                      ,-12.84                         ,          5.64 ,-3.88          ,-107.76                     ,161.55                         ,-22.56              ,-15.17               ,123.42         ,36.33                ,276.69                  ,0.3238429439900927
11 ,2021 ,14.96                    ,9.98            ,63.94        ,69.38                      ,- -                    ,63.94                   ,-164.81                     ,740.68        ,803.29                      ,0.81                      ,796.06            ,0.8                         ,796.09              ,49.95   ,30.44             ,63.94   ,63.94   ,42.61            ,42.61                ,685.76            ,16.9               ,              1.05 ,9.45                 ,67.72                          ,73.52                   ,16.66                   ,15.65       ,-58.57          ,22.83                ,3.88                           ,4.84                      ,4                            ,5.63            ,5.4                     ,11.06        ,13.05               ,-14.83  ,-14.02               ,3.25                      ,-7.14   ,-26.81               ,-16                          ,-10.7             ,54.69                ,- -          ,131.79            ,-53.92       ,1823.48                         ,1794.95      ,11.06                      ,0.59               ,-37.79   ,-96.72             ,-248.84                      ,18.96         ,-8.66                 ,-1.66               ,803.29     ,9.45                        ,-103.27        ,10.3                     ,-161.42                  ,43.48                          ,-22.51                ,-49.06                      ,-27.73                         ,          1.87 ,- -            ,-508.2                      ,51.05                          ,562.52              ,-22.51               ,114.25         ,6.48                 ,-84.12                  ,0.031262746244022255
