   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,8.92                     ,- -             ,8.92         ,                     18.25 ,- -                    ,- -                     ,59.57                       ,59.57         ,45.95                       ,3.3                       ,71.42             ,3.34                        ,71.36               ,-1.81  ,-9.85             ,4.09  ,- -  ,- -              ,- -                  ,38.11             ,4.69               ,-64.85             ,-5.17                ,29.59                          ,133.44                  ,-3.69                   ,- -         ,- -             ,23.63                ,9.9                            ,6.35                      ,18.34                        ,2.04            ,5.45                    ,9.46         ,- -                 ,3.98    ,-1.55                ,6.64                      ,-3.2    ,11.25                ,                        9.23 ,9.02              ,-0.3                 ,- -          ,            11.98 ,-1.01        ,13.7                            ,13.73        ,9.46                       ,0.42               ,-14.01   ,-24.39             ,15.75                        ,15.93         ,- -                   ,4.04                ,50.43      ,-1.81                       ,-72.26         ,- -                      ,- -                      ,-31.04                         ,- -                   ,275.27                      ,2177.05                        ,-63.69         ,16.62          ,-95.6                       ,-357.66                        ,-1368.15            ,- -                  ,-31.04         ,80.42                ,-54.16                  ,0.080166540280048
 1 ,2011 ,5.26                     ,- -             ,5.26         ,                      8.73 ,- -                    ,- -                     ,57.83                       ,57.83         ,46.65                       ,0.1                       ,46.78             ,0.1                         ,46.78               ,-5.2   ,-9.94             ,16.16 ,- -  ,- -              ,- -                  ,39.54             ,1.99               ,97.89              ,-18.53               ,-0.15                          ,-3.62                   ,3.15                    ,- -         ,- -             ,-8.59                ,6.84                           ,-4                        ,33.67                        ,11.91           ,16.84                   ,10.51        ,- -                 ,-6.42   ,-20.08               ,-0.33                     ,1.32    ,12.24                ,                       10.89 ,9.98              ,-0.67                ,- -          ,            14    ,-18.31       ,15.11                           ,15.33        ,10.51                      ,-0.58              ,-2.31    ,-15.3              ,14.84                        ,-8.29         ,- -                   ,3.21                ,46.88      ,-5.2                        ,230.05         ,- -                      ,- -                      ,87.37                          ,- -                   ,118.69                      ,99.76                          ,98.09          ,-48.74         ,-380.67                     ,15.18                          ,-106.34             ,- -                  ,87.37          ,-45.84               ,27.57                   ,0.02280677699107514
 2 ,2012 ,6.25                     ,- -             ,6.25         ,                      7.57 ,- -                    ,- -                     ,16.55                       ,16.55         ,14.66                       ,-1.41                     ,15.67             ,-1.4                        ,15.67               ,-0.71  ,-6.55             ,7.89  ,- -  ,- -              ,- -                  ,9.08              ,3.03               ,68.26              ,-8.36                ,-26.57                         ,-40.9                   ,-1.2                    ,- -         ,-70.11          ,-18.33               ,0.49                           ,2.89                      ,5.24                         ,11.63           ,9.85                    ,4.04         ,- -                 ,-13.67  ,-45.92               ,-2.15                     ,-20.15  ,6.12                 ,                        3.15 ,2.76              ,-0.45                ,- -          ,            12.78 ,-23.08       ,14.77                           ,15.14        ,4.04                       ,-2.11              ,-10.1    ,-21.92             ,9.71                         ,-16.54        ,- -                   ,3.13                ,15.91      ,-0.71                       ,-60.07         ,- -                      ,- -                      ,-18.96                         ,- -                   ,-81.43                      ,-38.07                         ,65.88          ,37.52          ,337.43                      ,-70.55                         ,987.62              ,- -                  ,-18.96         ,40.27                ,-30.08                  ,0.07566046268200588
 3 ,2013 ,-3.42                    ,- -             ,-3.42        ,                      3.8  ,- -                    ,- -                     ,0.49                        ,0.49          ,4.41                        ,-2.54                     ,5.97              ,-2.48                       ,5.9                 ,-7.31  ,-4.03             ,3.48  ,- -  ,- -              ,- -                  ,7.01              ,-5.01              ,21.07              ,-18.61               ,2.11                           ,2.73                    ,2.75                    ,- -         ,-45.84          ,3.94                 ,-2.4                           ,1.04                      ,7.15                         ,1.21            ,2.67                    ,2.87         ,- -                 ,4.97    ,-38.89               ,13.63                     ,-21.43  ,4.17                 ,                        1.93 ,2.75              ,0.18                 ,- -          ,            11.37 ,16.03        ,5.42                            ,3.82         ,2.87                       ,-2.39              ,-10.07   ,-13.38             ,0.11                         ,-8.52         ,- -                   ,1.67                ,3.35       ,-7.31                       ,190.86         ,- -                      ,- -                      ,43.83                          ,- -                   ,116.84                      ,3.81                           ,17.99          ,-58.9          ,20.33                       ,48.87                          ,-103.94             ,- -                  ,43.83          ,-13.1                ,39.17                   ,-0.0001612471820022776
 4 ,2014 ,2.9                      ,- -             ,2.9          ,                      1.33 ,- -                    ,- -                     ,2.98                        ,2.98          ,3.07                        ,-1.96                     ,2.4               ,-1.95                       ,2.39                ,-3.65  ,-6.36             ,1.68  ,- -  ,- -              ,- -                  ,-2.56             ,1.07               ,9.74               ,-10.76               ,35.03                          ,25.68                   ,0.46                    ,- -         ,-70.16          ,30.48                ,0.46                           ,3.43                      ,26.53                        ,-0.37           ,6.69                    ,10.58        ,- -                 ,8.28    ,-30.82               ,12.43                     ,60.91   ,7.52                 ,                       11.12 ,11.22             ,1.18                 ,- -          ,             9.99 ,-16.34       ,5.75                            ,5.65         ,10.58                      ,-2.13              ,31.44    ,24.42              ,-0.5                         ,16.06         ,- -                   ,1.81                ,0.26       ,-3.65                       ,-120.04        ,- -                      ,- -                      ,-53.42                         ,- -                   ,202.01                      ,41.8                           ,7.6            ,703.23         ,-0.63                       ,171.93                         ,867.56              ,- -                  ,-53.42         ,138.1                ,-53.54                  ,0.023783610863981508
 5 ,2015 ,0.77                     ,- -             ,0.15         ,                      6.63 ,- -                    ,- -                     ,0.44                        ,0.44          ,0.42                        ,-2.16                     ,2.65              ,-2.26                       ,2.75                ,-3.99  ,-4.73             ,1.66  ,- -  ,- -              ,- -                  ,-0.29             ,2.8                ,4.81               ,-12.56               ,9.62                           ,4.63                    ,-6.52                   ,- -         ,208.48          ,6.44                 ,-4.01                          ,-0.07                     ,4.5                          ,4.47            ,4.41                    ,4.8          ,- -                 ,-6.74   ,-5.18                ,-6.85                     ,-0.56   ,6.3                  ,                        5.63 ,4.65              ,0.76                 ,- -          ,             9.05 ,13.73        ,6.1                             ,6            ,4.8                        ,-2.28              ,-5.23    ,-10.59             ,1.5                          ,14.26         ,- -                   ,-1.97               ,0.48       ,-3.99                       ,-337.45        ,- -                      ,- -                      ,64.7                           ,- -                   ,-74.81                      ,-29.06                         ,2.54           ,-69.09         ,8.47                        ,-51.75                         ,-77.35              ,- -                  ,64.7           ,-44.44               ,63.92                   ,-0.020885554588366828
 6 ,2016 ,5.04                     ,- -             ,4.94         ,                      6.72 ,- -                    ,- -                     ,0.93                        ,0.93          ,0.19                        ,-2.61                     ,2.22              ,-2.71                       ,2.33                ,-2.29  ,-6.97             ,-5.21 ,- -  ,- -              ,- -                  ,-4.65             ,-3.46              ,5.63               ,2.87                 ,12.09                          ,40.89                   ,11.94                   ,- -         ,-25.83          ,12.54                ,-2.79                          ,1.9                       ,3.49                         ,4.38            ,4.05                    ,5.72         ,- -                 ,-49.91  ,-28.23               ,-51.35                    ,3.88    ,11.1                 ,                       10.44 ,6.13              ,0.76                 ,- -          ,             8.14 ,50.64        ,2.53                            ,2.38         ,5.72                       ,-2.76              ,-35.3    ,-36.8              ,-1.68                        ,131.35        ,- -                   ,8.8                 ,0.15       ,-2.29                       ,-142.2         ,- -                      ,- -                      ,-39.24                         ,- -                   ,-9.13                       ,-15.09                         ,2.87           ,111.47         ,16.15                       ,33.58                          ,824.54              ,- -                  ,-39.24         ,92.72                ,-39.33                  ,0.13878797059441017
 7 ,2017 ,3.54                     ,- -             ,3.54         ,                     10.46 ,- -                    ,- -                     ,-7.25                       ,-7.25         ,5.2                         ,-2.39                     ,8.04              ,-2.38                       ,8.03                ,-0.43  ,-3.83             ,0.69  ,- -  ,- -              ,- -                  ,1.99              ,1.81               ,9.1                ,-2.23                ,6.89                           ,24.2                    ,15.43                   ,- -         ,-8.74           ,8.1                  ,-0.45                          ,3.07                      ,2.95                         ,2.21            ,2.42                    ,3.6          ,- -                 ,19.25   ,-15.46               ,22.66                     ,-3.19   ,3.56                 ,                        2.97 ,3.6               ,0.28                 ,- -          ,             7.96 ,-8.53        ,3.68                            ,3.62         ,3.6                        ,-2.44              ,-6.89    ,-10.14             ,2.25                         ,-11.87        ,- -                   ,1.7                 ,5.6        ,-0.43                       ,-79.06         ,- -                      ,- -                      ,21.29                          ,- -                   ,-32.03                      ,-32.48                         ,6.5            ,-11.96         ,12.31                       ,-44.97                         ,-16.63              ,- -                  ,21.29          ,-15.42               ,14.85                   ,-0.128077986484737
 8 ,2018 ,3.06                     ,- -             ,3.8          ,                      4.66 ,- -                    ,- -                     ,15.44                       ,15.44         ,13.93                       ,-2.56                     ,18.27             ,-2.67                       ,18.4                ,-0.21  ,-3.18             ,4.44  ,- -  ,- -              ,- -                  ,10.73             ,1.75               ,9.78               ,-8                   ,-0.08                          ,9.99                    ,4.05                    ,- -         ,198.55          ,-0.89                ,1.03                           ,2.63                      ,-0.3                         ,2.65            ,1.72                    ,1.15         ,- -                 ,-15.09  ,188.15               ,-28.83                    ,28.15   ,-0.34                ,                        1.98 ,0.81              ,0.06                 ,- -          ,             9.09 ,65.38        ,4.06                            ,4.01         ,1.15                       ,-2.86              ,15.72    ,11.26              ,3                            ,39.27         ,- -                   ,1.29                ,14.12      ,-0.21                       ,-1502.34       ,- -                      ,- -                      ,63.23                          ,- -                   ,-85.99                      ,-25.97                         ,6.96           ,28.03          ,10.68                       ,-96.18                         ,-48.74              ,- -                  ,63.23          ,-50.05               ,43.03                   ,-0.06123407147291382
 9 ,2019 ,1.61                     ,- -             ,1.61         ,                      2.75 ,- -                    ,- -                     ,-0.97                       ,-0.97         ,-2.5                        ,-3.24                     ,0.29              ,-3.36                       ,0.41                ,7.49   ,5.79              ,9.15  ,- -  ,- -              ,- -                  ,-4.11             ,6.98               ,19.91              ,4.35                 ,65.61                          ,4.44                    ,0.31                    ,- -         ,-86.92          ,59.49                ,50.67                          ,19.44                     ,9.31                         ,-16.96          ,-8.49                   ,6            ,- -                 ,67.78   ,-34.44               ,95.78                     ,-2.84   ,4.89                 ,                        4.1  ,6.55              ,0.07                 ,- -          ,             6.98 ,-40.87       ,1.61                            ,1.6          ,6                          ,-4.61              ,21.92    ,20                 ,-3.76                        ,-18.54        ,- -                   ,-5.02               ,-2.56      ,7.49                        ,-184.21        ,- -                      ,- -                      ,-53.72                         ,- -                   ,1870.91                     ,140.17                         ,16.02          ,-18.04         ,62.17                       ,4781.72                        ,-51.13              ,- -                  ,-53.72         ,172.2                ,-52.5                   ,0.047441174142689
