   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT    ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,20.68                    ,14.08           ,170.53       ,-58.32                     ,- -                    ,991.86                  ,-38.81                      ,-433.63       ,-362.22                     ,4.07                      ,-115.71           ,4.99                        ,-115.57             ,97.23  ,63.44             ,1031.4 ,991.86  ,124.18           ,804.79               ,-113.55           ,24.28              ,-66.19             ,-7.99                ,304.12                         ,304.12                  ,5.69                    ,1.73        ,-45.82          ,23.76                ,-1.49                          ,1.1                       ,- -                          ,-15.35          ,-2.44                   ,5.59         ,8.61                ,246.84  ,-44.97               ,12.64                     ,4.91    ,5.96                 ,5.39                         ,8.09              ,-2.43                ,- -          ,1.59              ,6.3          ,2.04                            ,2.04         ,5.59                       ,0.65               ,327.21   ,318.68             ,-3.36                        ,9.87          ,-20.45                ,-2.9                ,-116.35    ,-3.54                       ,-43.58         ,-18.18                   ,-89.02                   ,67.03                          ,1138.1                ,1122.22                     ,-57.32                         ,-64.81         ,39.36          ,-99.13                      ,-36.7                          ,-1464.44            ,1138.1               ,54.55          ,-19.76               ,-1121.78                ,0.2673860249037183
 1 ,2011 ,53.21                    ,63.5            ,-45.32       ,7.53                       ,- -                    ,95.95                   ,-5.79                       ,121.76        ,127.09                      ,- -                       ,545.06            ,0.18                        ,543.93              ,55.6   ,1.56              ,89.11  ,95.95   ,-64.31           ,27.9                 ,321.04            ,41.83              ,48.25              ,9.18                 ,-69.29                         ,-69.29                  ,81.04                   ,13.66       ,30.87           ,18.15                ,11.06                          ,11.52                     ,- -                          ,13.95           ,11.24                   ,13.72        ,48.6                ,22.75   ,-3.11                ,44.67                     ,-10.42  ,9.54                 ,-1.32                        ,16.56             ,-2.83                ,- -          ,14.35             ,-75.26       ,9.3                             ,9.45         ,13.72                      ,-2.04              ,-367.4   ,-344.31            ,-3.71                        ,-18.33        ,-10.58                ,8.02                ,544.75     ,4.14                        ,-57.14         ,7.41                     ,-1388.89                 ,32.61                          ,805.77                ,- -                         ,277.08                         ,48.25          ,- -            ,-5085.71                    ,-230.64                        ,-194.71             ,805.77               ,-39.57         ,-53.7                ,-79.44                  ,-0.07838585919471452
 2 ,2012 ,10.53                    ,9.69            ,34.6         ,22.24                      ,- -                    ,36.52                   ,268.16                      ,11.56         ,-0.76                       ,-2.31                     ,2.02              ,-2.28                       ,2                   ,26.54  ,14.49             ,36.52  ,36.52   ,21.78            ,23.52                ,-9.83             ,11.91              ,118.05             ,2.61                 ,68.26                          ,68.26                   ,-6.53                   ,6.22        ,5.16            ,3.06                 ,4.46                           ,5.83                      ,- -                          ,5.08            ,4.5                     ,3.96         ,-4.92               ,-41.92  ,83.13                ,-6.13                     ,-4      ,15.83                ,6.04                         ,0.17              ,-2.19                ,- -          ,11.25             ,12.5         ,9.8                             ,10.03        ,3.96                       ,-0.85              ,-20.71   ,-27.94             ,6.01                         ,9.79          ,7.01                  ,-1.24               ,-0.43      ,2.61                        ,261.21         ,- -                      ,160.34                   ,30.51                          ,24.46                 ,- -                         ,-36.75                         ,113.02         ,-49.44         ,-19.48                      ,15.67                          ,-129.49             ,24.46                ,38.98          ,21.33                ,30.95                   ,0.5280379542649305
 3 ,2013 ,-0.84                    ,-0.13           ,-17.49       ,8.6                        ,- -                    ,-21.12                  ,-101.44                     ,7.45          ,31.15                       ,-1.45                     ,32.51             ,-1.44                       ,32.49               ,-13.87 ,-13.13            ,-21.12 ,-21.12  ,-16.79           ,-20.45               ,31.69             ,114.73             ,30.23              ,9.28                 ,149.1                          ,149.1                   ,5.84                    ,-3.6        ,-5.61           ,17.11                ,-2.25                          ,-0.58                     ,- -                          ,32.56           ,-0.12                   ,6.26         ,14.81               ,-48.29  ,-29.61               ,10.01                     ,-3.13   ,-0.75                ,-1.81                        ,3.53              ,-1.84                ,- -          ,11.38             ,224.07       ,7.92                            ,10.23        ,6.26                       ,-2.99              ,-57.34   ,-61.3              ,4                            ,6.46          ,-3.72                 ,-53.82              ,31.15      ,9.28                        ,-89.89         ,10.34                    ,-405.3                   ,5.58                           ,-27.64                ,- -                         ,-16.08                         ,28.33          ,-23.21         ,98.93                       ,-86.78                         ,277.41              ,-27.64               ,47.2           ,70.62                ,-19.15                  ,0.3532878279585612
 4 ,2014 ,-5.24                    ,-6.85           ,40.35        ,-4.49                      ,- -                    ,48.93                   ,-1942.11                    ,39.43         ,38.38                       ,-2.95                     ,37.52             ,-3.28                       ,37.99               ,33.59  ,40.97             ,48.93  ,48.93   ,48.11            ,57.16                ,40.83             ,-5.78              ,26.24              ,-1.74                ,-14.05                         ,-14.05                  ,-32.27                  ,15.02       ,-19.31          ,-13.81               ,4                              ,5.89                      ,- -                          ,-6.72           ,3.41                    ,-3.62        ,-28.76              ,100     ,46.42                ,-23.95                    ,-7.68   ,7.77                 ,0.95                         ,-11.01            ,-0.99                ,- -          ,16.22             ,-204.86      ,6.25                            ,6.51         ,-3.62                      ,-3.97              ,18.71    ,11.45              ,10.58                        ,13.33         ,15.97                 ,0.58                ,36.03      ,-1.74                       ,235.05         ,-6.25                    ,-296.31                  ,-23.78                         ,1.51                  ,- -                         ,1.14                           ,22.51          ,-97.4          ,131.84                      ,1084.05                        ,-120.59             ,1.51                 ,-39.36         ,17.91                ,-42.89                  ,-0.11141707798831946
 5 ,2015 ,-32.89                   ,-35.0           ,6.67         ,-1.93                      ,- -                    ,7.73                    ,10.57                       ,7.55          ,8.64                        ,-5.51                     ,16.33             ,-5.66                       ,16.51               ,8.01   ,60.95             ,7.73   ,7.73    ,58.96            ,60.53                ,63.8              ,-33.15             ,58.57              ,8.99                 ,11.52                          ,11.52                   ,-21.65                  ,-10.95      ,-65.95          ,-10.89               ,-0.12                          ,2.71                      ,157.69                       ,16.2            ,1.5                     ,-2.65        ,-23.84              ,-79.04  ,-39.36               ,-27.93                    ,25.43   ,-1.95                ,9.1                          ,-5.42             ,-0.73                ,- -          ,14.25             ,154.22       ,-0.73                           ,0.52         ,-2.65                      ,-8.02              ,20.99    ,20.36              ,3.26                         ,23.64         ,59.53                 ,0.38                ,10.51      ,8.99                        ,49.85          ,- -                      ,-27.85                   ,32.3                           ,-24.85                ,- -                         ,-12.55                         ,49.82          ,5064.29        ,104.4                       ,31.87                          ,-208.63             ,-24.85               ,91.24          ,19.79                ,20.37                   ,0.4755185526320336
 6 ,2016 ,-13.83                   ,-11.67          ,-38.55       ,0.7                        ,- -                    ,-42.94                  ,15.25                       ,-46.71        ,-41.06                      ,-7.24                     ,-38.15            ,-7.2                        ,-38.18              ,-32.66 ,-21.85            ,-42.94 ,-42.94  ,-28.69           ,-33.78               ,-33.42            ,-12.91             ,41.25              ,2.82                 ,17.06                          ,17.06                   ,27.27                   ,-3.2        ,184.68          ,13.48                ,-0.87                          ,2.24                      ,- -                          ,9.44            ,0.01                    ,4.13         ,17.06               ,-9.45   ,-3.51                ,15.78                     ,8.77    ,8.66                 ,8.71                         ,10.14             ,0.34                 ,- -          ,4.68              ,51.13        ,-2.45                           ,-2.34        ,4.13                       ,-4.88              ,-2.39    ,-0.05              ,-6.22                        ,-1.99         ,12.67                 ,-1.06               ,-41.06     ,2.82                        ,-147.95        ,- -                      ,-174.73                  ,-14.1                          ,-21.01                ,- -                         ,-19.34                         ,31.01          ,48.89          ,-49.57                      ,-20.94                         ,38.51               ,-21.01               ,-11.29         ,6.01                 ,49.74                   ,-0.08875314124399214
 7 ,2017 ,24.22                    ,25.48           ,3.5          ,16.78                      ,- -                    ,-0.8                    ,-12.11                      ,0.79          ,71.95                       ,-4.12                     ,85.22             ,-4.31                       ,85.59               ,1.14   ,-18.58            ,52.51  ,-0.8    ,-16.68           ,-20.14               ,42.97             ,23.98              ,16.6               ,-97.25               ,21.47                          ,21.47                   ,16.16                   ,11.82       ,-50.63          ,14.95                ,3.81                           ,6.03                      ,163.68                       ,5.04            ,5.01                    ,8.63         ,35.22               ,6.09    ,-21.82               ,32.94                     ,10.96   ,-18.32               ,-4.73                        ,7.66              ,-0.69                ,- -          ,10.75             ,-33.33       ,9.82                            ,9.81         ,8.63                       ,-3.57              ,-5.12    ,-13.59             ,1.14                         ,-13.53        ,-21.71                ,0.19                ,71.95      ,4.86                        ,317.34         ,- -                      ,32.07                    ,13.73                          ,7.9                   ,- -                         ,18.74                          ,11.79          ,-82.35         ,- -                         ,12.92                          ,3.24                ,7.9                  ,15.84          ,14.98                ,-35.96                  ,0.20567173332134403
 8 ,2018 ,24.53                    ,24.59           ,23.29        ,10.78                      ,- -                    ,27.04                   ,-13.27                      ,31.96         ,-19.32                      ,-3.62                     ,-20.31            ,-3.6                        ,-20.33              ,18.91  ,-4.51             ,19.09  ,27.04   ,-0.99            ,2.01                 ,-38.33            ,21.54              ,14.37              ,- -                  ,-49.03                         ,-49.03                  ,6.11                    ,2.32        ,423.08          ,-8.48                ,4.98                           ,6.16                      ,2.26                         ,8.96            ,5.3                     ,-0.01        ,-3.3                ,95.08   ,-50.7                ,-3.13                     ,1.38    ,5.27                 ,3.17                         ,0.61              ,0.13                 ,- -          ,6.32              ,60.32        ,-1.47                           ,-0.74        ,-0.01                      ,-3.76              ,102.75   ,104.25             ,-1.77                        ,-5.52         ,-21.97                ,2.46                ,-19.32     ,4.18                        ,-112.62        ,- -                      ,-200.62                  ,-20.27                         ,-76.79                ,- -                         ,64.9                           ,10.23          ,259.74         ,27.84                       ,39.44                          ,-429.11             ,-76.79               ,-1.27          ,12.27                ,3.82                    ,-0.09493462466585123
 9 ,2019 ,-7.44                    ,-7.08           ,-14.74       ,-6.16                      ,- -                    ,-16.1                   ,2.94                        ,-17.63        ,-16.97                      ,-3.05                     ,-19.98            ,-3.27                       ,-19.8               ,-8.28  ,-0.91             ,-8.36  ,-16.1   ,-7.89            ,-9.35                ,-16.18            ,-7.09              ,12.42              ,1.92                 ,-13.38                         ,-13.38                  ,21.23                   ,7.36        ,-42.52          ,7.32                 ,6.05                           ,7.42                      ,73.8                         ,8.74            ,7.44                    ,7.4          ,17.39               ,246.64  ,41.51                ,22.72                     ,14.27   ,2.58                 ,8.79                         ,14.24             ,-3.22                ,- -          ,3                 ,-10.35       ,-2.76                           ,-4.08        ,5.93                       ,-1.99              ,15.7     ,20.63              ,-10.79                       ,-12.54        ,9.26                  ,-0.38               ,-16.97     ,8.99                        ,-1831.3        ,- -                      ,-64.15                   ,-92.79                         ,-99.06                ,- -                         ,-23.6                          ,8.98           ,55.89          ,1.11                        ,-5.4                           ,108.55              ,-99.06               ,-92.3          ,1696.92              ,-90.71                  ,0.013898575473967556
