   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,10.83                    ,-5.66           ,25.95        ,2.32                       ,- -                    ,45.81                   ,-9.84                       ,53.68         ,91.57                       ,1.7                       ,88.37             ,2.32                        ,87.22               ,36.25  ,22.94             ,45.81  ,45.81  ,13.65            ,31.57                ,72.85             ,-3.61              ,- -                ,-4.32                ,-21.23                         ,-23.14                  ,42.5                    ,- -         ,-32.4           ,6.7                  ,4.76                           ,14.14                     ,- -                          ,29.42           ,26.57                   ,22.08        ,6.84                ,556.64  ,33.58                ,140.07                    ,-23.83  ,2.31                 ,-16.53                       ,29.04             ,15.65                ,3.85         ,           473.04 ,4.06         ,227.45                          ,227.45       ,22.08                      ,-5.55              ,50.12    ,-54.16             ,54.56                        ,-55.56        ,30.57                 ,14.98               ,91.57      ,-4.32                       ,-103.49        ,67.12                    ,-25.5                    ,2.95                           ,-0.14                 ,-27.01                      ,31.48                          ,- -            ,212.5          ,798.72                      ,5.81                           ,-142.99             ,-0.14                ,3.37           ,10.16                ,-46.26                  ,-0.002331317096965657
 1 ,2011 ,17.0                     ,15.16           ,18.26        ,25.9                       ,- -                    ,15.82                   ,47.08                       ,13.22         ,16.58                       ,-6.59                     ,24.81             ,-7.01                       ,25.37               ,15.76  ,-1.06             ,15.82  ,15.82  ,1.08             ,-1.01                ,-0.36             ,5.93               ,- -                ,15.4                 ,224.39                         ,248.53                  ,25.61                   ,- -         ,134.67          ,88.68                ,27.84                          ,13.43                     ,- -                          ,9.6             ,11.34                   ,26.62        ,41.12               ,-98.73  ,8.01                 ,-51.5                     ,173.83  ,-9.2                 ,111.24                       ,23.14             ,15.91                ,1.48         ,            96.23 ,40.29        ,-13.94                          ,-13.94       ,26.62                      ,-3.4               ,16.53    ,35.41              ,-30.6                        ,289.01        ,-100.12               ,10.45               ,16.58      ,15.4                        ,-222.62        ,6.38                     ,-63.24                   ,11.81                          ,54.83                 ,-20.26                      ,-16.23                         ,- -            ,226.62         ,-9.11                       ,-68.03                         ,-931.99             ,54.83                ,6.22           ,-6.56                ,-4.09                   ,0.17755492302740983
 2 ,2012 ,15.2                     ,13.76           ,16.17        ,10.45                      ,- -                    ,15.99                   ,45.94                       ,12.77         ,16.4                        ,-0.08                     ,16.49             ,-0.93                       ,17.5                ,18.2   ,2.6               ,15.99  ,15.99  ,0.84             ,0.69                 ,1.04              ,-4.2               ,- -                ,32.54                ,-51.85                         ,-53.12                  ,18.1                    ,- -         ,6.69            ,-13.91               ,29.04                          ,19.04                     ,- -                          ,87.56           ,81.14                   ,53.16        ,-33.78              ,3415.72 ,55.8                 ,67.41                     ,15.07   ,33.55                ,17.79                        ,28.37             ,19.42                ,- -          ,            57.08 ,13.89        ,-359.51                         ,-359.51      ,53.16                      ,2.1                ,49.25    ,-157.51            ,49.34                        ,-48.57        ,62799.64              ,20.26               ,16.4       ,32.54                       ,1064.09        ,66.87                    ,-196.42                  ,24.62                          ,24.31                 ,-1261.33                    ,332.86                         ,- -            ,-13.73         ,-57.49                      ,-1001.54                       ,-174.41             ,24.31                ,24.68          ,-0.32                ,7.06                    ,0.13606522389568987
 3 ,2013 ,4.0                      ,2.53            ,4.97         ,-1.03                      ,- -                    ,3.83                    ,4.35                        ,3.76          ,4                           ,1.29                      ,4.5               ,0.33                        ,5.5                 ,7.63   ,3.49              ,3.83   ,3.83   ,0.93             ,-0.16                ,1.77              ,-4.79              ,- -                ,29.15                ,79.21                          ,84.59                   ,0.66                    ,- -         ,10.9            ,21.58                ,51.46                          ,26.16                     ,- -                          ,-1.07           ,3.04                    ,6.11         ,-0.6                ,-97.72  ,13.22                ,-26.34                    ,0.42    ,0.4                  ,0.41                         ,-7.03             ,15.06                ,- -          ,            38.46 ,-51.22       ,114.24                          ,114.24       ,6.11                       ,-0.16              ,-19.44   ,-62.4              ,-51.64                       ,65.05         ,-69.61                ,9.24                ,5.84       ,29.15                       ,-152.07        ,-4.73                    ,-569                     ,8.26                           ,96.28                 ,-176.78                     ,-83.52                         ,- -            ,- -            ,70.95                       ,-190.72                        ,-175.46             ,96.28                ,-8.36          ,8.65                 ,2.28                    ,-0.006626704396956118
 4 ,2014 ,9.46                     ,15.11           ,5.85         ,-0.73                      ,- -                    ,7.52                    ,-7.55                       ,9.63          ,8.34                        ,-1.31                     ,16.36             ,-1.82                       ,16.96               ,7.36   ,-1.93             ,7.52   ,7.52   ,-3.3             ,-1.78                ,4.9               ,18.57              ,- -                ,6.62                 ,-74.57                         ,-76.26                  ,26.69                   ,- -         ,-30.41          ,-19.03               ,29.52                          ,25.3                      ,- -                          ,-7.66           ,-3.39                   ,-6.35        ,68.45               ,7455.26 ,-20.33               ,78.87                     ,-13.42  ,3.11                 ,-10.66                       ,9.07              ,-2.57                ,- -          ,            31.9  ,85.14        ,-61.46                          ,-61.46       ,-6.35                      ,-5.7               ,26.12    ,227.24             ,55.08                        ,-54.73        ,-158.16               ,-7.68               ,14.83      ,6.62                        ,-3.36          ,-1.15                    ,-166.34                  ,-3.45                          ,0.56                  ,-390.58                     ,-75.6                          ,- -            ,-77.29         ,180.62                      ,103.56                         ,-262.92             ,0.56                 ,-5.07          ,0.13                 ,-15.92                  ,-0.1393172512455877
 5 ,2015 ,18.39                    ,12.1            ,22.77        ,37.56                      ,- -                    ,11.52                   ,-72.61                      ,21.47         ,36.86                       ,-0.44                     ,27.45             ,-0.4                        ,27.39               ,18.42  ,0.03              ,11.52  ,11.52  ,3.7              ,-5.8                 ,7.17              ,-2.06              ,- -                ,50.18                ,228.83                         ,251.5                   ,28.92                   ,- -         ,69.91           ,57.24                ,-119.89                        ,-38.49                    ,- -                          ,205.77          ,155.57                  ,139.45       ,35.93               ,160.32  ,40.98                ,91.79                     ,108.31  ,79.86                ,102.83                       ,98.84             ,72.75                ,- -          ,            30.69 ,200.63       ,550.11                          ,550.11       ,139.45                     ,7.29               ,118.51   ,-66.39             ,48.31                        ,-18.02        ,340.28                ,20.89               ,26.88      ,50.18                       ,275.64         ,25.32                    ,-54.39                   ,27.43                          ,13.15                 ,-2251.62                    ,8361.35                        ,- -            ,1196.23        ,-189.97                     ,-528.44                        ,-178.61             ,13.15                ,33.54          ,-4.66                ,0.43                    ,0.20757842574520158
 6 ,2016 ,-3.52                    ,-11.06          ,1.27         ,-3.55                      ,- -                    ,4.21                    ,495.52                      ,-8.88         ,-11.05                      ,1.91                      ,14.29             ,1.62                        ,14.62               ,4.22   ,8.02              ,4.21   ,4.21   ,4.97             ,8.02                 ,20.73             ,20.99              ,- -                ,4.23                 ,-2.41                          ,-2.35                   ,-15.11                  ,- -         ,-47.49          ,-17.15               ,74.63                          ,-9.06                     ,- -                          ,-16.49          ,-17.58                  ,-17.53       ,-25.47              ,-87.79  ,-7.55                ,-57.98                    ,-0.57   ,-15.8                ,-3.16                        ,-22.27            ,4.85                 ,-27.01       ,            27.35 ,168.87       ,-2.89                           ,-2.89        ,-17.53                     ,-1.48              ,-25.67   ,-23.46             ,-23.85                       ,97.17         ,90.31                 ,-20.26              ,16.47      ,4.23                        ,171.17         ,-0.26                    ,172.74                   ,-12.44                         ,-5.78                 ,-91.38                      ,-116.41                        ,- -            ,- -            ,-146.66                     ,-141.63                        ,-93.39              ,-5.78                ,-14.86         ,21.34                ,-24.83                  ,-0.039548962269250865
 7 ,2017 ,7.52                     ,9.71            ,6.29         ,7.03                       ,- -                    ,4.38                    ,-3.25                       ,5.71          ,22.95                       ,-1.83                     ,-4.36             ,-1.45                       ,-4.72               ,4.68   ,-2.64             ,4.38   ,4.38   ,-1.14            ,-2.92                ,-12.67            ,-7.06              ,- -                ,5.7                  ,5.49                           ,5.33                    ,19.51                   ,- -         ,56.91           ,19.31                ,1.33                           ,25.77                     ,- -                          ,30.55           ,31.29                   ,29.99        ,24.8                ,578.28  ,15.98                ,115.19                    ,0.18    ,19.12                ,2.99                         ,24.13             ,2.76                 ,- -          ,            20.16 ,-36.65       ,44.51                           ,44.51        ,29.99                      ,-1.22              ,27.29    ,-11.91             ,-1.39                        ,-44.56        ,-22.89                ,15.68               ,-6.11      ,5.7                         ,-84.61         ,-28.54                   ,-65.47                   ,36.15                          ,17.25                 ,-98.85                      ,-324.15                        ,- -            ,-70.35         ,-15.45                      ,-135.1                         ,-92.31              ,17.25                ,43.74          ,-12.17               ,45                      ,-0.011496458764869155
 8 ,2018 ,11.65                    ,13.06           ,10.83        ,17.32                      ,- -                    ,4.11                    ,3.81                        ,4.15          ,7.85                        ,-0.22                     ,8.09              ,-0.23                       ,8.11                ,8.82   ,-2.53             ,4.11   ,4.11   ,-0.73            ,-6.76                ,-3.4              ,-0.36              ,- -                ,24.73                ,-4.52                          ,-1.97                   ,4.3                     ,- -         ,48.45           ,7.85                 ,45.39                          ,16.22                     ,- -                          ,-2.15           ,-3.08                   ,-1.99        ,17.59               ,-7.12   ,-0.42                ,-0.97                     ,-10.24  ,-3.87                ,-9.15                        ,-6.48             ,4.72                 ,- -          ,            19.18 ,43.56        ,7.54                            ,7.54         ,-1.99                      ,-0.55              ,-9.86    ,-16.18             ,-10                          ,8.91          ,9.08                  ,12.05               ,7.85       ,24.73                       ,-254.08        ,21.07                    ,11.85                    ,25.68                          ,25.89                 ,121700                      ,-75.99                         ,- -            ,- -            ,58.74                       ,-284.77                        ,-260                ,25.89                ,25.61          ,-10.64               ,16.52                   ,0.19820564282125208
 9 ,2019 ,8.85                     ,10.22           ,8.05         ,59.36                      ,- -                    ,-16.45                  ,12.33                       ,-21.02        ,-24.85                      ,-0.77                     ,-24.27            ,-1.03                       ,-24.07              ,-9.7   ,-17.04            ,-16.45 ,-16.45 ,-0.74            ,-23.24               ,-30.96            ,-4.21              ,- -                ,9.32                 ,32.33                          ,32.33                   ,19.75                   ,- -         ,-19.02          ,15.58                ,-122.5                         ,37.92                     ,- -                          ,15.99           ,20.06                   ,19.57        ,42.09               ,-19.74  ,48.79                ,12.62                     ,39.46   ,-2.57                ,31.84                        ,25.19             ,3.77                 ,- -          ,             7.25 ,-17.74       ,9.19                            ,9.19         ,19.57                      ,-0.49              ,14.81    ,5.15               ,-12.79                       ,2.62          ,34.39                 ,13.64               ,-24.85     ,9.32                        ,-44.97         ,10.91                    ,-1110.6                  ,2.34                           ,-6.15                 ,- -                         ,249.62                         ,- -            ,13.77          ,-31.6                       ,-101.63                        ,-5012.5             ,-6.15                ,5.13           ,33.92                ,36.19                   ,0.09039479087293256
