   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA  ,EBITDA Margin (%) ,EBITA    ,EBIT     ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,40.49                    ,-10.36          ,48.71        ,45.25                      ,15.75                  ,17.3                    ,20                          ,17.51         ,17.62                       ,15.67                     ,1.69              ,15.67                       ,1.69                ,18.16   ,-15.89            ,17.3     ,17.3     ,5.85             ,-16.51               ,-16.28            ,18.97              ,- -                ,1.17                 ,-19.73                         ,-45.55                  ,30.5                    ,- -         ,4.62            ,-19.13               ,16.14                          ,12.55                     ,- -                          ,1.69            ,3.08                    ,-11.76       ,426.87              ,327.15  ,-73.59               ,-28.77                    ,160.02  ,807.4                ,288.81                       ,42.27             ,4.3                  ,1.72         ,28.06             ,66.72        ,-54.06                          ,-54.06       ,-11.76                     ,1.78               ,-212.67  ,-345.24            ,-108.84                      ,13.53         ,-6.03                 ,18.09               ,17.51      ,1.17                        ,23.92          ,12.63                    ,-203.83                  ,48.61                          ,61.96                 ,-112.57                     ,-101.44                        ,- -            ,161.27         ,-96.06                      ,-57.45                         ,-423.96             ,61.96                ,49.31          ,-36.4                ,26.35                   ,-0.31032422076146793
 1 ,2011 ,883.91                   ,532.4           ,918.16       ,113.38                     ,11.03                  ,-131.92                 ,168.52                      ,-108.01       ,-105.46                     ,2.24                      ,-103.83           ,4.19                        ,-103.76             ,-138.66 ,-103.93           ,-131.92  ,-131.92  ,3.48             ,-103.24              ,-100.4            ,731.89             ,- -                ,15.04                ,-6.06                          ,95.45                   ,1361.69                 ,- -         ,409.71          ,25.94                ,84.12                          ,26.46                     ,- -                          ,24.12           ,30.61                   ,27.75        ,-85.32              ,- -     ,412.37               ,76.66                     ,- -     ,- -                  ,-46.43                       ,1.42              ,6.41                 ,2.78         ,-0.86             ,-1.31        ,56.13                           ,91.58        ,27.75                      ,2.84               ,-125.64  ,-113.38            ,-619.08                      ,-28.71        ,-117.29               ,18.27               ,-105.46    ,15.04                       ,70.87          ,29.77                    ,202.72                   ,-122.62                        ,148.58                ,487.97                      ,2809.35                        ,- -            ,- -            ,273.46                      ,-129.23                        ,-214.19             ,148.58               ,-107.3         ,-341.53              ,477.18                  ,-0.05192362317752497
 2 ,2012 ,8.25                     ,247.66          ,-6.24        ,9                          ,13.92                  ,-98.12                  ,-89.73                      ,-120.48       ,-224.18                     ,3.44                      ,-449.87           ,3.09                        ,-451.06             ,-83.5   ,-84.76            ,-98.12   ,-98.12   ,-13.39           ,-98.26               ,-434.32           ,-1.59              ,- -                ,8.99                 ,36.36                          ,2.96                    ,-21.78                  ,-72.9       ,41.77           ,19.41                ,225.59                         ,80.66                     ,- -                          ,-0.51           ,33.98                   ,25.18        ,1312.42             ,-89.99  ,-94.18               ,-48.42                    ,68.16   ,145.83               ,281.23                       ,23.1              ,7.59                 ,3.72         ,3.13              ,-47.77       ,26.99                           ,27.85        ,25.18                      ,3.81               ,18.7     ,-7.15              ,45.66                        ,131.5         ,-117.1                ,10                  ,-224.18    ,8.99                        ,13.05          ,-9.84                    ,-92.86                   ,86.34                          ,-24.8                 ,-214.74                     ,-300.47                        ,- -            ,- -            ,53.55                       ,-238.61                        ,-93.86              ,-24.8                ,300.29         ,-9.44                ,-151.49                 ,0.12761134369888105
 3 ,2013 ,-20.63                   ,-53.45          ,-13.27       ,-17.05                     ,13.97                  ,-4875.55                ,4591.01                     ,7783.99       ,1244.58                     ,6.11                      ,291.83            ,4.48                        ,297.96              ,-456.56 ,-549.25           ,-4875.55 ,-4875.55 ,9.28             ,-6117.01             ,423.88            ,-3                 ,- -                ,26.64                ,10.89                          ,16.32                   ,-40.3                   ,-53.56      ,-74.82          ,-0.06                ,60.72                          ,37.65                     ,- -                          ,-95.44          ,-37.55                  ,-15.96       ,-9.94               ,23.24   ,-2.16                ,-8.04                     ,-34.45  ,-38.79               ,-36.87                       ,-36.87            ,17.74                ,7.96         ,12.64             ,-44.36       ,35.75                           ,9.89         ,-15.96                     ,7.59               ,536.75   ,479.47             ,121.54                       ,8.68          ,380.14                ,-18.18              ,1244.58    ,26.64                       ,101.19         ,11.39                    ,-63.37                   ,-119.25                        ,-27.76                ,-81.02                      ,-87.29                         ,- -            ,- -            ,38.68                       ,5.04                           ,428.42              ,-27.76               ,-152.34        ,-362738.13           ,-104.63                 ,0.4772572022610999
 4 ,2014 ,-52.11                   ,-53.19          ,-51.98       ,-15.71                     ,-6.89                  ,221.67                  ,-87.98                      ,-24.71        ,7.9                         ,4.62                      ,58.62             ,4.62                        ,58.62               ,282.78  ,699.28            ,221.67   ,221.67   ,0.27             ,571.67               ,246.54            ,-52.9              ,- -                ,30.79                ,-5.32                          ,9.83                    ,-14.64                  ,118.05      ,139.94          ,-2.55                ,2.71                           ,-1.1                      ,- -                          ,115.64          ,7.9                     ,0.74         ,-6.19               ,89.5    ,-51.86               ,-7.43                     ,87.17   ,-20.49               ,28.83                        ,28.83             ,8.56                 ,2.8          ,18.62             ,-399.67      ,-20.75                          ,-19.18       ,0.74                       ,3.41               ,-44.44   ,-31.26             ,-21.79                       ,5.28          ,-31.63                ,1.67                ,8.03       ,30.79                       ,-70.08         ,39.46                    ,119.03                   ,895.15                         ,-0.37                 ,-308.61                     ,-236.63                        ,- -            ,-22.81         ,3.29                        ,174.97                         ,-22.68              ,-0.37                ,448.16         ,-99.94               ,499.64                  ,0.48501692151651965
 5 ,2015 ,77.86                    ,105.85          ,74.58        ,23.47                      ,16.44                  ,-27.29                  ,-0.28                       ,-23.85        ,-20.47                      ,2.55                      ,-26.31            ,2.55                        ,-26.31              ,-30.11  ,-60.71            ,-27.29   ,-27.29   ,-1.85            ,-59.12               ,-57.51            ,66.92              ,- -                ,-1.44                ,-24.85                         ,14.32                   ,143.36                  ,81.8        ,37.97           ,-12.47               ,-2.53                          ,3.98                      ,- -                          ,513.96          ,44.89                   ,6.88         ,23.78               ,171.84  ,37.75                ,37.5                      ,-0.57   ,40.72                ,13.24                        ,13.24             ,7.27                 ,1.76         ,11.82             ,98.91        ,-12.65                          ,-0.32        ,6.88                       ,1.88               ,9.98     ,10.33              ,-22.63                       ,-36.34        ,-93.71                ,6.56                ,-20.81     ,-1.44                       ,38.91          ,30.12                    ,676.91                   ,-28.79                         ,-11.52                ,224.75                      ,263.52                         ,- -            ,-92.17         ,-32.42                      ,-62.02                         ,58.84               ,-11.52               ,-27.23         ,55.4                 ,-5.77                   ,0.06644106958552798
 6 ,2016 ,64.89                    ,67.64           ,64.5         ,14.78                      ,5.17                   ,-102.4                  ,-15.64                      ,-87.96        ,-85.76                      ,1.4                       ,-80.2             ,1.4                         ,-80.2               ,-117.96 ,-110.89           ,-102.4   ,-102.4   ,-0.23            ,-101.46              ,-87.82            ,49.55              ,- -                ,-1.52                ,37.61                          ,65.64                   ,13.2                    ,38.37       ,-39.47          ,29.95                ,0.09                           ,5.07                      ,- -                          ,-6.77           ,-0.8                    ,15.89        ,-97.95              ,267.06  ,-1141.49             ,-98.43                    ,2.15    ,21.52                ,10.2                         ,10.77             ,4.99                 ,0.95         ,2.13              ,1060.8       ,23.17                           ,22.47        ,15.89                      ,0.81               ,68.74    ,37.78              ,11.87                        ,8172.86       ,-893.6                ,10.26               ,-85.71     ,-1.52                       ,5.87           ,2.89                     ,-97.59                   ,-164.61                        ,24.86                 ,-70.57                      ,-61.14                         ,- -            ,264.18         ,-63.24                      ,-29.46                         ,413.13              ,24.86                ,-143.71        ,-165.96              ,-421.81                 ,-0.5098777868976379
 7 ,2017 ,46.2                     ,30.72           ,48.39        ,14.61                      ,26.43                  ,3408.03                 ,419.98                      ,-76.71        ,-209.05                     ,1.71                      ,-331.2            ,3.49                        ,-327.21             ,525.69  ,327.96            ,3408.03  ,3408.03  ,1.49             ,2299.41              ,-260.83           ,36.67              ,- -                ,- -                  ,45.6                           ,40.67                   ,39.91                   ,44.1        ,-96.88          ,41.02                ,13.04                          ,12.47                     ,0.84                         ,-38.96          ,-6.19                   ,22.54        ,6439.23             ,-92.95  ,-182.84              ,10049.11                  ,-32.73  ,32.48                ,-2.84                        ,-3.34             ,10                   ,2.53         ,-4.73             ,-154.65      ,75.39                           ,52.62        ,22.54                      ,1.99               ,183.74   ,85.92              ,44.4                         ,-98.61        ,64.8                  ,6.98                ,-209.05    ,- -                         ,159.44         ,22.31                    ,-837.39                  ,257.87                         ,358.64                ,-227.77                     ,-518.96                        ,- -            ,-59.77         ,405.41                      ,-48.67                         ,0.38                ,358.64               ,226.12         ,-44.74               ,-252.19                 ,0.8400070005984657
 8 ,2018 ,22.46                    ,48.86           ,19.18        ,12.4                       ,6.93                   ,69.02                   ,-84.4                       ,-3925.87      ,2177.63                     ,2.18                      ,678.83            ,2.35                        ,677.53              ,62.12   ,32.39             ,69.02    ,69.02    ,-2.68            ,38.02                ,549.87            ,12.66              ,- -                ,17.95                ,51.69                          ,59.13                   ,45.62                   ,11.2        ,- -             ,49.09                ,2.86                           ,3.43                      ,- -                          ,584.96          ,139.36                  ,76.14        ,37.56               ,-56.43  ,-103.71              ,-11.37                    ,0.58    ,-43.81               ,-27.17                       ,20.42             ,3.69                 ,1.35         ,-41.61            ,-105.69      ,118.64                          ,117.17       ,76.14                      ,0.76               ,59.13    ,-26.73             ,24.99                        ,68.21         ,-17.85                ,8.7                 ,2177.63    ,17.95                       ,-266.59        ,11.8                     ,1459.36                  ,50.34                          ,-63.18                ,-48.7                       ,-53.81                         ,- -            ,-39.88         ,-117.62                     ,-204.12                        ,109.58              ,-63.18               ,100.64         ,-10.45               ,-81.11                  ,0.16813801981584875
 9 ,2019 ,36.59                    ,33.75           ,37.04        ,18.09                      ,23.87                  ,81.04                   ,-402.7                      ,132.39        ,-43.62                      ,0.95                      ,-44.4             ,0.58                        ,-44.2               ,77.76   ,30.13             ,81.04    ,81.04    ,0.32             ,32.54                ,-58.91            ,13.83              ,- -                ,47.67                ,20.2                           ,17.33                   ,54.63                   ,34.69       ,- -             ,24.5                 ,-8.24                          ,13.79                     ,- -                          ,71.17           ,45.82                   ,33.18        ,68.35               ,208.58  ,208.58               ,68.35                     ,1.8     ,-14.53               ,-6.07                        ,23.34             ,6.95                 ,1.69         ,-38.02            ,-399.39      ,37.2                            ,37.2         ,33.18                      ,1.5                ,17.33    ,-14.49             ,-4.33                        ,-26.05        ,22.49                 ,20                  ,-43.62     ,47.67                       ,-131.2         ,10.9                     ,-127.77                  ,23.54                          ,-21.01                ,-93.25                      ,511.07                         ,- -            ,-51.79         ,-348.94                     ,-278                           ,-53.78              ,-21.01               ,27.16          ,12.15                ,120.13                  ,0.03250339694168214
