   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,-1.15                    ,-0.34           ,-1.72        ,-4.81                      ,- -                    ,4.41                    ,-20.25                      ,9.65          ,-1.36                       ,-0.39                     ,-29.91            ,-0.28                       ,-29.99              ,1.61   ,2.79              ,4.41   ,4.41   ,-0.57            ,5.62                 ,-29.37            ,13.34              ,3.07               ,-0.77                ,188.76                         ,231.91                  ,-6.3                    ,-50.59      ,-57.69          ,-1.15                ,-4.11                          ,-7.38                     ,-1.07                        ,-2.91           ,-3.41                   ,-3.19        ,3.15                ,4.68    ,9.62                 ,5.01                      ,-17.8   ,-2.48                ,-9.89                        ,-6.85             ,-5.41                ,- -          ,-75.17            ,-109.14      ,-7.3                            ,3.02         ,-3.19                      ,-4.74              ,-23.44   ,-25.68             ,-13.26                       ,-5.87         ,33.37                 ,-12.79              ,-1.36      ,-0.77                       ,-9             ,- -                      ,-108.04                  ,5.7                            ,2.2                   ,-103.57                     ,-35.48                         ,2.68           ,- -            ,- -                         ,-14.72                         ,-159.94             ,2.2                  ,9.71           ,8.72                 ,51.39                   ,0.0977595532315636
 1 ,2011 ,4.04                     ,3.91            ,4.14         ,13.58                      ,- -                    ,-12.05                  ,22.23                       ,-17.35        ,-0.19                       ,0.11                      ,-5.79             ,0.21                        ,-5.89               ,-5.39  ,-9.07             ,-12.05 ,-12.05 ,0.09             ,-15.47               ,-9.35             ,4.31               ,2.53               ,0.55                 ,93.38                          ,100.39                  ,-0.04                   ,-16.89      ,92.3            ,38.44                ,0.82                           ,1.88                      ,-1.4                         ,1.12            ,0.94                    ,4.75         ,65.02               ,-35.71  ,- -                  ,0.54                      ,11.16   ,10.91                ,11.02                        ,8.61              ,-0.01                ,- -          ,-73.01            ,20.97        ,-6.74                           ,-1.16        ,4.75                       ,0.25               ,-9.4     ,-8.34              ,11.06                        ,37.7          ,183.39                ,-0.26               ,-0.19      ,0.55                        ,-17.95         ,- -                      ,-1228.22                 ,-10.74                         ,-4.52                 ,-1266.67                    ,14.59                          ,2.64           ,7.87           ,- -                         ,-57.25                         ,43.68               ,-4.52                ,-17.4          ,22.69                ,-5.36                   ,0.1819519833464598
 2 ,2012 ,4.48                     ,0.87            ,7.03         ,12.15                      ,- -                    ,2.17                    ,36.13                       ,-5.59         ,3.52                        ,0.71                      ,-63.86            ,0.81                        ,-63.89              ,0.83   ,-3.5              ,2.17   ,2.17   ,2.44             ,-2.21                ,-65.16            ,10.47              ,-6.51              ,-0.22                ,-74.47                         ,-76.85                  ,6.79                    ,14.36       ,-5.81           ,-31.36               ,0.24                           ,-2.81                     ,-1.36                        ,4               ,2.24                    ,-2.27        ,-37.55              ,-9.9    ,-12.89               ,-12.37                    ,-5.34   ,2.56                 ,-0.93                        ,-3.36             ,0.19                 ,- -          ,-416.71           ,76.12        ,-7.82                           ,-0.44        ,-2.27                      ,0.87               ,17       ,17.51              ,46.52                        ,-21.68        ,2.77                  ,-5.42               ,3.52       ,-0.22                       ,-9.19          ,- -                      ,-82.32                   ,5.73                           ,48.24                 ,- -                         ,18.85                          ,-5.85          ,-65.44         ,30.71                       ,264.17                         ,-253.41             ,48.24                ,-46.84         ,-10.98               ,190.48                  ,-0.002294705403735442
 3 ,2013 ,4.06                     ,-3.0            ,8.76         ,-32.19                     ,- -                    ,142.92                  ,-17.53                      ,195.82        ,123.05                      ,0.46                      ,1207.98           ,0.42                        ,1208.46             ,63.99  ,57.59             ,142.92 ,142.92 ,4.51             ,133.44               ,1162.67           ,7.95               ,12.98              ,0.89                 ,1419.2                         ,1630.62                 ,-1.09                   ,-5.12       ,-15.29          ,234.33               ,0.35                           ,5.39                      ,0.91                         ,-1.1            ,-0.43                   ,21.7         ,1.67                ,-9.98   ,4.04                 ,0.35                      ,88.29   ,-4.82                ,34.51                        ,27.91             ,-0.13                ,- -          ,-147.72           ,5.5          ,17.13                           ,11.55        ,21.7                       ,0.12               ,-18.06   ,-26.55             ,-66.22                       ,233.16        ,-109.33               ,-3.6                ,123.05     ,0.89                        ,-127.3         ,- -                      ,-98.76                   ,23.29                          ,-27.22                ,- -                         ,-27.65                         ,13.5           ,995.26         ,-121.59                     ,-224.45                        ,-591.14             ,-27.22               ,197.46         ,14.29                ,-90.62                  ,-0.10998362981993481
 4 ,2014 ,5.42                     ,11.24           ,1.96         ,51.41                      ,- -                    ,-38.69                  ,60.87                       ,-47.84        ,-49.22                      ,38.66                     ,-39.62            ,38.52                       ,-39.56              ,-25.61 ,-29.44            ,-38.69 ,-38.69 ,-3.28            ,-41.84               ,-20.58            ,5.12               ,-5.2               ,-0.44                ,-79.4                          ,-80.2                   ,12.49                   ,13.04       ,-2.41           ,-58.27               ,1.11                           ,4.37                      ,-76.63                       ,1.46            ,-0.01                   ,-15.1        ,1.38                ,-30.46  ,29.79                ,3.75                      ,23.29   ,29.78                ,25.94                        ,22.58             ,-69.72               ,42.76        ,37.32             ,-52.88       ,-68.33                          ,-85.67       ,-15.1                      ,45.18              ,156.28   ,1688.03            ,1030.36                      ,-59.78        ,7.37                  ,0.28                ,-49.22     ,-0.44                       ,-423.46        ,- -                      ,43100                    ,-21.09                         ,0.76                  ,- -                         ,6.9                            ,31.45          ,-37.02         ,-150                        ,-318.17                        ,-185.12             ,0.76                 ,-39.53         ,55.17                ,-5.74                   ,-0.11938184561554155
 5 ,2015 ,3.57                     ,5.26            ,2.48         ,-26.89                     ,- -                    ,68.68                   ,11.34                       ,84.94         ,53.69                       ,2.79                      ,80.71             ,2.81                        ,80.67               ,35.83  ,31.14             ,68.68  ,68.68  ,-1.05            ,62.86                ,79.35             ,3.34               ,6.45               ,-3.12                ,-56.78                         ,-57.82                  ,-3.83                   ,8.59        ,-17.24          ,-24.79               ,-7.12                          ,-4.49                     ,-0.75                        ,22.87           ,9.49                    ,5.13         ,16.08               ,137.26  ,6.38                 ,24.9                      ,-6.18   ,9.46                 ,0.41                         ,3.55              ,0.35                 ,- -          ,359.58            ,-50.5        ,33.58                           ,30.46        ,5.13                       ,-1.97              ,2.97     ,-21.07             ,13.6                         ,-39.78        ,-34.65                ,0.23                ,53.69      ,-3.12                       ,-51.3          ,- -                      ,-213.1                   ,27.09                          ,110.4                 ,- -                         ,89.47                          ,9.42           ,-78.47         ,-15082.35                   ,-73.98                         ,-85.73              ,110.4                ,-90.02         ,-35.63               ,-31.58                  ,0.04346424855462838
 6 ,2016 ,-4.29                    ,-2.16           ,-5.7         ,5.28                       ,- -                    ,-18.15                  ,26                          ,-25.69        ,-25.94                      ,-0.12                     ,-26.49            ,-0.17                       ,-26.45              ,-12.41 ,-8.49             ,-18.15 ,-18.15 ,-1.48            ,-14.49               ,-23.29            ,5.71               ,8.61               ,-0.56                ,-40.25                         ,-35.57                  ,30.14                   ,-3.99       ,74.48           ,18.47                ,1.45                           ,5.47                      ,39.45                        ,-4.42           ,-2.06                   ,-0.19        ,1.19                ,-59.24  ,-11.94               ,-13.44                    ,1.67    ,-4.16                ,-1.01                        ,-2.93             ,-0.12                ,- -          ,33.91             ,386          ,37.11                           ,34.69        ,-0.19                      ,0.09               ,-0.5     ,-26.13             ,-1.2                         ,36.87         ,17.39                 ,-9.45               ,-25.94     ,-0.56                       ,-156.56        ,- -                      ,-330.7                   ,-41.65                         ,-51.87                ,- -                         ,-63.44                         ,8.48           ,169.24         ,-100.06                     ,-11.28                         ,-74.05              ,-51.87               ,260.98         ,115.49               ,-20.53                  ,0.1116445452168815
 7 ,2017 ,0.04                     ,0.26            ,-0.1         ,-4.62                      ,- -                    ,1.31                    ,12.3                        ,-1.87         ,124.5                       ,0.1                       ,129.08            ,0.07                        ,129.14              ,3.21   ,3.17              ,1.31   ,1.31   ,-0.15            ,1.27                 ,129.21            ,3.58               ,2.17               ,6.44                 ,-27.81                         ,-27.81                  ,34.15                   ,-13.98      ,-31.1           ,13.33                ,4.5                            ,6.15                      ,-6.4                         ,4.32            ,4.34                    ,5.31         ,8.37                ,30.55   ,3.09                 ,8.89                      ,7.79    ,-22.04               ,-5.47                        ,-3.49             ,-0.7                 ,- -          ,136.64            ,-0.52        ,91.33                           ,85.95        ,5.31                       ,0.07               ,9.33     ,-41.2              ,-20.94                       ,4.08          ,198.86                ,-3.42               ,124.5      ,6.44                        ,1355.86        ,- -                      ,-12.22                   ,11.4                           ,1.58                  ,- -                         ,76.38                          ,2.27           ,78.26          ,- -                         ,-49.45                         ,-49.62              ,1.58                 ,50.22          ,-6.82                ,-51.42                  ,-0.1544445031574544
 8 ,2018 ,3.83                     ,7.67            ,1.18         ,3.23                       ,- -                    ,-1.99                   ,6.25                        ,-4.71         ,-47.5                       ,1.08                      ,-48.96            ,1.05                        ,-48.95              ,-0.22  ,-3.9              ,-1.99  ,-1.99  ,-2.56            ,-5.6                 ,-50.32            ,11.66              ,2.07               ,2.65                 ,32.03                          ,32.03                   ,6.85                    ,29.21       ,64.89           ,15.79                ,0.81                           ,2.57                      ,-35.42                       ,1.9             ,1.3                     ,2.99         ,5.98                ,108.22  ,-1.35                ,14.81                     ,-6.84   ,0.82                 ,-4.03                        ,-1.1              ,20.31                ,1.18         ,22.19             ,-10.87       ,23.32                           ,22.43        ,2.99                       ,1.29               ,-4.08    ,-21.66             ,-15.79                       ,0.85          ,69.01                 ,-7.01               ,-47.5      ,2.65                        ,-112.02        ,- -                      ,-76.21                   ,35.7                           ,5.99                  ,- -                         ,-7.42                          ,3.17           ,-66.32         ,- -                         ,128.35                         ,-228.34             ,5.99                 ,115.08         ,-14.65               ,163.06                  ,0.17494947987076326
 9 ,2019 ,0.77                     ,-1.41           ,2.37         ,-3.82                      ,- -                    ,13.75                   ,8.07                        ,15.85         ,23.37                       ,0.24                      ,23.77             ,0.19                        ,23.83               ,6.72   ,5.9               ,13.75  ,13.75  ,1.59             ,12.88                ,23.12             ,7.86               ,2.25               ,-4.14                ,-5.5                           ,-5.5                    ,1.3                     ,6.44        ,47.22           ,8.19                 ,28.36                          ,14.08                     ,-16.84                       ,-0.82           ,10.45                   ,10.16        ,-3.09               ,95.24   ,9.53                 ,18.29                     ,12.5    ,-2.11                ,6.87                         ,8.93              ,-0.13                ,- -          ,22.06             ,-57.89       ,15.52                           ,14.85        ,10.16                      ,0.09               ,-1.29    ,-14.05             ,-25                          ,-8.54         ,1.78                  ,-6.57               ,23.37      ,-4.14                       ,188.77         ,- -                      ,470.35                   ,4.1                            ,1.12                  ,- -                         ,-1.97                          ,2.5            ,73.1           ,- -                         ,18.12                          ,-99.9               ,1.12                 ,8.01           ,7.21                 ,-16.1                   ,-0.1504160319599599
