   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,19.61                    ,81.11           ,14.21        ,103.83                     ,- -                    ,-8.11                   ,45.64                       ,-51.75        ,-47.79                      ,                    11.78 ,-44.14            ,                      11.86 ,-44.19              ,3.3    ,-13.63            ,-7.73  ,-8.11  ,-4.51            ,-23.17               ,-44.4             ,-1.31              ,-0.78              ,25.51                ,270.87                         ,270.87                  ,65.04                   ,- -         ,240.27          ,109.12               ,44.89                          ,42.58                     ,3976.81                      ,10.67           ,45.88                   ,48.44        ,67.69               ,- -     ,- -                  ,67.69                     ,85.16   ,- -                  ,85.16                        ,84.16             ,               26.23 ,       19.26 ,            47.39 ,283.92       ,21.22                           ,24.43        ,48.44                      ,             19.22 ,82.01    ,46.28              ,-15.41                       ,24.7          ,- -                   ,21.2                ,-33.2      ,21.84                       ,-45.04         ,22.73                    ,-77.34                   ,-4.33                          ,246.3                 ,- -                         ,756.12                         ,10.9           ,673.13         ,41.29                       ,-2162.1                        ,693.77              ,246.3                ,685.23         ,-53.49               ,43.86                   ,0.014331612969675778
 1 ,2011 ,108.83                   ,356.54          ,74.37        ,45.55                      ,- -                    ,75.94                   ,65.94                       ,100.44        ,90.65                       ,                    36.1  ,8                 ,                      36.03 ,8.06                ,86.96  ,-10.47            ,69.88  ,75.94  ,-16.5            ,-15.75               ,-18.92            ,78.32              ,8.01               ,112.26               ,24.25                          ,24.25                   ,15.67                   ,- -         ,-11.95          ,13.71                ,67.85                          ,65.51                     ,1.95                         ,-22.75          ,60.58                   ,57.9         ,52.06               ,- -     ,- -                  ,52.06                     ,62      ,- -                  ,62                           ,61.48             ,               41.98 ,       30.68 ,            43.45 ,7.47         ,54.79                           ,54.34        ,57.9                       ,             30.71 ,75.62    ,13.79              ,-10.25                       ,-25.22        ,- -                   ,17.11               ,65.04      ,100.47                      ,-390.55        ,-8.77                    ,-171.69                  ,61.27                          ,136.49                ,16.43                       ,95.5                           ,47.01          ,-15.26         ,114.74                      ,93.98                          ,-66.79              ,136.49               ,152.53         ,-30.29               ,-4.75                   ,0.2112962169171031
 2 ,2012 ,27.93                    ,50.24           ,19.8         ,-33.97                     ,- -                    ,28.6                    ,33.81                       ,18.02         ,11.62                       ,                    29.12 ,12.45             ,                      29.56 ,12.07               ,26.68  ,-0.97             ,22.88  ,28.6   ,-6.35            ,0.52                 ,6.78              ,7.66               ,2.8                ,31.2                 ,532.34                         ,532.34                  ,243.41                  ,- -         ,54.64           ,298.97               ,- -                            ,- -                       ,81.59                        ,3872.7          ,19.5                    ,30.99        ,24.37               ,- -     ,- -                  ,24.37                     ,17.83   ,- -                  ,17.83                        ,18.15             ,               49.81 ,       35.41 ,            40.01 ,-7.55        ,44.49                           ,44.35        ,30.99                      ,             35.42 ,-2.46    ,-32.42             ,11.39                        ,220.8         ,62.62                 ,18.83               ,38.61      ,24.63                       ,-35.69         ,71.71                    ,237.25                   ,39.09                          ,-99.8                 ,- -                         ,-20.51                         ,32.74          ,20.61          ,67.54                       ,-8.04                          ,2627.13             ,-99.8                ,-118.73        ,850.05               ,1.82                    ,0.04824730976049496
 3 ,2013 ,58.44                    ,111.68          ,34.12        ,11.28                      ,- -                    ,14.48                   ,40.17                       ,-44.62        ,-51.77                      ,                    23.44 ,-72.05            ,                      23.37 ,-72.03              ,36.42  ,-13.9             ,17.22  ,14.48  ,-15.35           ,-27.75               ,-69.2             ,43.54              ,1.62               ,57.72                ,-84.64                         ,-84.64                  ,-32.24                  ,- -         ,-32.36          ,-54.37               ,- -                            ,- -                       ,9.27                         ,28.96           ,28.45                   ,18.08        ,38.62               ,-78.69  ,- -                  ,66.75                     ,23.33   ,- -                  ,23.33                        ,25.56             ,               17.62 ,       11.16 ,            50.42 ,122.44       ,10.88                           ,11.71        ,18.08                      ,             11.21 ,40.34    ,25.63              ,-6.06                        ,-72.64        ,-23.11                ,10.38               ,-53.1      ,60.77                       ,14.74          ,8.94                     ,0.29                     ,20.82                          ,-31.47                ,- -                         ,-1.71                          ,25.44          ,-15.47         ,-48.21                      ,-54.25                         ,-200.59             ,-31.47               ,21.46          ,-9.69                ,147.61                  ,-0.38019302976712965
 4 ,2014 ,16.07                    ,16.29           ,15.92        ,31.97                      ,- -                    ,36.63                   ,-4.44                       ,275.78        ,313.61                      ,                    10.6  ,413.18            ,                      10.4  ,414.1               ,14.23  ,-1.58             ,33.44  ,36.63  ,-0.13            ,17.72                ,204.2             ,7.06               ,3.27               ,-1.61                ,198.35                         ,198.35                  ,25.14                   ,- -         ,9.44            ,48.74                ,- -                            ,- -                       ,55.15                        ,5.22            ,6.31                    ,8.36         ,-2.15               ,- -     ,- -                  ,-18.65                    ,2.91    ,- -                  ,2.91                         ,1.44              ,               18.58 ,       13.6  ,            23.03 ,213.93       ,15.42                           ,14.99        ,8.36                       ,             13.55 ,-1.33    ,-14.2              ,8.56                         ,82.85         ,14.46                 ,8.42                ,270.48     ,-3.48                       ,189.66         ,58.97                    ,-470.36                  ,15.19                          ,6.72                  ,- -                         ,-39.79                         ,14.21          ,-52.12         ,26.38                       ,-21.86                         ,-136.06             ,6.72                 ,15.25          ,38.71                ,-67.38                  ,0.3714929210888507
 5 ,2015 ,15.44                    ,15.6            ,15.33        ,3.13                       ,- -                    ,32.61                   ,10.35                       ,65.56         ,69.85                       ,                    13.7  ,61.1              ,                      13.54 ,61.33               ,16.3   ,0.74              ,32.61  ,32.61  ,-0.1             ,14.87                ,49.48             ,6.23               ,2.82               ,-1.95                ,-23.82                         ,-23.82                  ,73.39                   ,- -         ,-22.48          ,41.08                ,- -                            ,- -                       ,-27.13                       ,15.61           ,14.25                   ,16.03        ,11.23               ,542.31  ,- -                  ,144.44                    ,12.05   ,- -                  ,12.05                        ,19.29             ,               11.7  ,        7.9  ,            11.68 ,14.59        ,10.74                           ,13.27        ,16.03                      ,              7.9  ,22.02    ,7.72               ,-1.7                         ,-42.28        ,23.71                 ,8.68                ,73.44      ,-1.95                       ,119.68         ,-3.84                    ,-76.19                   ,20.62                          ,21.26                 ,- -                         ,63.87                          ,16.91          ,90.17          ,-25.09                      ,53.97                          ,-133.03             ,21.26                ,20.62          ,-16.74               ,-30.1                   ,-0.05073992575679098
 6 ,2016 ,10.92                    ,15.7            ,7.45         ,5.31                       ,- -                    ,5.82                    ,0.07                        ,11.5          ,18.06                       ,                     2.88 ,20.25             ,                       3.09 ,20                  ,7.08   ,-3.45             ,6.54   ,5.82   ,-3.13            ,-4.59                ,9.96              ,13.3               ,4.33               ,7.9                  ,16.2                           ,16.2                    ,-7.1                    ,- -         ,204.04          ,2.05                 ,- -                            ,- -                       ,-15.7                        ,-0.47           ,-0.78                   ,-0.55        ,18.62               ,-22.75  ,- -                  ,-3.93                     ,-3.46   ,- -                  ,-3.46                        ,-3.51             ,                3.15 ,        2.33 ,             7.09 ,92.12        ,1.48                            ,2.09         ,-0.55                      ,              2.21 ,-5.32    ,-7.26              ,2.86                         ,6.22          ,11.89                 ,-2.1                ,21.78      ,9                           ,5.09           ,-6.4                     ,-19.94                   ,18.58                          ,95.42                 ,- -                         ,-91.12                         ,7.34           ,-31.34         ,-69.57                      ,-161.82                        ,-175.54             ,95.42                ,18.09          ,-16.42               ,-2.77                   ,-0.0615159644918839
 7 ,2017 ,0.83                     ,11.03           ,-7.13        ,-21.41                     ,- -                    ,-15.81                  ,31.55                       ,-57.76        ,-72.65                      ,                     2.5  ,-54.38            ,                       2.44 ,-54.36              ,-8.15  ,-8.91             ,-15.13 ,-15.81 ,-7.9             ,-16.5                ,-51.9             ,19.86              ,-0.44              ,2.27                 ,-41.87                         ,-41.87                  ,-22.82                  ,- -         ,-65.12          ,-29.48               ,- -                            ,- -                       ,-2.53                        ,-0.78           ,-0.81                   ,-3.19        ,10.26               ,11.47   ,- -                  ,10.79                     ,-5.98   ,- -                  ,-5.98                        ,-4.11             ,                3.87 ,        2.58 ,            24.35 ,-34.25       ,-2.59                           ,-2.42        ,-3.19                      ,              2.52 ,-3.78    ,-1.4               ,2.37                         ,-36.35        ,-7.45                 ,-15.88              ,-50.04     ,3.1                         ,-72.74         ,-33.83                   ,-456.5                   ,-11.94                         ,-20.39                ,- -                         ,-149.94                        ,2.05           ,-78.39         ,16.43                       ,54.26                          ,-512.44             ,-20.39               ,-11.85         ,12.54                ,81.55                   ,-0.19200143600691222
 8 ,2018 ,8.89                     ,16.75           ,1.56         ,3.59                       ,- -                    ,5.74                    ,-7.17                       ,41.34         ,110.92                      ,                     1.74 ,57.45             ,                       1.69 ,57.52               ,4.65   ,-3.89             ,5.89   ,5.74   ,-6.74            ,-2.9                 ,41.4              ,11.16              ,0.02               ,3.12                 ,-11.65                         ,-11.65                  ,0.48                    ,- -         ,53.76           ,0.8                  ,- -                            ,- -                       ,8.38                         ,9.09            ,9.08                    ,8.58         ,13.43               ,59.53   ,- -                  ,33.75                     ,10.33   ,- -                  ,10.33                        ,13.35             ,                4.29 ,        3.23 ,            13.04 ,16.42        ,1.45                            ,4.64         ,8.58                       ,              3.21 ,13.97    ,8.92               ,-3.62                        ,-24.64        ,-13.15                ,-2.04               ,53.48      ,3.35                        ,206.79         ,44.73                    ,52.28                    ,10.44                          ,-41.4                 ,-180.96                     ,-1643.83                       ,1.75           ,1051.2         ,26.94                       ,-142.77                        ,-104.88             ,-41.4                ,10.93          ,1.05                 ,-28.27                  ,0.21546751184788515
 9 ,2019 ,8.95                     ,10.56           ,7.22         ,0.13                       ,- -                    ,5.74                    ,-6.66                       ,28.19         ,40.61                       ,                     7.55 ,51.12             ,                       7.61 ,51.04               ,6.55   ,-2.21             ,5.36   ,5.74   ,-1.59            ,-2.95                ,40.53             ,-5.56              ,-3.45              ,8.06                 ,32.29                          ,32.29                   ,7.95                    ,- -         ,0.1             ,10.57                ,-96.07                         ,-96.39                    ,20.81                        ,7.89            ,9.98                    ,10.01        ,-2.4                ,38.41   ,- -                  ,19.06                     ,13.59   ,- -                  ,13.59                        ,14.42             ,                9.53 ,        6.9  ,             3.67 ,-13.57       ,6.21                            ,6.07         ,10.01                      ,              6.93 ,12.44    ,6.01               ,1.5                          ,-7.13         ,-0.79                 ,15.36               ,60.34      ,7.54                        ,154.79         ,-9.4                     ,-220.75                  ,-3.03                          ,93.19                 ,-180.43                     ,-14.15                         ,3.84           ,50.48          ,33.76                       ,-29.48                         ,306.08              ,93.19                ,-3.51          ,28.61                ,-36.66                  ,-0.05841150350984958
