   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,-4.6                     ,- -             ,-4.6         ,0.33                       ,- -                    ,- -                     ,5.57                        ,5.57          ,-0.03                       ,15                        ,26.6              ,15.35                       ,26.21               ,-32.28 ,-29.01            ,- -    ,- -  ,- -              ,- -                  ,5.56              ,-44.31             ,-63.99             ,-32.28               ,-5.55                          ,-40.75                  ,-7.85                   ,- -         ,8.1             ,-4.18                ,-56.1                          ,-10.17                    ,3.86                         ,2.31            ,2.45                    ,1.16         ,11.96               ,42.18   ,45.86                ,15.88                     ,-23     ,4.22                 ,-1.05                        ,0.08              ,0.96                 ,0.5          ,24.91             ,57.46        ,13.08                           ,11.83        ,1.16                       ,1.62               ,-9       ,-18.62             ,21.25                        ,-17.32        ,- -                   ,71.3                ,-0.03      ,-32.28                      ,46.96          ,276.76                   ,-21.2                    ,-34.39                         ,- -                   ,-190.83                     ,-105.12                        ,-58.59         ,-58.44         ,-94.1                       ,-73.08                         ,-432.71             ,- -                  ,-34.39         ,101.99               ,-34.86                  ,0.028399643305775157
 1 ,2011 ,-5.88                    ,- -             ,-5.88        ,1.84                       ,- -                    ,- -                     ,24.5                        ,24.5          ,28.02                       ,0.98                      ,27.91             ,1.15                        ,27.71               ,14.76  ,21.93             ,- -    ,- -  ,- -              ,- -                  ,36.39             ,-3.03              ,87.89              ,-2.29                ,28.28                          ,21.17                   ,0.18                    ,- -         ,8.99            ,24.28                ,-51.5                          ,-1.17                     ,34.08                        ,-9.45           ,-0.02                   ,4.43         ,11.09               ,-11.39  ,-18.21               ,9.56                      ,-20.15  ,7.36                 ,3.22                         ,3.71              ,4.3                  ,1.64         ,24.01             ,-32.31       ,10.94                           ,10.79        ,4.43                       ,0.01               ,-21.05   ,-28.74             ,10.81                        ,13.44         ,- -                   ,-2.94               ,28.02      ,14.76                       ,222.58         ,20.78                    ,117.83                   ,-27.21                         ,- -                   ,-1559.63                    ,853.58                         ,89.73          ,234.97         ,-187.23                     ,-194.8                         ,-130.77             ,- -                  ,-27.21         ,25.02                ,-43.29                  ,-0.09532875059434887
 2 ,2012 ,6.46                     ,- -             ,6.46         ,4.24                       ,- -                    ,- -                     ,20.35                       ,20.35         ,19.47                       ,0.18                      ,19.58             ,0.53                        ,19.16               ,27.13  ,19.41             ,245.43 ,- -  ,- -              ,- -                  ,11.85             ,4.48               ,61.11              ,-10.96               ,6.2                            ,12.45                   ,-5.28                   ,- -         ,-1.28           ,4.86                 ,-72.7                          ,-1.08                     ,-2.58                        ,14.25           ,9.26                    ,8.3          ,-1.28               ,16.47   ,12.68                ,3.29                      ,1.62    ,9.12                 ,8.24                         ,7.84              ,6.24                 ,2.3          ,20.65             ,76.18        ,12.35                           ,12.16        ,8.3                        ,0.07               ,4.96     ,-6.42              ,8.8                          ,1.51          ,- -                   ,1.89                ,19.47      ,27.13                       ,36.02          ,14.11                    ,148.86                   ,328.39                         ,- -                   ,-100.36                     ,299.18                         ,61.4           ,136.97         ,63.13                       ,238.12                         ,-28.74              ,- -                  ,328.39         ,-71.35               ,259.75                  ,0.13940687080828162
 3 ,2013 ,-2.71                    ,- -             ,-2.71        ,3.11                       ,- -                    ,- -                     ,14.6                        ,14.6          ,14.75                       ,-0.01                     ,16.06             ,0.37                        ,15.63               ,17.31  ,20.58             ,57.9   ,- -  ,- -              ,- -                  ,19                ,-1.13              ,27.73              ,-10.16               ,5.78                           ,-8.88                   ,-3.14                   ,- -         ,-13.15          ,3.47                 ,-560.3                         ,-2.89                     ,11.78                        ,6.84            ,8.03                    ,7.31         ,-8.76               ,-5.76   ,13.73                ,-14.98                    ,20.11   ,7.48                 ,8.86                         ,7.27              ,0.72                 ,- -          ,18.9              ,-75.47       ,7.99                            ,7.61         ,7.31                       ,-0.17              ,14.92    ,6.79               ,-2.75                        ,21.71         ,- -                   ,-1.6                ,14.75      ,17.31                       ,-75.91         ,13.07                    ,-51.18                   ,-1.54                          ,- -                   ,-25610.84                   ,9.72                           ,27.73          ,92.19          ,71.43                       ,12.1                           ,-180.21             ,- -                  ,-1.54          ,37.52                ,-14.95                  ,0.07113565223371077
 4 ,2014 ,-0.41                    ,- -             ,-0.41        ,-0.73                      ,- -                    ,- -                     ,3.94                        ,3.94          ,6.23                        ,-0.95                     ,5.46              ,-0.87                       ,5.38                ,-23.63 ,-23.31            ,-36    ,- -  ,- -              ,- -                  ,5.83              ,-0.26              ,17.95              ,-8.91                ,1.87                           ,-1.75                   ,2.27                    ,- -         ,19.58           ,3.41                 ,87.77                          ,-4.51                     ,19.57                        ,10.13           ,12.62                   ,10.49        ,23.12               ,17.88   ,28.35                ,17.29                     ,20.23   ,9.32                 ,10.63                        ,10.76             ,0.35                 ,- -          ,15.89             ,153.82       ,8.38                            ,8.34         ,10.49                      ,-1.65              ,21.89    ,12.51              ,1.4                          ,-11.83        ,- -                   ,-0.15               ,6.23       ,-23.63                      ,91.14          ,-0.42                    ,-60.64                   ,-69.59                         ,- -                   ,2.09                        ,-16.36                         ,16.83          ,-20.8          ,141.83                      ,17.67                          ,-82.07              ,- -                  ,-69.59         ,297.43               ,-71.14                  ,0.1271744140784994
 5 ,2015 ,2.27                     ,- -             ,2.27         ,2.54                       ,- -                    ,- -                     ,-0.22                       ,-0.22         ,-0.84                       ,-1.92                     ,0.95              ,-2.15                       ,1.18                ,30.74  ,27.83             ,78.34  ,- -  ,- -              ,- -                  ,-2.34             ,2.19               ,10.51              ,-9.05                ,3.41                           ,-2.35                   ,0.49                    ,- -         ,-823.95         ,-79.15               ,34.48                          ,-0.45                     ,8.58                         ,32.96           ,25.98                   ,5.96         ,-14.97              ,53.54   ,89.48                ,-24.91                    ,8.48    ,8.27                 ,8.3                          ,6.11              ,0.25                 ,- -          ,13.04             ,-91.56       ,4.74                            ,4.73         ,5.96                       ,-1.51              ,21.97    ,16.46              ,-1.15                        ,-72.23        ,- -                   ,0.08                ,-1.41      ,30.74                       ,77.88          ,2.41                     ,97.14                    ,-15.73                         ,- -                   ,-8.8                        ,-16.47                         ,8.39           ,2.08           ,-7.96                       ,-16.74                         ,32.18               ,- -                  ,-15.73         ,14.04                ,-15.62                  ,0.02568651701481839
 6 ,2016 ,4.25                     ,- -             ,5.3          ,4.44                       ,- -                    ,- -                     ,-5.09                       ,-5.09         ,-5.83                       ,-1.63                     ,-4.14             ,-1.95                       ,-3.82               ,51.16  ,45                ,85.01  ,- -  ,- -              ,- -                  ,-8.62             ,2.66               ,4.1                ,-4.33                ,14.88                          ,8.47                    ,55.97                   ,- -         ,14.55           ,23.61                ,8.91                           ,-4.26                     ,13.56                        ,5.34            ,7.36                    ,7.97         ,-21.91              ,-0.77   ,-19.24               ,2.46                      ,27.84   ,5.95                 ,8.82                         ,8.53              ,-0.69                ,- -          ,9.98              ,-1156.23     ,3.34                            ,3.34         ,7.97                       ,-1.49              ,19.13    ,15.29              ,-5.82                        ,20.64         ,- -                   ,1.55                ,-5.29      ,51.16                       ,64.65          ,-0.66                    ,43.89                    ,-98.86                         ,- -                   ,68.09                       ,13.88                          ,2.4            ,109.41         ,-3.87                       ,34.31                          ,-451.74             ,- -                  ,-98.86         ,8530.28              ,-98.8                   ,-0.04897024303245101
 7 ,2017 ,-0.31                    ,- -             ,0.14         ,4.83                       ,- -                    ,- -                     ,-14.77                      ,-14.77        ,1.88                        ,-1.75                     ,2.68              ,-1.78                       ,2.72                ,8.77   ,9.11              ,- -    ,- -  ,- -              ,- -                  ,1.43              ,-0.01              ,2.58               ,353.52               ,49.82                          ,941.76                  ,232.83                  ,- -         ,3.22            ,241.82               ,-834.93                        ,257.77                    ,11.36                        ,-18.61          ,-9.67                   ,1.12         ,23.48               ,-84.94  ,- -                  ,12.32                     ,-11.78  ,2.49                 ,0.29                         ,0.81              ,0.95                 ,- -          ,9.16              ,-31.65       ,3.69                            ,3.78         ,1.12                       ,-2.48              ,-92.87   ,-93.13             ,2.35                         ,204.34        ,- -                   ,-0.3                ,1.88       ,8.77                        ,-46.67         ,5.19                     ,-36.62                   ,10978.11                       ,- -                   ,-94.54                      ,-89.15                         ,0.79           ,-51.64         ,29.79                       ,-108.84                        ,-437.02             ,- -                  ,10978.11       ,-99.01               ,10855.77                ,-0.06209485142885951
 8 ,2018 ,-0.82                    ,- -             ,-2.24        ,-1.51                      ,- -                    ,- -                     ,4.24                        ,4.24          ,1.85                        ,-3.32                     ,4.12              ,-3.57                       ,4.38                ,3.46   ,4.31              ,20.04  ,- -  ,- -              ,- -                  ,1.78              ,1.57               ,5.76               ,-80.43               ,-10.11                         ,-19.75                  ,-69.32                  ,- -         ,-114.73         ,77.74                ,-112.15                        ,-70.08                    ,0.5                          ,-23.18          ,-16.54                  ,-2.86        ,-1.84               ,625.96  ,18.31                ,-2.95                     ,1.79    ,-3.23                ,-2.55                        ,-2.57             ,-0.3                 ,- -          ,8.88              ,195.52       ,-5.2                            ,-5.29        ,-2.86                      ,-6.34              ,584.33   ,622.58             ,-3.03                        ,83.15         ,- -                   ,-2.35               ,1.85       ,3.46                        ,-11.65         ,10.22                    ,36.4                     ,92.68                          ,- -                   ,46.03                       ,-41.5                          ,2.25           ,9.23           ,129.98                      ,549.99                         ,682.32              ,- -                  ,92.68          ,-62.56               ,90.87                   ,-0.155919259375785
 9 ,2019 ,-1.56                    ,- -             ,0.49         ,4.32                       ,- -                    ,- -                     ,-15.21                      ,-15.21        ,-12.39                      ,-8.47                     ,-5.27             ,-8.54                       ,-5.21               ,26.5   ,28.5              ,53.63  ,- -  ,- -              ,- -                  ,-11.32            ,-0.91              ,12.48              ,-89.79               ,-8.68                          ,-18.49                  ,0.69                    ,- -         ,-13.97          ,-8.74                ,-1089.51                       ,282.51                    ,4.73                         ,3               ,5.43                    ,1.67         ,8.43                ,-1.21   ,-0.03                ,5.56                      ,-0.37   ,2.67                 ,2.24                         ,2.4               ,0.52                 ,- -          ,5.4               ,-79.31       ,-4.6                            ,-4.61        ,1.67                       ,-9.75              ,18.51    ,24.24              ,-5.02                        ,-13.55        ,- -                   ,-0.65               ,-12.39     ,26.5                        ,15.93          ,0.84                     ,-49.67                   ,-81.34                         ,- -                   ,-161.11                     ,282.14                         ,2.95           ,12.16          ,20.76                       ,-87.13                         ,-24.9               ,- -                  ,-81.34         ,470.75               ,-78.63                  ,-0.07436921410513642
