   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,6.14                     ,8.05            ,3.1          ,7.11                       ,- -                    ,0.79                    ,-25.96                      ,10.73         ,-5.47                       ,-2.24                     ,-1.93             ,-2.31                       ,-1.86               ,1.38   ,-4.48             ,0.79   ,0.79   ,-2.87            ,-5.04                ,-9.67             ,7.63               ,-0.19              ,2.4                  ,-52.72                         ,-52.72                  ,8.45                    ,18.18       ,-32.62          ,-17.54               ,2.83                           ,4.01                      ,- -                          ,7.92            ,4.68                    ,1.52         ,32.86               ,-68.89  ,- -                  ,-14.34                    ,6.77    ,5.31                 ,6.33                         ,2.21              ,-0.33                ,- -          ,5.73              ,10.58        ,-0.4                            ,- -          ,1.52                       ,-2.28              ,8.21     ,8.21               ,-21.82                       ,-3.74         ,-195.33               ,-1.38               ,-5.47      ,2.4                         ,202.94         ,20                       ,-776.47                  ,-3.68                          ,-6.36                 ,561.9                       ,28.48                          ,-2.42          ,- -            ,121.68                      ,178.56                         ,-192.21             ,-6.36                ,-1.01          ,10.55                ,0.46                    ,0.004665720324730005
 1 ,2011 ,6.9                      ,9.16            ,3.11         ,6.16                       ,- -                    ,1.03                    ,32.59                       ,-6.81         ,0.7                         ,-2.19                     ,3.09              ,-2.24                       ,3.15                ,1.73   ,-4.83             ,1.03   ,1.03   ,-3.54            ,-5.49                ,-5.67             ,3.28               ,17.81              ,2.93                 ,-52.13                         ,-52.13                  ,7.19                    ,17.69       ,22.93           ,-4.15                ,3.15                           ,3.74                      ,- -                          ,2.6             ,6.3                     ,5.09         ,-12.66              ,170.82  ,2.84                 ,23.46                     ,5.2     ,6.98                 ,5.73                         ,8.69              ,0.73                 ,- -          ,5.02              ,-25.22       ,-3.04                           ,-3.05        ,5.09                       ,-3.06              ,13.5     ,17.07              ,-148.1                       ,-22.36        ,-13.61                ,3.5                 ,0.7        ,2.93                        ,30.42          ,25                       ,-25.22                   ,8.53                           ,19.93                 ,11.51                       ,36.05                          ,15.23          ,-31.33         ,14.77                       ,-55.54                         ,-53.31              ,19.93                ,-2.22          ,-22.2                ,7.62                    ,-0.07703551698402233
 2 ,2012 ,2.03                     ,3.96            ,-1.39        ,-5.09                      ,- -                    ,-2.72                   ,29.98                       ,-14.28        ,-14.77                      ,-1.3                      ,-13.87            ,-1.48                       ,-13.7               ,0.37   ,-1.63             ,-2.72  ,-2.72  ,-3.34            ,-4.65                ,-16.67            ,3.9                ,-4.22              ,5.53                 ,-24.81                         ,-24.81                  ,3.61                    ,13.73       ,11.92           ,1.85                 ,3.34                           ,4.4                       ,4.71                         ,0.62            ,2.4                     ,2.34         ,-7.07               ,17.75   ,-1.06                ,-1.04                     ,0.53    ,5.69                 ,2.1                          ,1.5               ,-0.26                ,- -          ,2.35              ,12.21        ,4.68                            ,4.46         ,2.34                       ,0.8                ,2.36     ,-2.01              ,-95.53                       ,2.92          ,6.22                  ,-1.81               ,-14.77     ,5.53                        ,-11.66         ,-35.56                   ,26.74                    ,-7.05                          ,14.05                 ,- -                         ,-16.25                         ,-5.46          ,-1.75          ,- -                         ,-6.36                          ,-76.95              ,14.05                ,-31.44         ,-0.24                ,9.34                    ,-0.0576129599550006
 3 ,2013 ,2.45                     ,2.62            ,2.12         ,-3.06                      ,- -                    ,3.45                    ,125.79                      ,-62.09        ,-84.88                      ,0.88                      ,-88.11            ,1.16                        ,-88.14              ,3.18   ,0.72              ,3.45   ,3.45   ,-0.32            ,0.98                 ,-88.29            ,4.37               ,2.89               ,2.78                 ,21.13                          ,-70.1                   ,-1.58                   ,2.3         ,27.78           ,3.14                 ,-2.43                          ,1.06                      ,-37.93                       ,-0.14           ,-2.76                   ,-2.14        ,-0.82               ,-2.29   ,2.15                 ,-0.72                     ,3.56    ,-2.99                ,1.5                          ,1.09              ,1.03                 ,- -          ,-8.58             ,-20.21       ,-10.18                          ,-10.08       ,-2.14                      ,0.02               ,4.59     ,16.31              ,4608.52                      ,3.89          ,16.4                  ,-1.84               ,-84.88     ,2.78                        ,201.12         ,100                      ,-63.3                    ,6.97                           ,-15.83                ,- -                         ,3.83                           ,3.8            ,10.76          ,-58.43                      ,29.62                          ,103.08              ,-15.83               ,50.83          ,39.08                ,791.79                  ,0.08231272818105428
 4 ,2014 ,0.09                     ,-1.21           ,2.53         ,3.78                       ,- -                    ,7.29                    ,-70.18                      ,254.45        ,929.23                      ,-1.09                     ,1239.09           ,-0.89                       ,1236.44             ,3.23   ,3.14              ,7.29   ,7.29   ,2.43             ,7.2                  ,1223.26           ,7.39               ,2.58               ,-3.08                ,456.17                         ,2153.45                 ,7.02                    ,-40.45      ,5.43            ,45.7                 ,-13.67                         ,-8.4                      ,-1.45                        ,-8.71           ,-11.6                   ,-5.27        ,32.1                ,50.14   ,- -                  ,15.63                     ,-12.16  ,-9.64                ,-11.4                        ,-6.49             ,-0.24                ,- -          ,9.52              ,-85.06       ,2.79                            ,-1.88        ,-5.27                      ,-1.25              ,-20.06   ,-18.53             ,-48.79                       ,26.01         ,-154.52               ,-6.79               ,929.23     ,-3.08                       ,-103.17        ,12.07                    ,231.25                   ,-5.05                          ,-9.44                 ,- -                         ,-152.37                        ,1.46           ,115.53         ,151.05                      ,201.6                          ,-1050               ,-9.44                ,-0.34          ,22.18                ,-92.83                  ,0.06847751874154384
 5 ,2015 ,-7.39                    ,-8.56           ,-5.29        ,-9.32                      ,- -                    ,-3.56                   ,130.21                      ,-39.46        ,-43.8                       ,-2.14                     ,-40.72            ,-2.08                       ,-40.75              ,-3.59  ,4.11              ,-3.56  ,-3.56  ,2.28             ,4.14                 ,-37.36            ,-9.22              ,2.48               ,-3.64                ,-97.02                         ,-97.02                  ,8.11                    ,-13.21      ,-58.76          ,-35.59               ,0.08                           ,1.73                      ,-11.76                       ,5.11            ,1.71                    ,-4.64        ,-5.76               ,-76.79  ,- -                  ,-27.98                    ,4.59    ,3.28                 ,4.19                         ,-3.03             ,5.27                 ,- -          ,0.74              ,-652.17      ,-8.88                           ,-8.86        ,-4.64                      ,-2.48              ,10.01    ,20.71              ,310.26                       ,-10.58        ,284.01                ,2.01                ,-43.8      ,-3.64                       ,-2685.29       ,10.77                    ,42.64                    ,7.16                           ,7.12                  ,- -                         ,-261.61                        ,0.29           ,-17.04         ,- -                         ,4.01                           ,-200.88             ,7.12                 ,7.2            ,-4.93                ,84.73                   ,0.07855058641940826
 6 ,2016 ,5.0                      ,3.1             ,8.31         ,4.99                       ,- -                    ,12.61                   ,-45.47                      ,71.89         ,56.91                       ,-2.03                     ,60.23             ,-2.06                       ,60.28               ,9.63   ,4.41              ,12.61  ,12.61  ,3.15             ,7.24                 ,49.5              ,3.47               ,6.63               ,4.5                  ,-17.95                         ,-17.95                  ,1.81                    ,-2.17       ,1.67            ,1.32                 ,2.67                           ,3.75                      ,-11.11                       ,2.33            ,2.26                    ,2.15         ,5.32                ,64.82   ,- -                  ,11.31                     ,1.89    ,1                    ,1.62                         ,3.24              ,0.48                 ,- -          ,6.47              ,-37.01       ,-0.9                            ,-0.88        ,2.15                       ,-1.76              ,3.76     ,4.67               ,34.91                        ,-8.98         ,-7.29                 ,1.48                ,56.91      ,4.5                         ,-54.27         ,25                       ,-120.37                  ,18.49                          ,8.6                   ,- -                         ,20.15                          ,4.46           ,30.81          ,20.83                       ,-51.97                         ,-99.45              ,8.6                  ,28.14          ,12.54                ,-24.51                  ,0.268517438302702
 7 ,2017 ,6.44                     ,6.3             ,6.66         ,4.11                       ,- -                    ,8.62                    ,-27.29                      ,20.25         ,65.17                       ,-1.06                     ,66.66             ,-1.03                       ,66.61               ,7.62   ,1.11              ,8.62   ,8.62   ,0.21             ,2.05                 ,54.92             ,3.67               ,4.41               ,5.76                 ,-31.25                         ,-31.25                  ,11.35                   ,6.67        ,8.2             ,10.44                ,5.56                           ,4.13                      ,-15.94                       ,2.27            ,3.91                    ,4.65         ,6.14                ,77.22   ,- -                  ,16.75                     ,-1.59   ,-2.05                ,-1.73                        ,1.6               ,1.71                 ,- -          ,16.24             ,-110         ,13.63                           ,13.57        ,4.65                       ,-1.37              ,2.06     ,-10.14             ,-52.7                        ,-5.41         ,-1.45                 ,2.67                ,65.17      ,5.76                        ,-86.07         ,12.22                    ,-361.04                  ,7.43                           ,12.7                  ,- -                         ,-28.62                         ,3.31           ,-49.62         ,3.45                        ,74.98                          ,42.86               ,12.7                 ,3.08           ,10.22                ,-34.85                  ,0.05043648146273583
 8 ,2018 ,2.96                     ,2.53            ,3.68         ,-1.02                      ,- -                    ,4.39                    ,-16.32                      ,8.44          ,-1.33                       ,-2.21                     ,1                 ,-2.2                        ,0.99                ,5.41   ,2.37              ,4.39   ,4.39   ,0.7              ,1.39                 ,-4.07             ,-0.34              ,9.35               ,7.34                 ,177.27                         ,177.27                  ,-4.17                   ,6.25        ,56.82           ,0.8                  ,3.31                           ,3.22                      ,50.93                        ,3.8             ,4.17                    ,3.76         ,6.06                ,-41.54  ,- -                  ,-4.72                     ,9.62    ,-2.68                ,5.92                         ,3.72              ,1.21                 ,- -          ,14.08             ,-1187.5      ,4.25                            ,3.87         ,3.76                       ,-2.15              ,5.24     ,1.31               ,-7.24                        ,5.79          ,-75.59                ,3.31                ,-1.33      ,7.34                        ,255.36         ,-11.88                   ,-85.57                   ,12.26                          ,12.26                 ,- -                         ,57.29                          ,6.93           ,-47.27         ,33.87                       ,-16.73                         ,970                 ,12.26                ,12.27          ,-11.12               ,13.66                   ,0.11558163025681656
 9 ,2019 ,3.63                     ,2.67            ,5.19         ,12.25                      ,- -                    ,0.69                    ,80.78                       ,-11.41        ,-13.1                       ,-1.05                     ,-12.33            ,-1.09                       ,-12.29              ,2.75   ,-0.84             ,0.69   ,0.69   ,1.51             ,-2.83                ,-16.28            ,0.86               ,10.38              ,6.57                 ,5737.7                         ,5737.7                  ,1.93                    ,3.92        ,7.73            ,134.74               ,7.96                           ,4.45                      ,18.97                        ,6.54            ,7.64                    ,22.49        ,9.34                ,-49.54  ,- -                  ,1.16                      ,38.42   ,15.71                ,32.13                        ,26.26             ,1.12                 ,- -          ,8.11              ,-90.8        ,12.64                           ,12.65        ,22.49                      ,0.08               ,-0.28    ,-11.48             ,-101.77                      ,132.06        ,-289.97               ,2.75                ,-13.1      ,6.57                        ,175.88         ,-3.37                    ,-375.86                  ,8.52                           ,7.32                  ,- -                         ,9.54                           ,9.23           ,476.72         ,-75.3                       ,-230.24                        ,-3335.51            ,7.32                 ,9.59           ,17.75                ,25.09                   ,0.015727095418847536
