   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA  ,EBITDA Margin (%) ,EBITA   ,EBIT    ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,16.49                    ,18.15           ,11.82        ,-26.33                     ,- -                    ,-467.93                 ,-936.99                     ,-200.32       ,-256.85                     ,0.49                      ,-483.02           ,0.81                        ,-481.82             ,-233.63 ,-214.71           ,-467.93 ,-467.93 ,-4.01            ,-415.85              ,-430.43           ,11.36              ,10.88              ,2.59                 ,-57.42                         ,-57.42                  ,3.62                    ,36.49       ,-34.51          ,-33.3                ,8.73                           ,10.17                     ,51.69                        ,-57.79          ,4.44                    ,-1.22        ,2.02                ,2888.24 ,-74.74               ,3.92                      ,4.13    ,-6.26                ,-0.04                        ,0.57              ,1.55                 ,        0.32 ,-152.93           ,-51.19       ,-13.72                          ,-4.44        ,-1.22                      ,0.34               ,29.71    ,35.73              ,4.54                         ,-35.81        ,-88.08                ,4.6                 ,-355.4     ,2.59                        ,219.77         ,- -                      ,-300                     ,3.07                           ,16.8                  ,217.99                      ,85.97                          ,11.43          ,762.02         ,13333.33                    ,245.18                         ,-350.47             ,16.8                 ,-174.05        ,5.43                 ,-126.78                 ,0.07284759824093978
 1 ,2011 ,-17.53                   ,-22.76          ,-2.1         ,2.81                       ,- -                    ,-134.28                 ,-114.79                     ,-227.06       ,-217.69                     ,0.68                      ,-134.04           ,1.27                        ,-133.85             ,-188.33 ,-207.11           ,-134.28 ,-134.28 ,18.72            ,-141.57              ,-141.56           ,-3.53              ,5.8                ,7.1                  ,11.82                          ,11.82                   ,-25.84                  ,-44.22      ,-65.27          ,-25.14               ,-37.94                         ,-37.3                     ,3.5                          ,-22.88          ,-34.91                  ,-33.92       ,-41.2               ,-30.51  ,32.19                ,-34.93                    ,-2.69   ,-34.83               ,-14.77                       ,-17.94            ,1.73                 ,        0.97 ,1117.57           ,374.39       ,-75.4                           ,-64.23       ,-33.92                     ,1.03               ,-5.77    ,163.42             ,-46.47                       ,15.04         ,486.4                 ,-14.52              ,-171.69    ,7.1                         ,-52.7          ,8.33                     ,-211.02                  ,29.72                          ,0.29                  ,-103.62                     ,-30.1                          ,6.53           ,-38.16         ,-93.92                      ,-159.69                        ,-108.77             ,0.29                 ,-569.34        ,17.33                ,-478.48                 ,0.3717755531776086
 2 ,2012 ,-5.21                    ,-22.83          ,35.88        ,11.52                      ,- -                    ,-13.7                   ,-51.5                       ,7.24          ,-13.82                      ,5.31                      ,116.94            ,4.57                        ,118.48              ,-31.99  ,-28.26            ,-13.7   ,-13.7   ,43.35            ,-8.96                ,141.01            ,-12.28             ,54.18              ,-53.16               ,-5.62                          ,-5.62                   ,8.01                    ,3.55        ,11.56           ,1.58                 ,22.95                          ,18.15                     ,186.63                       ,362.95          ,53.36                   ,47.42        ,31.09               ,-99.72  ,-64.77               ,-7.52                     ,28.27   ,36.77                ,30.71                        ,25.94             ,31.04                ,       14.38 ,-2.15             ,-6.94        ,165.03                          ,140.9        ,47.42                      ,15.23              ,26.35    ,-47.55             ,25.05                        ,9.85          ,408.95                ,8.06                ,61.12      ,-53.16                      ,-95.55         ,-30.77                   ,-124.43                  ,-46.64                         ,-9.55                 ,393.75                      ,130.47                         ,62.36          ,9.9            ,8285.71                     ,-1572.51                       ,-153.19             ,-9.55                ,-207.93        ,77.95                ,-76.64                  ,0.13050442751609292
 3 ,2013 ,-8.74                    ,-10.3           ,-6.68        ,-10.33                     ,- -                    ,-14.7                   ,-8.67                       ,-16.21        ,-26.91                      ,10.19                     ,-54.57            ,9.86                        ,-54.44              ,-7.52   ,1.34              ,-14.7   ,-14.7   ,2.26             ,-6.53                ,-45.15            ,-13.76             ,20.11              ,7.8                  ,-18.83                         ,-18.83                  ,-2.03                   ,10.86       ,-39.64          ,-12.53               ,17.73                          ,14.53                     ,9.36                         ,-2.03           ,13.64                   ,11.57        ,14.39               ,22500   ,-5.88                ,28.02                     ,5.76    ,5.83                 ,5.78                         ,7.82              ,3.94                 ,        0.28 ,9.71              ,-54.7        ,2.36                            ,20.12        ,11.57                      ,0.29               ,10.11    ,-8.33              ,15.55                        ,-31.67        ,70.65                 ,5.82                ,-37.28     ,7.8                         ,963.04         ,2.78                     ,-865.62                  ,20.82                          ,41.24                 ,- -                         ,-41.45                         ,32.35          ,-22.58         ,-55.29                      ,-66.7                          ,216                 ,41.24                ,95.24          ,0.5                  ,141.35                  ,-0.0682606324066175
 4 ,2014 ,11.33                    ,9.11            ,14.15        ,29.1                       ,- -                    ,-2.76                   ,-861.69                     ,231.85        ,243.89                      ,5.33                      ,366.77            ,5.31                        ,366.86              ,14.75   ,3.07              ,-2.76   ,-2.76   ,2.53             ,-12.66               ,341.61            ,-18.94             ,36.52              ,44.29                ,-64.76                         ,-64.76                  ,68.99                   ,19.07       ,108.96          ,12.3                 ,54.21                          ,41.1                      ,92.66                        ,322.01          ,91.18                   ,86.29        ,-2.95               ,254.87  ,90.62                ,29.45                     ,83.99   ,41.99                ,71.35                        ,66.79             ,27.52                ,        8.91 ,-11.2             ,107.93       ,80.45                           ,126.12       ,86.29                      ,9.37               ,96.83    ,-12.95             ,-17.34                       ,-13.25        ,-38.8                 ,37.34               ,250.15     ,44.29                       ,-339.47        ,43.24                    ,-193.47                  ,-4.6                           ,12.85                 ,- -                         ,150.67                         ,43.79          ,171.25         ,88.95                       ,353.25                         ,179.11              ,12.85                ,41.4           ,15.91                ,-80.6                   ,0.09956479807767349
 5 ,2015 ,-3.63                    ,-16.39          ,11.9         ,12.1                       ,- -                    ,-10.4                   ,-227.81                     ,-146.71       ,-154.99                     ,4.16                      ,-125.3            ,3.54                        ,-125.45             ,16.83   ,21.23             ,-10.4   ,-10.4   ,16.11            ,-7.02                ,-127.34           ,-1.22              ,24.83              ,47.79                ,-58.33                         ,-58.33                  ,-8.6                    ,-45.02      ,-7.5            ,-19.21               ,5.33                           ,7.15                      ,-12.67                       ,-13.24          ,-2.42                   ,-3.05        ,1.7                 ,-15.84  ,23.77                ,-2.73                     ,14      ,-6.49                ,8.89                         ,7.91              ,-0.74                ,        0.26 ,43.48             ,29.62        ,-29.95                          ,-19.57       ,-3.05                      ,0.27               ,13.69    ,41.35              ,-27.83                       ,-16.94        ,-20.85                ,-2.43               ,-156.18    ,47.79                       ,-306.4         ,54.72                    ,-28.82                   ,26.62                          ,-21.43                ,- -                         ,-67.52                         ,30.03          ,33.48          ,-97.52                      ,-93.67                         ,-68.25              ,-21.43               ,-74.48         ,-41.62               ,-580.56                 ,-0.3841395742289829
 6 ,2016 ,1.89                     ,-0.49           ,4.05         ,-2.43                      ,- -                    ,30.72                   ,-32.42                      ,-77.6         ,-72.74                      ,0.19                      ,-24.02            ,0.19                        ,-24.02              ,13.39   ,11.28             ,30.72   ,30.72   ,2.12             ,28.29                ,-25.29            ,19.6               ,-31.45             ,1.44                 ,70                             ,70                      ,-9.89                   ,8.66        ,-16.6           ,-4.26                ,-3.89                          ,-0.33                     ,-8.66                        ,-3.16           ,-4.46                   ,-4.46        ,0.06                ,30.07   ,164.24               ,18.1                      ,-4.99   ,11.26                ,-1.51                        ,-0.02             ,0.52                 ,        0.13 ,21.22             ,-23.3        ,-24.48                          ,-13.43       ,-4.46                      ,0.13               ,-4.33    ,10.52              ,-25.92                       ,-18.93        ,-47.42                ,-14.81              ,-73.36     ,1.44                        ,-42.28         ,-10.98                   ,-625.15                  ,36.82                          ,-35.24                ,- -                         ,-87.39                         ,-31.32         ,-33.2          ,43.02                       ,-760.71                        ,-150                ,-35.24               ,-429.86        ,31.44                ,79.74                   ,0.216449769408688
 7 ,2017 ,7.09                     ,15.71           ,-0.4         ,-15.91                     ,- -                    ,10.54                   ,-38.38                      ,-242.67       ,-816.86                     ,10.06                     ,-565.88           ,10.37                       ,-564.56             ,4.15    ,-2.75             ,10.54   ,10.54   ,-7               ,3.21                 ,-578.77           ,10.63              ,-28.52             ,-1.53                ,428.82                         ,428.82                  ,4.05                    ,-18.12      ,-11.57          ,49.04                ,-0.76                          ,1.54                      ,-2.22                        ,-8.14           ,-2.64                   ,-1.03        ,3.53                ,-42.94  ,3.76                 ,-10.27                    ,-9.68   ,-1.65                ,-7.74                        ,-7.97             ,23.59                ,        9.68 ,-12.59            ,-29.79       ,107.97                          ,15.16        ,-1.03                      ,10.13              ,-14.13   ,-25.43             ,66.72                        ,66.11         ,90.64                 ,-3.19               ,-816.86    ,-1.53                       ,-191.25        ,6.85                     ,-148.6                   ,-30.24                         ,18.97                 ,- -                         ,-252.16                        ,-21.33         ,-48.94         ,1632.52                     ,-22.59                         ,941.43              ,18.97                ,-92.81         ,24.83                ,-113.61                 ,-0.17400865566056045
 8 ,2018 ,8.16                     ,13.21           ,3.05         ,-6.41                      ,- -                    ,14.04                   ,37.37                       ,-38.13        ,-92.31                      ,17.85                     ,-106.09           ,17.51                       ,-106.11             ,6.69    ,-1.35             ,14.04   ,14.04   ,-4.72            ,5.44                 ,-106.59           ,10.25              ,18.56              ,-0.63                ,-81.31                         ,-81.31                  ,1.64                    ,15.04       ,-8.9            ,-32.81               ,-2.51                          ,-2.16                     ,19.37                        ,-9.53           ,-0.76                   ,-2.27        ,-12.19              ,-90.62  ,-41.06               ,-31.56                    ,9.46    ,-27.76               ,-0.13                        ,-2.89             ,33.92                ,       44.6  ,18.59             ,13.45        ,51.82                           ,-1.1         ,-2.27                      ,46.56              ,11.03    ,12.27              ,11.06                        ,-1.84         ,-5.43                 ,-1.9                ,-92.31     ,-0.63                       ,-226.39        ,-29.49                   ,-43.75                   ,28.83                          ,33.73                 ,- -                         ,-530.49                        ,39.72          ,17.79          ,-99.3                       ,-47.2                          ,-200.27             ,33.73                ,-74.14         ,-37.18               ,-1907                   ,-0.17638303970571179
 9 ,2019 ,-5.58                    ,-17.27          ,7.38         ,-1.93                      ,- -                    ,20.92                   ,-19.48                      ,221.45        ,277.72                      ,24.49                     ,-536.15           ,24.69                       ,-535.44             ,10.87   ,17.42             ,20.92   ,20.92   ,13.73            ,28.07                ,-680.82           ,4.42               ,6.76               ,-0.64                ,72.02                          ,72.02                   ,0.4                     ,-3.85       ,-2.3            ,7.92                 ,6.17                           ,7.37                      ,-20.28                       ,6.01            ,1.42                    ,1.63         ,20.26               ,4453.19 ,- -                  ,119.11                    ,-9.92   ,8.45                 ,-6.5                         ,1.27              ,-1.42                ,        0.16 ,10                ,-26.3        ,-8.85                           ,2.29         ,1.63                       ,0.12               ,-1.11    ,-3.33              ,0.67                         ,-50.74        ,-69.92                ,-9.58               ,269.95     ,-0.64                       ,-20.82         ,3.64                     ,-96.15                   ,12.15                          ,-34.14                ,- -                         ,3.74                           ,32.9           ,-80.46         ,-33.33                      ,-42.65                         ,-116.55             ,-34.14               ,5046.67        ,50.88                ,-120.45                 ,-0.14698853369528853
