   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,6.93                     ,4.92            ,9.07         ,31.69                      ,- -                    ,10.31                   ,4.77                        ,12.47         ,9.69                        ,1.23                      ,9.73              ,1.37                        ,9.58                ,8.94   ,1.88              ,3.43  ,10.31  ,2                ,3.16                 ,3.81              ,7.51               ,              2.88 ,19.5                 ,0.6                            ,0.6                     ,-3.58                   ,-0.95       ,4.44            ,-1.11                ,                         11.64 ,                     7.82 ,6.85                         ,-11.27          ,                   8.49 ,        7.45 ,-4.14               ,-47.96  ,15.95                ,-15.88                    ,17.42   ,                2.82 ,                       10.46 ,             6.07 ,8.81                 ,5.43         ,            19.91 ,6.81         ,                          10.83 ,       10.83 ,                      7.45 ,5.43               ,   10.17 ,-0.6               ,3.29                         ,17.55         ,11.25                 ,-0.54               ,9.69       ,                       6.75 ,-1.61          ,20.68                    ,212.46                   ,-1.28                          ,65.08                 ,-65.76                      ,61.8                           ,          4.14 ,106.64         ,2171.19                     ,-380.87                        ,-94.8               ,65.08                ,-902.57        ,-15.05               ,-11.07                  ,0.03305968103154511
 1 ,2011 ,3.33                     ,-0.33           ,7.07         ,17.33                      ,- -                    ,9.98                    ,9.4                         ,10.19         ,11.89                       ,4.97                      ,5.75              ,4.8                         ,5.93                ,7.46   ,3.99              ,17.33 ,9.98   ,3.61             ,6.43                 ,7.7               ,3.13               ,              4.66 ,-8.89                ,-44.04                         ,-44.04                  ,1.03                    ,10.24       ,35.45           ,9.15                 ,                          8.18 ,                     7.16 ,-0.88                        ,7.25            ,                   7.54 ,        7.7  ,-1.67               ,145.09  ,64.88                ,41.48                     ,-4.48   ,               15.93 ,                        4.58 ,             9.46 ,1.69                 ,0.86         ,            19.44 ,77.11        ,                           3.59 ,        3.59 ,                      7.7  ,0.86               ,    4.03 ,0.43               ,-2.57                        ,-22.85        ,-116.49               ,0.19                ,11.89      ,                       3.29 ,24.11          ,25.69                    ,-112.66                  ,27.01                          ,-25.23                ,- -                         ,-19.91                         ,          9.87 ,-51.96         ,-91.54                      ,-122.69                        ,562.22              ,-25.23               ,-118.94        ,30.04                ,14.13                   ,0.22314120613905342
 2 ,2012 ,-4.94                    ,29.39           ,-37.5        ,-97.38                     ,- -                    ,2.31                    ,-0.98                       ,3.49          ,7.59                        ,0.59                      ,7.86              ,0.58                        ,7.87                ,2.78   ,8.13              ,2.22  ,2.31   ,-34.25           ,7.62                 ,13.21             ,-3.97              ,              1.93 ,3.98                 ,35.66                          ,35.66                   ,-4.19                   ,-13.37      ,-27.38          ,-11.98               ,                          6.51 ,                     5.47 ,10.55                        ,14.48           ,                   7.55 ,        5.57 ,6.18                ,-32.74  ,-39.93               ,-18.16                    ,14.64   ,                7.08 ,                       10.92 ,             5.96 ,0.45                 ,0.3          ,            18.76 ,19.8         ,                           4.62 ,        4.62 ,                      5.57 ,0.3                ,    8.49 ,3.7                ,-0.9                         ,7.54          ,453.31                ,-1.01               ,7.59       ,                       3.62 ,-14.62         ,-40.07                   ,-1310.2                  ,-16.66                         ,16.53                 ,-311.14                     ,3.79                           ,          2.53 ,159.97         ,-127.08                     ,-270.25                        ,-145.31             ,16.53                ,-382.79        ,-4.14                ,-22.56                  ,-0.12924766379465846
 3 ,2013 ,7.77                     ,10.41           ,2.59         ,12.59                      ,- -                    ,1.36                    ,-11.11                      ,5.67          ,4.75                        ,1.68                      ,3.02              ,1.66                        ,3.04                ,2.73   ,-4.67             ,1.37  ,1.36   ,-4.81            ,-5.94                ,-2.8              ,4.2                ,              3.87 ,5.59                 ,30.15                          ,30.15                   ,3.62                    ,7.65        ,76.24           ,22.59                ,                          9.71 ,                     7.9  ,8.54                         ,-8.97           ,                   7.62 ,        8.88 ,22.11               ,20.88   ,38.19                ,24.43                     ,7.56    ,                6.43 ,                        7.02 ,             9.32 ,4.43                 ,2.05         ,            16.33 ,-5.66        ,                           7.8  ,        7.8  ,                      8.88 ,2.05               ,    8.44 ,0.6                ,-1                           ,-1.48         ,-138.43               ,3.42                ,4.75       ,                       5.12 ,7.36           ,-8.74                    ,-114.64                  ,28.9                           ,32.1                  ,37.73                       ,37.74                          ,          5.61 ,-20.01         ,-2311.73                    ,87                             ,14.7                ,32.1                 ,43.48          ,-17.03               ,23.05                   ,-0.2081412084760066
 4 ,2014 ,7.07                     ,7.33            ,6.51         ,-16.51                     ,- -                    ,5.44                    ,-2.97                       ,7.88          ,7.71                        ,1.57                      ,6.04              ,1.53                        ,6.09                ,5.15   ,-1.79             ,5.61  ,5.44   ,-0.52            ,-1.51                ,0.6               ,6.06               ,              7.53 ,4.21                 ,-25.7                          ,-25.7                   ,8.64                    ,3.58        ,2.69            ,4.55                 ,                         10.09 ,                     8.16 ,4.37                         ,6.85            ,                   9.46 ,        9    ,-3.04               ,22.84   ,34.26                ,11.22                     ,5.4     ,               14.35 ,                        9.63 ,             9.87 ,3.46                 ,1.56         ,            14.71 ,1.75         ,                           6.78 ,        6.78 ,                      9    ,1.56               ,    7.21 ,0.4                ,-2.03                        ,-6            ,66.9                  ,0.95                ,7.71       ,                       4.65 ,18.54          ,30.78                    ,-258.95                  ,2.48                           ,-5.76                 ,-65.33                      ,-2.99                          ,          9.22 ,-41.51         ,-21.99                      ,-32.51                         ,-210.94             ,-5.76                ,-32.01         ,35.32                ,-4.85                   ,0.22101244817200727
 5 ,2015 ,-5.66                    ,-11.54          ,6.86         ,-44.37                     ,- -                    ,2.69                    ,17.44                       ,-1.16         ,-3.61                       ,0.82                      ,-4.39             ,0.77                        ,-4.34               ,4.86   ,11.16             ,2.17  ,2.69   ,13.27            ,8.85                 ,2.18              ,-5.63              ,              7.16 ,10.35                ,6.7                            ,6.7                     ,-11.29                  ,1.91        ,-26.06          ,-13.49               ,                          8.52 ,                     6.79 ,3.84                         ,1.01            ,                   7.59 ,        5.67 ,-8.06               ,17.68   ,-8.88                ,-0.15                     ,8.62    ,                6.48 ,                        7.56 ,             6.39 ,0.79                 ,0.36         ,            10.3  ,1.49         ,                           3.78 ,        3.78 ,                      5.67 ,0.36               ,    9.54 ,5.55               ,-1.79                        ,-13.36        ,-139.51               ,-0.03               ,-3.61      ,                       8.54 ,26.37          ,39.58                    ,-182.46                  ,14.26                          ,15.1                  ,194.87                      ,16.22                          ,          8.04 ,94.16          ,-96.12                      ,36.41                          ,-119.36             ,15.1                 ,19.14          ,-12.52               ,18.53                   ,0.04571057141615498
 6 ,2016 ,0.75                     ,-3.14           ,7.59         ,-12.41                     ,- -                    ,10.66                   ,7.6                         ,11.62         ,14.11                       ,0.2                       ,13.88             ,0.2                         ,13.88               ,12.3   ,11.46             ,10.4  ,10.66  ,6.8              ,9.84                 ,13.26             ,2.28               ,             11.97 ,15.89                ,-0.55                          ,-0.55                   ,9.18                    ,-0.72       ,-22.71          ,-2.35                ,                          5.24 ,                     5.43 ,9.92                         ,11.38           ,                   6    ,        5.38 ,6.9                 ,-56.92  ,-9.08                ,-19.99                    ,13.64   ,                6.63 ,                       10.22 ,             5.91 ,-0.12                ,-0.06        ,            12.07 ,0.55         ,                           3.96 ,        3.96 ,                      5.38 ,-0.06              ,    6.1  ,2.06               ,-1.35                        ,22.05         ,100.98                ,-1.5                ,14.11      ,                      14.91 ,-14.05         ,-8.36                    ,-263.1                   ,0.87                           ,-13.25                ,221.82                      ,-9.97                          ,         12.19 ,49.04          ,-559.41                     ,-65.36                         ,-108.7              ,-13.25               ,-78.29         ,21.36                ,-11.6                   ,0.07601941255785527
 7 ,2017 ,2.67                     ,1.53            ,4.5          ,-11.06                     ,- -                    ,-1.08                   ,-1.82                       ,-0.86         ,2.19                        ,- -                       ,2.19              ,- -                         ,2.19                ,4.09   ,1.38              ,-1.12 ,-1.08  ,1.77             ,-3.65                ,-0.47             ,6.16               ,              5.95 ,13.49                ,-1.75                          ,-1.75                   ,3.64                    ,0.96        ,11.08           ,4.61                 ,                          4.53 ,                     4.49 ,14.59                        ,-1.44           ,                   4.55 ,        4.56 ,10.84               ,96.28   ,2.29                 ,25.9                      ,2.29    ,                2.16 ,                        2.23 ,             4.78 ,0.24                 ,0.07         ,            10.83 ,13.27        ,                           3.94 ,        3.94 ,                      4.56 ,0.11               ,    6.44 ,2.4                ,-0.59                        ,-16.91        ,-191.73               ,-3.28               ,2.19       ,                      12.07 ,8.44           ,38.45                    ,143.5                    ,2.41                           ,1.53                  ,-58.67                      ,1.06                           ,          5.95 ,-37.37         ,-90.69                      ,-19.48                         ,331.03              ,1.53                 ,-17.31         ,15.08                ,0.22                    ,0.024929694380097844
 8 ,2018 ,1.17                     ,2.41            ,-0.76        ,- -                        ,- -                    ,-10.27                  ,4.6                         ,-14.67        ,9.84                        ,0.39                      ,9.41              ,0.39                        ,9.41                ,-1.4   ,-2.53             ,-9.31 ,-10.27 ,-1.9             ,-11.31               ,8.58              ,1.55               ,              0.85 ,11.02                ,77.11                          ,77.11                   ,3.46                    ,-10.16      ,9.04            ,4.07                 ,                          7.62 ,                     6.58 ,-3.34                        ,9.04            ,                   7.08 ,        6.87 ,0.39                ,13.61   ,24.84                ,9.1                       ,8.84    ,                4.13 ,                        6.61 ,             6.94 ,3.99                 ,1.26         ,            10.88 ,-0.8         ,                           6.7  ,        6.7  ,                      6.87 ,1.24               ,    8.86 ,2.03               ,-0.16                        ,-4.61         ,171.15                ,-0.38               ,9.84       ,                      10.69 ,-77.54         ,-21.05                   ,-76.59                   ,-0.13                          ,21.98                 ,-28.57                      ,20.93                          ,          1.25 ,10.34          ,-7733.33                    ,452.38                         ,-3300               ,21.98                ,607.63         ,-7.33                ,-9.08                   ,0.12116282702248393
 9 ,2019 ,-0.07                    ,-3.92           ,6.06         ,- -                        ,- -                    ,7.07                    ,15.49                       ,4.02          ,8.8                         ,1.57                      ,7.13              ,1.76                        ,6.92                ,6.99   ,7.07              ,6.61  ,7.07   ,6.14             ,7.15                 ,8.88              ,-2.06              ,              6.69 ,7.49                 ,68.71                          ,68.71                   ,-4.02                   ,-0.73       ,-1.66           ,0.61                 ,                         11.4  ,                    10.13 ,17.87                        ,-5.04           ,                  10.36 ,        9.7  ,5.25                ,-10.18  ,15.31                ,2.42                      ,19.95   ,                1.36 ,                       11.38 ,            10.2  ,6.9                  ,2.02         ,            10.63 ,13.71        ,                           8.32 ,        8.32 ,                      9.7  ,2.04               ,    7.93 ,-0.36              ,-1.26                        ,-1.76         ,39.87                 ,2.03                ,8.8        ,                       6.91 ,68             ,28.89                    ,278.57                   ,4.52                           ,6.77                  ,- -                         ,8.96                           ,          8.36 ,74.33          ,100                         ,27.26                          ,57.81               ,6.77                 ,15.21          ,23.38                ,-3.94                   ,0.03493204632955238
