   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA  ,EBITDA Margin (%) ,EBITA   ,EBIT    ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,22.77                    ,41.15           ,-6.26        ,-0.35                      ,- -                    ,50.95                   ,57.97                       ,52.28         ,59.72                       ,1.1                       ,56.27             ,1.01                        ,56.4                ,42.9    ,16.39             ,50.95   ,50.95   ,-23.65           ,22.95                ,28.68             ,21.59              ,              4.77 ,23.86                ,-27.94                         ,-26.82                  ,16.78                   ,12.32       ,13.95           ,6.79                 ,43.44                          ,22.24                     ,11.6                         ,18.24           ,36.74                   ,29.65        ,20.69               ,12.56   ,- -                  ,20.31                     ,71.51   ,27.63                ,32.38                        ,27.05             ,70.29                ,- -          ,7.93              ,-11.68       ,32.8                            ,32.31        ,29.65                      ,5.33               ,-760.75  ,-599.39            ,5.54                         ,-11.24        ,-51.03                ,0.97                ,59.72      ,23.86                       ,-19.62         ,- -                      ,-431.75                  ,70.24                          ,19.47                 ,-49.98                      ,7.96                           ,          5.92 ,56.95          ,-36.41                      ,-1.32                          ,-87.23              ,19.47                ,262.23         ,-27.38               ,7.76                    ,-0.02653740241338909
 1 ,2011 ,30.57                    ,35.68           ,341.22       ,2.04                       ,- -                    ,72.2                    ,- -                         ,38.33         ,34.42                       ,-0.31                     ,35.21             ,-0.55                       ,35.55               ,55.04   ,18.74             ,72.2    ,72.2    ,-9.31            ,31.89                ,3.24              ,36.63              ,              6.47 ,5.58                 ,61.8                           ,61.84                   ,19.69                   ,15.78       ,12.48           ,23.7                 ,7.58                           ,5.36                      ,-2.84                        ,5.23            ,5.98                    ,9.44         ,16.62               ,176.68  ,- -                  ,23.74                     ,-23.76  ,11.35                ,6.43                         ,13.67             ,103.01               ,- -          ,10.72             ,89.16        ,5.15                            ,5.28         ,9.44                       ,-4.92              ,-56.43   ,-58.62             ,-3.79                        ,-0.04         ,-253.27               ,-4.44               ,34.42      ,5.58                        ,-9.94          ,- -                      ,-126.32                  ,14.32                          ,15.27                 ,233.58                      ,-8.42                          ,          6.14 ,35.76          ,75.36                       ,4.95                           ,-281.36             ,15.27                ,13.13          ,0.96                 ,-15.19                  ,0.186708100612903
 2 ,2012 ,-6.85                    ,-1.1            ,-79.2        ,-7.38                      ,- -                    ,-31.91                  ,176.88                      ,7.47          ,12.97                       ,-4.97                     ,15.02             ,-4.97                       ,15.02               ,-25.97  ,-20.53            ,-31.91  ,-31.91  ,-16.81           ,-26.9                ,17.34             ,20.04              ,             17.74 ,1.96                 ,-24.34                         ,-24.34                  ,-9.46                   ,-3.21       ,-19.36          ,-11.65               ,5.72                           ,3.89                      ,1.12                         ,-15.66          ,4.36                    ,0.83         ,-13.34              ,-52.63  ,- -                  ,-17.25                    ,-14.95  ,7.89                 ,5.6                          ,-4.8              ,1.48                 ,1.48         ,10.51             ,33.55        ,7.43                            ,6.79         ,0.83                       ,-4.9               ,-36.17   ,-40.23             ,5.91                         ,6.76          ,-87.32                ,-22.4               ,12.97      ,1.96                        ,460.47         ,- -                      ,-161.96                  ,1.49                           ,10.64                 ,-73.49                      ,15.5                           ,         11.88 ,-41.28         ,-1.21                       ,19.86                          ,-167                ,10.64                ,-10.14         ,-9.43                ,-7.15                   ,-0.08704334591432938
 3 ,2013 ,-3.28                    ,-5.54           ,-12.63       ,-7.21                      ,- -                    ,-862.9                  ,1419.34                     ,-26.69        ,-29.85                      ,-4.52                     ,-23.97            ,-4.52                       ,-23.97              ,-652.48 ,-671.23           ,-862.9  ,-862.9  ,8.14             ,-888.79              ,-24.94            ,-0.83              ,             12.86 ,8.14                 ,-51.53                         ,-51.53                  ,-5.24                   ,10.95       ,0.52            ,-7.99                ,-76.74                         ,-40.47                    ,4.64                         ,2487.23         ,6.74                    ,3.9          ,-7.56               ,332.74  ,- -                  ,11.83                     ,-13.08  ,-2.63                ,-3.48                        ,2.58              ,4.39                 ,4.39         ,5.93              ,-11.97       ,4.91                            ,5.15         ,3.9                        ,-3.71              ,784.44   ,741.15             ,1.2                          ,-17.72        ,-335.35               ,-2.47               ,-29.85     ,8.14                        ,-87.59         ,- -                      ,-852.79                  ,-20.04                         ,-1.76                 ,356.28                      ,33.59                          ,          7.76 ,533.54         ,-23.6                       ,-54.3                          ,44.38               ,-1.76                ,-48.65         ,29.86                ,10.15                   ,-0.09482865094769322
 4 ,2014 ,-6.0                     ,-5.71           ,-8.77        ,-2.17                      ,- -                    ,-5.32                   ,-6                          ,-10.54        ,0.5                         ,-3.1                      ,3.01              ,-3.1                        ,3.01                ,-5.6    ,0.43              ,-5.32   ,-5.32   ,-0.99            ,0.73                 ,6.19              ,-6.38              ,              9.78 ,0.67                 ,-0.6                           ,-0.6                    ,-15.51                  ,3.37        ,-32.92          ,-10.79               ,10.92                          ,3.7                       ,-3                           ,2.22            ,3.16                    ,0.77         ,-15.65              ,10.5    ,- -                  ,-9.89                     ,69.1    ,5.07                 ,9.73                         ,1.27              ,7.1                  ,7.1          ,5.41              ,76.76        ,0.23                            ,0.32         ,0.77                       ,-3.09              ,36.48    ,36.05              ,-0.46                        ,-1            ,-359.85               ,0.4                 ,0.5        ,0.67                        ,-13.25         ,- -                      ,4.49                     ,0.45                           ,-2.13                 ,-63.22                      ,-21.13                         ,          6.37 ,-37.12         ,-17.53                      ,15.59                          ,-105.31             ,-2.13                ,8.17           ,-10.29               ,0.64                    ,-0.17446619984497735
 5 ,2015 ,-34.73                   ,-34.18          ,-34.06       ,-8.71                      ,- -                    ,-106.1                  ,- -                         ,-57.45        ,-50.76                      ,-2.01                     ,-49.32            ,-2.01                       ,-49.32              ,-111.67 ,-117.87           ,-106.1  ,-106.1  ,-2.66            ,-109.34              ,-23.92            ,-33.13             ,              6.65 ,4.34                 ,-19.74                         ,-19.74                  ,-29.04                  ,-2.6        ,-22.43          ,-19.44               ,-4.57                          ,-0.42                     ,-2.82                        ,0.6             ,-0.83                   ,-3.64        ,-25.34              ,7.41    ,- -                  ,-16.49                    ,70.99   ,-6.62                ,2.1                          ,-5.04             ,7.6                  ,7.6          ,0.99              ,24.02        ,-2.06                           ,-2.35        ,-3.64                      ,-1.07              ,39.84    ,43.21              ,1.34                         ,-3.54         ,98.8                  ,-2.39               ,-50.76     ,4.34                        ,32.18          ,- -                      ,-36.88                   ,-32.74                         ,-19.61                ,-62.78                      ,-11.68                         ,          4.51 ,25.8           ,-69.33                      ,-60.66                         ,-304.35             ,-19.61               ,-68.32         ,12.89                ,35.43                   ,-0.12065148096118705
 6 ,2016 ,-15.91                   ,-13.0           ,-26.44       ,-6.1                       ,- -                    ,-63.72                  ,- -                         ,-63.72        ,-49.4                       ,-0.45                     ,-51.23            ,-0.45                       ,-51.23              ,-24.33  ,-10.01            ,-63.72  ,-63.72  ,-11.43           ,-56.86               ,-42.27            ,-13.07             ,              3.47 ,23.6                 ,-1.3                           ,-1.3                    ,7.64                    ,-7.17       ,-54.07          ,-2.83                ,-38.19                         ,-2.93                     ,2.5                          ,7.47            ,-1.78                   ,-1.91        ,-3.99               ,-26.29  ,- -                  ,-11.74                    ,45.2    ,-7.13                ,2.71                         ,-2.17             ,4.69                 ,4.69         ,-1.12             ,-5.41        ,-2.04                           ,-1.69        ,-1.91                      ,-0.19              ,12.26    ,14.18              ,0.23                         ,10.1          ,53.07                 ,-3.27               ,-49.4      ,23.6                        ,531.26         ,- -                      ,-55.28                   ,-27.23                         ,-38.98                ,133.44                      ,-47.94                         ,          3    ,23.29          ,-75.93                      ,32.06                          ,-174.66             ,-38.98               ,53.58          ,71.83                ,49.91                   ,0.10347027144239607
 7 ,2017 ,4.9                      ,1.53            ,40.43        ,1.45                       ,- -                    ,51.51                   ,-98.4                       ,134.33        ,136.99                      ,1.92                      ,146.68            ,1.92                        ,146.68              ,5.58    ,0.65              ,51.51   ,51.51   ,12.37            ,44.44                ,139.67            ,7.16               ,              2.44 ,-10.83               ,-13.13                         ,-13.13                  ,19.65                   ,12.68       ,6.46            ,13.81                ,-18.7                          ,3.44                      ,11.56                        ,6.87            ,4.38                    ,5.56         ,17.84               ,29.65   ,- -                  ,21.27                     ,-15.64  ,-9.89                ,-11.42                       ,-1.47             ,20.56                ,20.56        ,1.65              ,-26.88       ,12.17                           ,11.89        ,5.56                       ,2.19               ,-0.13    ,-10.74             ,5.99                         ,-6.16         ,15.51                 ,-2.11               ,136.99     ,-10.83                      ,25.2           ,- -                      ,-53.38                   ,36.16                          ,-4.71                 ,288.64                      ,26.82                          ,          4.4  ,-67.05         ,-23.07                      ,62.81                          ,-305.7              ,-4.71                ,147.74         ,-20.02               ,-45.84                  ,-0.23226818906460145
 8 ,2018 ,22.37                    ,16.11           ,23.32        ,4.78                       ,- -                    ,156.36                  ,- -                         ,65.75         ,7.93                        ,0.3                       ,5.41              ,0.3                         ,5.41                ,55.47   ,27.05             ,156.36  ,156.36  ,16.97            ,109.5                ,-13.59            ,19.96              ,              5.81 ,-5.77                ,-4.25                          ,-4.25                   ,-3.5                    ,11.57       ,-7.02           ,1.78                 ,-39.41                         ,-2.19                     ,4.16                         ,2.6             ,-1.11                   ,-0.72        ,0.1                 ,-3.75   ,- -                  ,-1.1                      ,-15.85  ,-2.81                ,-6.11                        ,-4.23             ,4.11                 ,4.11         ,1.72              ,20.31        ,2.19                            ,2.07         ,-0.72                      ,-0.05              ,-11.58   ,-13.37             ,2.81                         ,2.91          ,-6.87                 ,2.01                ,7.93       ,-5.77                       ,-69.02         ,- -                      ,108.94                   ,19.78                          ,27.09                 ,-64.03                      ,4.55                           ,          6.13 ,-98.84         ,-16.2                       ,28.53                          ,-115.37             ,27.09                ,12.11          ,-33.27               ,13.29                   ,-0.08856081129989468
 9 ,2019 ,-8.71                    ,-5.66           ,-17.38       ,-0.71                      ,- -                    ,755.94                  ,-3810.33                    ,-35.2         ,-31.03                      ,- -                       ,-31.19            ,- -                         ,-31.19              ,471.32  ,525.82            ,755.94  ,755.94  ,-8.99            ,837.59               ,-24.63            ,-13.46             ,              6.19 ,1.35                 ,1.55                           ,1.55                    ,9.17                    ,-2.27       ,15.49           ,4.33                 ,13.65                          ,2.39                      ,5.82                         ,4               ,4.8                     ,4.74         ,8.85                ,19.24   ,- -                  ,11.99                     ,28.26   ,4.77                 ,10.1                         ,10.83             ,-48.76               ,2.48         ,-0.07             ,-0.36        ,-0.08                           ,0.21         ,4.74                       ,-0.07              ,26.04    ,25.78              ,-4.33                        ,-6.84         ,1.09                  ,5.49                ,-31.03     ,1.35                        ,78.08          ,- -                      ,-168.07                  ,-17.49                         ,24.46                 ,97.12                       ,40.36                          ,          6.19 ,27521.74       ,-5.11                       ,-65.97                         ,-88.52              ,24.46                ,-67.43         ,3.85                 ,19.91                   ,-0.21645216975724946
