   ,Date ,Sales & Services Revenue ,Cost of Revenue ,Gross Profit ,"Selling, General & Admin" ,Research & Development ,Operating Income (Loss) ,Non-Operating (Income) Loss ,Pretax Income ,Income (Loss) from Cont Ops ,Basic Weighted Avg Shares ,"Basic EPS, GAAP" ,Diluted Weighted Avg Shares ,"Diluted EPS, GAAP" ,EBITDA ,EBITDA Margin (%) ,EBITA  ,EBIT   ,Gross Margin (%) ,Operating Margin (%) ,Profit Margin (%) ,Sales per Employee ,Dividend per Share ,Depreciation Expense ,"Cash, Cash Equivalents & STI" ,Cash & Cash Equivalents ,Accounts & Notes Receiv ,Inventories ,Other ST Assets ,Total Current Assets ,"Property, Plant & Equip, Net" ,"Property, Plant & Equip" ,LT Investments & Receivables ,Other LT Assets ,Total Noncurrent Assets ,Total Assets ,Payables & Accruals ,ST Debt ,Other ST Liabilities ,Total Current Liabilities ,LT Debt ,Other LT Liabilities ,Total Noncurrent Liabilities ,Total Liabilities ,Share Capital & APIC ,Common Stock ,Retained Earnings ,Other Equity ,Equity Before Minority Interest ,Total Equity ,Total Liabilities & Equity ,Shares Outstanding ,Net Debt ,Net Debt to Equity ,Tangible Common Equity Ratio ,Current Ratio ,Cash Conversion Cycle ,Number of Employees ,Net Income ,Depreciation & Amortization ,Non-Cash Items ,Stock-Based Compensation ,Chg in Non-Cash Work Cap ,Cash from Operating Activities ,Acq of Fixed & Intang ,Net Change in LT Investment ,Cash from Investing Activities ,Dividends Paid ,Cash From Debt ,Cash (Repurchase) of Equity ,Cash from Financing Activities ,Net Changes in Cash ,Capital Expenditures ,Free Cash Flow ,Price/Free Cash Flow ,Cash Flow to Net Income ,Performance
 0 ,2010 ,4.68                     ,0.84            ,15.77        ,4.76                       ,- -                    ,14.21                   ,14.43                       ,14.18         ,8.77                        ,0.64                      ,7.44              ,0.62                        ,7.46                ,10.83  ,5.88              ,14.21  ,14.21  ,10.59            ,9.11                 ,3.29              ,-3.08              ,13.09              ,1.55                 ,303.97                         ,303.97                  ,7.11                    ,54.92       ,-10.53          ,91.47                ,-1.77                          ,-1.99                     ,6.94                         ,6.43            ,1.06                    ,16.34        ,48.35               ,1040.68 ,-76.32               ,48.09                     ,-9.11   ,9.37                 ,-4.15                        ,10.16             ,-66.01               ,- -          ,72.39             ,1.34         ,53.76                           ,49.82        ,16.34                      ,- -                ,-25.78   ,-50.46             ,3653.14                      ,29.29         ,5.84                  ,8                   ,8.77       ,1.55                        ,-139.2         ,-16.07                   ,-213.43                  ,40.17                          ,-0.13                 ,-46.09                      ,-20.36                         ,13.81          ,-29.86         ,- -                         ,-37.82                         ,679.26              ,-0.13                ,93.08          ,11.94                ,29.64                   ,0.3049258448550274
 1 ,2011 ,11.31                    ,12.56           ,8.16         ,9.37                       ,- -                    ,11.34                   ,63.51                       ,4.08          ,13.33                       ,-1.05                     ,15.12             ,-1.03                       ,15.09               ,10.19  ,-1.01             ,11.34  ,11.34  ,-2.83            ,0.03                 ,2.33              ,-9.71              ,17.99              ,6.62                 ,-15.99                         ,-15.99                  ,11.72                   ,44.44       ,27.6            ,0.35                 ,5.54                           ,2.31                      ,8.44                         ,14.12           ,8.5                     ,6.23         ,21.23               ,-52.45  ,1.79                 ,0.08                      ,2.81    ,14.56                ,6.41                         ,4.08              ,-58.14               ,- -          ,19.51             ,8.81         ,15.67                           ,14.8         ,6.23                       ,-1.92              ,-1.99    ,-14.62             ,59.98                        ,0.26          ,39.08                 ,23.28               ,13.33      ,6.62                        ,-116.33        ,25.53                    ,41.45                    ,10.26                          ,18.09                 ,- -                         ,73.75                          ,16.75          ,15.43          ,102.7                       ,319.29                         ,-123.67             ,18.09                ,4.95           ,6.43                 ,-3.19                   ,0.2275880899777416
 2 ,2012 ,7.98                     ,9.25            ,4.65         ,-0.46                      ,- -                    ,5.74                    ,-101.93                     ,29.29         ,20.45                       ,-1.71                     ,23.18             ,-1.66                       ,23.12               ,5.02   ,-2.74             ,5.74   ,5.74   ,-3.08            ,-2.07                ,12.13             ,-3.79              ,15.06              ,2.71                 ,-35.23                         ,-35.23                  ,5.24                    ,14.65       ,-7.98           ,-17.75               ,5.15                           ,1.68                      ,-56.89                       ,20.66           ,9.04                    ,2            ,1.29                ,-96.88  ,19.3                 ,-10.69                    ,-2.17   ,11.35                ,2.28                         ,-2.31             ,- -                  ,- -          ,11.4              ,-46.56       ,18.16                           ,17.59        ,2                          ,-1.96              ,2.22     ,-13.07             ,-39.09                       ,-7.9          ,-8.05                 ,12.23               ,20.45      ,2.71                        ,787.5          ,-15.25                   ,-47.91                   ,5.71                           ,16.91                 ,- -                         ,-0.1                           ,13.1           ,- -            ,28.32                       ,21.44                          ,71.49               ,16.91                ,-2.85          ,-1.95                ,-12.69                  ,0.012242727250191932
 3 ,2013 ,-4.03                    ,-4.85           ,-1.78        ,-6.49                      ,- -                    ,-15.9                   ,-3628.57                    ,-27.69        ,-33.83                      ,-1.95                     ,-30.32            ,-2.54                       ,-29.91              ,-9.49  ,-5.69             ,-15.9  ,-15.9  ,2.34             ,-12.37               ,-28.82            ,-6.88              ,15.3               ,11.78                ,-26.16                         ,-26.16                  ,35.55                   ,-6.07       ,-19.85          ,-11.42               ,4.92                           ,6.24                      ,-26.39                       ,-10.36          ,-1.38                   ,-3.51        ,-33.74              ,610     ,518.38               ,3.52                      ,-0.48   ,-21.67               ,-8.07                        ,-4.32             ,- -                  ,- -          ,-8.05             ,-148.48      ,0.56                            ,-1.07        ,-3.51                      ,-1.77              ,11.54    ,12.74              ,34.91                        ,-14.43        ,-39.79                ,3.06                ,-33.83     ,11.78                       ,-743.66        ,-2                       ,-191.96                  ,-6.76                          ,-4.55                 ,- -                         ,-11.84                         ,13.05          ,62.13          ,-20.21                      ,-15.44                         ,-53.63              ,-4.55                ,-8.79          ,20.19                ,36.49                   ,-0.13434196930905862
 4 ,2014 ,1.49                     ,3.59            ,-4.07        ,0.5                        ,- -                    ,12.24                   ,139.27                      ,-7.99         ,-4.04                       ,-1.77                     ,-1.93             ,-1.74                       ,-1.97               ,9.45   ,7.84              ,12.24  ,12.24  ,-5.48            ,10.59                ,-5.08             ,1.87               ,10.74              ,2.5                  ,0.87                           ,0.87                    ,-20.34                  ,2.38        ,6.25            ,-2.66                ,0.87                           ,2.96                      ,-1.89                        ,-13.76          ,-4.35                   ,-4.03        ,51.44               ,276.06  ,-88.7                ,6.45                      ,5.45    ,-2.34                ,3.07                         ,4.25              ,- -                  ,- -          ,-17.36            ,-396.88      ,-28.58                          ,-28.04       ,-4.03                      ,-2.03              ,14.49    ,59.1               ,-18.34                       ,-8.56         ,-3.18                 ,-0.37               ,-4.04      ,2.5                         ,-7             ,12.24                    ,32.04                    ,-4.21                          ,-51.57                ,- -                         ,5.64                           ,8.78           ,-36.18         ,6.49                        ,-23.23                         ,-99.49              ,-51.57               ,41.38          ,19.94                ,-0.56                   ,-0.1304584884065444
 5 ,2015 ,-1.31                    ,-2.45           ,1.95         ,5.99                       ,- -                    ,-0.89                   ,-63.96                      ,25.23         ,27.13                       ,-2.03                     ,25.57             ,-2.21                       ,25.8                ,-0.36  ,0.96              ,-0.89  ,-0.89  ,3.3              ,0.42                 ,24.66             ,4.94               ,11.38              ,1.08                 ,27.51                          ,27.51                   ,16                      ,-23.92      ,-21.95          ,2.55                 ,-6.87                          ,-3.09                     ,17.31                        ,-0.56           ,-4.66                   ,-3.24        ,0.63                ,245.69  ,8.42                 ,28.08                     ,-0.75   ,-23.06               ,-7.21                        ,5.41              ,- -                  ,- -          ,-33.79            ,25.79        ,-41.11                          ,-39.59       ,-3.24                      ,-3.23              ,17.14    ,93.9               ,-92.65                       ,-19.93        ,88.32                 ,-5.96               ,27.13      ,1.08                        ,-108.47        ,3.64                     ,-195.59                  ,4.39                           ,-12.99                ,- -                         ,-27.14                         ,9.12           ,113.88         ,46.34                       ,15.98                          ,-16600              ,-12.99               ,10.12          ,-2.82                ,-15.15                  ,0.03229103095682051
 6 ,2016 ,-51.5                    ,-61.57          ,-23.92       ,-22.81                     ,- -                    ,-24.75                  ,-24.88                      ,-24.73        ,-21.57                      ,-9.43                     ,40.29             ,-9.71                       ,40.73               ,-33.96 ,36.15             ,-24.75 ,-24.75 ,56.87            ,55.15                ,161.99            ,172.14             ,12.52              ,-58.63               ,-4.48                          ,-4.48                   ,14.32                   ,-84.28      ,-9.86           ,-12.2                ,-48.44                         ,-46.51                    ,- -                          ,-14.09          ,-37.44                  ,-32.16       ,-78.13              ,-92.85  ,727.18               ,-55.67                    ,196.69  ,-26.97               ,143.03                       ,56.68             ,- -                  ,- -          ,-554.17           ,81.17        ,-720.86                         ,-683.69      ,-32.16                     ,-15.48             ,159.97   ,-144.54            ,-22673.53                    ,98.04         ,42.09                 ,-82.18              ,-23.42     ,-58.63                      ,155.56         ,40.35                    ,-105.38                  ,-43.71                         ,-3.39                 ,- -                         ,-96.48                         ,1.92           ,828.41         ,350.17                      ,-47.6                          ,204.85              ,-3.39                ,-54.21         ,72.84                ,-55.7                   ,0.13904126659149085
 7 ,2017 ,-7.52                    ,-13.52          ,0.79         ,-9.91                      ,- -                    ,9.04                    ,-495.62                     ,69.07         ,31.63                       ,-11.93                    ,-7.4              ,-11.25                      ,-8.1                ,4.41   ,12.9              ,9.04   ,9.04   ,8.98             ,17.9                 ,-11.81            ,38.72              ,-36.51             ,-18.12               ,116.19                         ,116.19                  ,-7.19                   ,-63.89      ,83.92           ,69.16                ,-21.44                         ,-24.16                    ,- -                          ,-39.71          ,-29.83                  ,-3.05        ,107.54              ,468.18  ,-76.41               ,10.45                     ,4.06    ,- -                  ,3.77                         ,4.59              ,- -                  ,- -          ,16.08             ,-37.41       ,11.99                           ,11.99        ,-3.05                      ,-6.48              ,-1.67    ,-12.2              ,11.84                        ,53.16         ,-60.18                ,-33.33              ,34.81      ,-18.12                      ,232.61         ,-18.75                   ,3571.43                  ,-14.45                         ,-25.53                ,- -                         ,-6233.33                       ,-44.09         ,-86.89         ,-63.72                      ,165.14                         ,40.56               ,-25.53               ,-8.37          ,38.81                ,4.89                    ,0.11673758005705182
 8 ,2018 ,-3.23                    ,-5.05           ,-1.08        ,-13.1                      ,- -                    ,6.58                    ,-85.78                      ,-19.13        ,15.07                       ,-7.2                      ,24.01             ,-7.32                       ,24.17               ,-0.42  ,2.9               ,6.58   ,6.58   ,2.23             ,10.14                ,18.92             ,70.77              ,19.68              ,-45.85               ,-80.81                         ,-80.81                  ,40.25                   ,- -         ,-38.11          ,-51.85               ,-27.11                         ,-25.94                    ,250.82                       ,32.97           ,4.24                    ,-22.24       ,4.7                 ,-14.4   ,- -                  ,-13.96                    ,3.41    ,42.61                ,6.14                         ,3.53              ,- -                  ,- -          ,25.22             ,23.25        ,25.13                           ,25.13        ,-22.24                     ,-7.83              ,18.09    ,-5.63              ,74.25                        ,-44.05        ,129.62                ,-43.33              ,15.07      ,-45.85                      ,41.83          ,-23.08                   ,-73.15                   ,14.17                          ,-26.42                ,- -                         ,-78.74                         ,11.06          ,48.44          ,21.94                       ,45.96                          ,-259.97             ,-26.42               ,32.3           ,-1.59                ,-0.78                   ,0.2084372483239173
 9 ,2019 ,-1.6                     ,-8.15           ,5.87         ,1.32                       ,- -                    ,8.23                    ,-677.78                     ,-25.34        ,-16.08                      ,-4.97                     ,-11.7             ,-4.86                       ,-11.79              ,6.31   ,8.04              ,8.23   ,8.23   ,7.59             ,9.99                 ,-14.72            ,-1.6               ,16.39              ,-18.25               ,107.19                         ,107.19                  ,4.1                     ,- -         ,-4.52           ,26.51                ,-5.42                          ,-2                        ,-35.98                       ,62.84           ,26.72                   ,26.66        ,13.27               ,34.27   ,- -                  ,18.45                     ,3.9     ,56.87                ,8.84                         ,9.88              ,- -                  ,- -          ,0.47              ,16.17        ,1.14                            ,1.14         ,26.66                      ,-1.96              ,1.81     ,0.67               ,-23.7                        ,6.81          ,17.46                 ,- -                 ,-16.08     ,-18.25                      ,-96.77         ,18                       ,11.59                    ,11.82                          ,-16.24                ,- -                         ,-128.12                        ,10.61          ,-42.41         ,-65.9                       ,-64.2                          ,-125.55             ,-16.24               ,18.79          ,-2.63                ,33.25                   ,-0.1746358067218594
