Year,Sales & Services Revenue,Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Operating Income (Loss),Non-Operating (Income) Loss,Pretax Income,Income (Loss) from Cont Ops,Basic Weighted Avg Shares,"Basic EPS, GAAP",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",EBITDA,EBITDA Margin (%),EBITA,EBIT,Gross Margin (%),Operating Margin (%),Profit Margin (%),Sales per Employee,Dividend per Share,Depreciation Expense,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,Accounts & Notes Receiv,Inventories,Other ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",LT Investments & Receivables,Other LT Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,ST Debt,Other ST Liabilities,Total Current Liabilities,LT Debt,Other LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & APIC,Common Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Total Equity,Total Liabilities & Equity,Shares Outstanding,Net Debt,Net Debt to Equity,Tangible Common Equity Ratio,Current Ratio,Cash Conversion Cycle,Number of Employees,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Chg in Non-Cash Work Cap,Cash from Operating Activities,Acq of Fixed & Intang,Net Change in LT Investment,Cash from Investing Activities,Dividends Paid,Cash From Debt,Cash (Repurchase) of Equity,Cash from Financing Activities,Net Changes in Cash,Capital Expenditures,EBITDA,EBITDA Margin (%),Free Cash Flow,Price/Free Cash Flow,Cash Flow to Net Income
2009 Y,42905,25683,17222,4149,1333,11740,-326,12066,8235,25004,0.33,25396,0.32,12474,29.07,11740,11740,40.14,27.36,19.19,1165897,0.0,734,23464,5263,5057,455,2579,31555,2954,4667,10528,2464,15946,47501,6967,0,4539,11506,0,4355,4355,15861,16420,8210,23353,77,31640,31640,47501,25195,-5263,-16.63,66.29,2.74,-47.74,36800,8235,734,1776,710,-586,10159,-1213,-16147,-17434,0,0,475,663,-6612,-1213,12474,29.07,8946,14.78,1.23
2010 Y,65225,39541,25684,5517,1782,18385,-155,18540,14013,25465,0.55,25892,0.54,19412,29.76,18385,18385,39.38,28.19,21.48,1320344,0.0,1027,25620,11261,9924,1051,5083,41678,4768,7234,25391,3346,33505,75183,13382,0,7340,20722,0,6670,6670,27392,10668,10668,37169,-46,47791,47791,75183,25647,-11261,-23.56,63.03,2.01,-48.33,49400,14013,1027,2319,879,1236,18595,-2121,-11075,-13854,0,0,912,1257,5998,-2121,19412,29.76,16474,12.67,1.33
2011 Y,108249,64431,43818,7599,2429,33790,-415,34205,25922,25879,1.0,26226,0.99,35604,32.89,33790,33790,40.48,31.22,23.95,1710095,0.0,1814,25952,9815,11717,776,6543,44988,7777,11768,55618,7988,71383,116371,17610,0,10360,27970,0,11786,11786,39756,13331,13331,62841,443,76615,76615,116371,26020,-9815,-12.81,64.48,1.61,-52.28,63300,25922,1814,4036,1168,5757,37529,-7452,-32464,-40419,0,0,831,1444,-1446,-7452,35604,32.89,30077,7.94,1.45
2012 Y,156508,87846,68662,10040,3381,55241,-522,55763,41733,26175,1.59,26470,1.58,58518,37.39,55241,55241,43.87,35.3,26.67,2056610,0.1,3277,29129,10746,18692,791,9041,57653,15452,21887,92122,10837,118411,176064,25258,0,13284,38542,0,19312,19312,57854,16422,16422,101289,499,118210,118210,176064,26298,-10746,-9.09,66.11,1.5,-52.12,76100,41733,3277,6145,1740,-299,50856,-9402,-38427,-48227,-2488,0,665,-1698,931,-9402,58518,37.39,41454,10.47,1.22
2013 Y,170910,106606,64304,10830,4475,48999,-1156,50155,37037,25909,1.43,26087,1.42,55756,32.62,48999,48999,37.62,28.67,21.67,2025000,0.41,6757,40546,14259,20641,1764,10335,73286,16597,28519,106215,10902,133714,207000,27825,0,15833,43658,16960,22833,39793,83451,19764,19764,104256,-471,123549,123549,207000,25178,2701,2.19,58.53,1.68,-43.83,84400,37037,6757,3394,2253,6478,53666,-9076,-24042,-33774,-10564,16896,-22330,-16379,3513,-9076,55756,32.62,44590,7.08,1.45
2014 Y,182795,112258,70537,11993,6041,52503,-980,53483,39510,24342,1.62,24491,1.61,60449,33.07,52503,52503,38.59,28.72,21.61,1884485,0.46,7946,25077,13844,27219,2111,14124,68531,20624,39015,130162,12522,163308,231839,48649,6308,8491,63448,28987,27857,56844,120292,23313,23313,87152,1082,111547,111547,231839,23465,21451,19.23,46.08,1.08,-48.38,97000,39510,7946,5210,2863,7047,59713,-9813,-9027,-22579,-11126,11960,-44270,-37549,-415,-9813,60449,33.07,49900,8.87,1.51
2015 Y,233715,140089,93626,14329,8067,71230,-1285,72515,53394,23014,2.32,23172,2.3,82487,35.29,71230,71230,40.06,30.48,22.85,2124682,0.5,11257,41601,21120,30343,2349,15085,89378,22471,49257,164065,14431,200967,290345,60671,10999,8940,80610,53329,37051,90380,170990,27416,27416,92284,-345,119355,119355,290345,22315,43208,36.2,39.22,1.11,-52.83,110000,53394,11257,5353,3586,11262,81266,-11488,-44417,-56274,-11561,27114,-34710,-17716,7276,-11488,82487,35.29,69778,6.89,1.52
2016 Y,215639,131376,84263,14194,10045,60024,-1348,61372,45687,21883,2.09,22001,2.08,70529,32.71,60024,60024,39.08,27.84,21.19,1858957,0.56,10505,67155,20484,29299,2132,8283,106869,27010,61245,170430,17377,214817,321686,59321,11605,8080,79006,75427,39004,114431,193437,31251,31251,96364,634,128249,128249,321686,21345,66548,51.89,38.21,1.35,-67.46,116000,45687,10505,9634,4210,405,66231,-13548,-32022,-45977,-12150,24954,-29227,-20890,-636,-13548,70529,32.71,52683,7.79,1.45
2017 Y,229234,141048,88186,15261,11581,61344,-2745,64089,48351,20869,2.32,21007,2.3,71501,31.19,61344,61344,38.47,26.76,21.09,1863691,0.61,10157,74181,20289,35673,4855,13936,128645,33783,75076,194714,18177,246674,375319,44242,18473,38099,100814,97207,43251,140458,241272,35867,35867,98330,-150,134047,134047,375319,20505,95391,71.16,34.31,1.28,-67.69,123000,48351,10157,10640,4840,-4923,64225,-12795,-33542,-46446,-12769,28662,-32345,-17974,-195,-12795,71501,31.19,51430,10.51,1.33
2018 Y,265595,163756,101839,16705,14236,70898,-2005,72903,59531,19822,3.0,20000,2.98,81801,30.8,70898,70898,38.34,26.69,22.41,2012083,0.69,10903,66301,25913,48995,3956,12087,131339,41304,90403,170799,22283,234386,365725,55888,20748,39293,115929,93735,48914,142649,258578,40201,40201,70400,-3454,107147,107147,365725,19020,88570,82.66,29.3,1.13,-74.17,132000,59531,10903,-27694,5340,34694,77434,-13313,30845,16066,-13712,6969,-72069,-87876,5624,-13313,81801,30.8,64121,12.44,1.3
2019 Y,260174,161782,98392,18245,16217,63930,-1807,65737,55256,18471,2.99,18596,2.97,76477,29.39,63930,63930,37.82,24.57,21.24,1899080,0.76,12547,100557,48844,45804,4106,12352,162819,37378,95957,105341,32978,175697,338516,46236,16240,43242,105718,91807,50503,142310,248028,45174,45174,45898,-584,90488,90488,338516,17773,59203,65.43,26.73,1.54,-73.66,137000,55256,12547,5076,6068,-3488,69391,-10495,58093,45896,-14119,6963,-66116,-90976,24311,-10495,76477,29.39,58896,13.03,1.26
2020 Y,274515,169559,104956,19916,18752,66288,-803,67091,57411,17352,3.31,17528,3.28,77344,28.17,66288,66288,38.23,24.15,20.91,1867449,0.81,11056,90943,38016,37445,4061,11264,143713,36766,103526,100887,42522,180175,323888,42296,13769,49327,105392,98667,54490,153157,258549,50779,50779,14966,-406,65339,65339,323888,16977,74420,113.9,20.17,1.36,-60.57,147000,57411,11056,6517,6829,5690,80674,-7309,5453,-4289,-14081,16091,-71478,-86820,-10435,-7309,77344,28.17,73365,23.07,1.41
2021 Y,365817,212981,152836,21973,21914,108949,-258,109207,94680,16701,5.67,16865,5.61,120233,32.87,108949,108949,41.78,29.78,25.88,2375435,0.87,11284,62639,34940,51506,6580,14111,134836,39440,109723,127877,48849,216166,351002,54763,15613,55105,125481,109106,53325,162431,287912,57365,57365,5562,163,63090,63090,351002,16427,89779,142.3,17.97,1.07,-51.93,154000,94680,11284,2985,7906,-4911,104038,-11085,-3075,-14545,-14467,20393,-84866,-93353,-3860,-11085,120233,32.87,92953,20.73,1.1
2022 Y,394328,223546,170782,25094,26251,119437,334,119103,99803,16216,6.15,16326,6.11,130541,33.1,119437,119437,43.31,30.29,25.31,2404439,0.92,11104,48304,23646,60932,4946,21223,135405,42117,114457,120805,54428,217350,352755,64115,21110,68757,153982,98959,49142,148101,302083,64849,64849,-3068,-11109,50672,50672,352755,15943,96423,190.29,14.36,0.88,-63.15,164000,99803,11104,10044,9038,1200,122151,-10708,-9560,-22354,-14841,5465,-89402,-110749,-10952,-10708,130541,33.1,111443,16.98,1.22
2023 Y,383285,214137,169148,24932,29915,114301,565,113736,96995,15744,6.16,15813,6.13,125820,32.83,114301,114301,44.13,29.82,25.31,2380652,0.95,11519,61555,29965,60985,6331,14695,143566,43715,114599,100544,64758,209017,352583,62611,15807,66890,145308,95281,49848,145129,290437,73812,73812,-214,-11452,62146,62146,352583,15550,81123,130.54,17.63,0.99,-70.23,161000,96995,11519,8606,10833,-6577,110543,-10959,16001,3705,-15025,5228,-77550,-108488,5760,-10959,125820,32.83,99584,22.28,1.14
