Year,Sales & Services Revenue,Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Operating Income (Loss),Non-Operating (Income) Loss,Pretax Income,Income (Loss) from Cont Ops,Basic Weighted Avg Shares,"Basic EPS, GAAP",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",EBITDA,EBITDA Margin (%),EBITA,EBIT,Gross Margin (%),Operating Margin (%),Profit Margin (%),Sales per Employee,Dividend per Share,Depreciation Expense,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,Accounts & Notes Receiv,Inventories,Other ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",LT Investments & Receivables,Other LT Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,ST Debt,Other ST Liabilities,Total Current Liabilities,LT Debt,Other LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & APIC,Common Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Total Equity,Total Liabilities & Equity,Shares Outstanding,Net Debt,Net Debt to Equity,Tangible Common Equity Ratio,Current Ratio,Cash Conversion Cycle,Number of Employees,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Chg in Non-Cash Work Cap,Cash from Operating Activities,Acq of Fixed & Intang,Net Change in LT Investment,Cash from Investing Activities,Dividends Paid,Cash From Debt,Cash (Repurchase) of Equity,Cash from Financing Activities,Net Changes in Cash,Capital Expenditures,EBITDA,EBITDA Margin (%),Free Cash Flow,Price/Free Cash Flow,Cash Flow to Net Income
2008 Y,21796,8622,13174,3749,2793,6632,778,5854,4227,12558,0.34,12701,0.33,8132,37.31,6632,6632,60.44,30.43,19.39,1077814,- -,1500,15846,8657,2642,- -,1690,20178,5234,7576,85,6270,11589,31768,1272,- -,1030,2302,- -,1227,1227,3529,14451,0,13562,227,28239,28239,31768,12600,-8657,-30.66,86.39,8.77,30.49,20222,4227,1500,1799,1120,327,7853,-2358,359,-5319,-,-,-72,88,2621,-2358,8132,37.31,5494,9.57,1.86
2009 Y,23651,8844,14806,3651,2843,8312,-69,8381,6520,12649,0.52,12777,0.51,9836,41.59,8312,8312,62.61,35.15,27.57,1192365,- -,1524,24485,10198,3202,- -,1480,29167,4845,8130,129,6356,11330,40497,1480,- -,1268,2747,- -,1745,1745,4493,15817,0,20082,105,36004,36004,40497,12699,-10198,-28.32,87.1,10.62,36.79,19835,6520,1524,785,1164,486,9316,-810,-7101,-8019,-,-,-,233,1530,-810,9836,41.59,8506,19.56,1.43
2010 Y,29321,10417,18904,4761,3762,10381,-415,10796,8505,12748,0.67,12930,0.66,11777,40.17,10381,10381,64.47,35.4,29.01,1201680,- -,1396,34975,13630,5002,- -,1585,41562,7759,11771,523,8007,16289,57851,4727,3465,1804,9996,- -,1614,1614,11610,36470,18235,27868,138,46241,46241,57851,12840,-10165,-21.98,77.03,4.16,34.01,24400,8505,1396,1279,1376,-99,11081,-4018,-7956,-10680,-,5246,-801,3050,3451,-4018,11777,40.17,7063,12.72,1.3
2011 Y,37905,13188,24717,7313,5162,12242,-84,12326,9737,12911,0.75,13089,0.74,14093,37.18,12242,12242,65.21,32.3,25.69,1167493,- -,1851,44626,9983,6172,35,1925,52758,9603,14400,790,9423,19816,72574,5330,1218,2365,8913,2986,2530,5516,14429,20264,20264,37605,276,58145,58145,72574,12983,-5779,-9.94,77.33,5.92,32.3,32467,9737,1851,2347,1974,630,14565,-3438,-13349,-19041,-,21810,-,807,-3669,-3438,14093,37.18,11127,11.75,1.5
2012 Y,50175,20634,29541,9988,6793,12760,-626,13386,10788,13089,0.82,13292,0.81,15722,31.33,12760,12760,58.88,25.43,21.4,931565,- -,2962,48088,14778,8585,505,3276,60454,11854,17697,1469,20021,33344,93798,8654,2549,3134,14337,2988,4758,7746,22083,22835,22835,48342,538,71715,71715,93798,13186,-9241,-12.89,70.86,4.22,30.71,53861,10737,2962,2022,2692,898,16619,-13841,1119,-13056,-,16109,-,1229,4792,-13841,15722,31.33,2778,7.72,1.55
2013 Y,59825,25858,33967,12049,7952,13966,-530,14496,12214,13314,0.97,13552,0.95,17905,29.93,13966,13966,56.78,23.34,21.6,1252722,- -,3939,58717,18898,9390,426,4353,72886,16524,23837,1976,19534,38034,110920,9335,3009,3564,15908,2236,5467,7703,23611,25922,25922,61262,125,87309,87309,110920,13420,-13653,-15.64,74.71,4.58,26.11,47756,12920,3939,1831,3343,-31,18659,-8806,-7099,-13679,-,10768,-,-857,4123,-8806,17905,29.93,9853,13.83,1.44
2014 Y,66001,25691,40310,13982,9832,16496,-763,17259,13928,13519,1.07,13741,1.05,21475,32.54,16496,16496,61.07,24.99,21.88,1231362,- -,4979,64395,18347,11556,- -,4734,80685,23883,32746,3079,23486,50448,131133,10975,2009,3821,16805,3228,6600,9828,26633,28767,28767,75706,27,104500,104500,131133,13622,-13110,-12.55,75.99,4.8,23.42,53600,14444,4979,2589,4279,364,22376,-15847,-6997,-21055,-,11625,-,-1439,-118,-15847,21475,32.54,6529,9.54,1.55
2015 Y,74989,28164,46825,15183,12282,19360,-291,19651,16348,13693,1.19,13859,1.18,24423,32.57,19360,19360,62.44,25.82,21.8,1213139,- -,5063,73066,16549,13909,491,2648,90114,29016,40146,5183,23148,57347,147461,11758,3225,4327,19310,1995,5825,7820,27130,32982,32982,89223,-1874,120331,120331,147461,13747,-11329,-9.41,78.76,4.67,30.92,61814,16348,5063,5022,5203,-409,26024,-10151,-13210,-23711,-,13705,-,-3677,-1364,-10151,24423,32.57,15873,14.9,1.59
2016 Y,90272,35138,55134,17470,13948,23716,-434,24150,19478,13756,1.42,13974,1.39,29860,33.08,23716,23716,61.08,26.27,21.58,1252856,- -,6144,86333,12918,14232,268,4575,105408,34234,47527,5878,21977,62089,167497,11681,- -,5075,16756,3935,7770,11705,28461,36307,36307,105131,-2402,139036,139036,167497,13826,-8983,-6.46,80.73,6.29,35.12,72053,19478,6144,7114,6703,3300,36036,-11198,-17779,-31165,-,8729,-1780,-8332,-3461,-11198,29860,33.08,24838,11.72,1.85
2017 Y,110855,45583,65272,19765,16625,28882,1689,27193,12662,13852,0.91,14072,0.9,35797,32.29,28882,28882,58.88,26.05,11.42,1383785,- -,6915,101871,10715,18705,749,2983,124308,42383,59647,7813,22791,72987,197295,18170,- -,6013,24183,3969,16641,20610,44793,40247,40247,113247,-992,152502,152502,197295,13896,-6746,-4.42,74.82,5.14,37.02,80110,12662,6915,8268,7679,9246,37091,-13471,-19448,-31401,-,4291,-3693,-8298,-2608,-13471,35797,32.29,23620,14.66,2.93
2018 Y,136819,59549,77270,24459,21419,31392,-3521,34913,30736,13903,2.21,14066,2.19,40427,29.55,31392,31392,56.48,22.94,22.46,1385214,- -,9035,109140,16701,21193,1107,4236,135676,59719,82507,13859,23538,97116,232792,25997,- -,8623,34620,4012,16532,20544,55164,45049,45049,134885,-2306,177628,177628,232792,13911,-12689,-7.14,74.06,3.92,35.05,98771,30736,9035,3292,9353,4908,47971,-26630,-1972,-28504,-,6766,-4046,-13179,6288,-26630,40427,29.55,21341,9.85,1.56
2019 Y,161857,71896,89961,28015,26018,35928,-3697,39625,34343,13852,2.48,13971,2.46,47709,29.48,35928,35928,55.58,22.2,21.22,1361298,- -,11781,119675,18498,27492,999,4412,152578,54026,84587,13078,56227,123331,275909,34818,1199,9204,45221,14768,14478,29246,74467,50552,50552,152122,-1232,201442,201442,275909,13767,-13944,-6.92,70.6,3.37,32.13,118899,34343,11781,7577,10794,819,54520,-26063,-4017,-29491,-,317,-8125,-23209,1820,-26063,47709,29.48,28457,11.61,1.59
2020 Y,182527,84732,97795,28998,27573,41224,-6858,48082,40269,13616,2.96,13741,2.93,54921,30.09,41224,41224,53.58,22.59,22.06,1349044,- -,13697,136694,26465,31384,728,5490,174296,55247,96960,20703,69370,145320,319616,43205,1694,11935,56834,25078,15160,40238,97072,58510,58510,163401,633,222544,222544,319616,13504,-12533,-5.63,67.32,3.07,35.87,135301,40269,13697,9331,12991,1827,65124,-22281,-9822,-32773,-,11761,-18396,-24408,7943,-22281,54921,30.09,42843,13.78,1.62
2021 Y,257637,110939,146698,36422,31562,78714,-12020,90734,76033,13353,5.69,13553,5.61,91155,35.38,78714,78714,56.94,30.55,29.51,1646243,- -,12441,139649,20945,40270,1170,7054,188143,61144,110558,29549,80432,171125,359268,47077,2189,14988,64254,26206,17173,43379,107633,61774,61774,191484,-1623,251635,251635,359268,13242,-6128,-2.44,67.86,2.93,33.82,156500,76033,12441,4701,15376,-1523,91652,-24640,-8806,-35523,-,20199,-31149,-61362,-5233,-24640,91155,35.38,67012,16.88,1.21
2022 Y,282836,126203,156633,42291,39500,74842,3514,71328,59972,13063,4.59,13159,4.56,90770,32.09,74842,74842,55.38,26.46,21.2,1486779,- -,15928,113762,21879,40258,2670,8105,164795,68007,127049,30492,101970,200469,365264,51364,2477,15459,69300,27202,12618,39820,109120,68184,68184,195563,-7603,256144,256144,365264,12849,-7178,-2.8,67.35,2.38,40.93,190234,59972,15928,17830,19362,-2235,91495,-31485,16567,-20298,-,52872,-59296,-69757,1440,-31485,90770,32.09,60010,9.44,1.53
