Year,Sales & Services Revenue,Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Operating Income (Loss),Non-Operating (Income) Loss,Pretax Income,Income (Loss) from Cont Ops,Basic Weighted Avg Shares,"Basic EPS, GAAP",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",EBITDA,EBITDA Margin (%),EBITA,EBIT,Gross Margin (%),Operating Margin (%),Profit Margin (%),Sales per Employee,Dividend per Share,Depreciation Expense,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,Accounts & Notes Receiv,Inventories,Other ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",LT Investments & Receivables,Other LT Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,ST Debt,Other ST Liabilities,Total Current Liabilities,LT Debt,Other LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & APIC,Common Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Total Equity,Total Liabilities & Equity,Shares Outstanding,Net Debt,Net Debt to Equity,Tangible Common Equity Ratio,Current Ratio,Cash Conversion Cycle,Number of Employees,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Chg in Non-Cash Work Cap,Cash from Operating Activities,Acq of Fixed & Intang,Net Change in LT Investment,Cash from Investing Activities,Dividends Paid,Cash From Debt,Cash (Repurchase) of Equity,Cash from Financing Activities,Net Changes in Cash,Capital Expenditures,EBITDA,EBITDA Margin (%),Free Cash Flow,Price/Free Cash Flow,Cash Flow to Net Income
2010 Y,1974,493,1481,305,144,1032,24,1008,606,2420,0.25,2517,0.24,1171,59.32,1032,1032,75.03,52.28,30.7,- -,- -,139,1785,1785,373,- -,88,2246,574,820,- -,170,744,2990,241,106,42,389,367,72,439,828,947,- -,606,-6,2162,2162,2990,2517,-1535,-71.0,50.14,5.77,- -,- -,606,139,46,20,-93,698,-293,- -,-324,- -,250,500,781,1155,-293,1171,59.32,405,- -,1.15
2011 Y,3711,860,2851,707,388,1756,61,1695,1000,2420,0.41,2517,0.4,2079,56.02,1756,1756,76.83,47.32,26.95,1159688,- -,323,3908,1512,547,- -,149,4604,1475,1925,- -,252,1727,6331,234,279,386,899,398,135,533,1432,2684,- -,1606,-6,4899,4899,6331,2138,-1512,-30.86,66.82,5.12,25.72,3200,1000,323,191,217,35,1549,-606,-2399,-3023,- -,170,998,1198,-276,-606,2079,56.02,943,- -,1.55
2012 Y,5089,1364,3725,1788,1399,538,44,494,53,2006,0.03,2166,0.02,1187,23.32,538,538,73.2,10.57,1.04,1101754,- -,649,9626,2384,1170,- -,471,11267,2391,3273,- -,1445,3836,15103,280,365,407,1052,1991,305,2296,3348,10094,- -,1659,2,11755,11755,15103,2372,-884,-7.52,75.59,10.71,28.27,4619,53,649,1409,1572,-499,1612,-1235,-4874,-7024,- -,1701,6760,6283,871,-1235,1187,23.32,377,20.25,30.42
2013 Y,7872,1875,5997,1778,1415,2804,50,2754,1500,2420,0.62,2517,0.6,3815,48.46,2804,2804,76.18,35.62,19.05,1242228,- -,1011,11449,3323,1109,- -,512,13070,2882,4142,- -,1943,4825,17895,355,239,506,1100,237,1088,1325,2425,12297,- -,3159,14,15470,15470,17895,2547,-3323,-21.48,85.01,11.88,27.58,6337,1500,1011,1035,906,676,4222,-1362,-882,-2624,- -,- -,1478,-667,931,-1362,3815,48.46,2860,24.63,2.81
2014 Y,12466,2153,10313,2653,2666,4994,84,4910,2940,2614,1.12,2664,1.1,6237,50.03,4994,4994,82.73,40.06,23.58,1355147,- -,1243,11199,4315,1678,- -,513,13390,3967,5784,- -,22609,26576,39966,542,114,768,1424,119,2327,2446,3870,30225,- -,6099,-228,36096,36096,39966,2778,-4315,-11.95,78.57,9.4,18.51,9199,2940,1243,3405,1786,-262,7326,-1831,1243,-5913,- -,- -,- -,-298,1115,-1831,6237,50.03,5495,22.7,2.49
2015 Y,17928,2867,15061,4020,4816,6225,31,6194,3688,2803,1.32,2853,1.29,8170,45.57,6225,6225,84.01,34.72,20.57,1412655,- -,1945,18434,4907,2559,- -,659,21652,5687,7819,- -,22068,27755,49407,605,208,1112,1925,107,3157,3264,5189,34886,- -,9787,-455,44218,44218,49407,2834,-4706,-10.64,81.56,11.25,19.45,12691,3688,1945,3903,2960,784,10320,-2523,-6700,-9434,- -,- -,- -,-139,747,-2523,8170,45.57,7797,23.25,2.8
2016 Y,27638,3789,23849,5503,5919,12427,-91,12518,10217,2863,3.57,2925,3.49,14769,53.44,12427,12427,86.29,44.96,36.97,1621187,- -,2342,29449,8903,3993,- -,959,34401,8591,11803,- -,21969,30560,64961,1068,- -,1807,2875,- -,2892,2892,5767,38227,- -,21670,-703,59194,59194,64961,2892,-8903,-15.04,86.98,11.97,19.28,17048,10217,2342,2791,3218,758,16108,-4491,-7186,-11792,- -,- -,- -,-310,4006,-4491,14769,53.44,11617,16.34,1.58
2017 Y,40653,5454,35199,7242,7754,20203,-391,20594,15934,2901,5.49,2956,5.39,23228,57.14,20203,20203,86.58,49.7,39.2,1619319,- -,3025,41711,8079,5832,- -,1020,48563,13721,18337,- -,22240,35961,84524,1795,340,1625,3760,- -,6417,6417,10177,40584,- -,33990,-227,74347,74347,84524,2906,-7739,-10.41,84.2,12.92,21.29,25105,15934,3025,3370,3723,1887,24216,-6733,-13250,-20118,- -,- -,-1976,-5235,-1137,-6733,23228,57.14,17483,16.85,1.52
2018 Y,55838,9355,46483,11297,10273,24913,-448,25361,22112,2890,7.65,2921,7.57,29228,52.34,24913,24913,83.25,44.62,39.6,1569056,- -,4315,41114,10019,7587,- -,1779,50480,24683,31573,- -,22171,46854,97334,3383,500,3134,7017,- -,6190,6190,13207,42906,- -,41981,-760,84127,84127,97334,2854,-9519,-11.32,83.01,7.19,20.45,35587,22112,4315,4374,4152,-1527,29274,-13915,2474,-11603,- -,- -,-12879,-15572,2099,-13915,29228,52.34,15359,8.87,1.32
2019 Y,70697,12770,57927,20341,13600,23986,-826,24812,18485,2854,6.48,2876,6.43,29727,42.05,23986,23986,81.94,33.93,26.15,1573072,- -,5741,54855,19079,9518,- -,1852,66225,44783,55446,86,22282,67151,133376,9953,800,4300,15053,9524,7745,17269,32322,45851,- -,55692,-489,101054,101054,133376,2852,-18802,-18.61,71.59,4.4,12.96,44942,18485,5741,4838,4836,7250,36314,-15102,-4193,-19864,- -,- -,-4202,-7299,9151,-15102,29727,42.05,21212,11.48,1.96
2020 Y,85965,16692,69273,18155,18447,32671,-509,33180,29146,2851,10.22,2888,10.09,39533,45.99,32671,32671,80.58,38.01,33.9,1466879,- -,6862,61954,17576,11335,- -,2381,75670,54981,70399,6234,22431,83646,159316,7498,1023,6460,14981,9631,6414,16045,31026,50018,- -,77345,927,128290,128290,159316,2849,-17576,-13.7,77.78,5.05,14.82,58604,29146,6862,5462,6536,-2723,38747,-15163,-14520,-30059,- -,- -,-6272,-10292,-1604,-15163,39533,45.99,23584,14.63,1.33
2021 Y,117929,22649,95280,23872,24655,46753,-531,47284,39370,2815,13.99,2859,13.77,54720,46.4,46753,46753,80.79,39.65,33.38,1638586,- -,7967,47998,16601,14039,- -,4629,66666,69964,90044,6775,22582,99321,165987,11037,1127,8971,21135,12746,7227,19973,41108,55811,- -,69761,-693,124879,124879,165987,2741,-16601,-13.29,71.87,3.15,-4.36,71970,39370,7967,9646,9164,700,57683,-18690,12179,-7570,- -,- -,-44537,-50728,-615,-18690,54720,46.4,38993,12.59,1.47
