Year,Sales & Services Revenue,Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Operating Income (Loss),Non-Operating (Income) Loss,Pretax Income,Income (Loss) from Cont Ops,Basic Weighted Avg Shares,"Basic EPS, GAAP",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",EBITDA,EBITDA Margin (%),EBITA,EBIT,Gross Margin (%),Operating Margin (%),Profit Margin (%),Sales per Employee,Dividend per Share,Depreciation Expense,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,Accounts & Notes Receiv,Inventories,Other ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",LT Investments & Receivables,Other LT Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,ST Debt,Other ST Liabilities,Total Current Liabilities,LT Debt,Other LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & APIC,Common Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Total Equity,Total Liabilities & Equity,Shares Outstanding,Net Debt,Net Debt to Equity,Tangible Common Equity Ratio,Current Ratio,Cash Conversion Cycle,Number of Employees,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,Accounts & Notes Receiv,Inventories,Other ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",LT Investments & Receivables,Other LT Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,ST Debt,Other ST Liabilities,Total Current Liabilities,LT Debt,Other LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & APIC,Common Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Total Equity,Total Liabilities & Equity,Shares Outstanding,Net Debt,Net Debt to Equity,Tangible Common Equity Ratio,Current Ratio,Cash Conversion Cycle,Number of Employees
2009 Y,21599,- -,21599,14831,- -,- -,-1130,1130,1427,1185,0.2,1185,0.2,1224,5.67,- -,- -,100.0,- -,6.23,351844,1.46,1224,55703,55703,44477,- -,- -,100180,7067,10801,254449,409766,671282,771462,125078,2405,- -,127483,201449,389750,591199,718682,8634,15,35056,-560,46688,52780,771462,1361,148151,280.7,4.08,0.79,- -,61388,55703,55703,44477,- -,- -,100180,7067,10801,254449,409766,671282,771462,125078,2405,- -,127483,201449,389750,591199,718682,8634,15,35056,-560,46688,52780,771462,1361,148151,280.7,4.08,0.79,- -,61388
2010 Y,29361,- -,29361,16437,- -,- -,-6198,6198,5455,1362,2.81,1411,2.71,1419,4.83,- -,- -,100.0,- -,16.02,469461,0.85,1419,96147,66498,54150,- -,- -,150297,6154,10630,290515,360732,657401,807698,129184,3762,- -,132946,202404,406941,609345,742291,13537,16,38603,-467,57211,65407,807698,1512,139668,213.54,5.58,1.13,- -,62542,96147,66498,54150,- -,- -,150297,6154,10630,290515,360732,657401,807698,129184,3762,- -,132946,202404,406941,609345,742291,13537,16,38603,-467,57211,65407,807698,1512,139668,213.54,5.58,1.13,- -,62542
2011 Y,30594,- -,30594,16919,- -,- -,-6110,6110,4696,1655,1.25,1675,1.23,1404,4.59,- -,- -,100.0,- -,13.43,494257,0.5,1404,106750,76255,48669,- -,- -,155419,6457,11309,262616,325406,594479,749898,123615,3118,- -,126733,204678,348409,553087,679820,22856,20,40341,-157,62049,70078,749898,1927,131541,187.71,7.79,1.23,- -,61899,106750,76255,48669,- -,- -,155419,6457,11309,262616,325406,594479,749898,123615,3118,- -,126733,204678,348409,553087,679820,22856,20,40341,-157,62049,70078,749898,1927,131541,187.71,7.79,1.23,- -,61899
2012 Y,24643,- -,24643,16216,- -,- -,-596,596,757,1886,-0.02,1919,-0.02,1581,6.42,- -,- -,100.0,- -,0.28,431871,0.25,1581,117217,77348,64288,- -,- -,181505,5946,11471,161618,431891,599455,780960,127722,2779,- -,130501,184657,400374,585031,715532,23446,20,39912,-516,62109,65428,780960,1974,110088,168.26,6.94,1.39,- -,57061,117217,77348,64288,- -,- -,181505,5946,11471,161618,431891,599455,780960,127722,2779,- -,130501,184657,400374,585031,715532,23446,20,39912,-516,62109,65428,780960,1974,110088,168.26,6.94,1.39,- -,57061
2013 Y,30782,- -,30782,16915,- -,- -,-4558,4558,3656,1906,1.39,1957,1.36,1511,4.91,- -,- -,100.0,- -,9.53,551708,0.25,1511,151855,98425,57104,- -,- -,208959,6019,12439,184796,432928,623743,832702,157125,6375,- -,163500,163557,436615,600172,763672,24590,20,42172,-1093,65921,69030,832702,1945,71507,103.59,6.8,1.28,- -,55794,151855,98425,57104,- -,- -,208959,6019,12439,184796,432928,623743,832702,157125,6375,- -,163500,163557,436615,600172,763672,24590,20,42172,-1093,65921,69030,832702,1945,71507,103.59,6.8,1.28,- -,55794
2014 Y,32469,- -,32469,18482,- -,- -,-3591,3591,3681,1924,1.64,1971,1.6,1161,3.58,- -,- -,100.0,- -,10.68,581861,0.47,1161,156613,87397,48961,- -,- -,205574,6108,12327,201697,388131,595936,801510,181069,3656,- -,184725,163462,381219,544681,729406,24269,20,44625,-1248,70900,72104,801510,1951,79721,110.56,7.12,1.11,- -,55802,156613,87397,48961,- -,- -,205574,6108,12327,201697,388131,595936,801510,181069,3656,- -,184725,163462,381219,544681,729406,24269,20,44625,-1248,70900,72104,801510,1951,79721,110.56,7.12,1.11,- -,55802
2015 Y,33263,- -,33263,16697,- -,- -,-8495,8495,6295,1909,2.97,1953,2.9,1433,4.31,- -,- -,100.0,- -,18.42,591679,0.76,1433,120842,54083,45407,- -,- -,166249,6373,13513,183861,430982,621216,787465,186626,3608,- -,190234,161797,359250,521047,711281,24173,20,49204,-1656,75182,76184,787465,1920,111322,146.12,7.6,0.87,- -,56218,120842,54083,45407,- -,- -,166249,6373,13513,183861,430982,621216,787465,186626,3608,- -,190234,161797,359250,521047,711281,24173,20,49204,-1656,75182,76184,787465,1920,111322,146.12,7.6,0.87,- -,56218
2016 Y,32711,- -,32711,16465,- -,- -,-8848,8848,6122,1849,2.98,1887,2.92,1736,5.31,- -,- -,100.0,- -,18.28,591401,0.94,1736,106551,43381,46460,- -,- -,153011,25,25,189821,472092,661938,814949,190513,2370,- -,192883,174464,370425,544889,737772,23291,20,53679,-2643,76050,77177,814949,1852,133453,172.92,7.49,0.79,- -,55311,106551,43381,46460,- -,- -,153011,25,25,189821,472092,661938,814949,190513,2370,- -,192883,174464,370425,544889,737772,23291,20,53679,-2643,76050,77177,814949,1852,133453,172.92,7.49,0.79,- -,55311
2017 Y,35852,- -,35852,17775,- -,- -,-10403,10403,6235,1780,3.14,1821,3.07,1753,4.89,- -,- -,100.0,- -,17.05,622074,1.17,1753,101367,46164,56187,- -,- -,157554,- -,- -,207493,486686,694179,851733,191510,3553,- -,195063,200300,377904,578204,773267,23565,20,57577,-3060,77391,78466,851733,1788,157689,200.96,7.23,0.81,- -,57633,101367,46164,56187,- -,- -,157554,- -,- -,207493,486686,694179,851733,191510,3553,- -,195063,200300,377904,578204,773267,23565,20,57577,-3060,77391,78466,851733,1788,157689,200.96,7.23,0.81,- -,57633
2018 Y,37714,- -,37714,18323,- -,- -,-11237,11237,8887,1708,4.81,1738,4.73,1844,4.89,- -,- -,100.0,- -,23.2,624942,1.39,1844,112901,51840,53298,- -,- -,166199,- -,- -,237808,449524,687332,853531,179559,3581,- -,183140,195547,393438,588985,772125,23814,20,64175,-2292,80246,81406,853531,1700,147288,180.93,7.58,0.91,- -,60348,112901,51840,53298,- -,- -,166199,- -,- -,237808,449524,687332,853531,179559,3581,- -,183140,195547,393438,588985,772125,23814,20,64175,-2292,80246,81406,853531,1700,147288,180.93,7.58,0.91,- -,60348
