Year,Sales & Services Revenue,Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Operating Income (Loss),Non-Operating (Income) Loss,Pretax Income,Income (Loss) from Cont Ops,Basic Weighted Avg Shares,"Basic EPS, GAAP",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",EBITDA,EBITDA Margin (%),EBITA,EBIT,Gross Margin (%),Operating Margin (%),Profit Margin (%),Sales per Employee,Dividend per Share,Depreciation Expense,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,Accounts & Notes Receiv,Inventories,Other ST Assets,Total Current Assets,"Property, Plant & Equip, Net",LT Investments & Receivables,Other LT Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,ST Debt,Other ST Liabilities,Total Current Liabilities,LT Debt,Other LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & APIC,Common Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Total Equity,Total Liabilities & Equity,Shares Outstanding,Net Debt,Net Debt to Equity,Tangible Common Equity Ratio,Current Ratio,Cash Conversion Cycle,Number of Employees,Net Income,Depreciation & Amortization,Non-Cash Items,Stock-Based Compensation,Chg in Non-Cash Work Cap,Cash from Operating Activities,Acq of Fixed & Intang,Net Change in LT Investment,Cash from Investing Activities,Dividends Paid,Cash From Debt,Cash (Repurchase) of Equity,Cash from Financing Activities,Net Changes in Cash,Capital Expenditures,EBITDA,EBITDA Margin (%),Free Cash Flow,Price/Free Cash Flow,Cash Flow to Net Income
2009 Y,58437,12155,46282,16909,9010,20363,542,19821,14569,8945,1.63,8996,1.62,22925,39.23,20363,20363,79.2,34.85,24.93,628355,0.5,2562,31447,6076,11192,717,5924,49280,7535,4933,16140,28608,77888,5733,2000,19301,27034,3746,7550,11296,38330,62382,62382,-22824,969,39558,39558,77888,8908,-330,-0.83,39.76,1.82,-10.02,93000,14569,2562,2084,1708,-178,19037,-3119,-11783,-15770,-4468,5974,-8774,-7463,-4196,-3119,22925,39.23,15918,9.65,1.31
2010 Y,62484,12395,50089,17277,8714,24098,-915,25013,18760,8813,2.13,8927,2.1,26771,42.84,24098,24098,80.16,38.57,30.02,702067,0.52,2673,36788,5505,13014,740,5134,55676,7630,7754,15053,30437,86113,5281,1000,19866,26147,4939,8852,13791,39938,62856,62856,-17736,1055,46175,46175,86113,8668,434,0.94,44.96,2.13,-15.85,89000,18760,2673,-27395,1891,30035,24073,-1977,-7590,-11314,-4578,4167,-8958,-13291,-532,-1977,26771,42.84,22096,7.89,1.28
2011 Y,69943,15577,54366,18162,9043,27161,-910,28071,23150,8490,2.73,8593,2.69,29927,42.79,27161,27161,77.73,38.83,33.1,777144,0.61,2766,52772,9610,14987,1372,5787,74918,8162,10865,14759,33786,108704,5985,0,22789,28774,11921,10926,22847,51621,63415,63415,-6332,1863,57083,57083,108704,8376,2311,4.05,45.88,2.6,5.23,90000,23150,2766,-27146,2166,28224,26994,-2355,-13216,-14616,-5180,13734,-9133,-8376,4002,-2355,29927,42.79,24639,7.61,1.17
2012 Y,73723,17530,56193,18426,9811,27956,5689,22267,16978,8396,2.02,8506,2.0,30923,41.94,27956,27956,76.22,37.92,23.03,784287,0.76,2967,63040,6938,15780,1137,5127,85084,8269,9776,18142,36187,121271,5778,1231,25679,32688,10713,11507,22220,54908,65797,65797,-856,1422,66363,66363,121271,8381,5006,7.54,47.53,2.6,13.94,94000,16978,2967,-24249,2244,35930,31626,-2305,-11975,-24786,-6385,- -,-3116,-9408,-2568,-2305,30923,41.94,29321,7.67,1.86
2013 Y,77849,20385,57464,20289,10411,26764,-288,27052,21863,8375,2.61,8470,2.58,30519,39.2,26764,26764,73.81,34.38,28.08,786354,0.89,3755,77022,3804,17486,1938,5020,101466,9991,10844,20130,40965,142431,6065,2999,28353,37417,12601,13469,26070,63487,67306,67306,9895,1743,78944,78944,142431,8328,11796,14.94,49.09,2.71,27.96,99000,21863,3755,-39663,2406,42878,28833,-4257,-17802,-23811,-7455,4883,-4429,-8148,-3126,-4257,30519,39.2,24576,8.84,1.32
2014 Y,86833,27078,59755,20488,11381,27886,66,27820,22074,8299,2.66,8399,2.63,33098,38.12,27886,27886,68.82,32.11,25.42,678383,1.07,5212,85709,8669,19544,2660,6333,114246,13011,14597,30530,58138,172384,8772,2000,34853,45625,20645,16330,36975,82600,68366,68366,17710,3708,89784,89784,172384,8239,13976,15.57,43.14,2.5,28.33,128000,22074,5212,-39733,2446,44949,32502,-5485,-7324,-18833,-8879,10350,-6709,-8665,5004,-5485,33098,38.12,27017,9.22,1.47
2015 Y,93580,33038,60542,20324,12046,28172,9665,18507,12193,8177,1.49,8254,1.48,34129,36.47,28172,28172,64.7,30.1,13.03,793051,1.21,5957,96526,5595,17908,2902,5461,122797,14731,12053,24891,51675,174472,7289,7484,34874,49647,27808,16934,44742,94389,68465,68465,9096,2522,80083,80083,174472,8027,29697,37.08,38.19,2.47,26.86,118000,12193,5957,-35067,2574,46585,29668,-5944,-12868,-23001,-9882,10680,-13809,-9668,-3001,-5944,34129,36.47,23724,10.23,2.43
2016 Y,91154,32780,58374,19198,11988,27188,1549,25639,20539,7925,2.59,8013,2.56,33810,37.09,27188,27188,64.04,29.83,22.53,799596,1.39,6622,113240,6510,18277,2251,5892,139660,18356,10431,25021,53808,193468,7772,12904,38681,59357,40557,21557,62114,121471,68178,68178,2282,1537,71997,71997,193468,7808,46951,65.21,29.32,2.35,24.51,114000,20539,6622,5554,2668,610,33325,-8343,-14417,-23950,-11006,13884,-15301,-8393,982,-8343,33810,37.09,24982,9.84,1.62
2017 Y,96571,34261,62310,19942,13037,29331,-570,29901,25489,7746,3.29,7832,3.25,38109,39.46,29331,29331,64.52,30.37,26.39,778798,1.53,8778,132981,7663,22431,2181,5103,162696,30289,6023,51304,87616,250312,8108,10121,37516,55745,81445,25411,106856,162601,69315,69315,17769,627,87711,87711,250312,7708,78531,89.53,20.71,2.92,24.27,124000,25489,8778,364,3266,4876,39507,-8129,-12511,-46781,-11845,44344,-11016,8408,1134,-8129,38109,39.46,31378,11.33,1.55
2018 Y,110360,38353,72007,22223,14726,35058,-1416,36474,16571,7700,2.15,7794,2.13,45319,41.06,35058,35058,65.25,31.77,15.02,842443,1.65,10261,133768,11946,26481,2662,6751,169662,36146,1862,51178,89186,258848,10738,3998,43752,58488,77810,39832,117642,176130,71223,71223,13682,-2187,82718,82718,258848,7677,64294,77.73,18.12,2.9,28.71,131000,16571,10261,-3415,3940,20467,43884,-11632,6557,-6061,-12699,7183,-9719,-33590,4233,-11632,45319,41.06,32252,13.84,2.65
