Year,Sales & Services Revenue,Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Operating Income (Loss),Non-Operating (Income) Loss,Pretax Income,Income (Loss) from Cont Ops,Basic Weighted Avg Shares,"Basic EPS, GAAP",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",EBITDA,EBITDA Margin (%),EBITA,EBIT,Gross Margin (%),Operating Margin (%),Profit Margin (%),Sales per Employee,Dividend per Share,Depreciation Expense
2009 Y,42905,25683,17222,4149,1333,11740,-326,12066,8235,25004,0.33,25396,0.32,12474,29.07,11740,11740,40.14,27.36,19.19,1165897,0.0,734
2010 Y,65225,39541,25684,5517,1782,18385,-155,18540,14013,25465,0.55,25892,0.54,19412,29.76,18385,18385,39.38,28.19,21.48,1320344,0.0,1027
2011 Y,108249,64431,43818,7599,2429,33790,-415,34205,25922,25879,1.0,26226,0.99,35604,32.89,33790,33790,40.48,31.22,23.95,1710095,0.0,1814
2012 Y,156508,87846,68662,10040,3381,55241,-522,55763,41733,26175,1.59,26470,1.58,58518,37.39,55241,55241,43.87,35.3,26.67,2056610,0.1,3277
2013 Y,170910,106606,64304,10830,4475,48999,-1156,50155,37037,25909,1.43,26087,1.42,55756,32.62,48999,48999,37.62,28.67,21.67,2025000,0.41,6757
2014 Y,182795,112258,70537,11993,6041,52503,-980,53483,39510,24342,1.62,24491,1.61,60449,33.07,52503,52503,38.59,28.72,21.61,1884485,0.46,7946
2015 Y,233715,140089,93626,14329,8067,71230,-1285,72515,53394,23014,2.32,23172,2.3,82487,35.29,71230,71230,40.06,30.48,22.85,2124682,0.5,11257
2016 Y,215639,131376,84263,14194,10045,60024,-1348,61372,45687,21883,2.09,22001,2.08,70529,32.71,60024,60024,39.08,27.84,21.19,1858957,0.56,10505
2017 Y,229234,141048,88186,15261,11581,61344,-2745,64089,48351,20869,2.32,21007,2.3,71501,31.19,61344,61344,38.47,26.76,21.09,1863691,0.61,10157
2018 Y,265595,163756,101839,16705,14236,70898,-2005,72903,59531,19822,3.0,20000,2.98,81801,30.8,70898,70898,38.34,26.69,22.41,2012083,0.69,10903
2019 Y,260174,161782,98392,18245,16217,63930,-1807,65737,55256,18471,2.99,18596,2.97,76477,29.39,63930,63930,37.82,24.57,21.24,1899080,0.76,12547
2020 Y,274515,169559,104956,19916,18752,66288,-803,67091,57411,17352,3.31,17528,3.28,77344,28.17,66288,66288,38.23,24.15,20.91,1867449,0.81,11056
2021 Y,365817,212981,152836,21973,21914,108949,-258,109207,94680,16701,5.67,16865,5.61,120233,32.87,108949,108949,41.78,29.78,25.88,2375435,0.87,11284
2022 Y,394328,223546,170782,25094,26251,119437,334,119103,99803,16216,6.15,16326,6.11,130541,33.1,119437,119437,43.31,30.29,25.31,2404439,0.92,11104
2023 Y,383285,214137,169148,24932,29915,114301,565,113736,96995,15744,6.16,15813,6.13,125820,32.83,114301,114301,44.13,29.82,25.31,2380652,0.95,11519
