Year,Sales & Services Revenue,Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Operating Income (Loss),Non-Operating (Income) Loss,Pretax Income,Income (Loss) from Cont Ops,Basic Weighted Avg Shares,"Basic EPS, GAAP",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",EBITDA,EBITDA Margin (%),EBITA,EBIT,Gross Margin (%),Operating Margin (%),Profit Margin (%),Sales per Employee,Dividend per Share,Depreciation Expense
2009 Y,21599,- -,21599,14831,- -,- -,-1130,1130,1427,1185,0.2,1185,0.2,1224,5.67,- -,- -,100.0,- -,6.23,351844,1.46,1224
2010 Y,29361,- -,29361,16437,- -,- -,-6198,6198,5455,1362,2.81,1411,2.71,1419,4.83,- -,- -,100.0,- -,16.02,469461,0.85,1419
2011 Y,30594,- -,30594,16919,- -,- -,-6110,6110,4696,1655,1.25,1675,1.23,1404,4.59,- -,- -,100.0,- -,13.43,494257,0.5,1404
2012 Y,24643,- -,24643,16216,- -,- -,-596,596,757,1886,-0.02,1919,-0.02,1581,6.42,- -,- -,100.0,- -,0.28,431871,0.25,1581
2013 Y,30782,- -,30782,16915,- -,- -,-4558,4558,3656,1906,1.39,1957,1.36,1511,4.91,- -,- -,100.0,- -,9.53,551708,0.25,1511
2014 Y,32469,- -,32469,18482,- -,- -,-3591,3591,3681,1924,1.64,1971,1.6,1161,3.58,- -,- -,100.0,- -,10.68,581861,0.47,1161
2015 Y,33263,- -,33263,16697,- -,- -,-8495,8495,6295,1909,2.97,1953,2.9,1433,4.31,- -,- -,100.0,- -,18.42,591679,0.76,1433
2016 Y,32711,- -,32711,16465,- -,- -,-8848,8848,6122,1849,2.98,1887,2.92,1736,5.31,- -,- -,100.0,- -,18.28,591401,0.94,1736
2017 Y,35852,- -,35852,17775,- -,- -,-10403,10403,6235,1780,3.14,1821,3.07,1753,4.89,- -,- -,100.0,- -,17.05,622074,1.17,1753
2018 Y,37714,- -,37714,18323,- -,- -,-11237,11237,8887,1708,4.81,1738,4.73,1844,4.89,- -,- -,100.0,- -,23.2,624942,1.39,1844
2019 Y,39045,- -,39045,19325,- -,- -,-11301,11301,9237,1617,5.26,1640,5.19,2643,6.77,- -,- -,100.0,- -,23.16,646109,1.62,2643
2020 Y,45828,- -,45828,21137,- -,- -,-14418,14418,11179,1603,6.55,1624,6.47,3769,8.22,- -,- -,100.0,- -,23.99,673941,1.71,3769
2021 Y,56414,- -,56414,25271,- -,- -,-19668,19668,15120,1785,8.16,1814,8.03,4216,7.47,- -,- -,100.0,- -,26.65,752187,2.34,4216
2022 Y,50210,- -,50210,23958,- -,- -,-14089,14089,11179,1691,6.23,1713,6.15,3998,7.96,- -,- -,100.0,- -,21.97,612317,3.19,3998
2023 Y,50667,- -,50667,25103,- -,- -,-11813,11813,9230,1628,5.24,1646,5.18,4256,8.4,- -,- -,100.0,- -,17.93,633338,3.54,4256
