Year,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,Accounts & Notes Receiv,Inventories,Other ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",LT Investments & Receivables,Other LT Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,ST Debt,Other ST Liabilities,Total Current Liabilities,LT Debt,Other LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & APIC,Common Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Total Equity,Total Liabilities & Equity,Shares Outstanding,Net Debt,Net Debt to Equity,Tangible Common Equity Ratio,Current Ratio,Cash Conversion Cycle,Number of Employees
2009 Y,23464,5263,5057,455,2579,31555,2954,4667,10528,2464,15946,47501,6967,0,4539,11506,0,4355,4355,15861,16420,8210,23353,77,31640,31640,47501,25195,-5263,-16.63,66.29,2.74,-47.74,36800
2010 Y,25620,11261,9924,1051,5083,41678,4768,7234,25391,3346,33505,75183,13382,0,7340,20722,0,6670,6670,27392,10668,10668,37169,-46,47791,47791,75183,25647,-11261,-23.56,63.03,2.01,-48.33,49400
2011 Y,25952,9815,11717,776,6543,44988,7777,11768,55618,7988,71383,116371,17610,0,10360,27970,0,11786,11786,39756,13331,13331,62841,443,76615,76615,116371,26020,-9815,-12.81,64.48,1.61,-52.28,63300
2012 Y,29129,10746,18692,791,9041,57653,15452,21887,92122,10837,118411,176064,25258,0,13284,38542,0,19312,19312,57854,16422,16422,101289,499,118210,118210,176064,26298,-10746,-9.09,66.11,1.5,-52.12,76100
2013 Y,40546,14259,20641,1764,10335,73286,16597,28519,106215,10902,133714,207000,27825,0,15833,43658,16960,22833,39793,83451,19764,19764,104256,-471,123549,123549,207000,25178,2701,2.19,58.53,1.68,-43.83,84400
2014 Y,25077,13844,27219,2111,14124,68531,20624,39015,130162,12522,163308,231839,48649,6308,8491,63448,28987,27857,56844,120292,23313,23313,87152,1082,111547,111547,231839,23465,21451,19.23,46.08,1.08,-48.38,97000
2015 Y,41601,21120,30343,2349,15085,89378,22471,49257,164065,14431,200967,290345,60671,10999,8940,80610,53329,37051,90380,170990,27416,27416,92284,-345,119355,119355,290345,22315,43208,36.2,39.22,1.11,-52.83,110000
2016 Y,67155,20484,29299,2132,8283,106869,27010,61245,170430,17377,214817,321686,59321,11605,8080,79006,75427,39004,114431,193437,31251,31251,96364,634,128249,128249,321686,21345,66548,51.89,38.21,1.35,-67.46,116000
2017 Y,74181,20289,35673,4855,13936,128645,33783,75076,194714,18177,246674,375319,44242,18473,38099,100814,97207,43251,140458,241272,35867,35867,98330,-150,134047,134047,375319,20505,95391,71.16,34.31,1.28,-67.69,123000
2018 Y,66301,25913,48995,3956,12087,131339,41304,90403,170799,22283,234386,365725,55888,20748,39293,115929,93735,48914,142649,258578,40201,40201,70400,-3454,107147,107147,365725,19020,88570,82.66,29.3,1.13,-74.17,132000
2019 Y,100557,48844,45804,4106,12352,162819,37378,95957,105341,32978,175697,338516,46236,16240,43242,105718,91807,50503,142310,248028,45174,45174,45898,-584,90488,90488,338516,17773,59203,65.43,26.73,1.54,-73.66,137000
2020 Y,90943,38016,37445,4061,11264,143713,36766,103526,100887,42522,180175,323888,42296,13769,49327,105392,98667,54490,153157,258549,50779,50779,14966,-406,65339,65339,323888,16977,74420,113.9,20.17,1.36,-60.57,147000
2021 Y,62639,34940,51506,6580,14111,134836,39440,109723,127877,48849,216166,351002,54763,15613,55105,125481,109106,53325,162431,287912,57365,57365,5562,163,63090,63090,351002,16427,89779,142.3,17.97,1.07,-51.93,154000
2022 Y,48304,23646,60932,4946,21223,135405,42117,114457,120805,54428,217350,352755,64115,21110,68757,153982,98959,49142,148101,302083,64849,64849,-3068,-11109,50672,50672,352755,15943,96423,190.29,14.36,0.88,-63.15,164000
2023 Y,61555,29965,60985,6331,14695,143566,43715,114599,100544,64758,209017,352583,62611,15807,66890,145308,95281,49848,145129,290437,73812,73812,-214,-11452,62146,62146,352583,15550,81123,130.54,17.63,0.99,-70.23,161000
