Year,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,Accounts & Notes Receiv,Inventories,Other ST Assets,Total Current Assets,"Property, Plant & Equip, Net","Property, Plant & Equip",LT Investments & Receivables,Other LT Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,ST Debt,Other ST Liabilities,Total Current Liabilities,LT Debt,Other LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & APIC,Common Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Total Equity,Total Liabilities & Equity,Shares Outstanding,Net Debt,Net Debt to Equity,Tangible Common Equity Ratio,Current Ratio,Cash Conversion Cycle,Number of Employees
2009 Y,66287,30558,14792,- -,- -,81079,46656,46656,93693,75691,216040,297119,22362,1607,- -,23969,36302,101063,137365,161334,27082,8,86227,17793,131102,135785,297119,2328,7351,5.41,37.56,3.38,- -,257000
2010 Y,72030,38227,20917,- -,-33803,59144,93126,93126,94702,125257,313085,372229,29361,1682,- -,31043,56892,121360,178252,209295,37541,8,99194,20583,157318,162934,372229,2472,20347,12.49,35.25,1.91,- -,260000
2011 Y,68521,37299,19012,- -,- -,87533,100391,100391,108251,96472,305114,392647,32706,1490,- -,34196,58894,130596,189490,223686,37815,8,109448,17654,164850,168961,392647,2476,23085,13.66,34.1,2.56,- -,271000
2012 Y,83700,46992,21753,- -,- -,105453,106872,106872,125221,89906,321999,427452,35361,1416,- -,36777,61320,137767,199087,235864,37238,8,124272,27500,187647,191588,427452,2464,15744,8.22,35.01,2.87,- -,288500
2013 Y,76971,48186,20280,- -,- -,97251,123805,123805,157866,106009,387680,484931,37835,949,- -,38784,71275,150387,221662,260446,35480,8,143748,44025,221890,224485,484931,2466,24038,10.71,37.8,2.51,- -,302000
2014 Y,90666,63269,21852,- -,- -,112518,137244,137244,155885,120220,413349,525867,30556,839,- -,31395,79051,172394,251445,282840,35581,8,163620,42732,240170,243027,525867,2464,16621,6.84,37.87,3.58,- -,316000
2015 Y,97718,71730,23303,- -,- -,121021,145166,145166,160350,125720,431236,552257,31271,1989,- -,33260,82300,178070,260370,293630,35628,8,187703,33982,255550,258627,552257,2465,12559,4.86,38.8,3.64,- -,331000
2016 Y,86370,28048,27097,- -,- -,113467,152773,152773,231934,122680,507387,620854,35042,3963,- -,39005,97681,198740,296421,335426,35689,8,210846,37298,282070,285428,620854,2466,73596,25.78,33.88,2.91,- -,367700
2017 Y,115954,31583,32923,- -,- -,148877,158219,158219,297288,97711,553218,702095,35903,6320,- -,42223,96267,211651,307918,350141,35702,8,255786,58571,348296,351954,702095,2467,71004,20.17,40.42,3.53,- -,377000
2018 Y,111867,30361,35230,- -,- -,147097,166706,166706,291486,102505,560697,707794,37186,4373,- -,41559,93117,220618,313735,355294,35715,8,321112,-5015,348703,352500,707794,2461,67129,19.04,40.25,3.54,- -,389000
2019 Y,127997,64175,35835,- -,- -,163832,174341,174341,348039,131517,653897,817729,42319,4686,- -,47005,98682,243479,342161,389166,35666,8,402493,-5243,424791,428563,817729,2437,39193,9.15,44.74,3.49,- -,391500
2020 Y,138290,47990,35852,- -,- -,174142,187017,187017,409183,103387,699587,873729,45568,3348,- -,48916,113547,259930,373477,422393,35634,8,444626,-4243,443164,451336,873729,2316,68905,15.27,45.18,3.56,- -,360000
2021 Y,146719,88184,39565,- -,- -,186284,191282,191282,441733,139485,772500,958784,46072,2351,- -,48423,111911,283520,395431,443854,35600,8,534421,-4027,506199,514930,958784,2216,26078,5.06,48.17,3.85,- -,372000
2022 Y,128585,35811,41179,- -,- -,169764,196965,196965,454745,126991,778701,948465,49816,2429,- -,52245,120315,294224,414539,466784,35175,8,511127,-5052,473424,481681,948465,2190,86933,18.05,44.51,3.25,- -,383000
2023 Y,167641,38022,44200,- -,- -,211841,216593,216593,536285,105259,858137,1069978,54863,5335,- -,60198,122936,316074,439010,499208,34488,8,607350,-3763,561273,570770,1069978,2162,90249,15.81,47.78,3.52,- -,396500
