Year,"Cash, Cash Equivalents & STI",Cash & Cash Equivalents,Accounts & Notes Receiv,Inventories,Other ST Assets,Total Current Assets,"Property, Plant & Equip, Net",LT Investments & Receivables,Other LT Assets,Total Noncurrent Assets,Total Assets,Payables & Accruals,ST Debt,Other ST Liabilities,Total Current Liabilities,LT Debt,Other LT Liabilities,Total Noncurrent Liabilities,Total Liabilities,Share Capital & APIC,Common Stock,Retained Earnings,Other Equity,Equity Before Minority Interest,Total Equity,Total Liabilities & Equity,Shares Outstanding,Net Debt,Net Debt to Equity,Tangible Common Equity Ratio,Current Ratio,Cash Conversion Cycle,Number of Employees
2009 Y,31447,6076,11192,717,5924,49280,7535,4933,16140,28608,77888,5733,2000,19301,27034,3746,7550,11296,38330,62382,62382,-22824,969,39558,39558,77888,8908,-330,-0.83,39.76,1.82,-10.02,93000
2010 Y,36788,5505,13014,740,5134,55676,7630,7754,15053,30437,86113,5281,1000,19866,26147,4939,8852,13791,39938,62856,62856,-17736,1055,46175,46175,86113,8668,434,0.94,44.96,2.13,-15.85,89000
2011 Y,52772,9610,14987,1372,5787,74918,8162,10865,14759,33786,108704,5985,0,22789,28774,11921,10926,22847,51621,63415,63415,-6332,1863,57083,57083,108704,8376,2311,4.05,45.88,2.6,5.23,90000
2012 Y,63040,6938,15780,1137,5127,85084,8269,9776,18142,36187,121271,5778,1231,25679,32688,10713,11507,22220,54908,65797,65797,-856,1422,66363,66363,121271,8381,5006,7.54,47.53,2.6,13.94,94000
2013 Y,77022,3804,17486,1938,5020,101466,9991,10844,20130,40965,142431,6065,2999,28353,37417,12601,13469,26070,63487,67306,67306,9895,1743,78944,78944,142431,8328,11796,14.94,49.09,2.71,27.96,99000
2014 Y,85709,8669,19544,2660,6333,114246,13011,14597,30530,58138,172384,8772,2000,34853,45625,20645,16330,36975,82600,68366,68366,17710,3708,89784,89784,172384,8239,13976,15.57,43.14,2.5,28.33,128000
2015 Y,96526,5595,17908,2902,5461,122797,14731,12053,24891,51675,174472,7289,7484,34874,49647,27808,16934,44742,94389,68465,68465,9096,2522,80083,80083,174472,8027,29697,37.08,38.19,2.47,26.86,118000
2016 Y,113240,6510,18277,2251,5892,139660,18356,10431,25021,53808,193468,7772,12904,38681,59357,40557,21557,62114,121471,68178,68178,2282,1537,71997,71997,193468,7808,46951,65.21,29.32,2.35,24.51,114000
2017 Y,132981,7663,22431,2181,5103,162696,30289,6023,51304,87616,250312,8108,10121,37516,55745,81445,25411,106856,162601,69315,69315,17769,627,87711,87711,250312,7708,78531,89.53,20.71,2.92,24.27,124000
2018 Y,133768,11946,26481,2662,6751,169662,36146,1862,51178,89186,258848,10738,3998,43752,58488,77810,39832,117642,176130,71223,71223,13682,-2187,82718,82718,258848,7677,64294,77.73,18.12,2.9,28.71,131000
2019 Y,133819,11356,29524,2063,10146,175552,43856,2649,64499,111004,286556,15047,5516,48857,69420,72850,41956,114806,184226,78520,78520,24150,-340,102330,102330,286556,7643,60822,59.44,22.2,2.53,23.68,144000
2020 Y,136527,13576,32011,1895,11482,181915,52904,2965,63527,119396,301311,14660,3749,53901,72310,67249,43448,110697,183007,80552,80552,34566,3186,118304,118304,301311,7571,49751,42.05,27.07,2.52,7.1,163000
2021 Y,130256,14224,38043,2636,13471,184406,70803,5984,72586,149373,333779,17337,8072,63248,88657,59703,43431,103134,191791,83111,83111,57055,1822,141988,141988,333779,7519,43922,30.93,30.58,2.08,-3.51,181000
2022 Y,104749,13931,44261,3742,16932,169684,87546,6891,100719,195156,364840,23067,2749,69266,95082,58521,44695,103216,198298,86939,86939,84281,-4678,166542,166542,364840,7464,35850,21.53,30.67,1.78,-3.45,221000
2023 Y,111256,34704,48688,2500,21813,184257,109987,9879,107853,227719,411976,22247,5247,76655,104149,54718,46886,101604,205753,93718,93718,118848,-6343,206223,206223,411976,7432,12533,6.08,38.53,1.77,-7.42,221000
