Year,Sales & Services Revenue,Cost of Revenue,Gross Profit,"Selling, General & Admin"
2009 Y,21599,- -,21599,14831
2010 Y,29361,- -,29361,16437
2011 Y,30594,- -,30594,16919
2012 Y,24643,- -,24643,16216
2013 Y,30782,- -,30782,16915
2014 Y,32469,- -,32469,18482
2015 Y,33263,- -,33263,16697
2016 Y,32711,- -,32711,16465
2017 Y,35852,- -,35852,17775
2018 Y,37714,- -,37714,18323
2019 Y,39045,- -,39045,19325
2020 Y,45828,- -,45828,21137
2021 Y,56414,- -,56414,25271
2022 Y,50210,- -,50210,23958
2023 Y,50667,- -,50667,25103
