Year,Sales & Services Revenue,Cost of Revenue,Gross Profit,"Selling, General & Admin",Research & Development,Operating Income (Loss),Non-Operating (Income) Loss,Pretax Income,Income (Loss) from Cont Ops,Basic Weighted Avg Shares,"Basic EPS, GAAP",Diluted Weighted Avg Shares,"Diluted EPS, GAAP",EBITDA,EBITDA Margin (%),EBITA,EBIT,Gross Margin (%),Operating Margin (%),Profit Margin (%),Sales per Employee,Dividend per Share,Depreciation Expense
2008 Y,21796,8622,13174,3749,2793,6632,778,5854,4227,12558,0.34,12701,0.33,8132,37.31,6632,6632,60.44,30.43,19.39,1077814,- -,1500
2009 Y,23651,8844,14806,3651,2843,8312,-69,8381,6520,12649,0.52,12777,0.51,9836,41.59,8312,8312,62.61,35.15,27.57,1192365,- -,1524
2010 Y,29321,10417,18904,4761,3762,10381,-415,10796,8505,12748,0.67,12930,0.66,11777,40.17,10381,10381,64.47,35.4,29.01,1201680,- -,1396
2011 Y,37905,13188,24717,7313,5162,12242,-84,12326,9737,12911,0.75,13089,0.74,14093,37.18,12242,12242,65.21,32.3,25.69,1167493,- -,1851
2012 Y,50175,20634,29541,9988,6793,12760,-626,13386,10788,13089,0.82,13292,0.81,15722,31.33,12760,12760,58.88,25.43,21.4,931565,- -,2962
2013 Y,59825,25858,33967,12049,7952,13966,-530,14496,12214,13314,0.97,13552,0.95,17905,29.93,13966,13966,56.78,23.34,21.6,1252722,- -,3939
2014 Y,66001,25691,40310,13982,9832,16496,-763,17259,13928,13519,1.07,13741,1.05,21475,32.54,16496,16496,61.07,24.99,21.88,1231362,- -,4979
2015 Y,74989,28164,46825,15183,12282,19360,-291,19651,16348,13693,1.19,13859,1.18,24423,32.57,19360,19360,62.44,25.82,21.8,1213139,- -,5063
2016 Y,90272,35138,55134,17470,13948,23716,-434,24150,19478,13756,1.42,13974,1.39,29860,33.08,23716,23716,61.08,26.27,21.58,1252856,- -,6144
2017 Y,110855,45583,65272,19765,16625,28882,1689,27193,12662,13852,0.91,14072,0.9,35797,32.29,28882,28882,58.88,26.05,11.42,1383785,- -,6915
2018 Y,136819,59549,77270,24459,21419,31392,-3521,34913,30736,13903,2.21,14066,2.19,40427,29.55,31392,31392,56.48,22.94,22.46,1385214,- -,9035
2019 Y,161857,71896,89961,28015,26018,35928,-3697,39625,34343,13852,2.48,13971,2.46,47709,29.48,35928,35928,55.58,22.2,21.22,1361298,- -,11781
2020 Y,182527,84732,97795,28998,27573,41224,-6858,48082,40269,13616,2.96,13741,2.93,54921,30.09,41224,41224,53.58,22.59,22.06,1349044,- -,13697
2021 Y,257637,110939,146698,36422,31562,78714,-12020,90734,76033,13353,5.69,13553,5.61,91155,35.38,78714,78714,56.94,30.55,29.51,1646243,- -,12441
2022 Y,282836,126203,156633,42291,39500,74842,3514,71328,59972,13063,4.59,13159,4.56,90770,32.09,74842,74842,55.38,26.46,21.2,1486779,- -,15928
